代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10606775.689999999478459
真實報酬,606775.689999999478459

夏普值報酬,0.051977569000000
夏普值風險,0.018619255797202
夏普值,2.791602927965103

二次趨勢線,301.318969006218367 x^2 + 25839.651315967166738 x + 10000000.000000000000000
二次平均預期報酬,32167.349665097754041
風險,21187.771395549392764
二次平均趨勢值,1.518203546025359
一次趨勢線,30469.674498257860250 x + 10000000.000000000000000
一次預期報酬,30469.674498257860250
一次風險,25560.727372290493804
一次趨勢值,1.192050369086483
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,7
HD[9](1),JPM[13](12),KO[14](9),PG[21](4),UNH[23](13),V[25](3),XOM[29](15),
Stock#,HD[9](1),JPM[13](12),KO[14](9),PG[21](4),UNH[23](13),V[25](3),XOM[29](15),
張數,32124,37993,42115,22600,26822,55738,17012,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,16.719999999972060,34.199999999953434,30.199999999953434,25.000000000000000,31.280000000027940,6.060000000055879,73.360000000102445,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1428249.760000000009313,1426671.349999999860302,1428571.000000000000000,1431057.000000000000000,1409259.159999999916181,1478177.820000000065193,1421085.720000000204891,10023074.810000000521541
FS( 3 ),1451057.800000000046566,1454406.239999999990687,1433624.799999999813735,1418627.000000000000000,1376268.100000000093132,1491554.940000000176951,1444732.400000000139698,10070274.279999999329448
FS( 4 ),1452021.520000000018626,1449087.219999999972060,1432782.500000000000000,1435351.000000000000000,1375731.659999999916181,1496013.979999999981374,1458852.360000000102445,10099843.240000000223517
FS( 5 ),1460373.760000000009313,1438829.109999999869615,1443732.399999999906868,1439645.000000000000000,1395579.939999999944121,1490997.560000000055879,1468889.440000000176951,10138050.209999999031425
FS( 6 ),1451057.800000000046566,1455166.099999999860302,1439099.750000000000000,1438289.000000000000000,1398530.360000000102445,1509948.479999999981374,1451537.199999999953434,10143631.689999999478459
FS( 7 ),1454270.200000000186265,1438449.179999999934807,1431519.050000000046566,1447329.000000000232831,1423206.600000000093132,1566801.239999999990687,1444051.919999999925494,10205630.189999999478459
FS( 8 ),1456197.639999999897555,1428950.929999999934807,1430676.750000000000000,1443713.000000000000000,1430180.320000000065193,1587424.300000000046566,1425678.959999999962747,10202824.900000002235174
FS( 9 ),1475472.040000000037253,1455166.099999999860302,1441205.500000000000000,1451623.000000000000000,1444395.979999999981374,1570702.900000000139698,1436226.400000000139698,10274794.919999999925494
FS( 10 ),1479648.160000000149012,1440728.760000000009313,1450891.950000000186265,1457273.000000000000000,1460757.400000000139698,1605817.840000000083819,1440479.400000000139698,10335599.510000001639128
FS( 11 ),1468404.760000000009313,1420972.399999999906868,1440363.200000000186265,1458855.000000000000000,1465048.919999999925494,1604145.700000000186265,1431122.800000000279397,10288915.780000001192093
FS( 12 ),1475472.040000000037253,1443768.199999999953434,1450049.649999999906868,1473545.000000000000000,1469608.659999999916181,1585752.159999999916181,1453068.280000000027940,10351266.990000000223517
FS( 13 ),1500528.760000000009313,1461624.909999999916181,1454261.149999999906868,1466991.000000000000000,1466658.239999999990687,1602473.560000000055879,1456640.800000000279397,10409181.420000001788139
FS( 14 ),1507274.800000000046566,1461244.979999999981374,1449207.349999999860302,1455917.000000000000000,1483824.320000000065193,1591325.960000000195578,1472802.199999999953434,10421599.609999999403954
FS( 15 ),1496031.399999999906868,1446427.709999999962747,1458472.650000000139698,1456369.000000000000000,1480069.239999999990687,1621424.479999999981374,1478756.400000000139698,10437553.880000000819564
FS( 16 ),1508238.520000000018626,1462384.770000000018626,1456788.050000000046566,1501117.000000000000000,1473631.959999999962747,1623096.620000000111759,1480457.600000000093132,10505717.519999999552965
FS( 17 ),1509202.239999999757856,1454406.239999999990687,1452997.699999999953434,1507670.999999999767169,1492675.580000000074506,1638145.880000000121072,1485901.440000000176951,10541003.080000000074506
FS( 18 ),1507596.040000000037253,1484040.780000000027940,1449628.500000000000000,1507445.000000000000000,1494821.339999999850988,1628670.419999999925494,1484030.120000000111759,10556235.199999999254942
FS( 19 ),1517233.239999999757856,1489739.729999999981374,1449628.500000000000000,1523039.000000000000000,1497771.760000000009313,1657654.179999999934807,1482499.040000000037253,10617568.449999999254942
FS( 20 ),1528155.399999999906868,1490879.520000000018626,1471107.149999999906868,1528237.000000000000000,1495357.780000000027940,1621424.479999999981374,1471611.360000000102445,10606775.689999999478459
