代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10730488.589999999850988
真實報酬,730488.589999999850988

夏普值報酬,0.064348859000000
夏普值風險,0.020187383800260
夏普值,3.187577926723356

二次趨勢線,-188.964154884442792 x^2 + 36255.934427029940707 x + 10000000.000000000000000
二次平均預期報酬,31720.794709803314618
風險,38835.718999874741712
二次平均趨勢值,0.816794320452922
一次趨勢線,32926.948889916733606 x + 10000000.000000000000000
一次預期報酬,32926.948889916733606
一次風險,40580.453151765213988
一次趨勢值,0.811399241077337
找到最佳解世代,1741
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AAPL[0](2),AXP[1](3),CSCO[4](1),MCD[15](9),NKE[19](7),UNH[23](5),V[25](4),WBA[27](18),
Stock#,AAPL[0](2),AXP[1](3),CSCO[4](1),MCD[15](9),NKE[19](7),UNH[23](5),V[25](4),WBA[27](18),
張數,6203,12569,29861,7965,16120,4933,9041,18813,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,95.500000000000000,12.949999999953434,18.540000000037253,132.200000000186265,55.199999999953434,125.790000000037253,81.750000000000000,64.280000000027940,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1286535.669999999925494,1253519.320000000065193,1270006.870000000111759,1237972.850000000093132,1267893.199999999953434,1263368.429999999934807,1256057.469999999972060,1260159.020000000018626,10095512.830000000074506
FS( 3 ),1290257.469999999972060,1266842.459999999962747,1278965.169999999925494,1244344.850000000325963,1269343.999999999767169,1268992.050000000279397,1264194.369999999878928,1264674.139999999897555,10147614.509999999776483
FS( 4 ),1296956.709999999962747,1268476.429999999934807,1292999.839999999850988,1248407.000000000232831,1281756.400000000139698,1266722.869999999878928,1263199.860000000102445,1268436.739999999990687,10186955.849999999627471
FS( 5 ),1284798.830000000074506,1281673.879999999888241,1301360.919999999925494,1242990.800000000046566,1298198.800000000046566,1271113.239999999990687,1268353.229999999981374,1261475.929999999934807,10209965.629999998956919
FS( 6 ),1285667.250000000000000,1291854.770000000018626,1309124.780000000027940,1265930.000000000000000,1297715.199999999953434,1276835.520000000018626,1271969.630000000121072,1250940.649999999906868,10250037.800000000745058
FS( 7 ),1295778.139999999897555,1294494.259999999776483,1307333.120000000111759,1268956.700000000186265,1309966.400000000139698,1290549.260000000009313,1265912.159999999916181,1244920.489999999990687,10277910.529999999329448
FS( 8 ),1287404.090000000083819,1276771.969999999972060,1307333.120000000111759,1264018.400000000139698,1301422.800000000046566,1284481.670000000158325,1263380.679999999934807,1250940.649999999906868,10235753.380000000819564
FS( 9 ),1295716.110000000102445,1279662.840000000083819,1306437.290000000037253,1259717.300000000046566,1292073.199999999953434,1287194.820000000065193,1267720.360000000102445,1250752.520000000018626,10239274.439999999478459
FS( 10 ),1301174.750000000000000,1284313.370000000111759,1313902.540000000037253,1279311.200000000186265,1291912.000000000000000,1299872.630000000121072,1272692.909999999916181,1291764.859999999869615,10334944.259999999776483
FS( 11 ),1304214.219999999972060,1275892.140000000130385,1309722.000000000000000,1273576.400000000139698,1282723.599999999860302,1285714.920000000158325,1265098.469999999972060,1293081.770000000018626,10290023.519999999552965
FS( 12 ),1323319.459999999962747,1290220.800000000046566,1348541.300000000046566,1288311.650000000139698,1290461.199999999953434,1297998.090000000083819,1271698.400000000139698,1309825.340000000083819,10420376.240000000223517
FS( 13 ),1349744.239999999990687,1294997.020000000018626,1369742.609999999869615,1283691.950000000186265,1285625.199999999953434,1294199.679999999934807,1277846.280000000027940,1316786.149999999906868,10472633.130000000819564
FS( 14 ),1336593.880000000121072,1305052.219999999972060,1380193.959999999962747,1287913.400000000139698,1324796.800000000046566,1294544.989999999990687,1274320.290000000037253,1316786.149999999906868,10520201.689999999478459
FS( 15 ),1333988.619999999878928,1317369.840000000083819,1367055.120000000111759,1282815.800000000046566,1337209.199999999953434,1291042.560000000055879,1266183.389999999897555,1321677.530000000027940,10517342.060000000521541
FS( 16 ),1334050.650000000139698,1330190.219999999972060,1373325.930000000167638,1278912.950000000186265,1332212.000000000000000,1286356.210000000195578,1276128.489999999990687,1310201.600000000093132,10521378.049999998882413
FS( 17 ),1336779.969999999972060,1324408.479999999981374,1374221.760000000242144,1266965.450000000186265,1336564.399999999906868,1289710.650000000139698,1284807.849999999860302,1303428.920000000158325,10516887.480000000447035
FS( 18 ),1340935.979999999981374,1329310.390000000130385,1383180.060000000055879,1269593.900000000139698,1329149.199999999953434,1303819.029999999795109,1303793.949999999953434,1302112.010000000009313,10561894.519999999552965
FS( 19 ),1351977.320000000065193,1345524.399999999906868,1391242.530000000027940,1278355.400000000139698,1332373.199999999953434,1317631.429999999934807,1314643.150000000139698,1306439.000000000000000,10638186.429999999701977
FS( 20 ),1362894.599999999860302,1348415.270000000018626,1401992.490000000223517,1287594.800000000046566,1331244.799999999813735,1324685.619999999878928,1312834.949999999953434,1303428.920000000158325,10673091.449999999254942
FS( 21 ),1383240.439999999944121,1341250.939999999944121,1417818.819999999832362,1299303.350000000325963,1334630.000000000000000,1327102.790000000037253,1329379.979999999981374,1291764.859999999869615,10724491.179999999701977
FS( 22 ),1395956.590000000083819,1335217.820000000065193,1407964.689999999944121,1296834.200000000186265,1312223.199999999953434,1324093.659999999916181,1326758.090000000083819,1275585.679999999934807,10674633.930000001564622
FS( 23 ),1412084.389999999897555,1332075.570000000065193,1426478.510000000242144,1292294.150000000139698,1325119.199999999953434,1324438.969999999972060,1328114.239999999990687,1289883.560000000055879,10730488.589999999850988
