訓練日期,20160627 - 20160927
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11265658.359999999403954
真實報酬,1265658.359999999403954

夏普值報酬,0.117865836000000
夏普值風險,0.034641090127401
夏普值,3.402486341120333

預期報酬,22511.321834836911876
風險,143818.819121848675422
趨勢值,0.156525564403115
找到最佳解世代,1609
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),PG[21](5),V[25](1),
Stock#,AAPL[0](2),PG[21](5),V[25](1),
張數,35688,40521,44414,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,73.799999999813735,75.539999999571592,62.300000000279397,
20160627,3284797.319999999832362,3291596.369999999646097,3257385.060000000521541,9833779.750000000000000
20160628,3340113.719999999739230,3341437.199999999254942,3338218.540000000037253,10019770.459999999031425
20160629,3369021.000000000000000,3400192.649999999441206,3408392.660000000149012,10177607.309999998658895
20160630,3411846.599999999627471,3430988.609999999869615,3294248.680000000167638,10137084.889999998733401
20160701,3422196.119999999646097,3435445.919999999459833,3308017.020000000484288,10165660.059999998658895
20160705,3390076.919999999459833,3462189.779999999329448,3316455.680000000167638,10168723.379999998956919
20160706,3409348.439999999944121,3445576.169999999459833,3289363.140000000596046,10144288.750000000000000
20160707,3423980.519999999552965,3437471.969999999273568,3289363.140000000596046,10150816.629999998956919
20160708,3450389.640000000130385,3475561.709999999497086,3394180.180000000167638,10320132.529999999329448
20160711,3461096.040000000037253,3474751.289999999571592,3398621.580000000074506,10334469.910000000149012
20160712,3476798.759999999776483,3474751.289999999571592,3441259.020000000484288,10392810.070000000298023
20160713,3457170.359999999869615,3480424.229999999515712,3440370.740000000223517,10377966.330000000074506
20160714,3525691.319999999832362,3479613.809999999590218,3470572.260000000242144,10475878.389999998733401
20160715,3525334.439999999944121,3485286.750000000000000,3477678.500000000000000,10488300.689999999478459
20160718,3562806.839999999850988,3482045.069999999832362,3478122.640000000596046,10522975.550000000745058
20160719,3564234.359999999869615,3491770.109999999869615,3496332.380000000353903,10552337.849999999627471
20160720,3567446.279999999795109,3457327.259999999310821,3524757.340000000316650,10549531.879999998956919
20160721,3548531.640000000130385,3454896.000000000000000,3499441.360000000335276,10502870.000000000000000
20160722,3521051.879999999888241,3473535.659999999683350,3549185.040000000037253,10543773.579999998211861
20160725,3473943.719999999739230,3476777.339999999385327,3506103.459999999962747,10456825.519999999552965
20160726,3450032.759999999776483,3455301.209999999497086,3486117.160000000149012,10391452.129999998956919
20160727,3674153.399999999906868,3422479.199999999254942,3487893.720000000204891,10584527.320000000298023
20160728,3723759.719999999739230,3436661.549999999813735,3517206.959999999962747,10677629.230000000447035
20160729,3719120.279999999795109,3468267.929999999701977,3466575.000000000000000,10653964.209999999031425
20160801,3784786.199999999720603,3501495.149999999441206,3475901.940000000409782,10762184.289999999105930
20160802,3728756.040000000037253,3515677.500000000000000,3476790.220000000204891,10721224.759999999776483
20160803,3775507.319999999832362,3483665.909999999683350,3495888.240000000223517,10755062.469999998807907
20160804,3778362.359999999869615,3486907.589999999385327,3530087.020000000484288,10795357.969999998807907
20160805,3835820.040000000037253,3475966.919999999459833,3559400.260000000242144,10871188.219999998807907
20160808,3867582.359999999869615,3475156.500000000000000,3550961.600000000558794,10893701.460000000894070
20160809,3883285.080000000074506,3484476.329999999143183,3555847.140000000596046,10923609.550000000745058
20160810,3854377.799999999813735,3497443.049999999813735,3538969.820000000763685,10890791.669999999925494
20160811,3851879.640000000130385,3514461.869999999646097,3558511.980000000447035,10924854.490000000223517
20160812,3860801.640000000130385,3527023.379999999888241,3554070.580000000074506,10941896.599999999627471
20160815,3907196.040000000037253,3526212.959999999497086,3593599.040000000037253,11027009.039999999105930
20160816,3903627.239999999757856,3508383.719999999273568,3589157.640000000596046,11001169.599999999627471
20160817,3897917.159999999683350,3523781.699999999254942,3590490.060000000521541,11012189.919999999925494
20160818,3892920.839999999850988,3543231.779999999329448,3565174.080000000074506,11001327.699999999254942
20160819,3902913.479999999981374,3537964.049999999813735,3574056.880000000353903,11014935.410000000149012
20160822,3872578.680000000167638,3519324.389999999199063,3600261.140000000596046,10992165.210000000894070
20160823,3884712.599999999627471,3541610.939999999944121,3588713.500000000000000,11015038.039999999105930
20160824,3855448.439999999944121,3537964.049999999813735,3566062.360000000335276,10959475.850000001490116
20160825,3839031.959999999497086,3561871.439999999944121,3567394.779999999795109,10968299.179999999701977
20160826,3816548.519999999552965,3548904.719999999273568,3578498.279999999795109,10943952.519999997690320
20160829,3812265.959999999497086,3578079.839999999385327,3591822.480000000447035,10982169.279999999329448
20160830,3783001.799999999813735,3547283.879999999888241,3605146.680000000167638,10935433.359999999403954
20160831,3786570.599999999627471,3537964.049999999813735,3593154.900000000372529,10917690.550000000745058
20160901,3809054.040000000037253,3578485.049999999813735,3610920.500000000000000,10998460.589999999850988
20160902,3844742.040000000037253,3574027.739999999757856,3642010.300000000279397,11060781.080000000074506
20160906,3843671.399999999906868,3591856.979999999515712,3665549.720000000204891,11101079.099999999627471
20160907,3867225.479999999981374,3563897.489999999757856,3697083.660000000149012,11128207.629999998956919
20160908,3765871.559999999590218,3557008.919999999459833,3685091.880000000353903,11007973.359999999403954
20160909,3680577.239999999757856,3494606.579999999143183,3612252.920000000391155,10787437.739999998360872
20160912,3763016.519999999552965,3576053.789999999571592,3685091.880000000353903,11024163.189999999478459
20160913,3852593.399999999906868,3527428.589999999385327,3637124.760000000242144,11017147.750000000000000
20160914,3988921.559999999590218,3525807.750000000000000,3619359.160000000149012,11134089.469999998807907
20160915,4124535.959999999497086,3568354.799999999813735,3642454.440000000409782,11335346.199999999254942
20160916,4101338.759999999776483,3567949.589999999385327,3645119.279999999795109,11314408.629999998956919
20160919,4053516.839999999850988,3580916.309999999590218,3664661.440000000409782,11299095.589999999850988
20160920,4053159.959999999497086,3589425.719999999273568,3663329.020000000484288,11305915.699999999254942
20160921,4052446.199999999720603,3557819.339999999385327,3696195.380000000353903,11306461.919999999925494
20160922,4090632.359999999869615,3606039.329999999143183,3702413.340000000316650,11399086.029999999329448
20160923,4022468.279999999795109,3556198.500000000000000,3665993.860000000335276,11244661.640000000596046
20160926,4028535.239999999757856,3559845.389999999199063,3633571.640000000596046,11221953.269999999552965
20160927,4036029.719999999739230,3580511.099999999627471,3649116.540000000037253,11265658.359999999403954
