代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11676636.019999999552965
真實報酬,1676636.019999999552965

夏普值報酬,0.158963602000000
夏普值風險,0.058462159353579
夏普值,2.719085366631596

二次趨勢線,172.690335185980530 x^2 + -7306.835475100203439 x + 10000000.000000000000000
二次加權預期報酬,22280.775286764463090
風險,136685.197178463102318
二次加權趨勢值,0.163007960969421
一次趨勢線,9335.943598387590100 x + 10000000.000000000000000
一次預期報酬,9335.943598387590100
一次風險,347427.078480748459697
一次趨勢值,0.026871663657342
找到最佳解世代,2126
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](9),NKE[19](5),PG[21](3),WBA[27](7),WMT[28](4),
Stock#,HD[9](9),NKE[19](5),PG[21](3),WBA[27](7),WMT[28](4),
張數,24443,51282,25227,27107,26567,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,73.740000000223517,2.000000000000000,3.439999999944121,45.540000000037253,36.239999999990687,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003910.880000000353903,1994871.799999999813735,2007063.560000000055879,1979940.820000000298023,2009032.780000000027940,9994819.839999999850988
FS( 3 ),2005621.890000000130385,2011794.859999999869615,2017658.900000000139698,2005421.400000000139698,2012486.489999999990687,10052983.540000000968575
FS( 4 ),1990222.800000000279397,2016923.059999999823049,2022956.569999999832362,1994578.600000000093132,2020987.929999999701977,10045668.959999999031425
FS( 5 ),1974090.420000000391155,1991794.880000000121072,2032290.560000000055879,1927895.380000000121072,2036396.790000000037253,9962468.030000001192093
FS( 6 ),1973357.130000000353903,2017948.700000000186265,2060292.530000000027940,1950394.190000000176951,2051274.309999999823049,10053266.860000001266599
FS( 7 ),1940847.940000000409782,1987179.500000000000000,2058778.909999999916181,1939009.250000000000000,2047289.260000000009313,9973104.860000001266599
FS( 8 ),1945980.970000000204891,1982051.299999999813735,2047426.759999999776483,1942533.159999999916181,2040913.179999999701977,9958905.369999999180436
FS( 9 ),1942314.520000000018626,1998974.359999999869615,2051463.079999999841675,1937924.969999999972060,2033740.089999999850988,9964417.019999999552965
FS( 10 ),1952091.720000000204891,2001025.640000000130385,2049949.459999999962747,1940635.670000000158325,2041444.520000000018626,9985147.009999999776483
FS( 11 ),1947203.120000000111759,1972307.719999999972060,2041876.819999999832362,1936027.479999999981374,2041975.859999999869615,9939391.000000000000000
FS( 12 ),1944514.390000000130385,1962564.140000000130385,2028254.239999999990687,1902414.800000000279397,2035334.109999999869615,9873081.679999999701977
FS( 13 ),1957469.180000000167638,1987692.319999999832362,2032038.289999999804422,1950936.330000000074506,2048086.270000000018626,9976222.390000000596046
