代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12057954.870000001043081
真實報酬,2057954.870000001043081

夏普值報酬,0.197095487000000
夏普值風險,0.056626822587068
夏普值,3.480602972150709

二次趨勢線,40.204858530582015 x^2 + 12351.829768638812311 x + 10000000.000000000000000
二次加權預期報酬,19025.836284715423972
風險,93059.623338903955300
二次加權趨勢值,0.204447811006362
一次趨勢線,16105.897884446168973 x + 10000000.000000000000000
一次預期報酬,16105.897884446168973
一次風險,116333.627394487863057
一次趨勢值,0.138445763664112
找到最佳解世代,1833
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](7),KO[14](9),MCD[15](4),MRK[17](13),TRV[22](1),V[25](2),
Stock#,DIS[6](7),KO[14](9),MCD[15](4),MRK[17](13),TRV[22](1),V[25](2),
張數,15294,35513,9466,22048,14200,12538,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,78.820000000065193,40.909999999916181,82.040000000037253,57.679999999934807,12.000000000000000,115.040000000270084,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1626289.840000000083819,1656367.229999999981374,1655685.440000000176951,1632491.600000000093132,1636704.000000000000000,1606608.980000000214204,9814151.090000001713634
FS( 3 ),1676454.160000000149012,1689394.319999999832362,1687680.520000000018626,1681658.639999999897555,1685268.000000000000000,1675818.740000000456348,10096278.380000000819564
FS( 4 ),1690983.460000000195578,1667376.260000000009313,1706044.560000000055879,1663138.320000000065193,1679872.000000000000000,1706035.320000000298023,10113453.920000001788139
FS( 5 ),1704136.300000000046566,1686198.149999999906868,1709641.639999999897555,1675485.199999999720603,1673340.000000000000000,1715313.440000000409782,10164118.730000000447035
FS( 6 ),1723253.800000000046566,1653881.319999999832362,1706707.179999999934807,1662697.359999999869615,1685268.000000000000000,1735499.620000000111759,10167311.280000001192093
FS( 7 ),1725242.020000000018626,1671637.819999999832362,1718634.340000000083819,1642192.719999999972060,1707846.000000000000000,1738759.500000000000000,10204316.399999998509884
FS( 8 ),1722947.920000000158325,1681226.330000000074506,1726396.460000000195578,1651452.880000000121072,1710686.000000000000000,1731111.320000000298023,10223824.910000000149012
