代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11432987.650000000372529
真實報酬,1432987.650000000372529

夏普值報酬,0.134598765000000
夏普值風險,0.048054918568545
夏普值,2.800936283098888

二次趨勢線,176.310137697066864 x^2 + -9988.342454941646793 x + 10000000.000000000000000
二次加權預期報酬,19514.220586367548094
風險,150186.723720319510903
二次加權趨勢值,0.129933060013396
一次趨勢線,6606.585844234491560 x + 10000000.000000000000000
一次預期報酬,6606.585844234491560
一次風險,345427.971092043328099
一次趨勢值,0.019125798710939
找到最佳解世代,1760
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
UNH[23](4),VZ[26](1),WMT[28](2),
FS( 57 ),3356201.000000000000000,3561450.540000000037253,3088534.919999999925494,10006187.460000000894070
FS( 58 ),3357058.549999999813735,3595590.580000000540167,3139880.280000000260770,10092530.410000000149012
FS( 59 ),3392789.799999999813735,3642921.090000000316650,3168405.480000000447035,10204117.370000001043081
FS( 60 ),3382785.049999999813735,3624299.250000000000000,3154920.840000000316650,10162006.140000000596046
FS( 61 ),3382499.199999999720603,3627402.890000000130385,3150771.720000000204891,10160674.810000000521541
FS( 62 ),3425090.849999999627471,3663094.750000000000000,3195374.760000000242144,10283561.359999999403954
FS( 63 ),3399364.350000000093132,3628954.710000000428408,3199005.240000000223517,10227325.300000000745058
FS( 64 ),3362775.549999999813735,3586279.660000000149012,3179296.919999999925494,10128353.129999998956919
FS( 65 ),3329045.249999999534339,3559122.810000000055879,3187595.160000000149012,10075764.219999998807907
FS( 66 ),3335333.950000000186265,3608005.140000000130385,3263316.600000000093132,10206656.689999999478459
FS( 67 ),3301317.799999999813735,3531965.960000000428408,3295990.919999999925494,10129275.679999999701977
FS( 68 ),3204128.799999999813735,3512568.210000000428408,3372749.640000000130385,10089447.650000000372529
FS( 69 ),3148959.750000000000000,3478428.169999999925494,3295472.280000000260770,9922861.199999999254942
FS( 70 ),3132380.449999999720603,3498601.830000000540167,3330739.800000000279397,9961723.080000000074506
FS( 71 ),3208988.250000000000000,3486187.270000000018626,3299621.399999999906868,9994797.919999999925494
FS( 72 ),3122375.700000000186265,3425666.290000000037253,3211452.600000000093132,9759495.589999999850988
FS( 73 ),3166110.750000000000000,3481531.810000000055879,3270577.560000000521541,9918221.120000001043081
FS( 74 ),3123519.099999999627471,3447391.770000000018626,3211971.240000000223517,9782883.109999999403954
FS( 75 ),3218135.449999999720603,3481531.810000000055879,3244645.560000000521541,9944313.820000000298023
FS( 76 ),3281308.300000000279397,3446615.860000000335276,3155439.480000000447035,9883364.640000000596046
FS( 77 ),3244433.649999999906868,3559122.810000000055879,3209378.040000000502914,10012935.500000000000000
FS( 78 ),3268159.199999999720603,3649904.280000000260770,3251387.879999999888241,10169452.359999999403954
FS( 79 ),3241003.449999999720603,3649128.370000000111759,3290804.520000000484288,10180937.339999999850988
FS( 80 ),3257582.749999999534339,3743789.390000000130385,3319329.720000000204891,10320702.859999999403954
FS( 81 ),3210989.199999999720603,3804310.370000000111759,3316736.520000000484288,10332037.089999999850988
FS( 82 ),3183833.449999999720603,3802758.549999999813735,3330739.800000000279397,10317332.800000000745058
FS( 83 ),3291884.750000000000000,3877245.910000000149012,3441728.760000000242144,10610860.419999999925494
FS( 84 ),3312751.799999999813735,3938542.799999999813735,3500853.720000000204891,10752149.320000000298023
FS( 85 ),3255295.949999999720603,3872590.449999999720603,3467660.760000000242144,10595548.160000000149012
FS( 86 ),3222994.899999999906868,3927680.060000000055879,3437061.000000000000000,10587736.960000000894070
FS( 87 ),3264443.149999999906868,3912937.770000000018626,3444840.600000000093132,10622222.519999999552965
FS( 88 ),3193552.350000000093132,3954836.910000000149012,3474921.720000000204891,10623311.980000000447035
FS( 89 ),3144957.849999999627471,3936990.980000000447035,3469735.320000000298023,10551685.150000000372529
FS( 90 ),3177544.750000000000000,3891212.290000000037253,3413203.560000000521541,10481961.600000001490116
FS( 91 ),3222709.049999999813735,3878021.819999999832362,3412166.280000000726432,10512898.150000000372529
FS( 92 ),3162108.850000000093132,3832243.130000000353903,3387790.199999999720603,10382143.179999999701977
FS( 93 ),3196410.849999999627471,3888108.649999999906868,3432393.240000000689179,10516913.740000000223517
FS( 94 ),3291598.899999999906868,3898195.480000000447035,3417871.320000000298023,10607666.700000001117587
FS( 95 ),3381641.649999999906868,3904402.760000000242144,3428762.760000000242144,10714808.169999999925494
FS( 96 ),3357344.399999999906868,3952509.180000000167638,3325553.400000000372529,10635407.980000000447035
FS( 97 ),3363918.950000000186265,3946301.899999999906868,3353559.959999999962747,10663781.809999998658895
FS( 98 ),3466539.099999999627471,3962596.010000000242144,3403868.040000000037253,10833004.149999998509884
FS( 99 ),3463108.899999999906868,3928455.970000000204891,3447952.440000000409782,10839518.310000000521541
FS( 100 ),3435953.149999999906868,3943198.260000000242144,3481145.400000000372529,10860297.810000000521541
FS( 101 ),3464538.149999999906868,3965699.649999999906868,3528860.280000000726432,10959099.080000000074506
FS( 102 ),3468254.199999999720603,3958716.460000000428408,3449508.360000000335276,10876480.019999999552965
FS( 103 ),3404509.649999999906868,3936215.069999999832362,3440691.480000000447035,10781417.199999999254942
FS( 104 ),3477973.100000000093132,3992856.500000000000000,3446915.159999999683350,10917745.759999999776483
FS( 105 ),3466539.099999999627471,4044066.560000000055879,3433949.159999999683350,10944555.820000000298023
FS( 106 ),3482260.849999999627471,4026220.630000000353903,3430318.680000000167638,10938801.160000000149012
FS( 107 ),3481689.149999999906868,4020013.350000000093132,3463511.640000000130385,10965215.140000000596046
FS( 108 ),3480545.750000000000000,4051049.750000000000000,3521080.680000000167638,11052677.179999999701977
FS( 109 ),3477687.250000000000000,4070447.500000000000000,3528860.280000000726432,11076996.030000001192093
FS( 110 ),3461679.649999999906868,4061136.580000000540167,3502409.640000000130385,11025226.870000001043081
FS( 111 ),3489978.799999999813735,4059584.760000000242144,3496185.959999999962747,11045750.519999999552965
FS( 112 ),3576019.649999999906868,4075878.870000000111759,3483738.600000000093132,11135638.119999999180436
FS( 113 ),3579449.850000000093132,4076654.780000000260770,3493592.760000000242144,11149698.390000000596046
FS( 114 ),3568873.399999999906868,4086741.610000000335276,3531453.480000000447035,11187069.490000000223517
FS( 115 ),3570302.649999999906868,4128640.750000000000000,3526267.080000000074506,11225211.480000000447035
FS( 116 ),3559726.199999999720603,4161228.970000000204891,3498260.520000000484288,11219216.690000001341105
FS( 117 ),3622327.350000000093132,4130968.480000000447035,3472328.520000000484288,11225625.350000001490116
FS( 118 ),3622899.049999999813735,4146486.680000000167638,3525229.800000000279397,11294616.530000001192093
FS( 119 ),3659487.850000000093132,4128640.750000000000000,3520043.400000000372529,11308173.000000000000000
FS( 120 ),3710083.299999999813735,4105363.449999999720603,3498779.159999999683350,11314226.910000000149012
FS( 121 ),3675781.299999999813735,4155797.600000000093132,3526785.720000000204891,11358365.620000001043081
FS( 122 ),3685214.349999999627471,4143383.040000000037253,3533009.400000000372529,11361607.789999999105930
FS( 123 ),3711226.700000000186265,4193817.189999999944121,3528341.640000000130385,11433386.530000001192093
FS( 124 ),3706938.950000000186265,4193041.280000000260770,3568276.919999999925494,11468258.150000000372529
FS( 125 ),3684642.649999999906868,4196144.919999999925494,3552199.080000000074506,11432987.650000000372529
