代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11297010.589999999850988
真實報酬,1297010.589999999850988

夏普值報酬,0.121001059000000
夏普值風險,0.040791713079924
夏普值,2.966314720907199

二次趨勢線,158.999617799162479 x^2 + -10313.037693790471167 x + 10000000.000000000000000
二次加權預期報酬,16292.898351269383056
風險,99276.673465893312823
二次加權趨勢值,0.164116078656351
一次趨勢線,4652.563782325937609 x + 10000000.000000000000000
一次預期報酬,4652.563782325937609
一次風險,297576.849502615281381
一次趨勢值,0.015634831103637
找到最佳解世代,1935
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](4),VZ[26](1),WMT[28](3),
Stock#,KO[14](4),VZ[26](1),WMT[28](3),
張數,95047,83899,55251,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,34.709999999962747,25.730000000447035,40.169999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3312422.660000000149012,3289705.520000000484288,3299077.379999999888241,9901206.560000000521541
FS( 3 ),3297215.139999999664724,3267052.790000000037253,3283054.589999999850988,9847323.519999999552965
FS( 4 ),3276304.799999999813735,3215874.400000000372529,3259849.169999999925494,9752029.370000001043081
FS( 5 ),3276304.799999999813735,3219230.360000000335276,3269794.350000000093132,9765330.509999999776483
FS( 6 ),3295314.200000000186265,3236010.160000000614673,3262059.209999999962747,9793384.570000000298023
FS( 7 ),3234484.120000000111759,3263696.830000000540167,3281949.569999999832362,9780131.520000001415610
FS( 8 ),3210722.370000000111759,3265374.810000000521541,3287474.669999999925494,9763572.850000001490116
FS( 9 ),3183158.740000000223517,3265374.810000000521541,3289684.709999999962747,9738219.260000001639128
FS( 10 ),3200267.200000000186265,3273764.710000000894070,3306812.520000000018626,9780845.430000001564622
FS( 11 ),3212623.309999999590218,3272925.720000000204891,3315652.679999999701977,9801202.709999999031425
FS( 12 ),3205970.019999999552965,3272086.730000000447035,3348803.279999999795109,9826861.029999999329448
FS( 13 ),3236385.059999999590218,3269569.760000000242144,3370903.679999999701977,9876859.500000000000000
FS( 14 ),3257295.400000000372529,3221747.330000000540167,3365378.579999999608845,9844422.310000000521541
FS( 15 ),3226880.360000000335276,3170568.940000000409782,3391899.060000000055879,9789349.360000001266599
FS( 16 ),3252543.049999999813735,3162179.040000000037253,3396319.139999999664724,9811042.230000000447035
FS( 17 ),3232583.179999999701977,3132814.390000000596046,3368693.639999999664724,9734092.210000000894070
FS( 18 ),3205019.549999999813735,3121907.520000000484288,3354328.379999999888241,9681256.449999999254942
FS( 19 ),3205970.019999999552965,3155467.120000000577420,3386926.469999999739230,9748364.609999999403954
FS( 20 ),3209771.900000000372529,3159662.070000000298023,3390241.529999999795109,9759676.500000000000000
FS( 21 ),3224028.950000000186265,3171407.930000000167638,3435547.350000000093132,9830985.230000000447035
FS( 22 ),3224028.950000000186265,3151272.170000000856817,3422287.109999999869615,9797589.230000000447035
FS( 23 ),3235434.589999999850988,3174763.890000000596046,3427259.700000000186265,9837459.179999999701977
FS( 24 ),3233533.650000000372529,3199933.590000000316650,3418972.050000000279397,9852440.290000000968575
FS( 25 ),3258245.870000000111759,3181475.810000000521541,3408474.359999999869615,9848197.040000000968575
FS( 26 ),3247790.700000000186265,3181475.810000000521541,3404606.789999999571592,9833874.300000000745058
