代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11907532.470000000670552
真實報酬,1907532.470000000670552

夏普值報酬,0.182053247000000
夏普值風險,0.061003603778622
夏普值,2.984303151345951

二次趨勢線,-1.900512570488004 x^2 + 17746.728706312194845 x + 10000000.000000000000000
二次加權預期報酬,17426.175586089888384
風險,241751.146858056454221
二次加權趨勢值,0.072083114444630
一次趨勢線,17566.420393152431643 x + 10000000.000000000000000
一次預期報酬,17566.420393152431643
一次風險,241775.149383860349189
一次趨勢值,0.072656021257431
找到最佳解世代,1932
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),MRK[17](1),PG[21](2),
FS( 90 ),3882407.160000000149012,4041779.199999999720603,3904163.940000000409782,11828351.300000000745058
FS( 91 ),3915130.620000000111759,4139362.839999999850988,3894778.080000000540167,11949272.540000000968575
FS( 92 ),3941266.889999999664724,4161415.640000000130385,3897764.490000000223517,12000448.019999999552965
FS( 93 ),3951041.430000000167638,4127233.799999999813735,3942560.640000000130385,12020836.870000001043081
FS( 94 ),3917680.500000000000000,4117861.359999999869615,3954932.910000000149012,11990475.769999999552965
FS( 95 ),3910030.859999999869615,4113450.799999999813735,3987783.419999999925494,12011266.080000000074506
FS( 96 ),3906631.020000000018626,4084782.160000000149012,3988636.679999999701977,11980050.859999999403954
FS( 97 ),3900468.810000000055879,4126131.160000000149012,4003142.100000000093132,12029743.070000000298023
FS( 98 ),3986102.280000000260770,4193392.199999999720603,4002715.469999999739230,12182210.949999999254942
FS( 99 ),3967615.649999999906868,4209380.479999998584390,3980104.080000000540167,12157101.209999999031425
FS( 100 ),3903656.160000000149012,4122823.239999999757856,3929335.109999999869615,11955815.509999999776483
FS( 101 ),3882619.649999999906868,4123374.560000000055879,3899897.640000000130385,11905892.849999999627471
FS( 102 ),3865832.940000000409782,4116758.719999999739230,3905443.830000000540167,11888036.490000000223517
FS( 103 ),3907480.979999999981374,4159210.359999999869615,3922509.029999999795109,11989201.369999999180436
FS( 104 ),3923205.240000000223517,4208829.160000000149012,3955786.169999999925494,12087821.570000000298023
FS( 105 ),3991627.020000000018626,4257896.640000000596046,3968158.440000000409782,12217683.100000001490116
FS( 106 ),4021588.109999999869615,4295386.400000000372529,3960052.469999999739230,12277027.980000000447035
FS( 107 ),4005651.359999999869615,4374225.160000000149012,4032152.940000000409782,12412030.460000000894070
FS( 108 ),3938929.500000000000000,4367609.320000000298023,3981383.969999999739230,12287923.789999999105930
FS( 109 ),3931917.330000000074506,4311926.000000000000000,3980957.340000000316650,12224801.669999999925494
FS( 110 ),3940629.419999999925494,4320747.119999999180436,3991196.459999999962747,12252574.000000000000000
FS( 111 ),3887719.410000000149012,4229779.320000000298023,3944267.160000000149012,12061766.890000000596046
FS( 112 ),3923630.220000000204891,4268371.720000000670552,3969011.700000000186265,12161014.640000000596046
FS( 113 ),3901106.280000000260770,4251280.799999998882413,4006555.140000000130385,12158943.219999998807907
FS( 114 ),3898768.889999999664724,4300899.599999999627471,4011674.700000000186265,12211344.189999999478459
FS( 115 ),3961453.440000000409782,4356031.599999999627471,4116625.679999999701977,12434111.719999998807907
FS( 116 ),3894731.580000000074506,4216547.640000000596046,4123025.129999999888241,12234305.350000001490116
FS( 117 ),3841609.080000000074506,4147632.640000000130385,3957919.319999999832362,11947162.040000000968575
FS( 118 ),3818660.160000000149012,4098013.839999999850988,3945973.679999999701977,11862648.679999999701977
FS( 119 ),3806973.209999999962747,4067139.919999999459833,3914829.690000000409782,11788943.820000000298023
FS( 120 ),3690528.690000000409782,4051702.959999999497086,3881552.550000000279397,11623785.200000001117587
FS( 121 ),3700515.720000000204891,4019175.080000000074506,3881125.919999999925494,11600817.720000000670552
FS( 122 ),3618282.090000000316650,3922694.080000000074506,3727112.490000000223517,11268089.660000000149012
FS( 123 ),3697965.840000000316650,4079820.279999999795109,3843582.479999999981374,11621369.599999999627471
FS( 124 ),3733664.160000000149012,4155902.439999999478459,3925922.069999999832362,11815489.669999999925494
FS( 125 ),3730476.810000000055879,4155351.120000000111759,3890085.150000000372529,11775914.080000000074506
FS( 126 ),3773187.299999999813735,4212688.400000000372529,3921655.770000000018626,11907532.470000000670552
