代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14543810.000000001862645
真實報酬,4543810.000000001862645

夏普值報酬,0.445681000000000
夏普值風險,0.128752778727026
夏普值,3.461525292164042

預期報酬,38278.287234512259602
風險,559550.672553375363350
趨勢值,0.068408973685687
找到最佳解世代,2590
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),IBM[10](2),
20090220,5340163.880000000819564,5275068.300000000745058,10615232.180000001564622
20090223,5090163.920000000856817,5012476.100000000558794,10102640.020000001415610
20090224,5282786.840000000782311,5133078.400000000372529,10415865.240000002086163
20090225,5336065.520000000484288,5103373.400000000372529,10439438.920000001788139
20090226,5221311.440000000409782,5285762.100000000558794,10507073.540000000968575
20090227,5229508.160000001080334,5467556.700000000186265,10697064.860000001266599
20090302,5147540.960000000894070,5290514.900000000372529,10438055.860000001266599
20090303,5172131.120000000111759,5214470.100000000558794,10386601.220000000670552
20090304,5336065.520000000484288,5316655.299999999813735,10652720.820000000298023
20090305,5200819.640000000596046,5197241.200000000186265,10398060.839999999850988
20090306,4995901.640000000596046,5098026.500000000931323,10093928.140000000596046
20090309,4864754.120000000111759,4959601.200000000186265,9824355.320000000298023
20090310,5188524.560000000521541,5183576.900000000372529,10372101.460000000894070
20090311,5426229.440000000409782,5264968.600000000558794,10691198.040000000968575
20090312,5639344.160000001080334,5370718.400000000372529,11010062.560000002384186
20090313,5614754.000000000000000,5368342.000000000000000,10983096.000000000000000
20090316,5586065.480000001378357,5419434.600000000558794,11005500.080000001937151
20090317,5836065.440000000409782,5519837.500000000000000,11355902.940000001341105
20090318,5942622.800000000745058,5462803.900000000372529,11405426.700000001117587
20090319,5950819.520000000484288,5504985.000000000000000,11455804.519999999552965
20090320,5946721.160000001080334,5496073.500000000931323,11442794.660000002011657
20090323,6303278.480000001378357,5864415.500000000000000,12167693.980000000447035
20090324,6233606.360000001266599,5840057.400000000372529,12073663.760000001639128
20090325,6233606.360000001266599,5819263.900000000372529,12052870.260000001639128
20090326,6434426.000000000000000,5868574.200000000186265,12303000.199999999254942
20090327,6254098.160000001080334,5593505.900000000372529,11847604.060000002384186
20090330,6118852.280000000260770,5615487.600000000558794,11734339.880000000819564
20090331,6155737.520000000484288,5756289.300000000745058,11912026.820000000298023
20090401,6364753.880000000819564,5799064.500000000000000,12163818.380000000819564
20090402,6598360.400000001303852,5989770.599999999627471,12588131.000000000000000
20090403,6790983.320000001229346,6072944.600000000558794,12863927.920000001788139
20090406,6934425.920000001788139,6033734.000000000931323,12968159.920000001788139
20090407,6733606.280000000260770,5866791.900000000372529,12600398.179999999701977
20090408,6811475.120000001043081,6011752.299999999813735,12823227.420000001788139
20090409,6999999.679999999701977,6042051.400000000372529,13042051.080000000074506
20090413,7036884.920000001788139,5938083.900000000372529,12974968.820000002160668
20090414,6926229.200000000186265,5897685.100000000558794,12823914.300000000745058
20090415,6889343.959999999962747,5872732.900000000372529,12762076.859999999403954
20090416,7110655.400000001303852,6026010.700000001117587,13136666.100000001490116
20090417,7225409.480000000447035,6016505.100000000558794,13241914.580000001937151
20090420,7053278.360000001266599,5966600.700000001117587,13019879.060000002384186
20090421,7127048.840000000782311,6078291.500000000931323,13205340.340000001713634
20090422,7114753.760000000707805,6092549.900000000372529,13207303.660000000149012
20090423,7340163.560000000521541,6025416.600000000558794,13365580.160000000149012
20090424,7254098.000000000000000,5945807.200000000186265,13199905.199999999254942
20090427,7303278.320000001229346,5938083.900000000372529,13241362.220000002533197
20090428,7254098.000000000000000,6056309.799999999813735,13310407.800000000745058
20090429,7327868.480000000447035,6181070.800000000745058,13508939.280000001192093
20090430,7368852.080000001005828,6131760.500000000000000,13500612.580000001937151
20090501,7450819.280000000260770,6214934.500000000000000,13665753.780000001192093
20090504,7733606.120000001043081,6308802.299999999813735,14042408.420000001788139
20090505,7770491.360000001266599,6288602.900000000372529,14059094.260000001639128
20090506,7758196.280000000260770,6215528.600000000558794,13973724.880000000819564
20090507,7557376.640000001527369,6094926.300000000745058,13652302.940000001341105
20090508,7565573.360000001266599,6029575.299999999813735,13595148.660000000149012
20090511,7586065.160000001080334,6113343.400000000372529,13699408.560000002384186
20090512,7282786.520000000484288,6175129.799999999813735,13457916.320000000298023
20090513,6995901.320000001229346,6075321.000000000931323,13071222.320000002160668
20090514,7196720.959999999962747,6003434.900000000372529,13200155.859999999403954
20090515,7168032.440000000409782,6022446.100000000558794,13190478.540000000968575
20090518,7413934.040000000968575,6213152.200000000186265,13627086.240000002086163
20090519,7463114.360000001266599,6268403.500000000931323,13731517.860000003129244
20090520,7368852.080000001005828,6181664.900000000372529,13550516.980000000447035
20090521,7270491.440000000409782,6108590.599999999627471,13379082.039999999105930
20090522,7172130.800000000745058,6053339.300000000745058,13225470.100000001490116
20090526,7655737.280000000260770,6239292.600000000558794,13895029.880000000819564
20090527,7790983.160000001080334,6115125.700000001117587,13906108.860000003129244
20090528,7909835.600000001490116,6219687.299999999813735,14129522.900000002235174
20090529,7950819.200000000186265,6314149.200000000186265,14264968.400000000372529
20090601,8159835.560000000521541,6438316.100000000558794,14598151.660000000149012
20090602,8168032.280000000260770,6346824.700000000186265,14514856.980000000447035
20090603,8254097.840000000782311,6326625.299999999813735,14580723.140000000596046
20090604,8413933.880000000819564,6317119.700000000186265,14731053.580000001937151
20090605,8471310.920000001788139,6371182.799999999813735,14842493.720000002533197
20090608,8422130.600000001490116,6386035.299999999813735,14808165.900000002235174
20090609,8356556.840000000782311,6424651.800000000745058,14781208.640000000596046
20090610,8213114.240000000223517,6437127.900000000372529,14650242.140000000596046
20090611,8192622.440000000409782,6499508.400000000372529,14692130.839999999850988
20090612,8020491.320000001229346,6428810.500000000000000,14449301.820000000298023
20090615,7967212.640000001527369,6393758.600000000558794,14360971.240000002086163
20090616,7983606.080000001005828,6375935.599999999627471,14359541.679999999701977
20090617,7938524.120000001043081,6356924.400000000372529,14295448.520000001415610
20090618,7954917.560000000521541,6317119.700000000186265,14272037.260000001639128
20090619,8168032.280000000260770,6290979.300000000745058,14459011.580000001937151
20090622,8040983.120000001043081,6209587.600000000558794,14250570.720000002533197
20090623,7844261.840000000782311,6204834.799999999813735,14049096.640000000596046
20090624,7975409.360000001266599,6187605.900000000372529,14163015.260000001639128
20090625,8188524.080000001005828,6301079.000000000931323,14489603.080000001937151
20090626,8340163.400000001303852,6278503.200000001117587,14618666.600000001490116
20090629,8311474.880000000819564,6287414.700000000186265,14598889.580000001937151
20090630,8340163.400000001303852,6203646.600000000558794,14543810.000000001862645
