代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11185033.839999999850988
真實報酬,1185033.839999999850988

夏普值報酬,0.109803384000000
夏普值風險,0.033835300511484
夏普值,3.245231528614101

預期報酬,9564.054487801175128
風險,88519.922915826711687
趨勢值,0.108044089655338
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,7
DIS[6](1),KO[14](7),NKE[19](12),TRV[22](15),UNH[23](3),VZ[26](22),WMT[28](16),
Stock#,DIS[6](1),KO[14](7),NKE[19](12),TRV[22](15),UNH[23](3),VZ[26](22),WMT[28](16),
張數,38095,40827,59301,24143,28188,35607,23905,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,8.500000000000000,34.270000000018626,9.909999999916181,29.689999999944121,3.159999999916181,18.160000000149012,8.199999999953434,
20120103,1459427.950000000186265,1431837.159999999916181,1435094.109999999869615,1424225.260000000009313,1451403.280000000027940,1414684.270000000018626,1442196.849999999860302,10058871.880000000819564
20120104,1479999.250000000000000,1422855.219999999972060,1456442.469999999739230,1418430.939999999944121,1472544.280000000027940,1396168.630000000121072,1427375.750000000000000,10073819.539999999105930
20120105,1504761.000000000000000,1416322.899999999906868,1455256.449999999953434,1432433.879999999888241,1482410.080000000074506,1386554.739999999990687,1420443.300000000046566,10098185.349999999627471
20120106,1520379.949999999953434,1407340.959999999962747,1452884.409999999916181,1432916.739999999990687,1487765.800000000046566,1364834.469999999972060,1410403.199999999953434,10076528.529999999329448
20120109,1514284.750000000000000,1407340.959999999962747,1458221.500000000000000,1441125.359999999869615,1486074.519999999785796,1366258.750000000000000,1414706.099999999860302,10088014.939999999478459
20120110,1509713.350000000093132,1415506.360000000102445,1460000.530000000027940,1451023.989999999990687,1483255.719999999739230,1373380.150000000139698,1411359.399999999906868,10104242.500000000000000
20120111,1474285.000000000000000,1389377.080000000074506,1455256.449999999953434,1446195.389999999897555,1494249.039999999804422,1385130.460000000195578,1419965.199999999953434,10064461.619999999180436
20120112,1475427.849999999860302,1379170.330000000074506,1469488.689999999944121,1443781.089999999850988,1490302.719999999739230,1385842.600000000325963,1422355.699999999953434,10066371.979999998584390
20120113,1462856.500000000000000,1367330.500000000000000,1457628.489999999757856,1433399.599999999860302,1485510.760000000009313,1385842.600000000325963,1423311.899999999906868,10015883.349999999627471
20120117,1465904.099999999860302,1374679.360000000102445,1471267.719999999739230,1441125.359999999869615,1510034.319999999832362,1389403.300000000279397,1430722.449999999953434,10083139.609999999403954
20120118,1486475.400000000139698,1379986.869999999878928,1495581.129999999888241,1445953.959999999962747,1520463.879999999888241,1389047.229999999981374,1434547.250000000000000,10152058.720000000670552
20120119,1502475.299999999813735,1377128.979999999981374,1506255.309999999823049,1455852.589999999850988,1474799.319999999832362,1388691.160000000149012,1448890.250000000000000,10154095.910000000149012
20120120,1497522.950000000186265,1390193.619999999878928,1508627.350000000093132,1486997.060000000055879,1473389.919999999925494,1387622.950000000186265,1458452.250000000000000,10202809.100000001490116
20120123,1495237.250000000000000,1399175.560000000055879,1505662.300000000046566,1455611.159999999916181,1477900.000000000000000,1367326.960000000195578,1456061.749999999767169,10156977.980000000447035
20120124,1495237.250000000000000,1386110.920000000158325,1515150.459999999962747,1400323.689999999944121,1446893.199999999953434,1345606.690000000176951,1467536.149999999906868,10056861.360000001266599
20120125,1507046.700000000186265,1397134.209999999962747,1529975.709999999962747,1428088.139999999897555,1453658.319999999832362,1342045.989999999990687,1469448.549999999813735,10127400.620000001043081
20120126,1499046.750000000000000,1388560.540000000037253,1516929.489999999757856,1417223.790000000037253,1419268.959999999962747,1329583.540000000270084,1457496.049999999813735,10028112.120000001043081
20120127,1495237.250000000000000,1376720.709999999962747,1513964.439999999944121,1401530.839999999850988,1438154.919999999925494,1324954.630000000121072,1451280.750000000000000,10001846.540000000968575
20120130,1485332.550000000046566,1377128.979999999981374,1532940.760000000009313,1402979.419999999925494,1439564.319999999832362,1339197.430000000167638,1465384.699999999953434,10042531.159999998286366
20120131,1481904.000000000000000,1378762.060000000055879,1541835.909999999916181,1407566.589999999850988,1459859.679999999934807,1340977.780000000027940,1466819.000000000000000,10077728.019999999552965
20120201,1498284.849999999860302,1384886.110000000102445,1538277.850000000093132,1430985.300000000046566,1501296.039999999804422,1345962.760000000009313,1486421.099999999860302,10186117.009999999776483
20120202,1482284.949999999953434,1384886.110000000102445,1524638.619999999878928,1433882.459999999962747,1481000.679999999934807,1337417.080000000307336,1480683.899999999906868,10124796.800000000745058
20120203,1523808.500000000000000,1389785.350000000093132,1534719.789999999804422,1451506.849999999860302,1446329.439999999944121,1347387.040000000270084,1482835.350000000093132,10176375.320000000298023
20120206,1541332.199999999953434,1388968.810000000055879,1534126.780000000027940,1432433.879999999888241,1445765.679999999934807,1358069.140000000130385,1479249.600000000093132,10179949.089999999850988
20120207,1561141.599999999860302,1399583.830000000074506,1545393.969999999739230,1442332.510000000009313,1466624.800000000046566,1350235.600000000325963,1474707.649999999906868,10240022.959999999031425
20120208,1572189.150000000139698,1395092.860000000102445,1570300.389999999897555,1444988.239999999990687,1469725.479999999981374,1350235.600000000325963,1473034.299999999813735,10275569.019999999552965
20120209,1582093.850000000093132,1387744.000000000000000,1567928.350000000093132,1445953.959999999962747,1495658.439999999944121,1350235.600000000325963,1481162.000000000000000,10310779.199999999254942
20120210,1579046.250000000000000,1386927.459999999962747,1562591.260000000009313,1433641.030000000027940,1502987.319999999832362,1342045.989999999990687,1479727.699999999953434,10286970.009999999776483
20120213,1591998.550000000046566,1397134.209999999962747,1560219.219999999739230,1424225.260000000009313,1517926.959999999962747,1357713.070000000298023,1477098.149999999906868,10326318.419999999925494
20120214,1584760.500000000000000,1406524.420000000158325,1580974.569999999832362,1428329.569999999832362,1535121.639999999897555,1354508.440000000176951,1487377.299999999813735,10377599.440000001341105
20120215,1571427.250000000000000,1396317.670000000158325,1580381.559999999823049,1431468.159999999916181,1539631.719999999739230,1347030.969999999972060,1476381.000000000000000,10342641.330000000074506
20120216,1582474.800000000046566,1405707.880000000121072,1573858.449999999953434,1435089.609999999869615,1544423.679999999934807,1354864.510000000009313,1483074.399999999906868,10379496.330000000074506
20120217,1590474.750000000000000,1409790.580000000074506,1581567.580000000074506,1444988.239999999990687,1541323.000000000000000,1369463.380000000121072,1493592.599999999860302,10431203.130000000819564
20120221,1583617.649999999906868,1404891.339999999850988,1556068.149999999906868,1430985.300000000046566,1559363.319999999832362,1370531.590000000316650,1435981.550000000046566,10341441.900000000372529
20120222,1572189.150000000139698,1413873.280000000027940,1567335.339999999850988,1423018.109999999869615,1555417.000000000000000,1360561.630000000121072,1400841.199999999953434,10293238.709999999031425
20120223,1580189.099999999860302,1412240.200000000186265,1573858.449999999953434,1423500.969999999972060,1548651.879999999888241,1357713.070000000298023,1399406.899999999906868,10295563.570000000298023
20120224,1573712.950000000186265,1408565.770000000018626,1575637.479999999981374,1414809.489999999990687,1568665.359999999869615,1358069.140000000130385,1405383.149999999906868,10304846.340000001713634
20120227,1586284.300000000046566,1405299.610000000102445,1588683.699999999953434,1414809.489999999990687,1570920.399999999906868,1357713.070000000298023,1397494.500000000000000,10321208.070000000298023
20120228,1597331.850000000093132,1405299.610000000102445,1592834.769999999785796,1409980.889999999897555,1574021.080000000074506,1358425.210000000195578,1408729.849999999860302,10346626.259999999776483
20120229,1599617.550000000046566,1426121.380000000121072,1599950.889999999897555,1399599.399999999906868,1571484.159999999916181,1357000.930000000167638,1412315.599999999860302,10366092.910000000149012
20120301,1614855.550000000046566,1420813.869999999878928,1609439.050000000046566,1410463.750000000000000,1578249.280000000027940,1368395.170000000158325,1406100.300000000046566,10408319.970000000670552
20120302,1613712.699999999953434,1412240.200000000186265,1612404.100000000093132,1400565.119999999878928,1574021.080000000074506,1376940.850000000325963,1410642.250000000000000,10400529.300000000745058
20120305,1626665.000000000000000,1413465.010000000009313,1619520.219999999739230,1412395.189999999944121,1551470.679999999934807,1388691.160000000149012,1419965.199999999953434,10432175.459999999031425
20120306,1599998.500000000000000,1403666.530000000027940,1591648.750000000000000,1375939.260000000009313,1535121.639999999897555,1377652.989999999990687,1409686.049999999813735,10293716.719999998807907
20120307,1590474.750000000000000,1404483.070000000065193,1595206.809999999823049,1373042.099999999860302,1533148.479999999981374,1384062.250000000000000,1430961.500000000000000,10311381.959999999031425
20120308,1600760.400000000139698,1414281.550000000046566,1599950.889999999897555,1378594.989999999990687,1567537.839999999850988,1396524.700000000186265,1428810.050000000046566,10386463.420000001788139
20120309,1609141.300000000046566,1419180.790000000037253,1630787.409999999916181,1390907.919999999925494,1572329.800000000046566,1392251.860000000102445,1436220.599999999860302,10450822.679999999701977
20120312,1612950.800000000046566,1432245.429999999934807,1622485.269999999785796,1390907.919999999925494,1550906.919999999925494,1400085.400000000139698,1450563.599999999860302,10460148.339999999850988
20120313,1676569.449999999953434,1434286.780000000027940,1642054.600000000093132,1410222.319999999832362,1559645.199999999953434,1405782.520000000018626,1458213.199999999953434,10586777.070000000298023
20120314,1656379.099999999860302,1433470.239999999990687,1635531.489999999757856,1423259.540000000037253,1572329.800000000046566,1405426.450000000186265,1460125.599999999860302,10586525.220000000670552
20120315,1655998.149999999906868,1435919.860000000102445,1641461.589999999850988,1426398.129999999888241,1570356.639999999897555,1407918.940000000176951,1463711.349999999860302,10601767.659999998286366
20120316,1645331.549999999813735,1432245.429999999934807,1649170.719999999739230,1429295.290000000037253,1566974.080000000074506,1408987.150000000139698,1454388.400000000139698,10586395.619999999180436
20120319,1654855.299999999813735,1437144.670000000158325,1662216.939999999944121,1427363.849999999860302,1582195.600000000093132,1411835.710000000195578,1451997.899999999906868,10627612.970000000670552
20120320,1647236.300000000046566,1441227.369999999878928,1656879.850000000093132,1428329.569999999832362,1544141.800000000046566,1411123.570000000298023,1448651.199999999953434,10577592.660000000149012
20120321,1648379.150000000139698,1451842.390000000130385,1637310.519999999785796,1412636.619999999878928,1521309.519999999785796,1416464.620000000111759,1447695.000000000000000,10535640.820000000298023
20120322,1649141.050000000046566,1457966.439999999944121,1645612.659999999916181,1399599.399999999906868,1518772.600000000093132,1412191.780000000027940,1449846.449999999953434,10533133.379999998956919
20120323,1662855.250000000000000,1459191.250000000000000,1592834.769999999785796,1405152.290000000037253,1512571.239999999757856,1403646.100000000325963,1452236.949999999953434,10488490.849999997764826
20120326,1690664.600000000093132,1467764.920000000158325,1609439.050000000046566,1420845.239999999990687,1553161.959999999962747,1400441.469999999972060,1462994.199999999953434,10605314.439999999478459
20120327,1681902.750000000000000,1467356.649999999906868,1599357.879999999888241,1411912.329999999841675,1562464.000000000000000,1376584.780000000027940,1460364.650000000139698,10559946.039999999105930
20120328,1657521.949999999953434,1483279.179999999934807,1589869.719999999739230,1418913.800000000046566,1562745.879999999888241,1362341.979999999981374,1462755.149999999906868,10537430.660000000149012
20120329,1638474.449999999953434,1506958.839999999850988,1598764.869999999878928,1416016.639999999897555,1638007.839999999850988,1355576.650000000139698,1453910.300000000046566,10607712.589999999850988
20120330,1667807.600000000093132,1511041.540000000037253,1607660.019999999785796,1429295.290000000037253,1661403.879999999888241,1361273.770000000018626,1462994.199999999953434,10701479.299999998882413
20120402,1670093.300000000046566,1513491.159999999916181,1616555.169999999925494,1432433.879999999888241,1666477.719999999739230,1371599.800000000279397,1466819.000000000000000,10737473.029999999329448
20120403,1649141.050000000046566,1505734.030000000027940,1629008.379999999888241,1431226.729999999981374,1674370.359999999869615,1369463.380000000121072,1449846.449999999953434,10708793.379999998956919
20120404,1635426.850000000093132,1499609.979999999981374,1623078.280000000027940,1429778.149999999906868,1664786.439999999944121,1366970.890000000130385,1440523.500000000000000,10660177.089999999850988
20120405,1641141.099999999860302,1500018.250000000000000,1636717.510000000009313,1421569.530000000027940,1663377.039999999804422,1340977.780000000027940,1450324.550000000046566,10654128.759999999776483
20120409,1604188.949999999953434,1487770.149999999906868,1640868.580000000074506,1401530.839999999850988,1638853.479999999981374,1333856.380000000121072,1437415.850000000093132,10544487.230000000447035
20120410,1561522.550000000046566,1470214.540000000037253,1578602.530000000027940,1394287.939999999944121,1622504.439999999944121,1310355.760000000009313,1432634.849999999860302,10370125.609999999403954
20120411,1575998.649999999906868,1472255.890000000130385,1604694.969999999739230,1404428.000000000000000,1635470.919999999925494,1331007.820000000298023,1429527.199999999953434,10453386.449999999254942
20120412,1605712.750000000000000,1474297.239999999990687,1610625.069999999832362,1426880.989999999990687,1647873.639999999897555,1337061.010000000009313,1437654.899999999906868,10540108.600000001490116
20120413,1594284.250000000000000,1468581.459999999962747,1612997.109999999869615,1403220.849999999860302,1636316.559999999823049,1326734.979999999981374,1428810.050000000046566,10470948.259999999776483
20120416,1587046.199999999953434,1478788.209999999962747,1621892.260000000009313,1428329.569999999832362,1616866.839999999850988,1332788.170000000158325,1448173.099999999860302,10513887.349999999627471
20120417,1625903.100000000093132,1509816.729999999981374,1628415.369999999878928,1448368.260000000009313,1637725.959999999962747,1343826.340000000316650,1479010.549999999813735,10673069.309999998658895
20120418,1618665.050000000046566,1514307.700000000186265,1639089.550000000046566,1435813.899999999906868,1615739.319999999832362,1340977.780000000027940,1483552.500000000000000,10648148.799999998882413
20120419,1603046.099999999860302,1506958.839999999850988,1624857.309999999823049,1489652.790000000037253,1654920.639999999897555,1358425.210000000195578,1476141.949999999953434,10714005.839999997988343
20120420,1613331.750000000000000,1513491.159999999916181,1642054.600000000093132,1515002.939999999944121,1677471.039999999804422,1379077.270000000018626,1492875.449999999953434,10833307.209999999031425
20120423,1600379.449999999953434,1504509.219999999972060,1627229.350000000093132,1518865.819999999832362,1668450.879999999888241,1373380.150000000139698,1423311.899999999906868,10716129.769999999552965
20120424,1606855.600000000093132,1513082.890000000130385,1582753.600000000093132,1529971.599999999860302,1655202.519999999785796,1406494.660000000149012,1381000.050000000046566,10675363.919999999925494
20120425,1626665.000000000000000,1529821.959999999962747,1616555.169999999925494,1539870.229999999981374,1659430.719999999739230,1405782.520000000018626,1371199.000000000000000,10749327.599999999627471
20120426,1651807.699999999953434,1545336.219999999972060,1636124.500000000000000,1563771.799999999813735,1645336.719999999739230,1429283.140000000130385,1409207.949999999953434,10880871.029999999329448
20120427,1651426.750000000000000,1564524.909999999916181,1640275.569999999832362,1545423.120000000111759,1632370.239999999757856,1432487.770000000018626,1411120.350000000093132,10877631.709999999031425
20120430,1642283.949999999953434,1557992.589999999850988,1658658.879999999888241,1552907.449999999720603,1582759.359999999869615,1437828.820000000298023,1408251.749999999767169,10840685.799999998882413
20120501,1668188.550000000046566,1570648.959999999962747,1650356.739999999757856,1559667.489999999757856,1610383.600000000093132,1444238.080000000307336,1412076.550000000046566,10915562.970000000670552
20120502,1658664.800000000046566,1575139.929999999934807,1694239.479999999981374,1563047.509999999776483,1597135.239999999757856,1445662.360000000102445,1410642.250000000000000,10944534.569999998435378
20120503,1668950.450000000186265,1580855.709999999962747,1696018.510000000009313,1563288.939999999944121,1570638.519999999785796,1447086.640000000130385,1410164.149999999906868,10937005.919999999925494
20120504,1635426.850000000093132,1571873.770000000018626,1657472.859999999869615,1557253.189999999944121,1542450.519999999785796,1433555.979999999981374,1403231.699999999953434,10801267.869999999180436
20120507,1669331.399999999906868,1577589.550000000046566,1652135.769999999785796,1559426.060000000055879,1557390.159999999916181,1443169.870000000111759,1414945.149999999906868,10873990.959999999031425
20120508,1687617.000000000000000,1574731.659999999916181,1611811.089999999850988,1554597.459999999962747,1573457.319999999832362,1443882.010000000009313,1411598.449999999953434,10857697.989999998360872
20120509,1715045.400000000139698,1567382.800000000046566,1603508.949999999953434,1543250.250000000000000,1556544.519999999785796,1433199.910000000149012,1411120.350000000093132,10830055.179999999701977
20120510,1724950.100000000093132,1580447.439999999944121,1594613.800000000046566,1560633.209999999962747,1558517.679999999934807,1443882.010000000009313,1414945.149999999906868,10877992.390000000596046
20120511,1735616.700000000186265,1581672.250000000000000,1605287.979999999981374,1560150.350000000093132,1555980.760000000009313,1465602.280000000027940,1420443.300000000046566,10924756.619999999180436
20120514,1720759.650000000139698,1569424.149999999906868,1593427.780000000027940,1556770.330000000074506,1554853.239999999757856,1455988.390000000130385,1412076.550000000046566,10863303.090000001713634
20120515,1714664.449999999953434,1562891.830000000074506,1589869.719999999739230,1548803.140000000130385,1548651.879999999888241,1461685.510000000009313,1418769.949999999953434,10845339.480000000447035
20120516,1717331.099999999860302,1558400.860000000102445,1586311.659999999916181,1535765.919999999925494,1547524.359999999869615,1455632.320000000298023,1414945.149999999906868,10815914.370000001043081
20120517,1688759.849999999860302,1533496.390000000130385,1547173.000000000000000,1513795.790000000037253,1546960.600000000093132,1473079.750000000000000,1474468.599999999860302,10777736.980000000447035
20120518,1668950.450000000186265,1511858.080000000074506,1563184.269999999785796,1501241.429999999934807,1521873.280000000027940,1478776.870000000111759,1492397.349999999860302,10738284.729999998584390
20120521,1691045.550000000046566,1521248.290000000037253,1589869.719999999739230,1513795.790000000037253,1565846.559999999823049,1472011.540000000270084,1506979.399999999906868,10860799.849999999627471
20120522,1691045.550000000046566,1514715.969999999972060,1607660.019999999785796,1516692.949999999953434,1570638.519999999785796,1473791.890000000130385,1523473.849999999860302,10898021.750000000000000
20120523,1691045.550000000046566,1514715.969999999972060,1607660.019999999785796,1516692.949999999953434,1570638.519999999785796,1473791.890000000130385,1523473.849999999860302,10898021.750000000000000
20120524,1692950.299999999813735,1542478.330000000074506,1593427.780000000027940,1525625.859999999869615,1584732.519999999785796,1473791.890000000130385,1555506.549999999813735,10968516.230000000447035
20120525,1695236.000000000000000,1535946.010000000009313,1612997.109999999869615,1511381.489999999990687,1581913.719999999739230,1475928.310000000288710,1561243.750000000000000,10974649.389999998733401
20120529,1732569.099999999860302,1540436.979999999981374,1644426.639999999897555,1518141.530000000027940,1582759.359999999869615,1486610.410000000149012,1570088.600000000093132,11075035.619999999180436
20120530,1721902.500000000000000,1532271.580000000074506,1610032.059999999823049,1494239.959999999962747,1583323.119999999878928,1474860.100000000325963,1564351.399999999906868,10980983.720000000670552
20120531,1741330.949999999953434,1525739.260000000009313,1604101.959999999962747,1508725.760000000009313,1572047.919999999925494,1482693.640000000130385,1573435.299999999813735,11008077.789999999105930
20120601,1691426.500000000000000,1492261.119999999878928,1550731.059999999823049,1462612.629999999888241,1551470.679999999934807,1460973.370000000111759,1566980.949999999953434,10776459.309999998658895
20120604,1691807.449999999953434,1503284.409999999916181,1552510.089999999850988,1457784.030000000027940,1547806.239999999757856,1472011.540000000270084,1577499.149999999906868,10802705.910000000149012
20120605,1708188.300000000046566,1495119.010000000009313,1564370.289999999804422,1467924.089999999850988,1579658.679999999934807,1467026.560000000288710,1565785.699999999953434,10848075.629999998956919
20120606,1734473.850000000093132,1523289.640000000130385,1587497.679999999934807,1488204.209999999962747,1626450.760000000009313,1487322.550000000279397,1576064.850000000093132,11023306.539999999105930
20120607,1738283.350000000093132,1516349.050000000046566,1591648.750000000000000,1494722.819999999832362,1619403.760000000009313,1482693.640000000130385,1574630.550000000046566,11017734.920000001788139
20120608,1761521.300000000046566,1535946.010000000009313,1610625.069999999832362,1500275.709999999962747,1634907.159999999916181,1511179.239999999990687,1630807.299999999813735,11185264.789999999105930
20120611,1744759.500000000000000,1524106.179999999934807,1593427.780000000027940,1486272.770000000018626,1619685.639999999897555,1515452.080000000307336,1614312.850000000093132,11098019.800000000745058
20120612,1766854.600000000093132,1535129.469999999972060,1595206.809999999823049,1495447.109999999869615,1630397.080000000074506,1528982.739999999990687,1618854.799999999813735,11170875.609999999403954
20120613,1761140.349999999860302,1524922.719999999972060,1515743.469999999739230,1488445.639999999897555,1635189.039999999804422,1530763.090000000316650,1603316.549999999813735,11059523.859999999403954
20120614,1797330.600000000093132,1546152.760000000009313,1483127.919999999925494,1523935.849999999860302,1670142.159999999916181,1557824.410000000149012,1616703.349999999860302,11195220.049999998882413
20120615,1793902.050000000046566,1553501.619999999878928,1508627.350000000093132,1530937.319999999832362,1660276.359999999869615,1550703.010000000009313,1619571.949999999953434,11217522.659999998286366
20120618,1794283.000000000000000,1551052.000000000000000,1503290.260000000009313,1522728.699999999953434,1674934.119999999878928,1560316.900000000139698,1628416.800000000046566,11235024.780000001192093
20120619,1809901.949999999953434,1546152.760000000009313,1505662.300000000046566,1531903.040000000037253,1698612.039999999804422,1557112.270000000018626,1621006.250000000000000,11270353.609999999403954
20120620,1818282.849999999860302,1542478.330000000074506,1500325.209999999962747,1541560.239999999990687,1680007.959999999962747,1541801.260000000009313,1637978.799999999813735,11262437.649999998509884
20120621,1805711.500000000000000,1524514.450000000186265,1462965.580000000074506,1510898.629999999888241,1644491.080000000074506,1542869.469999999972060,1618376.699999999953434,11109830.410000000149012
20120622,1808378.149999999906868,1529821.959999999962747,1473639.760000000009313,1529488.739999999990687,1665068.319999999832362,1564945.810000000288710,1608814.699999999953434,11180160.439999999478459
