代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12520049.589999999850988
真實報酬,2520049.589999999850988

夏普值報酬,0.243304959000000
夏普值風險,0.063817630148593
夏普值,3.812503824311378

預期報酬,20657.613705688392656
風險,135746.489477221854031
趨勢值,0.152177885301076
找到最佳解世代,1906
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](18),KO[14](1),MCD[15](12),XOM[29](4),
Stock#,HD[9](18),KO[14](1),MCD[15](12),XOM[29](4),
張數,89063,99760,37953,43805,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.589999999850988,14.399999999906868,35.889999999664724,48.649999999906868,
20100701,2486640.549999999813735,2496009.600000000093132,2531880.519999999552965,2479849.699999999720603,9994380.369999999180436
20100702,2472390.470000000204891,2497007.200000000186265,2510247.309999999590218,2478097.500000000000000,9957742.480000000447035
20100706,2434984.009999999776483,2515961.599999999627471,2509108.719999999739230,2517083.949999999720603,9977138.279999999329448
20100707,2494656.220000000204891,2567836.799999999813735,2554652.319999999832362,2559574.799999999813735,10176720.140000000596046
20100708,2507125.039999999571592,2614724.000000000000000,2619551.949999999720603,2576220.700000000186265,10317621.689999997615814
20100709,2516921.970000000204891,2613726.399999999906868,2627142.549999999813735,2574906.549999999813735,10332697.469999998807907
20100712,2521375.119999999646097,2616719.199999999720603,2654468.709999999497086,2581915.349999999627471,10374478.379999998956919
20100713,2550765.909999999683350,2629688.000000000000000,2688626.409999999683350,2602941.750000000000000,10472022.070000000298023
20100714,2518703.229999999981374,2634676.000000000000000,2690903.589999999850988,2595932.949999999720603,10440215.769999999552965
20100715,2524047.009999999776483,2636671.199999999720603,2707223.379999999422580,2596371.000000000000000,10464312.589999997988343
20100716,2414499.520000000018626,2612728.799999999813735,2654468.709999999497086,2538986.449999999720603,10220683.479999998584390
20100719,2410937.000000000000000,2607740.799999999813735,2653330.119999999646097,2559574.799999999813735,10231582.719999998807907
20100720,2487531.179999999701977,2655625.600000000093132,2689765.000000000000000,2582353.399999999906868,10415275.179999999701977
20100721,2446562.199999999720603,2697524.799999999813735,2660920.719999999739230,2548185.500000000000000,10353193.219999998807907
20100722,2513359.449999999720603,2706503.199999999720603,2709880.089999999850988,2601189.549999999813735,10530932.289999999105930
20100723,2516031.339999999850988,2731443.199999999720603,2652950.589999999850988,2616083.250000000000000,10516508.379999998956919
20100726,2581937.959999999497086,2740421.599999999627471,2689765.000000000000000,2645432.600000000093132,10657557.159999998286366
