代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13021593.099999997764826
真實報酬,3021593.099999997764826

夏普值報酬,0.293459310000000
夏普值風險,0.084224104625787
夏普值,3.484267494488157

預期報酬,25877.580307084768720
風險,152083.778356241848087
趨勢值,0.170153454804818
找到最佳解世代,3387
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,8
KO[14](7),MMM[16](12),MRK[17](9),MSFT[18](21),NKE[19](10),UTX[24](1),V[25](2),WBA[27](16),
Stock#,KO[14](7),MMM[16](12),MRK[17](9),MSFT[18](21),NKE[19](10),UTX[24](1),V[25](2),WBA[27](16),
張數,52083,20798,44706,52587,96525,24056,80282,42517,
20090910,1317187.070000000065193,1547203.419999999925494,1428824.000000000000000,1314682.010000000009313,1337837.750000000000000,1490319.439999999944121,1451507.819999999832362,1453656.429999999934807,11341217.939999999478459
20090911,1341666.080000000074506,1539092.199999999953434,1454753.479999999981374,1307319.830000000074506,1327220.000000000000000,1491281.679999999934807,1450705.000000000000000,1448979.559999999823049,11361017.830000000074506
20090914,1358332.639999999897555,1550739.080000000074506,1470400.580000000074506,1314682.010000000009313,1325289.500000000000000,1480937.600000000093132,1462747.299999999813735,1455782.280000000027940,11418910.990000000223517
20090915,1366145.090000000083819,1553234.840000000083819,1461906.440000000176951,1325199.409999999916181,1319498.000000000000000,1474442.479999999981374,1469169.860000000102445,1448129.219999999972060,11417725.339999999850988
20090916,1371874.219999999972060,1567793.439999999944121,1438212.260000000009313,1325199.409999999916181,1380308.750000000000000,1490319.439999999944121,1486831.899999999906868,1471513.569999999832362,11532052.990000000223517
20090917,1391144.929999999934807,1557602.419999999925494,1431059.299999999813735,1330458.110000000102445,1401544.250000000000000,1504031.360000000102445,1481212.159999999916181,1459183.639999999897555,11556236.169999999925494
20090918,1399999.040000000037253,1551986.959999999962747,1425247.520000000018626,1328354.630000000121072,1414092.500000000000000,1511248.159999999916181,1481212.159999999916181,1466836.699999999953434,11578977.669999998062849
20090921,1380207.500000000000000,1550323.120000000111759,1422565.159999999916181,1330458.110000000102445,1413127.250000000000000,1507639.760000000009313,1473183.960000000195578,1468537.379999999888241,11546042.240000002086163
20090922,1376561.689999999944121,1559266.260000000009313,1400659.219999999972060,1355174.000000000000000,1413127.250000000000000,1521111.119999999878928,1493254.460000000195578,1472363.910000000149012,11591517.910000000149012
20090923,1369270.070000000065193,1547827.360000000102445,1400659.219999999972060,1352018.780000000027940,1407335.750000000000000,1509323.679999999934807,1483620.620000000111759,1455782.280000000027940,11525837.759999999776483
20090924,1363020.110000000102445,1541171.999999999767169,1386353.300000000046566,1364113.790000000037253,1403474.750000000000000,1499701.280000000027940,1475592.419999999925494,1430697.250000000000000,11464124.900000000372529
20090925,1379686.669999999925494,1534932.599999999860302,1397082.739999999990687,1343604.860000000102445,1415057.750000000000000,1480456.479999999981374,1418592.200000000186265,1431972.760000000009313,11401386.060000000521541
20090928,1383853.310000000055879,1560098.180000000167638,1431953.419999999925494,1358329.219999999972060,1423745.000000000000000,1482862.080000000074506,1428226.040000000037253,1453656.429999999934807,11522723.679999999701977
20090929,1388540.780000000027940,1537844.319999999832362,1423906.340000000083819,1354122.260000000009313,1449806.750000000000000,1474923.600000000093132,1396113.239999999990687,1588010.149999999906868,11613267.439999999478459
20090930,1398436.550000000046566,1534932.599999999860302,1414071.020000000018626,1352544.649999999906868,1561775.750000000000000,1465782.320000000065193,1387282.220000000204891,1593112.189999999944121,11707937.300000000745058
20091001,1383332.479999999981374,1508935.099999999860302,1393953.320000000065193,1308371.570000000065193,1508687.000000000000000,1443169.679999999934807,1387282.220000000204891,1623724.429999999934807,11557455.800000000745058
20091002,1403124.020000000018626,1496040.340000000083819,1414965.139999999897555,1312578.530000000027940,1497104.000000000000000,1434509.520000000018626,1360789.159999999916181,1617772.049999999813735,11536882.760000001639128
20091005,1401040.699999999953434,1518710.159999999916181,1420329.859999999869615,1295750.689999999944121,1515443.750000000000000,1453754.320000000065193,1368014.540000000037253,1624574.770000000018626,11597618.789999999105930
20091006,1414582.280000000027940,1537636.340000000083819,1453412.299999999813735,1320466.580000000074506,1522200.500000000000000,1479253.679999999934807,1370423.000000000000000,1628826.469999999972060,11726801.150000000372529
20091007,1427603.030000000027940,1521205.919999999925494,1439106.379999999888241,1319940.710000000195578,1530887.750000000000000,1469150.159999999916181,1422606.299999999813735,1663265.239999999757856,11793765.490000000223517
20091008,1421873.900000000139698,1550115.139999999897555,1449835.820000000065193,1349915.300000000046566,1545366.500000000232831,1486229.919999999925494,1439465.520000000018626,1685374.080000000074506,11928176.179999999701977
20091009,1423436.389999999897555,1554274.739999999990687,1455647.600000000093132,1343604.860000000102445,1534748.750000000000000,1495611.760000000009313,1464352.939999999944121,1677295.850000000093132,11948972.890000000596046
20091012,1427082.199999999953434,1557394.439999999944121,1469059.399999999906868,1352544.649999999906868,1526061.500000000000000,1478772.560000000055879,1479606.520000000018626,1656887.689999999944121,11947408.959999999031425
20091013,1427082.199999999953434,1552610.900000000139698,1449388.760000000009313,1357277.479999999981374,1536679.250000000000000,1490800.560000000055879,1498874.200000000186265,1627125.790000000037253,11939839.140000000596046
20091014,1428123.860000000102445,1592543.059999999823049,1470847.639999999897555,1365165.530000000027940,1566602.000000000000000,1533860.800000000046566,1501282.659999999916181,1647533.949999999953434,12105959.500000000000000
20091015,1430207.179999999934807,1596702.659999999916181,1488730.039999999804422,1404605.780000000027940,1567567.249999999767169,1549256.640000000130385,1506902.399999999906868,1693452.309999999823049,12237424.260000001639128
20091016,1432811.330000000074506,1581104.159999999916181,1484706.500000000000000,1393562.510000000009313,1570463.000000000000000,1561044.080000000074506,1490846.000000000000000,1716411.489999999757856,12230949.070000000298023
20091019,1427082.199999999953434,1587343.559999999823049,1507953.619999999878928,1386200.330000000074506,1594594.250000000000000,1574274.879999999888241,1504493.939999999944121,1716411.489999999757856,12298354.269999999552965
20091020,1408332.320000000065193,1579648.300000000046566,1507506.560000000055879,1386726.199999999953434,1570463.000000000000000,1573312.640000000130385,1506099.580000000074506,1703231.219999999972060,12235319.820000000298023
20091021,1408332.320000000065193,1587551.539999999804422,1461012.320000000065193,1397769.469999999972060,1562741.000000000232831,1573312.640000000130385,1509310.860000000102445,1676445.510000000009313,12176475.659999998286366
20091022,1410415.639999999897555,1638714.620000000111759,1469506.459999999962747,1398295.340000000083819,1573358.750000000000000,1585340.640000000130385,1518944.700000000186265,1678996.530000000027940,12273572.679999997839332
20091023,1386457.459999999962747,1618540.559999999823049,1449835.820000000065193,1473494.750000000000000,1548262.250000000000000,1583175.600000000093132,1487634.720000000204891,1660289.049999999813735,12207690.210000000894070
20091026,1386457.459999999962747,1597742.559999999823049,1431506.360000000102445,1508202.169999999925494,1538609.750000000000000,1559600.719999999972060,1461141.659999999916181,1653911.500000000000000,12137172.179999999701977
20091027,1392186.590000000083819,1580688.199999999953434,1449835.820000000065193,1503469.340000000083819,1546331.750000000000000,1541799.280000000027940,1483620.620000000111759,1602891.100000000093132,12100822.700000001117587
20091028,1393749.080000000074506,1548659.279999999795109,1432847.539999999804422,1473494.750000000000000,1509652.250000000000000,1506196.399999999906868,1536606.739999999990687,1576955.730000000214204,11978161.769999999552965
20091029,1408853.150000000139698,1569873.239999999990687,1399765.099999999860302,1484012.149999999906868,1537644.500000000000000,1529530.719999999972060,1551057.500000000000000,1632653.000000000000000,12113389.360000001266599
20091030,1388540.780000000027940,1530149.059999999823049,1382776.820000000065193,1458244.520000000018626,1500965.000000000000000,1478291.439999999944121,1520550.340000000083819,1608418.309999999823049,11867936.269999999552965
20091102,1398957.379999999888241,1544915.639999999897555,1397529.800000000046566,1466132.570000000065193,1508687.000000000000000,1507399.199999999953434,1551057.500000000000000,1645833.270000000018626,12020512.359999999403954
20091103,1383332.479999999981374,1540340.080000000074506,1371153.260000000009313,1447727.120000000111759,1512548.000000000000000,1520389.439999999944121,1558282.880000000121072,1634353.679999999934807,11968126.940000001341105
20091104,1393228.250000000000000,1540548.059999999823049,1459224.080000000074506,1475598.229999999981374,1513513.250000000000000,1529530.719999999972060,1571930.819999999832362,1678571.359999999869615,12162144.769999999552965
20091105,1416665.599999999860302,1569457.279999999795109,1462353.500000000000000,1497158.899999999906868,1562741.000000000232831,1574515.439999999944121,1597621.059999999823049,1703656.389999999897555,12384169.169999999925494
20091106,1419269.750000000000000,1568417.379999999888241,1456988.780000000027940,1499788.250000000000000,1557914.750000000000000,1565374.159999999916181,1599226.700000000186265,1682397.889999999897555,12349377.660000000149012
20091109,1444790.419999999925494,1605645.800000000046566,1494541.820000000065193,1524504.139999999897555,1576254.499999999767169,1605307.120000000111759,1628931.040000000037253,1702380.879999999888241,12582355.719999998807907
20091110,1453644.530000000027940,1622076.219999999739230,1502588.899999999906868,1525555.880000000121072,1555984.250000000000000,1605307.120000000111759,1627325.399999999906868,1683673.399999999906868,12576155.700000001117587
20091111,1461977.810000000055879,1621452.279999999795109,1485153.560000000055879,1531340.449999999953434,1566602.000000000000000,1611080.560000000055879,1621705.659999999916181,1673469.319999999832362,12572781.640000000596046
20091112,1456769.510000000009313,1605853.779999999795109,1474424.119999999878928,1543961.330000000074506,1546331.750000000000000,1604585.439999999944121,1604043.620000000111759,1663265.239999999757856,12499234.790000000968575
20091113,1470311.090000000083819,1608141.559999999823049,1479788.840000000083819,1558159.820000000065193,1555019.000000000000000,1635617.679999999934807,1605649.260000000009313,1674319.660000000149012,12587006.910000000149012
20091116,1477602.709999999962747,1622700.159999999916181,1511530.100000000093132,1553426.989999999990687,1594594.250000000000000,1668093.280000000027940,1596818.239999999990687,1675170.000000000000000,12699935.730000000447035
20091117,1481248.520000000018626,1638506.639999999897555,1532988.979999999981374,1577617.010000000009313,1567567.249999999767169,1682286.320000000065193,1616888.739999999990687,1673044.149999999906868,12770147.610000001266599
20091118,1473436.070000000065193,1618124.599999999860302,1570989.080000000074506,1583401.580000000074506,1555019.000000000000000,1655343.600000000093132,1613677.460000000195578,1660714.219999999972060,12730705.610000001266599
20091119,1481248.520000000018626,1606685.699999999953434,1579483.219999999972060,1566047.870000000111759,1533783.500000000000000,1636098.800000000046566,1609663.360000000102445,1659438.709999999962747,12672449.679999999701977
20091120,1496873.419999999925494,1593998.919999999925494,1630001.000000000000000,1557633.949999999953434,1542470.750000000000000,1635136.560000000055879,1605649.260000000009313,1656887.689999999944121,12718651.549999998882413
20091123,1516664.959999999962747,1616668.739999999990687,1628212.760000000009313,1574461.790000000037253,1555984.250000000000000,1653419.120000000111759,1614480.280000000027940,1676020.340000000083819,12835912.240000000223517
20091124,1515623.300000000046566,1614172.979999999981374,1619271.560000000055879,1572884.179999999934807,1556949.500000000000000,1642353.359999999869615,1618494.380000000121072,1675170.000000000000000,12814919.259999999776483
20091125,1513539.979999999981374,1620412.379999999888241,1634918.659999999916181,1566573.739999999990687,1585907.000000000000000,1643315.600000000093132,1641776.159999999916181,1667942.109999999869615,12874385.629999998956919
20091127,1489060.969999999972060,1596286.699999999953434,1622400.979999999981374,1536599.149999999906868,1569497.750000000232831,1616613.439999999944121,1612071.819999999832362,1658588.369999999878928,12701119.179999999701977
20091130,1489581.800000000046566,1610637.319999999832362,1618824.500000000000000,1546590.679999999934807,1565636.750000000000000,1617575.679999999934807,1625719.760000000009313,1653486.330000000074506,12728052.820000000298023
20091201,1512498.320000000065193,1635386.939999999944121,1648777.520000000018626,1578142.880000000121072,1578185.000000000232831,1635858.239999999990687,1665057.939999999944121,1673894.489999999757856,12927801.329999998211861
20091202,1509373.340000000083819,1630811.379999999888241,1645201.039999999804422,1566047.870000000111759,1577219.750000000000000,1639466.640000000130385,1650607.179999999934807,1624149.600000000093132,12842876.799999998882413
20091203,1491665.120000000111759,1604605.900000000139698,1643859.860000000102445,1568677.219999999972060,1560810.500000000232831,1618056.800000000046566,1606452.080000000074506,1607142.799999999813735,12701270.280000001192093
20091204,1497394.250000000000000,1627275.719999999739230,1640730.440000000176951,1576565.270000000018626,1552123.249999999767169,1643556.159999999916181,1611269.000000000000000,1609693.819999999832362,12758607.910000000149012
20091207,1507290.020000000018626,1620412.379999999888241,1640730.440000000176951,1566573.739999999990687,1557914.750000000000000,1656546.399999999906868,1604043.620000000111759,1602040.760000000009313,12755552.110000001266599
20091208,1502081.719999999972060,1603773.979999999981374,1625083.340000000083819,1555004.600000000093132,1532818.250000000000000,1641391.120000000111759,1605649.260000000009313,1576530.559999999823049,12642332.830000001937151
20091209,1506248.360000000102445,1658472.719999999739230,1660848.139999999897555,1562366.780000000027940,1495173.500000000000000,1621665.199999999953434,1640973.340000000083819,1625425.109999999869615,12771173.149999998509884
20091210,1525519.070000000065193,1678022.840000000083819,1678283.479999999981374,1570780.699999999953434,1513513.250000000000000,1634174.320000000065193,1652212.819999999832362,1630101.980000000214204,12882608.460000000894070
20091211,1539581.479999999981374,1700276.699999999953434,1657271.659999999916181,1569728.960000000195578,1541505.500000000000000,1669536.640000000130385,1632945.139999999897555,1650084.969999999972060,12960931.050000000745058
20091214,1537498.159999999916181,1703604.379999999888241,1688565.860000000102445,1583401.580000000074506,1548262.250000000000000,1681805.199999999953434,1701184.840000000083819,1624574.770000000018626,13068897.039999999105930
20091215,1538018.989999999990687,1720034.800000000046566,1698848.239999999990687,1578668.750000000000000,1553088.500000000000000,1689984.239999999990687,1729283.540000000037253,1609693.819999999832362,13117620.879999998956919
20091216,1521352.429999999934807,1699652.760000000009313,1687671.739999999990687,1582875.710000000195578,1545366.500000000232831,1689984.239999999990687,1746945.580000000074506,1625850.280000000027940,13099699.239999998360872
20091217,1483852.669999999925494,1673655.260000000009313,1666659.919999999925494,1556582.210000000195578,1526061.500000000000000,1673866.719999999972060,1746945.580000000074506,1586309.469999999972060,12913933.330000000074506
20091218,1482290.179999999934807,1684054.260000000009313,1672024.639999999897555,1596548.330000000074506,1555019.000000000000000,1670979.999999999767169,1785480.939999999944121,1557823.080000000074506,13004220.429999999701977
20091221,1489060.969999999972060,1693621.340000000083819,1684989.379999999888241,1604962.250000000000000,1565636.750000000000000,1668574.399999999906868,1756579.419999999925494,1556547.569999999832362,13019972.080000000074506
20091222,1491665.120000000111759,1704644.279999999795109,1687671.739999999990687,1620738.350000000093132,1570463.000000000000000,1668333.839999999850988,1732494.819999999832362,1571853.689999999944121,13047864.839999999850988
20091223,1492185.949999999953434,1709427.819999999832362,1665318.739999999990687,1625997.050000000046566,1579150.250000000000000,1672182.800000000046566,1729283.540000000037253,1591836.679999999934807,13065382.829999998211861
20091224,1495831.760000000009313,1716915.099999999860302,1653695.180000000167638,1630204.010000000009313,1574323.999999999767169,1692630.399999999906868,1731692.000000000000000,1593537.359999999869615,13088829.809999998658895
20091228,1495831.760000000009313,1735633.300000000046566,1667106.979999999981374,1639143.800000000046566,1581080.750000000000000,1695035.999999999767169,1741325.840000000083819,1585884.299999999813735,13141042.730000000447035
20091229,1503644.209999999962747,1749775.939999999944121,1658612.840000000083819,1650712.939999999944121,1597490.000000000000000,1691187.040000000037253,1767016.080000000074506,1582908.109999999869615,13201347.159999998286366
20091230,1502081.719999999972060,1744992.400000000139698,1656824.600000000093132,1628100.530000000027940,1596524.750000000000000,1695757.679999999934807,1769424.540000000037253,1578656.410000000149012,13172362.630000002682209
20091231,1484373.500000000000000,1719410.860000000102445,1633577.479999999981374,1602858.770000000018626,1594594.250000000000000,1669777.199999999953434,1755776.600000000093132,1561224.439999999944121,13021593.099999997764826
