代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12054903.150000000372529
真實報酬,2054903.150000000372529

夏普值報酬,0.196790315000000
夏普值風險,0.058606799032372
夏普值,3.357806914028898

預期報酬,16397.530079022828431
風險,171654.406022530078189
趨勢值,0.095526415307223
找到最佳解世代,1714
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](3),HD[9](2),INTC[11](8),NKE[19](5),PG[21](1),
Stock#,GS[8](3),HD[9](2),INTC[11](8),NKE[19](5),PG[21](1),
張數,11944,24703,64724,51572,25448,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,96.640000000130385,45.120000000111759,28.400000000139698,37.839999999850988,41.679999999934807,
20140701,1992475.280000000260770,2021244.579999999841675,2005177.920000000158325,2011345.839999999850988,2017559.119999999878928,10047802.740000000223517
20140702,1993430.800000000046566,2025197.060000000288710,2005177.920000000158325,2006188.639999999664724,2024684.560000000055879,10054678.980000000447035
20140703,2024126.880000000121072,2026926.270000000018626,2015533.760000000242144,2023207.399999999674037,2035372.719999999972060,10125167.029999999329448
20140707,2004060.960000000195578,2011363.380000000121072,2008414.120000000111759,2028364.599999999860302,2040716.799999999813735,10092919.859999999403954
20140708,1969781.680000000167638,1995059.400000000139698,1992880.360000000102445,2003094.320000000065193,2050132.560000000055879,10010948.320000000298023
20140709,1966915.119999999878928,1994318.310000000288710,1999352.760000000242144,2029396.040000000037253,2078379.840000000083819,10068362.070000000298023
20140710,1951985.119999999878928,1961463.320000000298023,2023300.640000000130385,1998452.839999999850988,2076852.959999999962747,10012054.879999998956919
20140711,1968467.840000000316650,1966650.950000000186265,2022653.400000000139698,1993295.639999999664724,2065401.359999999869615,10016469.189999999478459
20140714,1994744.640000000130385,1962945.500000000000000,2038187.160000000149012,2010314.399999999674037,2069473.039999999804422,10075664.740000000223517
20140715,2020663.119999999878928,1972826.700000000186265,2052426.440000000176951,2012377.280000000027940,2067946.160000000149012,10126239.700000001117587
20140716,2036190.320000000065193,1967886.100000000093132,2242715.000000000000000,1983496.959999999962747,2059802.799999999813735,10290091.179999999701977
20140717,2032248.800000000046566,1965168.770000000018626,2181227.200000000186265,1973698.280000000027940,2046060.880000000121072,10198403.930000001564622
20140718,2048134.320000000065193,1978261.360000000102445,2181227.200000000186265,1998968.559999999823049,2049878.079999999841675,10256469.519999999552965
20140721,2051120.320000000065193,1969121.250000000000000,2204527.839999999850988,1980918.359999999636784,2043007.119999999878928,10248694.889999998733401
20140722,2090535.520000000251457,1989624.740000000223517,2251776.360000000335276,1986591.280000000027940,2038426.479999999748543,10356954.380000000819564
20140723,2112034.720000000204891,2001482.179999999934807,2233006.400000000372529,1995358.519999999785796,2035627.199999999720603,10377509.019999999552965
20140724,2105346.080000000074506,2005928.720000000204891,2216825.400000000372529,2026817.439999999711290,2042498.160000000149012,10397415.800000000745058
20140725,2095074.240000000223517,2001729.210000000195578,2216825.400000000372529,2004125.759999999776483,2024684.560000000055879,10342439.169999999925494
20140728,2101643.439999999944121,2002717.329999999841675,2215530.919999999925494,2021660.239999999990687,2017050.160000000149012,10358602.089999999850988
20140729,2096746.400000000139698,2000494.060000000288710,2212941.959999999962747,2013924.439999999711290,2001526.880000000121072,10325633.740000000223517
20140730,2099374.080000000074506,2019762.400000000139698,2223297.799999999813735,2053119.159999999916181,1989057.359999999869615,10384610.799999998882413
20140731,2064855.920000000158325,1997282.669999999925494,2193524.759999999776483,1989169.879999999888241,1967681.039999999804422,10212514.269999999552965
20140801,2033562.640000000130385,1970109.370000000111759,2183816.160000000149012,1979886.919999999925494,2026974.880000000121072,10194349.970000000670552
20140804,2050762.000000000000000,1977026.210000000195578,2203880.599999999627471,1989685.599999999860302,2016032.239999999990687,10237386.649999998509884
20140805,2023649.119999999878928,1977026.210000000195578,2124270.080000000074506,1983496.959999999962747,2020867.359999999869615,10129309.730000000447035
20140806,2027471.200000000186265,1989130.679999999934807,2126211.799999999813735,1989169.879999999888241,2063620.000000000000000,10195603.559999998658895
20140807,2019827.040000000037253,1987895.530000000027940,2115208.719999999739230,1968541.079999999841675,2039444.399999999906868,10130916.769999999552965
20140808,2057570.080000000074506,2036313.410000000381842,2110030.799999999813735,1987107.000000000000000,2060057.280000000027940,10251078.570000000298023
20140811,2059958.880000000121072,2047429.760000000009313,2137214.879999999888241,1987107.000000000000000,2073544.719999999972060,10305255.240000000223517
20140812,2058406.160000000381842,2048417.880000000121072,2144334.520000000484288,1978855.479999999748543,2072017.840000000083819,10302031.880000000819564
20140813,2058883.920000000158325,2053358.480000000214204,2207116.799999999813735,1992264.199999999953434,2073544.719999999972060,10385168.120000001043081
20140814,2063183.760000000009313,2071638.700000000186265,2196760.959999999962747,1993295.639999999664724,2085505.280000000027940,10410384.339999999850988
20140815,2053270.240000000223517,2067439.189999999944121,2211647.480000000447035,1989169.879999999888241,2081179.119999999878928,10402705.910000000149012
20140818,2084921.840000000316650,2064968.890000000130385,2227181.240000000223517,2025786.000000000000000,2097974.799999999813735,10500832.769999999552965
20140819,2077874.880000000121072,2179590.810000000055879,2222650.560000000521541,2024754.559999999823049,2104336.799999999813735,10609207.609999999403954
20140820,2078710.960000000195578,2241842.370000000111759,2233006.400000000372529,2035068.959999999962747,2107390.559999999590218,10696019.250000000000000
20140821,2092088.240000000223517,2251723.570000000298023,2275077.000000000000000,2035584.679999999701977,2119351.120000000111759,10773824.609999999403954
20140822,2095910.320000000065193,2248759.209999999962747,2261484.959999999962747,2044867.639999999664724,2122150.400000000372529,10773172.529999999329448
20140825,2124575.920000000391155,2252958.720000000204891,2253070.839999999850988,2063433.559999999823049,2125967.600000000558794,10820006.640000000596046
20140826,2124934.240000000223517,2263581.009999999776483,2252423.599999999627471,2049509.119999999878928,2121895.919999999925494,10812343.889999998733401
20140827,2123859.280000000260770,2269509.730000000447035,2251776.360000000335276,2055697.759999999776483,2120114.559999999590218,10820957.690000001341105
20140828,2121948.240000000223517,2285319.650000000372529,2242715.000000000000000,2032490.359999999636784,2112989.120000000111759,10795462.370000001043081
20140829,2139386.480000000447035,2309775.620000000111759,2260190.480000000447035,2025786.000000000000000,2115024.959999999962747,10850163.540000002831221
20140902,2147269.520000000484288,2251723.570000000298023,2237537.080000000074506,2044351.919999999925494,2111716.719999999739230,10792598.809999998658895
20140903,2145239.040000000037253,2198612.120000000111759,2237537.080000000074506,2032490.359999999636784,2109680.879999999888241,10723559.480000000447035
20140904,2150972.160000000149012,2221585.910000000149012,2259543.240000000223517,2060854.959999999962747,2130039.280000000260770,10822995.550000000745058
20140905,2147030.640000000130385,2263086.950000000186265,2265368.400000000372529,2115521.279999999795109,2131820.639999999664724,10922827.910000000149012
20140908,2151330.480000000447035,2243571.580000000074506,2286727.320000000298023,2124804.240000000223517,2120369.040000000037253,10926802.660000000149012
20140909,2118962.240000000223517,2196882.910000000149012,2259543.240000000223517,2110364.080000000074506,2111971.200000000186265,10797723.670000001788139
20140910,2148463.920000000391155,2204787.870000000111759,2266662.879999999888241,2126867.120000000111759,2128512.400000000372529,10875294.190000001341105
20140911,2161960.640000000130385,2204046.780000000260770,2266662.879999999888241,2109848.359999999869615,2124695.200000000186265,10867213.859999999403954
20140912,2187879.120000000111759,2194659.640000000130385,2240773.280000000260770,2110364.080000000074506,2118842.160000000149012,10852518.280000001192093
20140915,2197553.759999999776483,2207999.259999999776483,2235595.360000000335276,2104691.160000000149012,2134365.440000000409782,10880204.980000000447035
20140916,2198270.399999999906868,2229984.930000000167638,2260837.719999999739230,2093861.040000000037253,2139709.519999999552965,10922663.609999999403954
20140917,2207586.720000000204891,2253452.780000000260770,2264073.919999999925494,2102112.559999999590218,2141745.359999999403954,10968971.339999999850988
20140918,2244254.799999999813735,2274944.390000000130385,2276371.480000000447035,2113974.120000000111759,2142508.799999999813735,11052053.589999999850988
20140919,2224069.439999999944121,2281120.140000000130385,2253718.080000000074506,2109848.359999999869615,2149634.240000000223517,11018390.259999999776483
20140922,2213200.399999999906868,2270003.790000000037253,2246598.440000000409782,2080968.040000000037253,2158286.559999999590218,10969057.230000000447035
20140923,2210811.600000000093132,2260122.589999999850988,2227828.480000000447035,2066012.159999999916181,2148870.799999999813735,10913645.629999998956919
20140924,2243299.280000000260770,2297918.180000000167638,2249187.400000000372529,2084578.079999999841675,2169229.200000000186265,11044212.140000000596046
20140925,2198867.600000000093132,2270250.820000000298023,2209705.759999999776483,2056729.199999999953434,2146071.519999999552965,10881624.899999998509884
