訓練日期,20140513 - 20140813
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11680568.570000000298023
真實報酬,1680568.570000000298023

夏普值報酬,0.159356857000000
夏普值風險,0.050652153795074
夏普值,3.146102289050107

預期報酬,28152.266586344958341
風險,156916.137394849618431
趨勢值,0.179409632774130
找到最佳解世代,2355
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),DIS[6](5),INTC[11](1),
Stock#,AAPL[0](2),DIS[6](5),INTC[11](1),
張數,39359,40443,126406,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.290000000037253,20.939999999944121,6.779999999795109,
20140513,3338449.669999999925494,3319582.379999999888241,3343445.479999999515712,10001478.529999999329448
20140514,3339236.850000000093132,3272668.500000000000000,3328276.759999999776483,9940183.109999999403954
20140515,3310898.370000000111759,3241527.390000000130385,3287826.839999999850988,9840253.599999999627471
20140516,3359703.529999999795109,3251233.709999999962747,3263809.699999999720603,9874747.939999999478459
20140519,3399456.120000000111759,3277926.089999999850988,3291619.019999999552965,9969002.230000000447035
20140520,3400243.300000000279397,3279543.810000000055879,3291619.019999999552965,9971407.129999998956919
20140521,3409295.870000000111759,3324031.109999999869615,3311843.979999999515712,10045171.960000000894070
20140522,3414412.540000000037253,3330501.989999999757856,3305523.679999999701977,10050439.209999999031425
20140523,3452984.360000000335276,3369731.699999999720603,3323220.519999999552965,10145937.580000000074506
20140527,3517926.709999999962747,3386717.759999999776483,3376311.040000000037253,10280956.509999999776483
20140528,3508480.550000000279397,3381055.739999999757856,3397800.059999999590218,10287337.349999999627471
20140529,3572635.719999999739230,3398446.229999999981374,3407912.540000000037253,10378995.489999998360872
20140530,3559253.660000000149012,3397637.370000000111759,3453418.699999999720603,10410310.730000000447035
20140602,3534851.080000000074506,3408152.549999999813735,3445834.339999999850988,10388838.969999998807907
20140603,3584837.009999999776483,3392379.779999999795109,3496396.739999999757856,10473614.529999999329448
