訓練日期,20160609 - 20160909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10557037.899999998509884
真實報酬,557037.899999998509884

夏普值報酬,0.047003790000000
夏普值風險,0.025436833552208
夏普值,1.847863253243608

預期報酬,12699.780415843688388
風險,104340.849699162630714
趨勢值,0.121714366448614
找到最佳解世代,2870
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,7
AAPL[0](13),CSCO[4](5),INTC[11](2),MRK[17](6),PG[21](1),VZ[26](18),WBA[27](17),
Stock#,AAPL[0](13),CSCO[4](5),INTC[11](2),MRK[17](6),PG[21](1),VZ[26](18),WBA[27](17),
張數,14438,49024,44796,24792,17284,27728,17983,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,75.280000000027940,11.639999999897555,26.560000000055879,55.959999999962747,48.399999999906868,24.439999999944121,1.479999999981374,
20160609,1438821.980000000214204,1428571.000000000000000,1430810.800000000046566,1417662.520000000018626,1437558.679999999934807,1440494.040000000037253,1420838.310000000055879,10014760.330000000074506
20160610,1426982.820000000065193,1423178.359999999869615,1435290.399999999906868,1408489.479999999981374,1438077.199999999953434,1460458.199999999953434,1483059.489999999990687,10075538.950000001117587
20160613,1405470.200000000186265,1413863.799999999813735,1441113.880000000121072,1391135.079999999841675,1427188.279999999795109,1457685.399999999906868,1517047.359999999869615,10053507.000000000000000
20160614,1407202.760000000009313,1419746.679999999934807,1439770.000000000000000,1394605.959999999962747,1440669.799999999813735,1469331.159999999916181,1516687.699999999953434,10088017.059999998658895
20160615,1402582.600000000093132,1404549.239999999757856,1416028.120000000111759,1390639.239999999990687,1433756.199999999953434,1465171.959999999962747,1496366.909999999916181,10009097.269999999552965
20160616,1408502.179999999934807,1415334.520000000018626,1419611.800000000046566,1425595.959999999962747,1441706.839999999850988,1482363.320000000065193,1495287.930000000167638,10088405.549999998882413
20160617,1376449.820000000065193,1419256.439999999944121,1422747.520000000018626,1385680.840000000083819,1436867.319999999832362,1491236.280000000027940,1486296.430000000167638,10018537.649999998509884
20160620,1373129.079999999841675,1411902.839999999850988,1441113.880000000121072,1391878.840000000083819,1435311.760000000009313,1490681.719999999972060,1491331.670000000158325,10035352.789999999105930
20160621,1384823.859999999869615,1410432.119999999878928,1447833.280000000027940,1394605.959999999962747,1441706.839999999850988,1500109.239999999990687,1496187.080000000074506,10075701.379999998956919
20160622,1379626.179999999934807,1407980.919999999925494,1446489.399999999906868,1414191.639999999897555,1444472.279999999795109,1498168.280000000027940,1505897.899999999906868,10096829.599999999627471
20160623,1387567.079999999841675,1432492.919999999925494,1477846.600000000093132,1430058.520000000018626,1455534.039999999804422,1515914.199999999953434,1529635.459999999962747,10229051.820000000298023
20160624,1348584.480000000214204,1360427.639999999897555,1413340.360000000102445,1385432.919999999925494,1421830.239999999990687,1509259.479999999981374,1470651.219999999972060,9909529.340000001713634
20160627,1328948.800000000046566,1338857.079999999841675,1376159.679999999934807,1371301.479999999981374,1404027.719999999972060,1517855.159999999916181,1427671.850000000093132,9764824.769999999552965
20160628,1351327.700000000186265,1362388.599999999860302,1397213.800000000046566,1377995.319999999832362,1425287.039999999804422,1520073.399999999906868,1436483.519999999785796,9870772.379999998956919
20160629,1363022.480000000214204,1385429.879999999888241,1430362.840000000083819,1414439.559999999823049,1450348.839999999850988,1526728.120000000111759,1496007.250000000000000,10066341.969999998807907
20160630,1380348.079999999841675,1406510.199999999953434,1469335.359999999869615,1428323.079999999841675,1463484.679999999934807,1548355.959999999962747,1497445.889999999897555,10193806.250000000000000
20160701,1384535.100000000093132,1411902.839999999850988,1467095.560000000055879,1436504.439999999944121,1465385.919999999925494,1559169.879999999888241,1493669.459999999962747,10218266.199999999254942
