訓練日期,20171002 - 20180103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11544013.969999998807907
真實報酬,1544013.969999998807907

夏普值報酬,0.145701397000000
夏普值風險,0.041868842734175
夏普值,3.479948034987690

預期報酬,24011.530742753424420
風險,40782.169305464827630
趨勢值,0.588775220928129
找到最佳解世代,2877
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,11
AAPL[0](13),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](6),MSFT[18](7),NKE[19](3),WMT[28](1),
Stock#,AAPL[0](13),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](6),MSFT[18](7),NKE[19](3),WMT[28](1),
張數,5898,7289,27032,7736,9222,5558,20197,5802,12204,17533,11634,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,90.239999999990687,78.810000000055879,3.839999999967404,110.000000000000000,77.460000000079162,23.520000000018626,23.030000000027940,32.640000000013970,14.040000000037253,3.949999999953434,9.239999999990687,
20171002,907261.619999999995343,909162.890000000013970,912333.839999999967404,908548.480000000097789,920986.380000000121072,911646.680000000051223,904848.630000000004657,910714.560000000055879,910554.479999999981374,909440.659999999916181,912696.540000000037253,10018204.760000001639128
20171003,911213.279999999911524,914921.200000000069849,915037.040000000037253,911565.519999999902211,929562.840000000083819,918038.380000000004657,912725.459999999962747,910134.360000000102445,906283.080000000074506,902427.459999999962747,921654.719999999972060,10053573.340000001713634
20171004,905315.279999999911524,923886.670000000041910,903953.919999999925494,909708.880000000004657,927349.560000000055879,918705.339999999967404,918986.530000000027940,912165.060000000055879,911530.800000000046566,913122.589999999967404,920142.300000000046566,10064876.930000001564622
20171005,916580.459999999962747,921408.410000000149012,908008.720000000088476,917444.880000000004657,923291.880000000121072,923318.480000000097789,919390.470000000088476,921390.240000000107102,927151.920000000041910,914875.889999999897555,923865.179999999934807,10116736.530000001192093
20171006,916049.640000000013970,925271.580000000074506,912333.839999999967404,905454.079999999958090,922923.000000000000000,921817.819999999948777,918784.560000000055879,926031.839999999967404,927518.040000000037253,919083.809999999939464,919095.239999999990687,10114373.450000001117587
20171009,919234.560000000055879,924907.130000000004657,912604.159999999916181,910714.559999999939464,918312.000000000000000,921039.700000000069849,917168.799999999930151,929048.880000000004657,931057.200000000069849,903304.109999999986030,936895.260000000009313,10124296.359999999403954
20171010,919588.440000000060536,934455.720000000088476,906927.439999999944121,919146.799999999930151,918404.220000000088476,917982.800000000046566,926459.419999999925494,931717.800000000046566,931057.200000000069849,903479.439999999944121,978777.659999999916181,10188006.939999999478459
20171011,923422.140000000013970,937444.209999999962747,908008.720000000088476,923246.880000000004657,908905.560000000055879,918483.020000000018626,931104.730000000097789,946628.940000000060536,932643.720000000088476,894712.939999999944121,997392.060000000055879,10222002.919999999925494
20171012,920178.239999999990687,947575.920000000158325,899088.159999999916181,921777.040000000037253,893965.920000000158325,914814.739999999990687,931306.700000000069849,951038.459999999962747,941186.520000000135042,891206.339999999967404,1001696.639999999897555,10213844.680000001564622
20171013,926017.260000000009313,952824.000000000116415,904764.879999999888241,921931.760000000009313,898115.820000000065193,914147.780000000027940,932720.489999999990687,959509.380000000004657,945702.000000000000000,893836.289999999920838,1007746.320000000065193,10257325.980000000447035
20171016,943062.479999999981374,958363.640000000013970,906657.119999999995343,929435.679999999934807,905032.320000000065193,912758.280000000027940,941607.169999999925494,957420.659999999916181,947654.640000000130385,900674.159999999916181,997508.399999999906868,10300184.550000000745058
20171017,946542.299999999930151,951584.869999999995343,908279.040000000037253,930131.920000000041910,907153.380000000121072,907922.819999999948777,939587.470000000088476,959683.440000000060536,946922.400000000023283,911719.949999999953434,1000300.560000000055879,10309838.150000000372529
20171018,942354.719999999972060,957051.619999999995343,906927.439999999944121,914118.400000000023283,906138.960000000079162,908478.619999999995343,937163.829999999958090,961830.180000000051223,947166.479999999981374,916979.849999999860302,1003092.719999999972060,10301312.820000000298023
20171019,920060.279999999911524,958946.760000000125729,912333.839999999967404,914505.200000000069849,913147.680000000167638,907311.440000000060536,941001.260000000125729,966065.640000000013970,950827.680000000051223,923817.719999999855645,1005186.840000000083819,10313214.339999999850988
20171020,921652.739999999990687,957561.850000000209548,925849.839999999967404,917909.040000000037253,916744.260000000125729,908367.460000000079162,936759.890000000130385,964905.240000000107102,961811.280000000027940,930304.930000000051223,1017286.199999999953434,10359162.729999998584390
20171023,921180.899999999906868,959894.330000000074506,928553.040000000037253,920152.480000000097789,910288.860000000102445,915648.440000000060536,935548.070000000065193,947731.320000000065193,962055.359999999986030,940824.729999999864958,1031363.340000000083819,10373250.870000001043081
20171024,926666.039999999920838,1007710.170000000158325,934770.399999999906868,922473.280000000027940,906507.840000000083819,922818.260000000009313,932720.489999999990687,950864.400000000023283,962421.479999999981374,936616.809999999939464,1023568.560000000055879,10427147.730000000447035
20171025,922596.419999999925494,997505.570000000065193,927201.439999999944121,916361.839999999967404,901989.060000000055879,923040.579999999958090,930094.880000000004657,949123.800000000046566,959614.559999999939464,963266.969999999855645,1029385.560000000055879,10420190.680000001564622
20171026,928494.419999999925494,998234.470000000088476,926390.480000000097789,916361.839999999967404,908997.780000000144355,931822.220000000088476,933730.339999999967404,951618.659999999916181,961201.080000000074506,996053.680000000051223,1031014.320000000065193,10483929.289999999105930
20171027,961759.140000000013970,1004575.900000000023283,930715.599999999976717,878455.440000000060536,906692.280000000144355,930099.239999999990687,930498.820000000065193,959625.419999999925494,1022831.280000000027940,981150.630000000004657,1025779.020000000018626,10532192.770000001415610
20171030,983404.799999999930151,994954.420000000158325,920173.119999999995343,885031.040000000037253,904202.340000000083819,918816.500000000000000,926257.450000000069849,964499.099999999976717,1023807.600000000093132,969052.859999999986030,1011585.540000000037253,10501794.769999999552965
20171031,997088.159999999916181,989925.010000000125729,923146.639999999897555,896635.040000000037253,902081.280000000144355,921428.760000000009313,928681.089999999967404,968444.459999999962747,1015142.760000000125729,964143.619999999995343,1015773.780000000027940,10522500.599999997764826
20171101,984407.459999999962747,993496.619999999995343,935851.679999999934807,896712.400000000023283,913332.120000000111759,919205.559999999939464,925045.630000000004657,965311.380000000004657,1015142.760000000125729,965546.260000000009313,1023103.199999999953434,10537165.069999998435378
20171102,991603.020000000018626,994808.640000000013970,924768.559999999939464,892302.880000000004657,907061.160000000032596,904365.700000000069849,926661.390000000130385,975348.839999999967404,1025760.239999999990687,966422.909999999916181,1033108.439999999944121,10542221.779999999329448
20171103,1017495.239999999990687,995974.880000000004657,931796.879999999888241,889672.640000000013970,909735.540000000037253,913703.139999999897555,928479.119999999995343,978539.940000000060536,1026858.600000000093132,976767.380000000004657,1043346.360000000102445,10612379.720000000670552
20171106,1027816.739999999990687,1003847.000000000116415,930174.959999999846332,905531.440000000060536,928179.540000000037253,912758.280000000027940,918380.619999999995343,986778.780000000027940,1030885.920000000041910,982553.269999999902211,1031945.040000000037253,10658861.589999999850988
20171107,1031119.619999999995343,1011864.900000000023283,929904.639999999897555,907078.640000000013970,937124.880000000121072,909645.800000000046566,927873.209999999962747,990840.180000000051223,1028445.119999999995343,966948.899999999906868,1034853.540000000037253,10675709.429999999701977
20171108,1039553.760000000009313,1000785.619999999995343,932607.839999999967404,902669.119999999995343,933159.420000000158325,911813.420000000041910,932720.489999999990687,986952.839999999967404,1031984.280000000027940,977644.029999999911524,1050094.080000000074506,10699994.899999998509884
20171109,1037430.479999999981374,986572.070000000065193,920443.439999999944121,907078.640000000013970,946992.420000000158325,907478.180000000051223,933730.339999999967404,968966.640000000013970,1026248.400000000023283,984131.239999999990687,1050559.439999999944121,10669641.289999999105930
20171110,1030293.899999999906868,994881.530000000027940,918821.520000000018626,906614.480000000097789,966358.620000000111759,912146.900000000139698,939991.410000000032596,960785.820000000065193,1023563.520000000135042,983429.920000000041910,1057772.520000000018626,10694670.140000000596046
20171113,1026165.299999999930151,995245.980000000097789,917740.239999999990687,907001.280000000027940,965989.739999999990687,919038.819999999948777,943626.869999999995343,971113.380000000004657,1024295.760000000125729,980273.979999999864958,1058586.899999999906868,10709088.250000001862645
20171114,1010653.560000000055879,1002607.869999999995343,920173.119999999995343,904603.119999999995343,951511.200000000069849,934101.000000000000000,957966.739999999990687,975406.860000000102445,1025760.239999999990687,981501.289999999920838,1059750.300000000046566,10724045.300000000745058
20171115,997324.080000000074506,977533.709999999962747,922065.359999999986030,900967.200000000069849,956306.640000000013970,919705.780000000027940,945444.600000000093132,970823.280000000027940,1012701.960000000079162,992897.739999999990687,1045091.459999999962747,10640871.810000002384186
