代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11369260.449250003000
真實報酬,1369260.449250003300

夏普值報酬,0.128226044925
夏普值風險,0.045667116995
夏普值,2.807841908218

預期報酬,19736.904764045779
風險,176229.072629452770
起點值,0.111995736399
找到最佳解世代,3289
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
3045(40),
Stock#,3045(40),
張數,237,
分配資金,10000000.000000000000,
剩餘資金,29442.172750001864,
FS( 1 ),9985812.172749999900,9985812.172749999900
FS( 2 ),10010181.105249999000,10010181.105249999000
FS( 3 ),10010181.105249999000,10010181.105249999000
FS( 4 ),9958271.824750000600,9958271.824750000600
FS( 5 ),9908722.057000000000,9908722.057000000000
FS( 6 ),9993664.516000000800,9993664.516000000800
FS( 7 ),9925238.646250000200,9925238.646250000200
FS( 8 ),9925238.646250000200,9925238.646250000200
FS( 9 ),10010181.105249999000,10010181.105249999000
FS( 10 ),9993664.516000000800,9993664.516000000800
FS( 11 ),10026697.694499999000,10026697.694499999000
FS( 12 ),10059730.873000000000,10059730.873000000000
FS( 13 ),10076247.462250002000,10076247.462250002000
FS( 14 ),10026697.694499999000,10026697.694499999000
FS( 15 ),10059730.873000000000,10059730.873000000000
FS( 16 ),10092764.051500002000,10092764.051500002000
FS( 17 ),10109280.640750002000,10109280.640750002000
FS( 18 ),10076247.462250002000,10076247.462250002000
FS( 19 ),10059730.873000000000,10059730.873000000000
FS( 20 ),10109280.640750002000,10109280.640750002000
FS( 21 ),10191863.587000003000,10191863.587000003000
FS( 22 ),10092764.051500002000,10092764.051500002000
FS( 23 ),10092764.051500002000,10092764.051500002000
FS( 24 ),10224896.765500002000,10224896.765500002000
FS( 25 ),10290963.122500002000,10290963.122500002000
FS( 26 ),10340512.890250005000,10340512.890250005000
FS( 27 ),10357029.479500003000,10357029.479500003000
FS( 28 ),10290963.122500002000,10290963.122500002000
FS( 29 ),10425455.349250004000,10425455.349250004000
FS( 30 ),10689720.777250001000,10689720.777250001000
FS( 31 ),10656687.598750003000,10656687.598750003000
FS( 32 ),10623654.420250002000,10623654.420250002000
FS( 33 ),10805336.902000003000,10805336.902000003000
FS( 34 ),10821853.491250003000,10821853.491250003000
FS( 35 ),10989378.896500004000,10989378.896500004000
FS( 36 ),10956345.718000004000,10956345.718000004000
FS( 37 ),10857246.182500003000,10857246.182500003000
FS( 38 ),10821853.491250003000,10821853.491250003000
FS( 39 ),10673204.188000001000,10673204.188000001000
FS( 40 ),10821853.491250003000,10821853.491250003000
FS( 41 ),10857246.182500003000,10857246.182500003000
FS( 42 ),10939829.128750004000,10939829.128750004000
FS( 43 ),10906795.950250002000,10906795.950250002000
FS( 44 ),11220611.146000002000,11220611.146000002000
FS( 45 ),10920953.026750002000,10920953.026750002000
FS( 46 ),10920953.026750002000,10920953.026750002000
FS( 47 ),10956345.718000004000,10956345.718000004000
FS( 48 ),10975221.820000002000,10975221.820000002000
FS( 49 ),10975221.820000002000,10975221.820000002000
FS( 50 ),10939829.128750004000,10939829.128750004000
FS( 51 ),10866684.233500002000,10866684.233500002000
FS( 52 ),10885560.335500000000,10885560.335500000000
FS( 53 ),10850167.644250002000,10850167.644250002000
FS( 54 ),10975221.820000002000,10975221.820000002000
FS( 55 ),11119152.097750003000,11119152.097750003000
FS( 56 ),11154544.789000001000,11154544.789000001000
FS( 57 ),11173420.891000001000,11173420.891000001000
FS( 58 ),11154544.789000001000,11154544.789000001000
FS( 59 ),11279598.964750001000,11279598.964750001000
FS( 60 ),11388136.551250003000,11388136.551250003000
FS( 61 ),11369260.449250003000,11369260.449250003000
FS( 62 ),11369260.449250003000,11369260.449250003000
FS( 63 ),11407012.653250001000,11407012.653250001000
FS( 64 ),11369260.449250003000,11369260.449250003000
