代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12114939.399999998509884
真實報酬,2114939.399999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9801.350751905010839
風險,246362.748645184561610
起點值,0.039784223896694
找到最佳解世代,2264
找到最佳解實驗#,3
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
CAT[3](2),MRK[17](5),PG[21](8),UNH[23](1),WMT[28](9),
Stock#,CAT[3](2),MRK[17](5),PG[21](8),UNH[23](1),WMT[28](9),
張數,29416,38109,25519,17173,32541,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,6.160000000149012,39.680000000167638,75.969999999972060,32.420000000158325,30.139999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979114.640000000130385,2025533.030000000027940,2006379.750000000000000,2003778.060000000288710,2047509.859999999869615,10062315.339999999850988
FS( 3 ),1947933.680000000167638,1997713.460000000195578,1986985.310000000055879,1983342.190000000176951,2068010.689999999711290,9983985.330000001937151
FS( 4 ),1880865.200000000186265,1980183.320000000298023,1969632.390000000130385,1924953.990000000223517,2116171.370000000111759,9871806.269999999552965
FS( 5 ),1861744.800000000046566,1946647.400000000139698,1938754.399999999906868,1891810.100000000093132,2067685.279999999795109,9706641.979999998584390
FS( 6 ),1808207.680000000167638,1953125.930000000167638,1956617.699999999953434,1881849.760000000242144,2089813.159999999916181,9689614.230000000447035
FS( 7 ),1812031.760000000242144,1972561.520000000018626,1952534.660000000149012,1927873.400000000139698,2070288.559999999823049,9735289.900000000372529
FS( 8 ),1791146.400000000139698,1930641.620000000111759,1935692.119999999878928,1875839.210000000195578,2014968.859999999869615,9548288.210000000894070
FS( 9 ),1831740.480000000214204,1974085.880000000121072,1943347.820000000065193,1902113.900000000139698,2052065.599999999860302,9703353.680000001564622
FS( 10 ),1761142.080000000074506,1948933.940000000176951,1913490.590000000083819,1876526.130000000121072,2015294.269999999785796,9515387.009999999776483
FS( 11 ),1736432.640000000130385,1956555.740000000223517,1958148.840000000083819,1933368.760000000242144,2035795.099999999860302,9620301.080000000074506
FS( 12 ),1729961.120000000111759,1926449.630000000121072,1935181.739999999990687,1971321.090000000316650,1979824.580000000074506,9542738.160000000149012
FS( 13 ),1755847.200000000186265,1940549.960000000195578,1957893.649999999906868,1949167.920000000158325,2013667.219999999972060,9617125.950000001117587
FS( 14 ),1793793.840000000083819,1956936.830000000307336,1974225.810000000055879,1963421.510000000242144,2040025.429999999934807,9728403.419999999925494
FS( 15 ),1703486.719999999972060,1940549.960000000195578,1961211.119999999878928,1947107.160000000149012,2064756.590000000083819,9617111.550000000745058
FS( 16 ),1740256.719999999972060,1960747.730000000214204,2011228.360000000102445,1957067.500000000000000,2082654.139999999897555,9751954.450000001117587
FS( 17 ),1715547.280000000260770,1919590.010000000009313,2010973.169999999925494,1929075.510000000242144,2081027.090000000083819,9656213.060000000521541
FS( 18 ),1796735.440000000176951,1875002.480000000214204,2037002.549999999813735,1912761.160000000149012,2089813.159999999916181,9711314.790000000968575
FS( 19 ),1830858.000000000232831,1931022.710000000195578,2084723.079999999841675,1977675.100000000093132,2159450.899999999441206,9983729.789999999105930
FS( 20 ),1844389.360000000335276,1934071.430000000167638,2070177.250000000000000,1990211.390000000130385,2196547.639999999664724,10035397.070000000298023
FS( 21 ),1784674.880000000121072,1921114.370000000111759,2047210.149999999906868,1955693.660000000149012,2175721.399999999441206,9884414.460000000894070
FS( 22 ),1861156.480000000214204,1907395.130000000121072,2069666.869999999878928,1936288.170000000158325,2156522.209999999962747,9931028.859999999403954
FS( 23 ),1940285.520000000018626,1851755.990000000223517,2059459.270000000018626,1961189.020000000251457,2161403.360000000335276,9974093.160000000149012
FS( 24 ),1944992.080000000307336,1881862.100000000325963,2072218.770000000018626,1918599.980000000214204,2180277.139999999664724,9997950.070000000298023
FS( 25 ),1899691.440000000176951,1860902.150000000139698,2108455.750000000000000,1889405.880000000121072,2177023.040000000037253,9935478.259999999776483
FS( 26 ),1880571.040000000037253,1873478.120000000111759,2108966.129999999888241,1908983.100000000093132,2141553.349999999627471,9913551.740000000223517
FS( 27 ),1827916.400000000139698,1887578.450000000186265,2082936.750000000000000,1936116.440000000176951,2140902.530000000260770,9875450.570000000298023
FS( 28 ),1806442.719999999972060,1861664.330000000307336,2039044.070000000065193,1899709.680000000167638,2125608.259999999776483,9732469.060000000521541
FS( 29 ),1857626.560000000055879,1868523.950000000186265,2066859.779999999795109,1920317.280000000027940,2153593.520000000484288,9866921.089999999850988
FS( 30 ),1918223.520000000018626,1897105.700000000186265,2079108.899999999906868,1977503.370000000344589,2144482.040000000037253,10016423.530000001192093
FS( 31 ),1978526.320000000298023,1928355.080000000307336,2104117.520000000484288,2031598.320000000065193,2151315.649999999441206,10193912.890000000596046
FS( 32 ),1944992.080000000307336,1917684.560000000288710,2092123.590000000083819,2017001.270000000251457,2086559.060000000055879,10058360.560000000521541
FS( 33 ),1924400.880000000121072,1910062.760000000009313,2087274.980000000214204,2020951.060000000288710,2104131.200000000186265,10046820.880000000819564
FS( 34 ),1979997.120000000111759,1934833.610000000335276,2095951.439999999944121,2082602.130000000121072,2135695.969999999739230,10229080.269999999552965
FS( 35 ),1934990.640000000130385,1926068.540000000037253,2087785.360000000102445,2080541.370000000344589,2163355.820000000298023,10192741.730000000447035
FS( 36 ),1937932.239999999990687,1926830.720000000204891,2081405.610000000102445,2064227.020000000251457,2184182.059999999590218,10194577.650000000372529
FS( 37 ),1955287.680000000167638,1943598.680000000167638,2101310.429999999701977,2081400.020000000251457,2214119.780000000260770,10295716.589999999850988
FS( 38 ),1967054.080000000307336,1929879.440000000176951,2069666.869999999878928,2083632.510000000242144,2164332.049999999813735,10214564.949999999254942
FS( 39 ),1991469.360000000335276,1913492.570000000298023,2048996.480000000214204,2045336.719999999972060,2158800.080000000074506,10158095.210000000894070
FS( 40 ),2032357.600000000325963,1972180.430000000167638,2072984.340000000083819,2089471.330000000074506,2162705.000000000000000,10329698.699999999254942
FS( 41 ),2040888.239999999990687,1991997.110000000335276,2106669.419999999925494,2082602.130000000121072,2154569.750000000000000,10376726.650000000372529
FS( 42 ),2110604.160000000149012,1985518.580000000307336,2114069.929999999701977,2092047.280000000027940,2152291.879999999888241,10454531.830000000074506
FS( 43 ),2142667.600000000093132,1984756.400000000139698,2130657.280000000260770,2091703.820000000065193,2173118.120000000111759,10522903.220000000670552
FS( 44 ),2199440.479999999981374,2006097.440000000176951,2120704.870000000111759,2091016.900000000139698,2209238.629999999888241,10626498.320000000298023
FS( 45 ),2110015.840000000316650,1998856.730000000214204,2119684.110000000335276,2089299.600000000093132,2214119.780000000260770,10531976.060000002384186
FS( 46 ),2114134.080000000074506,1995426.920000000158325,2117132.209999999962747,2079682.719999999972060,2197523.870000000111759,10503899.800000000745058
FS( 47 ),2099131.919999999925494,2021341.040000000037253,2099779.290000000037253,2096683.990000000223517,2193618.950000000186265,10510555.190000001341105
FS( 48 ),2141490.959999999962747,2027438.480000000214204,2086254.219999999972060,2148374.719999999739230,2185809.110000000335276,10589367.489999998360872
FS( 49 ),2139431.840000000316650,2022865.400000000139698,2071453.199999999953434,2150435.480000000447035,2191991.899999999441206,10576177.820000000298023
FS( 50 ),2130901.200000000186265,1997713.460000000195578,2075025.860000000102445,2144081.469999999739230,2215746.830000000074506,10563468.820000000298023
FS( 51 ),2186791.600000000093132,1979421.140000000130385,2075791.430000000167638,2144940.120000000111759,2212492.729999999515712,10599437.019999999552965
FS( 52 ),2232680.560000000521541,1963796.450000000186265,2111773.219999999739230,2138586.110000000335276,2194920.589999999850988,10641756.929999999701977
FS( 53 ),2220031.680000000167638,1991234.930000000167638,2121980.820000000298023,2176194.980000000447035,2178650.089999999850988,10688092.500000000000000
