代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14037655.519999999552965
真實報酬,4037655.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16277.938591279122193
風險,117713.867942257056711
起點值,0.138283949680967
找到最佳解世代,1887
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](8),BA[2](3),DD[7](9),KO[14](12),MCD[15](2),MMM[16](4),UNH[23](5),V[25](1),
Stock#,AAPL[0](8),BA[2](3),DD[7](9),KO[14](12),MCD[15](2),MMM[16](4),UNH[23](5),V[25](1),
張數,10761,7963,15238,29904,10449,7020,7742,15723,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,109.849999999860302,47.889999999897555,26.859999999869615,12.800000000046566,90.619999999878928,89.000000000000000,54.100000000093132,21.500000000000000,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1248601.069999999832362,1263138.949999999953434,1259904.699999999953434,1245514.399999999906868,1248537.139999999897555,1251895.399999999906868,1253561.320000000065193,1260219.950000000186265,10031372.929999999701977
FS( 3 ),1254950.059999999823049,1263855.619999999878928,1254266.639999999897555,1248504.800000000046566,1250835.919999999925494,1247613.199999999953434,1255651.660000000149012,1274999.570000000065193,10050677.469999998807907
FS( 4 ),1268939.359999999869615,1266961.189999999944121,1246495.259999999776483,1248205.760000000009313,1261911.859999999869615,1251263.599999999860302,1257432.320000000065193,1292609.329999999841675,10093818.679999999701977
FS( 5 ),1280561.239999999757856,1260750.049999999813735,1254114.259999999776483,1235646.080000000074506,1258463.689999999944121,1244524.400000000139698,1253871.000000000000000,1285376.750000000000000,10073307.469999998807907
FS( 6 ),1281852.559999999823049,1266722.299999999813735,1251523.799999999813735,1227272.959999999962747,1256582.869999999878928,1239680.600000000093132,1251006.460000000195578,1278458.630000000121072,10053100.180000001564622
FS( 7 ),1288739.599999999860302,1269350.089999999850988,1264323.719999999739230,1227572.000000000000000,1263165.739999999757856,1248876.799999999813735,1253406.479999999981374,1286162.899999999906868,10101597.329999998211861
FS( 8 ),1283359.099999999860302,1260511.159999999916181,1264933.239999999990687,1224581.600000000093132,1275913.519999999785796,1245717.800000000046566,1257045.220000000204891,1279402.010000000009313,10091463.649999998509884
FS( 9 ),1281099.290000000037253,1264811.179999999934807,1254266.639999999897555,1222488.320000000065193,1269644.119999999878928,1245366.799999999813735,1252709.700000000186265,1276257.409999999916181,10066643.460000000894070
FS( 10 ),1291429.849999999860302,1255574.099999999860302,1244057.179999999934807,1232655.679999999934807,1282705.369999999878928,1244454.199999999953434,1243883.820000000065193,1277672.479999999981374,10072432.679999999701977
FS( 11 ),1291322.239999999757856,1260750.049999999813735,1252285.699999999953434,1234748.959999999962747,1282287.409999999916181,1253088.800000000046566,1221277.180000000167638,1282861.070000000065193,10078621.410000000149012
FS( 12 ),1289062.429999999934807,1266164.889999999897555,1238876.259999999776483,1230263.360000000102445,1276749.439999999944121,1254422.600000000093132,1228709.500000000000000,1285062.290000000037253,10069310.769999999552965
FS( 13 ),1291429.849999999860302,1270385.279999999795109,1245123.839999999850988,1235646.080000000074506,1277585.359999999869615,1253088.800000000046566,1228399.820000000065193,1286791.820000000065193,10088450.849999999627471
FS( 14 ),1292290.729999999748543,1256927.809999999823049,1239942.919999999925494,1238935.520000000018626,1268390.239999999757856,1253229.199999999953434,1231574.040000000037253,1291665.950000000186265,10072956.410000000149012
FS( 15 ),1291107.019999999785796,1278507.540000000037253,1294190.199999999953434,1252990.399999999906868,1264942.069999999832362,1235398.399999999906868,1242103.160000000149012,1308646.790000000037253,10167885.580000001937151
FS( 16 ),1311660.529999999795109,1332735.570000000065193,1306532.979999999748543,1259569.280000000027940,1272674.329999999841675,1240733.599999999860302,1248374.180000000167638,1319181.200000000186265,10291461.669999998062849
