代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11758936.030000001192093
真實報酬,1758936.030000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30791.190625447219645
風險,64804.816440250418964
起點值,0.475137378929797
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](5),BA[2](1),HD[9](6),INTC[11](10),MSFT[18](12),UNH[23](9),WBA[27](7),WMT[28](15),
Stock#,AXP[1](5),BA[2](1),HD[9](6),INTC[11](10),MSFT[18](12),UNH[23](9),WBA[27](7),WMT[28](15),
張數,20041,16174,18108,59438,44722,23355,30251,17424,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,42.830000000074506,73.280000000027940,4.760000000009313,18.859999999869615,20.100000000093132,40.399999999906868,28.679999999934807,2.239999999990687,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1260421.320000000065193,1246926.940000000176951,1272816.080000000074506,1264265.119999999878928,1258944.400000000139698,1245329.000000000000000,1263612.949999999953434,1276484.479999999981374,10088800.290000000968575
FS( 3 ),1285071.750000000232831,1272320.119999999878928,1276075.520000000018626,1278530.239999999990687,1267888.800000000046566,1249532.899999999906868,1231849.399999999906868,1284499.520000000018626,10145768.250000000000000
FS( 4 ),1295693.480000000214204,1279113.199999999953434,1276256.600000000093132,1292795.359999999869615,1256261.080000000074506,1252101.949999999953434,1208858.639999999897555,1278575.359999999869615,10139655.669999999925494
FS( 5 ),1293889.790000000037253,1310975.979999999981374,1272091.760000000009313,1301116.679999999934807,1258497.180000000167638,1256539.399999999906868,1214001.310000000055879,1277529.919999999925494,10184642.020000001415610
FS( 6 ),1296695.530000000027940,1313887.300000000046566,1292372.720000000204891,1282690.899999999674037,1252236.100000000093132,1256772.949999999953434,1229429.320000000065193,1272476.959999999962747,10196561.780000001192093
FS( 7 ),1312728.330000000074506,1341544.840000000083819,1291467.319999999832362,1289229.079999999841675,1246422.240000000223517,1266114.949999999953434,1248789.959999999962747,1271605.760000000009313,10267902.479999998584390
FS( 8 ),1308519.720000000204891,1361277.119999999878928,1281145.760000000009313,1286257.179999999934807,1248211.120000000111759,1280595.049999999813735,1241529.719999999972060,1282408.639999999897555,10289944.310000000521541
FS( 9 ),1308720.130000000121072,1370819.780000000027940,1281326.840000000083819,1287445.939999999944121,1248658.340000000083819,1272420.799999999813735,1294166.459999999962747,1283279.840000000083819,10346838.129999998956919
FS( 10 ),1310323.409999999916181,1368717.160000000149012,1271910.679999999934807,1286851.559999999823049,1258497.180000000167638,1278259.549999999813735,1292351.399999999906868,1275787.520000000018626,10342698.459999999031425
FS( 11 ),1324552.520000000251457,1397992.100000000093132,1250362.159999999916181,1270803.299999999813735,1254024.979999999981374,1278259.549999999813735,1288116.259999999776483,1263242.239999999990687,10327353.110000001266599
FS( 12 ),1318339.810000000055879,1377774.600000000093132,1255794.559999999823049,1263670.739999999990687,1256708.300000000046566,1284565.399999999906868,1283578.609999999869615,1258886.239999999990687,10299318.259999999776483
FS( 13 ),1305313.159999999916181,1383112.020000000018626,1245654.080000000074506,1256538.179999999934807,1260286.060000000055879,1288535.750000000000000,1353458.419999999925494,1262371.040000000037253,10355268.710000000894070
FS( 14 ),1322748.830000000074506,1380847.660000000149012,1247283.799999999813735,1258915.699999999953434,1266547.140000000130385,1281762.800000000046566,1392179.699999999953434,1271780.000000000000000,10422065.630000000819564
FS( 15 ),1310924.639999999897555,1364026.699999999953434,1248551.360000000102445,1250594.379999999888241,1257155.520000000018626,1285966.699999999953434,1385826.989999999990687,1274219.359999999869615,10377265.649999998509884
FS( 16 ),1327157.850000000093132,1371951.959999999962747,1259597.239999999990687,1267831.399999999674037,1263416.600000000093132,1271953.699999999953434,1406397.669999999925494,1294256.959999999962747,10462563.379999998956919
