代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11266101.709999999031425
真實報酬,1266101.709999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20173.172128438949585
風險,47091.549579371589061
起點值,0.428381998652170
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,12
AAPL[0](4),CSCO[4](2),JNJ[12](16),KO[14](28),MSFT[18](3),PG[21](6),TRV[22](5),UTX[24](8),V[25](1),VZ[26](15),WMT[28](12),XOM[29](10),
Stock#,AAPL[0](4),CSCO[4](2),JNJ[12](16),KO[14](28),MSFT[18](3),PG[21](6),TRV[22](5),UTX[24](8),V[25](1),VZ[26](15),WMT[28](12),XOM[29](10),
張數,5004,17603,6209,17111,8107,8549,6588,7003,5946,15276,8878,10976,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,66.919999999925494,6.979999999981374,85.200000000069849,27.299999999930151,95.540000000037253,61.969999999972060,16.880000000004657,116.059999999939464,1.099999999976717,27.200000000069849,43.920000000041910,35.079999999958090,
FS( 1 ),833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,10000000.000000000000000
FS( 2 ),857001.919999999925494,833509.030000000027940,825137.119999999995343,842744.049999999930151,857329.719999999972060,838120.439999999944121,830368.400000000023283,834453.479999999981374,841360.099999999976717,825542.240000000107102,841411.979999999981374,821259.399999999906868,10048241.880000000819564
FS( 3 ),871663.640000000013970,831924.759999999892898,825137.119999999995343,842915.159999999916181,869328.080000000074506,833076.529999999911524,831290.720000000088476,845868.369999999878928,847484.479999999981374,827069.840000000083819,848780.719999999972060,829710.920000000041910,10104254.339999999850988
FS( 4 ),871963.880000000004657,835797.419999999925494,825882.200000000069849,842915.159999999916181,859680.750000000000000,837180.049999999930151,827140.280000000027940,850000.139999999897555,841300.640000000013970,821723.240000000107102,849135.840000000083819,826088.839999999967404,10088812.439999999478459
FS( 5 ),855450.679999999934807,822067.080000000074506,819983.650000000139698,845652.919999999925494,853519.430000000051223,830511.829999999958090,835111.760000000009313,845518.219999999972060,833451.919999999925494,818362.520000000018626,858812.860000000102445,819722.760000000009313,10038169.629999998956919
FS( 6 ),852798.559999999939464,830692.549999999930151,822156.800000000162981,847021.799999999930151,856762.230000000097789,835384.759999999892898,828721.400000000023283,857913.529999999911524,834700.579999999958090,824167.400000000139698,848603.160000000032596,812039.560000000055879,10050966.330000001937151
