代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11498736.210000000894070
真實報酬,1498736.210000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24265.749205608077318
風險,59875.008281453214295
起點值,0.405273417108229
找到最佳解世代,2329
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](1),IBM[10](29),MCD[15](14),MSFT[18](2),PFE[20](20),TRV[22](15),
Stock#,AAPL[0](8),HD[9](1),IBM[10](29),MCD[15](14),MSFT[18](2),PFE[20](20),TRV[22](15),
張數,25777,36313,7540,14958,56509,71321,25955,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,9.659999999916181,17.579999999841675,118.000000000000000,82.000000000000000,23.479999999981374,11.369999999878928,7.800000000046566,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1435015.250000000000000,1450358.799999999813735,1430154.399999999906868,1431562.600000000093132,1425180.459999999962747,1418586.059999999823049,1407807.000000000000000,9998667.569999998435378
FS( 3 ),1447130.439999999944121,1460889.569999999832362,1439051.600000000093132,1426327.299999999813735,1452304.780000000027940,1415020.009999999776483,1418967.650000000139698,10059694.349999999627471
FS( 4 ),1439655.109999999869615,1464157.739999999757856,1454885.600000000093132,1436199.580000000074506,1450044.419999999925494,1442835.199999999953434,1436617.050000000046566,10124397.699999999254942
FS( 5 ),1432695.319999999832362,1479046.069999999832362,1463255.000000000000000,1442781.100000000093132,1446653.880000000121072,1459952.239999999757856,1450892.300000000046566,10175278.910000000149012
FS( 6 ),1438624.030000000027940,1449269.409999999683350,1444631.200000000186265,1449811.360000000102445,1435352.079999999841675,1439982.359999999869615,1441288.950000000186265,10098962.390000000596046
FS( 7 ),1449450.369999999878928,1460889.569999999832362,1467100.399999999906868,1466414.739999999990687,1452304.780000000027940,1466371.129999999888241,1454006.900000000139698,10216540.890000000596046
FS( 8 ),1443006.119999999878928,1454353.229999999748543,1449155.199999999953434,1473145.840000000083819,1441568.070000000065193,1454246.559999999823049,1449075.449999999953434,10164553.469999998807907
FS( 9 ),1431664.239999999990687,1434744.209999999729916,1441389.000000000000000,1465966.000000000000000,1455695.320000000065193,1480635.330000000074506,1451670.949999999953434,10161768.049999998882413
FS( 10 ),1399958.530000000027940,1421308.399999999906868,1423066.800000000046566,1460132.379999999888241,1446088.790000000037253,1487767.429999999934807,1452709.149999999906868,10091034.480000000447035
FS( 11 ),1395318.669999999925494,1431476.039999999804422,1413717.199999999953434,1468060.120000000111759,1444393.520000000018626,1507737.309999999823049,1474511.350000000093132,10135217.210000000894070
FS( 12 ),1403051.770000000018626,1467789.039999999804422,1384235.800000000046566,1458337.419999999925494,1469257.479999999981374,1499892.000000000000000,1486710.200000000186265,10169276.710000000894070
FS( 13 ),1407433.859999999869615,1459800.179999999934807,1379108.599999999860302,1454597.919999999925494,1442698.250000000000000,1507737.309999999823049,1471915.850000000093132,10123294.969999998807907
FS( 14 ),1457956.780000000027940,1523347.929999999934807,1411907.600000000093132,1478231.559999999823049,1470952.750000000000000,1530560.030000000027940,1509291.050000000046566,10382250.700000001117587
FS( 15 ),1460018.939999999944121,1525163.579999999841675,1368401.800000000046566,1483915.600000000093132,1455695.320000000065193,1546250.649999999906868,1533688.750000000232831,10373137.640000000596046
FS( 16 ),1467752.039999999804422,1522258.539999999804422,1372699.599999999860302,1474940.799999999813735,1458520.770000000018626,1542684.599999999860302,1536284.250000000000000,10375143.599999999627471
FS( 17 ),1485280.399999999906868,1528431.750000000000000,1393133.000000000000000,1498125.700000000186265,1470952.750000000000000,1556948.799999999813735,1540437.050000000046566,10473312.450000001117587
FS( 18 ),1497137.819999999832362,1533152.439999999711290,1394641.000000000000000,1504108.899999999906868,1471517.839999999850988,1552669.539999999804422,1545108.950000000186265,10498339.489999998360872
FS( 19 ),1482702.699999999953434,1508096.469999999972060,1387402.600000000093132,1489599.639999999897555,1459085.860000000102445,1535552.500000000000000,1527719.100000000093132,10390161.869999999180436
FS( 20 ),1491724.649999999906868,1525526.709999999729916,1403915.199999999953434,1507997.979999999981374,1470387.659999999916181,1548390.280000000027940,1549002.199999999953434,10496947.679999997839332
