代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11550004.740000000223517
真實報酬,1550004.740000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13439.803813818998606
風險,236040.870386228692951
起點值,0.056938460665001
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](5),MSFT[18](1),NKE[19](3),V[25](2),
Stock#,INTC[11](5),MSFT[18](1),NKE[19](3),V[25](2),
張數,53361,29086,39376,21832,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.149999999906868,58.299999999813735,17.759999999776483,17.679999999701977,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2415156.009999999776483,2511634.399999999441206,2499606.239999999757856,2524888.479999999981374,9951285.129999998956919
FS( 3 ),2370866.379999999888241,2533739.759999999776483,2498031.199999999720603,2534276.239999999757856,9936913.580000000074506
FS( 4 ),2387408.290000000037253,2565152.639999999664724,2519294.239999999757856,2594969.199999999720603,10066824.369999999180436
FS( 5 ),2387408.290000000037253,2567770.379999999888241,2541738.559999999590218,2605448.559999999590218,10102365.789999999105930
FS( 6 ),2327643.969999999739230,2566025.219999999739230,2523625.600000000093132,2600427.199999999720603,10017721.989999998360872
FS( 7 ),2267879.649999999906868,2554390.819999999832362,2528744.479999999515712,2597589.039999999571592,9948603.989999998360872
FS( 8 ),2316438.159999999683350,2561953.179999999701977,2531500.799999999813735,2616364.559999999590218,10026256.699999999254942
FS( 9 ),2307366.790000000037253,2606163.899999999441206,2546463.679999999701977,2621822.559999999590218,10081816.929999999701977
FS( 10 ),2302030.689999999944121,2569806.399999999441206,2497243.679999999701977,2628372.159999999683350,9997452.929999999701977
FS( 11 ),2368731.939999999944121,2621870.339999999850988,2512600.319999999832362,2663085.039999999571592,10166287.639999998733401
FS( 12 ),2373534.429999999701977,2620706.899999999441206,2524413.119999999646097,2687755.199999999720603,10206409.649999998509884
FS( 13 ),2391677.169999999925494,2617798.299999999813735,2646478.719999999739230,2678804.079999999608845,10334758.269999999552965
FS( 14 ),2441302.899999999906868,2664626.759999999776483,2614190.399999999906868,2714390.239999999757856,10434510.300000000745058
FS( 15 ),2457844.810000000055879,2673061.700000000186265,2643722.399999999906868,2721376.479999999981374,10496005.390000000596046
FS( 16 ),2428496.259999999776483,2670734.819999999832362,2677585.759999999776483,2719193.279999999795109,10496010.119999999180436
FS( 17 ),2417290.449999999720603,2685568.679999999701977,2666166.719999999739230,2733820.719999999739230,10502846.569999998435378
FS( 18 ),2672356.029999999795109,2735887.459999999962747,2679160.799999999813735,2757835.919999999459833,10845240.209999999031425
FS( 19 ),2667019.929999999701977,2731815.419999999925494,2661047.839999999850988,2725524.559999999590218,10785407.750000000000000
FS( 20 ),2603520.339999999850988,2697493.939999999478459,2651203.839999999850988,2697361.279999999795109,10649579.399999998509884
FS( 21 ),2568835.689999999944121,2763519.160000000149012,2686248.479999999515712,2712207.039999999571592,10730810.369999999180436
FS( 22 ),2542688.799999999813735,2741704.660000000149012,2663804.160000000149012,2744736.719999999739230,10692934.339999999850988
FS( 23 ),2462647.299999999813735,2669571.379999999888241,2646872.479999999515712,2639724.799999999813735,10418815.959999999031425
FS( 24 ),2375668.870000000111759,2559626.299999999813735,2535438.399999999906868,2538424.319999999832362,10009157.890000000596046
