代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12873060.759999999776483
真實報酬,2873060.759999999776483

夏普值報酬,0.278606076000000
夏普值風險,0.072006989036605
夏普值,3.869153254809313

二次趨勢線,29.587237255175381 x^2 + 18954.192887565095589 x + 10000000.000000000000000
二次加權預期報酬,24023.472870618468733
風險,163870.512511329929112
二次加權趨勢值,0.146600340124997
一次趨勢線,21805.619705993798561 x + 10000000.000000000000000
一次預期報酬,21805.619705993798561
一次風險,172766.773089168040315
一次趨勢值,0.126214197997085
找到最佳解世代,2063
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](7),KO[14](2),XOM[29](1),
Stock#,HD[9](7),KO[14](2),XOM[29](1),
張數,119388,133226,58882,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.039999999571592,18.479999999981374,22.979999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3314230.919999999925494,3334665.260000000242144,3330977.720000000204891,9979874.900000000372529
FS( 3 ),3264087.959999999497086,3359978.199999999720603,3383382.700000000186265,10007449.859999999403954
FS( 4 ),3344077.919999999925494,3429255.719999999739230,3440498.239999999757856,10213832.879999998956919
FS( 5 ),3360792.239999999292195,3491871.939999999944121,3462873.399999999906868,10315538.580000000074506
FS( 6 ),3373924.919999999925494,3490539.679999999701977,3461106.939999999944121,10325572.539999999105930
FS( 7 ),3379894.319999999366701,3494536.459999999962747,3470528.060000000055879,10344959.839999999850988
FS( 8 ),3419292.359999999869615,3511855.839999999850988,3498791.419999999925494,10429940.619999999180436
FS( 9 ),3376312.679999999701977,3518517.140000000130385,3489370.299999999813735,10384201.120000001043081
FS( 10 ),3383475.959999999497086,3521181.660000000149012,3489959.120000000111759,10394617.739999998360872
FS( 11 ),3236628.719999999273568,3489207.419999999925494,3412823.700000000186265,10138660.839999999850988
FS( 12 ),3231853.199999999720603,3482546.120000000111759,3440498.239999999757856,10154898.560000000521541
FS( 13 ),3334526.879999999422580,3546494.600000000093132,3471116.880000000353903,10352139.359999999403954
FS( 14 ),3279608.399999999441206,3602449.520000000018626,3425188.919999999925494,10307247.839999999850988
FS( 15 ),3369149.399999999441206,3614439.859999999869615,3496436.140000000130385,10480026.400000000372529
FS( 16 ),3372731.039999999571592,3647746.359999999869615,3516456.020000000018626,10536934.419999999925494
