代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11695566.400000000372529
真實報酬,1695566.400000000372529

夏普值報酬,0.160856640000000
夏普值風險,0.063223722606516
夏普值,2.544244998054305

二次趨勢線,53.275598577044505 x^2 + 11693.800399837522491 x + 10000000.000000000000000
二次加權預期報酬,20466.515632190850738
風險,166217.585611346643418
二次加權趨勢值,0.123130868234641
一次趨勢線,16628.371834030393074 x + 10000000.000000000000000
一次預期報酬,16628.371834030393074
一次風險,189510.251016043795971
一次趨勢值,0.087743917518333
找到最佳解世代,1849
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),IBM[10](6),UNH[23](2),WBA[27](1),
Stock#,DIS[6](3),IBM[10](6),UNH[23](2),WBA[27](1),
張數,27259,15210,26354,38473,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,77.110000000335276,84.399999999906868,59.560000000055879,24.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2462927.760000000242144,2473990.899999999906868,2503162.479999999981374,2510002.979999999981374,9950084.120000001043081
FS( 3 ),2480646.110000000335276,2461366.599999999627471,2524772.759999999776483,2526161.639999999664724,9992947.109999999403954
FS( 4 ),2507905.110000000335276,2455891.000000000000000,2535577.899999999906868,2564249.910000000149012,10063623.919999999925494
FS( 5 ),2453387.110000000335276,2465169.099999999627471,2467057.500000000000000,2574637.620000000111759,9960251.330000000074506
FS( 6 ),2447390.130000000353903,2486767.299999999813735,2497101.060000000055879,2607724.399999999906868,10038982.890000000596046
FS( 7 ),2452841.930000000633299,2483877.399999999906868,2521873.819999999832362,2596951.959999999962747,10055545.109999999403954
FS( 8 ),2450661.210000000428408,2462887.599999999627471,2521610.280000000260770,2594643.580000000074506,10029802.670000001788139
FS( 9 ),2466744.020000000018626,2476120.299999999813735,2527408.160000000149012,2576176.539999999571592,10046449.019999999552965
FS( 10 ),2475194.310000000055879,2496958.000000000000000,2506588.500000000000000,2575022.350000000093132,10053763.160000000149012
FS( 11 ),2464563.300000000279397,2496958.000000000000000,2542429.939999999944121,2560402.609999999869615,10064353.849999999627471
FS( 12 ),2461019.630000000353903,2462431.299999999813735,2587758.819999999832362,2618496.839999999850988,10129706.589999999850988
FS( 13 ),2448480.490000000223517,2455434.700000000186265,2552708.000000000000000,2608109.130000000353903,10064732.320000000298023
FS( 14 ),2423402.210000000428408,2443418.799999999813735,2552444.459999999962747,2590796.280000000260770,10010061.750000000000000
FS( 15 ),2425037.750000000000000,2447677.599999999627471,2548754.899999999906868,2600414.530000000260770,10021884.780000001192093
FS( 16 ),2469197.330000000074506,2466385.899999999906868,2553762.160000000149012,2605800.750000000000000,10095146.140000000596046
FS( 17 ),2498364.460000000428408,2460454.000000000000000,2580116.160000000149012,2608878.589999999850988,10147813.210000000894070
FS( 18 ),2505724.390000000596046,2463343.899999999906868,2585650.500000000000000,2634270.770000000018626,10188989.560000000521541
FS( 19 ),2521807.200000000651926,2466690.099999999627471,2599354.580000000074506,2639656.989999999757856,10227508.870000001043081
FS( 20 ),2526986.410000000614673,2457107.799999999813735,2610686.800000000279397,2607339.669999999925494,10202120.680000001564622
FS( 21 ),2547975.840000000316650,2474295.099999999627471,2630979.379999999888241,2568097.209999999962747,10221347.529999999329448
FS( 22 ),2538162.600000000093132,2502433.600000000093132,2656542.759999999776483,2592335.199999999720603,10289474.160000000149012
FS( 23 ),2541433.680000000633299,2495284.899999999906868,2626762.740000000223517,2612341.160000000149012,10275822.480000000447035
FS( 24 ),2555880.950000000651926,2483421.100000000093132,2644156.379999999888241,2639272.259999999776483,10322730.690000001341105
FS( 25 ),2556971.310000000055879,2461975.000000000000000,2633351.240000000223517,2605800.750000000000000,10258098.300000000745058
FS( 26 ),2533528.570000000298023,2479162.299999999813735,2662340.640000000130385,2638887.530000000260770,10313919.039999999105930
FS( 27 ),2497819.280000000260770,2441441.500000000000000,2611477.419999999925494,2621959.410000000149012,10172697.609999999403954
FS( 28 ),2501090.360000000335276,2449959.099999999627471,2628343.979999999981374,2808938.189999999944121,10388331.629999998956919
FS( 29 ),2494003.020000000018626,2363414.199999999720603,2602780.600000000093132,2866262.959999999962747,10326460.780000001192093
FS( 30 ),2477920.210000000428408,2328127.000000000000000,2589867.140000000130385,2825481.580000000074506,10221395.930000001564622
FS( 31 ),2458021.140000000596046,2303030.500000000000000,2526090.459999999962747,2785084.930000000167638,10072227.030000001192093
FS( 32 ),2491004.530000000260770,2310939.700000000186265,2612795.120000000111759,2769695.729999999981374,10184435.080000000074506
FS( 33 ),2524533.100000000093132,2398397.200000000186265,2694492.520000000018626,2861646.199999999720603,10479069.019999999552965
FS( 34 ),2532165.620000000577420,2411021.500000000000000,2701081.020000000018626,2817402.250000000000000,10461670.390000000596046
FS( 35 ),2567874.910000000614673,2455586.799999999813735,2715575.720000000204891,2857414.169999999925494,10596451.600000001490116
FS( 36 ),2581231.820000000298023,2467754.799999999813735,2710568.459999999962747,2943593.689999999944121,10703148.769999999552965
FS( 37 ),2573871.890000000596046,2461366.599999999627471,2706088.280000000260770,2949749.370000000111759,10691076.140000000596046
FS( 38 ),2590499.880000000353903,2469275.799999999813735,2702662.259999999776483,2941670.039999999571592,10704107.979999998584390
FS( 39 ),2603311.610000000335276,2441441.500000000000000,2696864.379999999888241,2954366.130000000353903,10695983.620000001043081
FS( 40 ),2581504.410000000614673,2434444.899999999906868,2710568.459999999962747,2925896.109999999869615,10652413.880000000819564
FS( 41 ),2567602.320000000298023,2440376.799999999813735,2664185.419999999925494,2931667.060000000055879,10603831.599999999627471
FS( 42 ),2555608.360000000335276,2465017.000000000000000,2656015.680000000167638,2923972.459999999962747,10600613.500000000000000
FS( 43 ),2518263.530000000260770,2426231.500000000000000,2612268.040000000037253,2866262.959999999962747,10423026.030000001192093
FS( 44 ),2504906.620000000577420,2373909.099999999627471,2606997.240000000223517,2873572.830000000074506,10359385.790000000968575
FS( 45 ),2530530.080000000074506,2358394.899999999906868,2633614.780000000260770,2947056.259999999776483,10469596.019999999552965
FS( 46 ),2556698.720000000670552,2409652.599999999627471,2759323.360000000335276,2983605.609999999869615,10709280.290000000968575
FS( 47 ),2569237.860000000335276,2420147.500000000000000,2733496.439999999944121,2911276.370000000111759,10634158.170000001788139
FS( 48 ),2574962.250000000000000,2379536.799999999813735,2702662.259999999776483,2912430.560000000055879,10569591.869999999180436
FS( 49 ),2594861.320000000298023,2385164.500000000000000,2716366.339999999850988,2895502.439999999944121,10591894.599999999627471
FS( 50 ),2568692.680000000633299,2369802.399999999906868,2723218.379999999888241,2885114.729999999981374,10546828.189999999478459
FS( 51 ),2571963.760000000242144,2351094.099999999627471,2752998.399999999906868,2877035.399999999906868,10553091.660000000149012
FS( 52 ),2594588.730000000447035,2390183.799999999813735,2787522.140000000130385,2925126.649999999906868,10697421.320000000298023
FS( 53 ),2582594.770000000018626,2387293.899999999906868,2783569.040000000037253,2925896.109999999869615,10679353.820000000298023
FS( 54 ),2567057.140000000596046,2313373.299999999813735,2881078.839999999850988,2908198.530000000260770,10669707.810000000521541
FS( 55 ),2593770.960000000428408,2363566.299999999813735,3000462.459999999962747,2924741.919999999925494,10882541.640000000596046
FS( 56 ),2582049.590000000316650,2370867.100000000093132,2951707.560000000055879,2908198.530000000260770,10812822.780000001192093
FS( 57 ),2588864.340000000316650,2378320.000000000000000,2941429.500000000000000,2917816.780000000260770,10826430.620000001043081
FS( 58 ),2561605.340000000316650,2337405.099999999627471,2899263.100000000093132,2882806.350000000093132,10681079.889999998733401
FS( 59 ),2526168.640000000596046,2305159.899999999906868,2858414.399999999906868,2838177.669999999925494,10527920.610000001266599
FS( 60 ),2541161.090000000316650,2364935.199999999720603,2882923.620000000111759,2868956.069999999832362,10657975.980000000447035
FS( 61 ),2479555.750000000000000,2331929.500000000000000,2800172.060000000055879,2837408.209999999962747,10449065.519999999552965
FS( 62 ),2505996.980000000447035,2352463.000000000000000,2827580.220000000204891,2881267.430000000167638,10567307.630000000819564
FS( 63 ),2565149.010000000242144,2410413.100000000093132,2841284.300000000279397,2877420.130000000353903,10694266.540000000968575
FS( 64 ),2760868.630000000353903,2387446.000000000000000,2844183.240000000223517,2872803.370000000111759,10865301.240000002086163
FS( 65 ),2797940.870000000577420,2401895.500000000000000,2867901.839999999850988,2877420.130000000353903,10945158.340000001713634
FS( 66 ),2781040.290000000037253,2383795.600000000093132,2835749.959999999962747,2929743.410000000149012,10930329.260000001639128
FS( 67 ),2773135.180000000633299,2369041.899999999906868,2806497.020000000018626,2939361.660000000149012,10888035.759999999776483
FS( 68 ),2778314.390000000596046,2411782.000000000000000,2871854.939999999944121,2950518.830000000074506,11012470.160000000149012
FS( 69 ),2776951.440000000409782,2406306.399999999906868,2895046.459999999962747,3059782.149999999906868,11138086.449999999254942
FS( 70 ),2823564.330000000074506,2411173.600000000093132,2894782.919999999925494,3076325.539999999571592,11205846.389999998733401
FS( 71 ),2839647.140000000596046,2439768.399999999906868,2884241.319999999832362,3029003.750000000000000,11192660.610000001266599
FS( 72 ),2838284.190000000409782,2448286.000000000000000,2892674.600000000093132,3000918.459999999962747,11180163.250000000000000
FS( 73 ),2831196.850000000093132,2466994.299999999813735,2892938.140000000130385,2992839.130000000353903,11183968.420000001788139
FS( 74 ),2832014.620000000577420,2492851.299999999813735,2899790.180000000167638,2966292.759999999776483,11190948.859999999403954
FS( 75 ),2850005.560000000055879,2489200.899999999906868,2968047.040000000037253,2967446.949999999720603,11274700.449999999254942
FS( 76 ),2861999.520000000018626,2477945.500000000000000,3067665.160000000149012,3023617.530000000260770,11431227.710000000894070
FS( 77 ),2853276.640000000596046,2507148.700000000186265,3042101.780000000260770,3092868.930000000167638,11495396.050000000745058
FS( 78 ),2877809.740000000223517,2476424.500000000000000,3005733.259999999776483,3078249.189999999944121,11438216.689999999478459
FS( 79 ),2850278.150000000372529,2446917.100000000093132,2995455.200000000186265,3141344.910000000149012,11433995.359999999403954
FS( 80 ),2837193.830000000074506,2463191.799999999813735,2994664.580000000074506,3196361.299999999813735,11491411.509999999776483
FS( 81 ),2886532.620000000577420,2440985.199999999720603,3014957.160000000149012,3217136.720000000204891,11559611.700000001117587
FS( 82 ),2899071.760000000242144,2449350.699999999720603,2974372.000000000000000,3201362.789999999571592,11524157.250000000000000
FS( 83 ),2877809.740000000223517,2424862.599999999627471,2999671.839999999850988,3194052.919999999925494,11496397.099999999627471
FS( 84 ),2863089.880000000353903,2451632.200000000186265,3025235.220000000204891,3200978.060000000055879,11540935.360000001266599
FS( 85 ),2830106.490000000223517,2410869.399999999906868,2974899.080000000074506,3168276.009999999776483,11384150.980000000447035
FS( 86 ),2869359.450000000651926,2445396.100000000093132,3028134.160000000149012,3212519.959999999962747,11555409.670000001788139
FS( 87 ),2810207.420000000391155,2400374.500000000000000,2963830.399999999906868,3182511.020000000018626,11356923.339999999850988
FS( 88 ),2804755.620000000577420,2385012.399999999906868,2970682.439999999944121,3174431.689999999944121,11334882.150000000372529
