代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11928143.230000000447035
真實報酬,1928143.230000000447035

夏普值報酬,0.184114323000000
夏普值風險,0.049773568867492
夏普值,3.699038007303655

二次趨勢線,22.442321869246840 x^2 + 12107.337068281171014 x + 10000000.000000000000000
二次加權預期報酬,15802.839402750485533
風險,102083.345102309089270
二次加權趨勢值,0.154803306914685
一次趨勢線,14186.023059069180817 x + 10000000.000000000000000
一次預期報酬,14186.023059069180817
一次風險,109047.435247894929489
一次趨勢值,0.130090387057893
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](4),MRK[17](2),
Stock#,CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](4),MRK[17](2),
張數,23926,36055,21420,20567,44218,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,25.659999999916181,29.150000000139698,14.599999999860302,64.920000000158325,19.860000000102445,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2007177.799999999813735,1971877.100000000093132,1992717.199999999953434,2001439.690000000176951,2021666.820000000065193,9994878.609999999403954
FS( 3 ),2011005.959999999962747,1988101.850000000093132,1988004.799999999813735,2003496.390000000130385,2005748.340000000083819,9996357.339999999850988
FS( 4 ),2015073.379999999888241,2015864.199999999953434,1992931.399999999906868,2013574.220000000204891,2032279.140000000130385,10069722.340000001713634
FS( 5 ),2001435.560000000055879,1985578.000000000232831,1985434.399999999906868,1999177.320000000298023,2026088.620000000111759,9997713.900000002235174
FS( 6 ),2015551.899999999906868,2036776.100000000325963,2014565.599999999860302,1995269.590000000316650,2069422.260000000009313,10131585.449999999254942
FS( 7 ),2013398.560000000055879,2036415.550000000046566,2019706.399999999906868,1996914.950000000186265,2078265.860000000102445,10144701.320000000298023
FS( 8 ),2006220.759999999776483,2019830.250000000232831,2004069.799999999813735,2008638.140000000130385,2104354.480000000447035,10143113.429999999701977
FS( 9 ),2014594.859999999869615,2033170.600000000093132,1999357.399999999906868,2017893.290000000037253,2093299.980000000214204,10158316.129999998956919
FS( 10 ),2004067.419999999925494,2059130.200000000186265,2011781.000000000000000,2006581.440000000176951,2114524.620000000111759,10196084.679999999701977
FS( 11 ),2003588.899999999906868,2065620.100000000093132,2021848.399999999906868,1993418.560000000288710,2125579.120000000111759,10210055.080000001937151
FS( 12 ),2010766.699999999953434,2047232.050000000279397,2019920.599999999860302,2008432.470000000204891,2122926.040000000037253,10209277.859999999403954
FS( 13 ),2001914.079999999841675,2038578.850000000093132,2031915.799999999813735,2015219.580000000307336,2125579.120000000111759,10213207.429999999701977
FS( 14 ),1978227.340000000083819,2015864.199999999953434,2038127.600000000093132,2006170.100000000325963,2128232.200000000186265,10166621.440000001341105
FS( 15 ),1964828.780000000027940,2034973.350000000093132,2039198.599999999860302,2009460.820000000298023,2149899.019999999552965,10198360.570000000298023
FS( 16 ),1983012.539999999804422,2036415.550000000046566,2040269.599999999860302,2021184.010000000009313,2164048.780000000260770,10244930.480000000447035
FS( 17 ),2019380.060000000055879,2002884.400000000139698,2048409.199999999720603,2034552.560000000288710,2195885.740000000223517,10301111.960000000894070
FS( 18 ),2018423.020000000018626,1991707.350000000325963,2036199.799999999813735,2019744.320000000298023,2192348.299999999813735,10258422.789999999105930
FS( 19 ),2025840.079999999841675,2007571.550000000046566,2034486.199999999953434,1996297.940000000176951,2203402.799999999813735,10267598.570000000298023
FS( 20 ),2024165.259999999776483,2005768.800000000279397,2027631.799999999813735,2002673.710000000195578,2203402.799999999813735,10263642.369999999180436
FS( 21 ),2015791.159999999916181,2053000.850000000093132,2019492.199999999953434,1984986.090000000316650,2218879.099999999627471,10292149.400000000372529
