代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12217554.759999999776483
真實報酬,2217554.759999999776483

夏普值報酬,0.213055476000000
夏普值風險,0.069265991805154
夏普值,3.075903057871867

二次趨勢線,110.072959311415346 x^2 + 6468.632714130877503 x + 10000000.000000000000000
二次加權預期報酬,24887.507905574373581
風險,120305.657351717847632
二次加權趨勢值,0.206868974023515
一次趨勢線,16829.085557685455569 x + 10000000.000000000000000
一次預期報酬,16829.085557685455569
一次風險,228449.505409230798250
一次趨勢值,0.073666544068628
找到最佳解世代,2743
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),BA[2](2),DIS[6](8),JNJ[12](9),
Stock#,AAPL[0](1),BA[2](2),DIS[6](8),JNJ[12](9),
張數,22218,18885,27029,21041,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.640000000130385,3.700000000186265,87.790000000037253,118.790000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2510664.640000000130385,2497544.950000000186265,2502702.899999999906868,2500210.409999999683350,10011122.900000000372529
FS( 3 ),2511775.540000000037253,2543057.800000000279397,2498918.840000000316650,2507785.170000000391155,10061537.349999999627471
FS( 4 ),2530438.660000000149012,2538525.399999999906868,2509189.859999999869615,2498737.540000000037253,10076891.460000000894070
FS( 5 ),2534215.720000000204891,2527760.950000000186265,2500000.000000000000000,2509047.629999999888241,10071024.300000000745058
FS( 6 ),2578429.540000000037253,2565342.100000000093132,2500000.000000000000000,2520830.589999999850988,10164602.230000000447035
FS( 7 ),2583984.040000000037253,2525683.600000000558794,2482971.729999999981374,2475382.030000000260770,10068021.400000002235174
FS( 8 ),2607090.760000000242144,2514730.300000000279397,2470808.680000000167638,2482325.560000000055879,10074955.300000000745058
FS( 9 ),2599092.280000000260770,2518885.000000000000000,2462970.270000000018626,2488427.450000000186265,10069375.000000000000000
FS( 10 ),2613533.979999999981374,2521151.200000000186265,2467835.489999999757856,2473698.750000000000000,10076219.419999999925494
FS( 11 ),2611756.540000000037253,2530593.700000000186265,2455131.859999999869615,2493266.879999999888241,10090748.980000000447035
FS( 12 ),2609979.100000000093132,2551367.200000000186265,2464321.720000000204891,2428460.600000000093132,10054128.620000001043081
FS( 13 ),2602202.800000000279397,2571763.000000000465661,2484863.760000000242144,2411206.979999999981374,10070036.540000000968575
FS( 14 ),2600869.720000000204891,2565342.100000000093132,2487566.660000000149012,2417098.459999999962747,10070876.940000001341105
FS( 15 ),2590649.439999999944121,2561376.250000000000000,2514595.660000000149012,2387009.830000000074506,10053631.179999999701977
FS( 16 ),2613978.340000000316650,2595746.950000000186265,2523785.520000000018626,2390586.799999999813735,10124097.609999999403954
FS( 17 ),2627309.140000000130385,2625396.400000000372529,2507027.540000000037253,2397951.149999999906868,10157684.230000000447035
FS( 18 ),2568209.260000000242144,2748526.600000000093132,2527029.000000000000000,2410575.750000000000000,10254340.609999999403954
FS( 19 ),2543547.280000000260770,2706413.050000000279397,2541354.370000000111759,2434562.490000000223517,10225877.190000001341105
FS( 20 ),2526661.600000000093132,2700747.549999999813735,2536759.439999999944121,2426777.319999999832362,10190945.910000000149012
FS( 21 ),2522662.360000000335276,2689794.250000000465661,2505405.799999999813735,2440664.379999999888241,10158526.790000000968575
FS( 22 ),2477115.459999999962747,2689416.550000000279397,2497297.100000000093132,2426987.729999999981374,10090816.839999999850988
FS( 23 ),2479337.260000000242144,2658067.450000000186265,2484323.180000000167638,2416888.049999999813735,10038615.940000001341105
FS( 24 ),2440233.580000000074506,2644281.400000000372529,2523785.520000000018626,2420465.020000000018626,10028765.519999999552965
FS( 25 ),2418237.760000000242144,2635216.600000000093132,2498918.840000000316650,2422148.299999999813735,9974521.500000000000000
FS( 26 ),2453120.020000000018626,2701125.250000000000000,2552436.260000000242144,2454761.850000000093132,10161443.379999998956919
FS( 27 ),2467561.720000000204891,2685450.700000000186265,2551084.810000000055879,2462967.839999999850988,10167065.070000000298023
FS( 28 ),2463562.479999999981374,2740028.350000000093132,2558112.350000000093132,2531561.500000000000000,10293264.679999999701977
FS( 29 ),2394908.860000000335276,2789129.350000000093132,2566761.629999999888241,2515359.930000000167638,10266159.770000001415610
FS( 30 ),2409128.380000000353903,2804803.900000000372529,2640280.510000000242144,2492846.060000000055879,10347058.850000001490116
FS( 31 ),2348695.419999999925494,2832564.850000000558794,2646767.470000000204891,2453499.390000000130385,10281527.130000000819564
FS( 32 ),2379800.620000000111759,2797061.050000000279397,2640821.090000000316650,2447607.909999999683350,10265290.669999999925494
FS( 33 ),2443788.459999999962747,2765523.100000000093132,2679202.270000000018626,2448449.549999999813735,10336963.379999998956919
FS( 34 ),2442899.740000000223517,2744560.750000000465661,2685959.520000000018626,2452868.159999999683350,10326288.169999999925494
FS( 35 ),2445343.720000000204891,2763823.450000000186265,2655416.750000000000000,2427408.549999999813735,10291992.469999998807907
FS( 36 ),2482447.780000000260770,2776476.400000000372529,2638929.060000000055879,2419833.790000000037253,10317687.030000001192093
FS( 37 ),2484003.040000000037253,2823688.900000000372529,2641091.379999999888241,2372281.129999999888241,10321064.449999999254942
FS( 38 ),2471338.780000000260770,2827843.600000000558794,2655957.330000000074506,2379224.659999999683350,10334364.370000001043081
FS( 39 ),2483780.860000000335276,2833509.100000000093132,2671093.569999999832362,2401528.120000000111759,10389911.650000002235174
FS( 40 ),2478892.899999999906868,2828410.150000000372529,2675147.919999999925494,2380487.120000000111759,10362938.089999999850988
FS( 41 ),2476448.919999999925494,2863725.100000000093132,2694068.220000000204891,2366810.470000000204891,10401052.710000000894070
FS( 42 ),2455564.000000000000000,2843329.300000000279397,2679202.270000000018626,2341982.089999999850988,10320077.660000000149012
