代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11726937.699999999254942
真實報酬,1726937.699999999254942

夏普值報酬,0.163993770000000
夏普值風險,0.055141396101280
夏普值,2.974059084372588

二次趨勢線,135.647892479112045 x^2 + -3637.230403405434117 x + 10000000.000000000000000
二次加權預期報酬,19784.639031321235962
風險,145505.425412861630321
二次加權趨勢值,0.135971830433014
一次趨勢線,9537.374752239586087 x + 10000000.000000000000000
一次預期報酬,9537.374752239586087
一次風險,293430.083663429773878
一次趨勢值,0.032503057059341
找到最佳解世代,2363
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](8),PFE[20](3),WBA[27](1),
Stock#,MCD[15](8),PFE[20](3),WBA[27](1),
張數,20394,94161,50952,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,137.640000000130385,33.600000000093132,53.159999999683350,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3277045.560000000055879,3285310.890000000130385,3243147.959999999497086,9805505.410000000149012
FS( 3 ),3264809.160000000614673,3273069.959999999962747,3170796.119999999646097,9708676.240000000223517
FS( 4 ),3365759.459999999962747,3280602.840000000316650,3251300.279999999795109,9897663.580000000074506
FS( 5 ),3365147.640000000130385,3289077.330000000074506,3174362.759999999310821,9828588.730000000447035
FS( 6 ),3360457.020000000484288,3293785.379999999888241,3177419.879999999422580,9831663.279999999329448
FS( 7 ),3349648.200000000186265,3311675.970000000204891,3206972.039999999571592,9868297.209999999031425
FS( 8 ),3366575.220000000204891,3299435.040000000037253,3251300.279999999795109,9917311.539999999105930
FS( 9 ),3373101.299999999813735,3342749.100000000093132,3265566.839999999850988,9981418.240000000223517
FS( 10 ),3359437.320000000298023,3376647.060000000055879,3317028.359999999403954,10053113.740000000223517
FS( 11 ),3325583.280000000260770,3360639.689999999944121,3292061.879999999422580,9978285.849999999627471
FS( 12 ),3321708.420000000391155,3359698.080000000074506,3349637.639999999199063,10031045.139999998733401
FS( 13 ),3289893.780000000260770,3362522.910000000149012,3362375.639999999199063,10014793.330000000074506
FS( 14 ),3283163.759999999776483,3355931.640000000130385,3278304.839999999850988,9917401.240000000223517
FS( 15 ),3293360.759999999776483,3370997.399999999906868,3286457.159999999683350,9950816.320000000298023
FS( 16 ),3251960.939999999944121,3363464.520000000018626,3272700.120000000111759,9888126.580000000074506
FS( 17 ),3296215.920000000391155,3387004.770000000018626,3256395.479999999515712,9939617.169999999925494
FS( 18 ),3311919.299999999813735,3379471.890000000130385,3230919.479999999515712,9922311.669999998062849
FS( 19 ),3328642.380000000353903,3359698.080000000074506,3237033.719999999739230,9925375.179999999701977
FS( 20 ),3275821.920000000391155,3361581.300000000279397,3194743.560000000055879,9832147.780000001192093
FS( 21 ),3300294.720000000204891,3394537.649999999906868,3237543.239999999757856,9932376.609999999403954
FS( 22 ),3263381.580000000074506,3383238.330000000074506,3178948.439999999944121,9825569.349999999627471
FS( 23 ),3246046.680000000167638,3413369.850000000093132,3202895.879999999422580,9862313.410000000149012
FS( 24 ),3267664.320000000298023,3432202.050000000279397,3225314.759999999310821,9925182.130000000819564
FS( 25 ),3252572.759999999776483,3431260.439999999944121,3204424.439999999944121,9888258.639999998733401
FS( 26 ),3311715.359999999869615,3425610.780000000260770,3217671.959999999497086,9954999.099999999627471
FS( 27 ),3456512.759999999776483,3435968.490000000223517,3240600.359999999869615,10133082.609999999403954
FS( 28 ),3444888.180000000167638,3452917.470000000204891,3230409.959999999497086,10128216.609999999403954
FS( 29 ),3395534.700000000186265,3418077.899999999906868,3264038.279999999795109,10077651.879999998956919
FS( 30 ),3400429.259999999776483,3418077.899999999906868,3245695.560000000055879,10064203.720000000670552
FS( 31 ),3397370.160000000614673,3410545.020000000018626,3256395.479999999515712,10064311.660000000149012
FS( 32 ),3406955.340000000316650,3404895.359999999869615,3305309.399999999906868,10117161.099999999627471
FS( 33 ),3394922.880000000353903,3423727.560000000055879,3352694.759999999310821,10171346.199999999254942
FS( 34 ),3391251.959999999962747,3404895.359999999869615,3268623.959999999962747,10064772.280000001192093
FS( 35 ),3364535.820000000298023,3410545.020000000018626,3292061.879999999422580,10067143.719999998807907
FS( 36 ),3315386.280000000260770,3433143.660000000149012,3464789.159999999683350,10213320.099999999627471
