代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11875458.190000001341105
真實報酬,1875458.190000001341105

夏普值報酬,0.178845819000000
夏普值風險,0.059654342825882
夏普值,2.998035189525292

二次趨勢線,193.838296132690232 x^2 + -7858.305175391926241 x + 10000000.000000000000000
二次加權預期報酬,24060.400921124393790
風險,89977.054111946054036
二次加權趨勢值,0.267405964316073
一次趨勢線,10095.672714987400468 x + 10000000.000000000000000
一次預期報酬,10095.672714987400468
一次風險,343196.699520295951515
一次趨勢值,0.029416578682425
找到最佳解世代,2270
找到最佳解實驗#,4
找到最佳解次數,12

stock[index](rank)
投資組合檔數,5
BA[2](12),DIS[6](3),JNJ[12](1),KO[14](5),WMT[28](4),
FS( 23 ),2092101.519999999785796,1980715.519999999785796,1954125.919999999925494,1990356.320000000065193,1963785.430000000167638,9981084.709999999031425
FS( 24 ),2087016.160000000149012,1992366.560000000055879,1957202.840000000083819,1998928.480000000214204,1950987.800000000046566,9986501.840000001713634
FS( 25 ),2090123.880000000121072,1971073.280000000027940,1959440.599999999860302,2002678.800000000279397,1949354.060000000055879,9972670.620000001043081
FS( 26 ),2108770.199999999720603,1978304.959999999962747,1970629.400000000139698,2020358.880000000121072,1968414.360000000102445,10046477.799999998882413
FS( 27 ),2133914.479999999981374,1980715.519999999785796,1974825.199999999953434,2016608.560000000288710,1964602.300000000046566,10070666.060000000521541
FS( 28 ),2142107.559999999590218,1987947.199999999953434,1988811.199999999953434,2028395.280000000027940,1930293.760000000009313,10077555.000000000000000
FS( 29 ),2132219.359999999869615,1994375.360000000102445,1984895.119999999878928,2016608.560000000288710,1877197.209999999962747,10005295.609999999403954
FS( 30 ),2099729.559999999590218,1973082.079999999841675,1979021.000000000000000,2014465.520000000251457,1879920.110000000102445,9946218.269999999552965
FS( 31 ),2091253.959999999729916,1955404.640000000130385,1977342.679999999934807,2017680.080000000074506,1872023.699999999953434,9913705.059999998658895
FS( 32 ),2109052.720000000204891,1979912.000000000000000,1984335.679999999934807,2009107.920000000158325,1884276.750000000000000,9966685.070000000298023
FS( 33 ),2133631.959999999962747,2017677.439999999944121,1984615.400000000139698,1997321.200000000186265,1892445.449999999953434,10025691.449999999254942
FS( 34 ),2133349.439999999944121,2006428.159999999916181,1975664.359999999869615,1970533.200000000186265,1865761.029999999795109,9951736.189999999478459
FS( 35 ),2152843.319999999832362,2046202.399999999906868,1979021.000000000000000,1984998.719999999972060,1878830.949999999953434,10041896.389999998733401
FS( 36 ),2151995.759999999776483,2008838.719999999972060,1965594.439999999944121,1976426.560000000288710,1869300.800000000046566,9972156.280000001192093
FS( 37 ),2146345.359999999869615,2004017.600000000093132,1958601.439999999944121,1967854.399999999906868,1867122.479999999748543,9943941.280000001192093
FS( 38 ),2147757.959999999962747,2002812.320000000065193,1962797.239999999990687,1951245.840000000316650,1851329.659999999916181,9915943.020000001415610
FS( 39 ),2142390.080000000074506,1989956.000000000000000,1960559.479999999981374,1951245.840000000316650,1856775.459999999962747,9900926.859999999403954
FS( 40 ),2110182.799999999813735,1974689.119999999878928,1943496.560000000055879,1927136.640000000130385,1840982.639999999897555,9796487.760000001639128
FS( 41 ),2129111.640000000130385,2000401.760000000009313,1960839.199999999953434,1942137.920000000158325,1857864.620000000111759,9890355.140000000596046
FS( 42 ),2177422.559999999590218,2053032.320000000065193,1981538.479999999981374,2014465.520000000251457,1885365.909999999916181,10111824.789999999105930
FS( 43 ),2188723.359999999869615,2057451.679999999934807,1978741.279999999795109,2014465.520000000251457,1873385.149999999906868,10112766.990000000223517
FS( 44 ),2194938.799999999813735,2096824.159999999916181,2001398.599999999860302,2017680.080000000074506,1880464.689999999944121,10191306.330000000074506
FS( 45 ),2150865.679999999701977,2047809.439999999944121,1997202.800000000046566,1998392.719999999972060,1862493.550000000046566,10056764.189999999478459
FS( 46 ),2094361.679999999701977,2039372.479999999981374,1997482.520000000018626,1984462.960000000195578,1867667.060000000055879,9983346.699999999254942
FS( 47 ),2168664.439999999944121,2040176.000000000000000,2006433.560000000055879,1983927.200000000186265,1867122.479999999748543,10066323.679999999701977
FS( 48 ),2177987.600000000093132,2040577.760000000009313,2019300.679999999934807,1980176.880000000121072,1861404.389999999897555,10079447.310000000521541
FS( 49 ),2123461.239999999757856,2032140.799999999813735,2023776.199999999953434,1977498.080000000074506,1868756.219999999739230,10025632.539999999105930
FS( 50 ),2162731.520000000018626,2032542.560000000055879,2029650.320000000065193,1981784.160000000149012,1859770.649999999906868,10066479.210000000894070
FS( 51 ),2173749.799999999813735,2052630.560000000055879,2024335.640000000130385,1999464.240000000223517,1878286.370000000111759,10128466.609999999403954
FS( 52 ),2100294.600000000093132,2070308.000000000000000,2030209.760000000009313,1999464.240000000223517,1884549.039999999804422,10084825.640000000596046
FS( 53 ),2126286.439999999944121,2105662.879999999888241,2039160.800000000046566,2009643.680000000167638,1874746.599999999860302,10155500.400000000372529
FS( 54 ),2120071.000000000000000,2102850.560000000521541,2048391.560000000055879,2019823.120000000344589,1884276.750000000000000,10175412.990000002086163
FS( 55 ),2095209.239999999757856,2118519.200000000186265,2033286.679999999934807,1989284.800000000279397,1894623.770000000018626,10130923.689999999478459
FS( 56 ),2098882.000000000000000,2167533.919999999925494,2037762.199999999953434,1989284.800000000279397,1892173.159999999916181,10185636.080000000074506
FS( 57 ),2127981.559999999590218,2167533.919999999925494,2044755.199999999953434,1988213.280000000027940,1900341.860000000102445,10228825.820000000298023
FS( 58 ),2119788.479999999981374,2184809.599999999627471,2067692.239999999990687,1984998.719999999972060,1878830.949999999953434,10236119.990000000223517
FS( 59 ),2090688.919999999925494,2184006.080000000074506,2059300.640000000130385,1982855.680000000167638,1888361.099999999860302,10205212.419999999925494
FS( 60 ),2080800.719999999972060,2169140.959999999962747,2081398.520000000018626,2004821.840000000316650,1903064.760000000009313,10239226.799999998882413
FS( 61 ),2107357.600000000093132,2161105.759999999776483,2072447.479999999981374,2009107.920000000158325,1899252.699999999953434,10249271.459999999031425
FS( 62 ),2087016.160000000149012,2164721.599999999627471,2067692.239999999990687,1995178.160000000149012,1904698.500000000000000,10219306.660000000149012
FS( 63 ),2115268.160000000149012,2193246.560000000521541,2074964.960000000195578,2011250.960000000195578,1919402.159999999916181,10314132.800000000745058
FS( 64 ),2124873.839999999850988,2165525.120000000111759,2073006.919999999925494,2001071.520000000251457,1895985.219999999739230,10260462.620000001043081
FS( 65 ),2144085.199999999720603,2181193.759999999776483,2088391.520000000018626,2043396.560000000288710,1927026.279999999795109,10384093.319999998435378
FS( 66 ),2155386.000000000000000,2190434.240000000223517,2108811.080000000074506,2052504.480000000214204,1941729.939999999944121,10448865.740000000223517
FS( 67 ),2187593.280000000260770,2184006.080000000074506,2099580.319999999832362,2084650.080000000074506,1939551.620000000111759,10495381.379999998956919
FS( 68 ),2163014.040000000037253,2196058.879999999888241,2111328.560000000055879,2077149.440000000409782,1946358.870000000111759,10493909.790000002831221
FS( 69 ),2143520.160000000149012,2199674.719999999739230,2109370.520000000018626,2068577.280000000027940,1944180.550000000046566,10465323.230000000447035
FS( 70 ),2146910.399999999906868,2207709.919999999925494,2120279.600000000093132,2012322.480000000214204,1944180.550000000046566,10431402.950000001117587
FS( 71 ),2112725.479999999981374,2208111.679999999701977,2116363.520000000018626,1993570.880000000121072,1943908.260000000009313,10374679.820000000298023
FS( 72 ),2116963.280000000260770,2204897.599999999627471,2120559.319999999832362,1973747.760000000242144,1928387.729999999748543,10344555.689999999478459
FS( 73 ),2119788.479999999981374,2234226.080000000074506,2130349.520000000018626,2004821.840000000316650,1886999.649999999906868,10376185.570000000298023
FS( 74 ),2109052.720000000204891,2239047.200000000186265,2152727.119999999646097,2018215.840000000316650,1872295.989999999990687,10391338.869999999180436
FS( 75 ),2112725.479999999981374,2193648.320000000298023,2144055.800000000279397,2021430.399999999906868,1884549.039999999804422,10356409.040000000968575
FS( 76 ),2147475.439999999944121,2176372.639999999664724,2150209.640000000130385,2020358.880000000121072,1913139.489999999990687,10407556.090000001713634
FS( 77 ),2165839.239999999757856,2179586.719999999739230,2132867.000000000000000,2063755.440000000409782,1916951.550000000046566,10458999.949999999254942
FS( 78 ),2119788.479999999981374,2153070.560000000521541,2113846.040000000037253,2020894.640000000130385,1918040.709999999962747,10325640.429999999701977
FS( 79 ),2137304.720000000204891,2165525.120000000111759,2118881.000000000000000,2041789.280000000027940,1936284.139999999897555,10399784.259999999776483
FS( 80 ),2185615.640000000130385,2188827.200000000186265,2134825.040000000037253,2060005.120000000344589,1951260.089999999850988,10520533.089999999850988
FS( 81 ),2172619.720000000204891,2193246.560000000521541,2128950.919999999925494,2074470.640000000130385,1927298.570000000065193,10496586.410000002011657
FS( 82 ),2183355.479999999981374,2222976.799999999813735,2145454.399999999906868,2073399.120000000344589,1953438.409999999916181,10578624.210000000894070
FS( 83 ),2177987.600000000093132,2241859.519999999552965,2159440.399999999906868,2079828.240000000223517,1994826.489999999990687,10653942.250000000000000
FS( 84 ),2222343.239999999757856,2269179.200000000186265,2172307.520000000018626,2072327.600000000093132,2007351.829999999841675,10743509.389999998733401
FS( 85 ),2234209.080000000074506,2264358.080000000074506,2164755.080000000074506,2090543.440000000409782,1998093.969999999739230,10751959.649999998509884
FS( 86 ),2289865.520000000018626,2262751.040000000037253,2174825.000000000000000,2095901.040000000037253,1996460.229999999748543,10819802.830000001937151
FS( 87 ),2294950.879999999888241,2305739.360000000335276,2187132.680000000167638,2101258.639999999664724,1988563.820000000065193,10877645.379999998956919
FS( 88 ),2343261.799999999813735,2316586.879999999888241,2194125.680000000167638,2106080.480000000447035,1987202.370000000111759,10947257.210000000894070
FS( 89 ),2377729.239999999757856,2294490.080000000074506,2197482.319999999832362,2087328.880000000121072,2004084.349999999860302,10961114.870000001043081
FS( 90 ),2394397.919999999925494,2303730.560000000521541,2197202.600000000093132,2067505.760000000242144,2005445.800000000046566,10968282.640000000596046
FS( 91 ),2390725.160000000149012,2320202.719999999739230,2212587.199999999720603,2090543.440000000409782,1993737.329999999841675,11007795.849999999627471
FS( 92 ),2441861.280000000260770,2313372.799999999813735,2215104.680000000167638,2080364.000000000000000,1974132.449999999953434,11024835.209999999031425
FS( 93 ),2406546.280000000260770,2283240.799999999813735,2204475.319999999832362,2076613.680000000167638,1967325.199999999953434,10938201.279999999329448
FS( 94 ),2415869.439999999944121,2262349.280000000260770,2205873.919999999925494,2107152.000000000000000,1972771.000000000000000,10964015.640000000596046
FS( 95 ),2411914.160000000149012,2287660.160000000149012,2222377.399999999906868,2136083.040000000037253,1987474.659999999916181,11045509.420000001788139
FS( 96 ),2382532.080000000074506,2262349.280000000260770,2210069.720000000204891,2146798.240000000223517,1991286.719999999739230,10993036.039999999105930
FS( 97 ),2396375.559999999590218,2281232.000000000000000,2230489.279999999795109,2145190.959999999962747,2022600.070000000065193,11075887.870000001043081
FS( 98 ),2397223.119999999646097,2258331.679999999701977,2228810.959999999962747,2149477.040000000037253,2038120.599999999860302,11071963.399999998509884
FS( 99 ),2447229.160000000149012,2275205.599999999627471,2261538.199999999720603,2180015.360000000335276,2035942.279999999795109,11199930.599999999627471
FS( 100 ),2435363.319999999832362,2268777.439999999478459,2273286.439999999944121,2154834.639999999664724,2036214.570000000065193,11168476.410000000149012
FS( 101 ),2425475.119999999646097,2282035.519999999552965,2280559.160000000149012,2166621.360000000335276,2037576.020000000018626,11192267.179999999701977
FS( 102 ),2408523.919999999925494,2277616.160000000149012,2291747.959999999962747,2167157.120000000111759,2053913.420000000158325,11198958.580000000074506
FS( 103 ),2375751.600000000093132,2308551.679999999701977,2313006.680000000167638,2181622.639999999664724,2069978.529999999795109,11248911.129999997094274
FS( 104 ),2383379.640000000130385,2300114.719999999739230,2295664.040000000037253,2152155.839999999850988,2069433.949999999953434,11200748.189999997615814
FS( 105 ),2400048.319999999832362,2313774.560000000521541,2305174.520000000018626,2171978.959999999962747,2074879.750000000000000,11265856.109999999403954
FS( 106 ),2434515.759999999776483,2318193.919999999925494,2294824.880000000353903,2147334.000000000000000,2080053.260000000009313,11274921.820000000298023
FS( 107 ),2450901.919999999925494,2363191.040000000037253,2268810.919999999925494,2189123.280000000260770,2104559.360000000335276,11376586.519999999552965
FS( 108 ),2463897.839999999850988,2376047.360000000335276,2280279.439999999944121,2181086.879999999888241,2127159.429999999701977,11428470.949999999254942
FS( 109 ),2481131.559999999590218,2415018.080000000074506,2294265.439999999944121,2200374.240000000223517,2106737.679999999701977,11497527.000000000000000
FS( 110 ),2501190.479999999981374,2432695.519999999552965,2302657.040000000037253,2206267.600000000558794,2118173.860000000335276,11560984.500000000000000
FS( 111 ),2511361.199999999720603,2432695.519999999552965,2314405.279999999795109,2200910.000000000000000,2139140.190000000409782,11598512.189999997615814
FS( 112 ),2451466.959999999962747,2365601.599999999627471,2285594.119999999646097,2147869.760000000707805,2136689.580000000074506,11387222.020000001415610
FS( 113 ),2454857.199999999720603,2440730.719999999739230,2333985.680000000167638,2270023.040000000037253,2142407.669999999925494,11642004.310000000521541
FS( 114 ),2449206.799999999813735,2437918.400000000372529,2346852.800000000279397,2279666.719999999739230,2137778.740000000223517,11651423.459999999031425
FS( 115 ),2433103.160000000149012,2410196.959999999962747,2326712.959999999962747,2255557.520000000484288,2101019.589999999850988,11526590.190000001341105
FS( 116 ),2485086.839999999850988,2473273.280000000260770,2363356.279999999795109,2285560.080000000074506,2131788.360000000335276,11739064.839999999850988
FS( 117 ),2456269.799999999813735,2491352.479999999515712,2372866.759999999776483,2288774.639999999664724,2123075.080000000074506,11732338.759999999776483
FS( 118 ),2491302.280000000260770,2514654.560000000521541,2390209.399999999906868,2287703.120000000111759,2153571.559999999590218,11837440.919999998062849
FS( 119 ),2566170.080000000074506,2488540.160000000149012,2360559.080000000074506,2258236.320000000298023,2124708.820000000298023,11798214.460000000894070
FS( 120 ),2589901.759999999776483,2490950.719999999739230,2383775.839999999850988,2268951.520000000484288,2141590.799999999813735,11875170.640000000596046
FS( 121 ),2623239.119999999646097,2485727.839999999850988,2380978.640000000130385,2255557.520000000484288,2152210.110000000335276,11897713.230000000447035
FS( 122 ),2596399.720000000204891,2531126.719999999739230,2393845.759999999776483,2263058.160000000149012,2134511.259999999776483,11918941.619999999180436
FS( 123 ),2582556.239999999757856,2524698.560000000521541,2384055.560000000055879,2267880.000000000000000,2116267.830000000074506,11875458.190000001341105
