代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11865705.199999999254942
真實報酬,1865705.199999999254942

夏普值報酬,0.177870520000000
夏普值風險,0.052421906137327
夏普值,3.393057084457042

二次趨勢線,123.323845252542355 x^2 + -1750.870435749012131 x + 10000000.000000000000000
二次加權預期報酬,19378.615050853244611
風險,66399.949395523668500
二次加權趨勢值,0.291846834632673
一次趨勢線,10134.285203219729738 x + 10000000.000000000000000
一次預期報酬,10134.285203219729738
一次風險,237569.134633269626647
一次趨勢值,0.042658257011643
找到最佳解世代,2776
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
AAPL[0](14),AXP[1](11),CAT[3](1),CSCO[4](3),HD[9](8),MCD[15](7),PFE[20](16),WMT[28](4),
Stock#,AAPL[0](14),AXP[1](11),CAT[3](1),CSCO[4](3),HD[9](8),MCD[15](7),PFE[20](16),WMT[28](4),
張數,8160,15968,11831,39283,8056,8202,38214,15662,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,51.199999999953434,24.959999999962747,54.849999999860302,14.939999999944121,111.599999999860302,97.220000000204891,20.060000000055879,15.780000000027940,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1268523.199999999953434,1253353.279999999795109,1253549.299999999813735,1256285.280000000027940,1251611.199999999720603,1261072.700000000186265,1243503.620000000111759,1247024.220000000204891,10034922.800000000745058
FS( 3 ),1256120.000000000000000,1261017.919999999925494,1244676.049999999813735,1247643.020000000018626,1247099.839999999850988,1253280.800000000046566,1236242.960000000195578,1257047.900000000139698,10003128.490000000223517
FS( 4 ),1260363.199999999953434,1259101.759999999776483,1236985.899999999906868,1239786.419999999925494,1242346.799999999813735,1240485.680000000167638,1225543.040000000037253,1236217.440000000176951,9940830.240000000223517
FS( 5 ),1267870.399999999906868,1274431.040000000037253,1224681.659999999916181,1241750.569999999832362,1248469.359999999869615,1246309.100000000093132,1222868.060000000055879,1239663.080000000074506,9966043.269999999552965
FS( 6 ),1264769.600000000093132,1276666.560000000055879,1242428.159999999916181,1241750.569999999832362,1236707.599999999860302,1242126.080000000307336,1213314.560000000055879,1236217.440000000176951,9953980.570000000298023
