代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11463518.250000000000000
真實報酬,1463518.250000000000000

夏普值報酬,0.137651825000000
夏普值風險,0.041311730786723
夏普值,3.332027547106297

二次趨勢線,70.021157520490732 x^2 + 2997.431122511497051 x + 10000000.000000000000000
二次加權預期報酬,14620.943270912959633
風險,101124.382821679391782
二次加權趨勢值,0.144583757773783
一次趨勢線,9535.551252436840514 x + 10000000.000000000000000
一次預期報酬,9535.551252436840514
一次風險,158139.848436425352702
一次趨勢值,0.060298219245292
找到最佳解世代,1921
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),CAT[3](2),CSCO[4](8),DD[7](10),JNJ[12](3),MCD[15](1),MSFT[18](7),
Stock#,AAPL[0](5),CAT[3](2),CSCO[4](8),DD[7](10),JNJ[12](3),MCD[15](1),MSFT[18](7),
張數,18140,16956,67736,25089,15152,14802,37153,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,46.000000000000000,28.000000000000000,18.760000000009313,3.340000000083819,40.439999999944121,29.979999999981374,38.149999999906868,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1467572.000000000000000,1422127.719999999972060,1440086.120000000111759,1383410.800000000046566,1423873.879999999888241,1426646.739999999990687,1423369.580000000074506,9987089.839999999850988
FS( 3 ),1464125.399999999906868,1423823.320000000065193,1439408.760000000009313,1389432.160000000149012,1418722.199999999953434,1416729.399999999906868,1446775.969999999739230,9999020.210000000894070
FS( 4 ),1471744.199999999953434,1431283.959999999962747,1416378.520000000018626,1379396.560000000055879,1408721.879999999888241,1412584.840000000083819,1411852.149999999906868,9931965.110000001266599
FS( 5 ),1451246.000000000000000,1449766.000000000000000,1441440.840000000083819,1402980.220000000204891,1430995.319999999832362,1432863.579999999841675,1425227.229999999981374,10034522.190000001341105
FS( 6 ),1467934.800000000046566,1459770.040000000037253,1437376.679999999934807,1457674.240000000223517,1430995.319999999832362,1416877.419999999925494,1438230.780000000027940,10108862.279999999329448
FS( 7 ),1465576.600000000093132,1465365.520000000018626,1436699.320000000065193,1492798.840000000083819,1426449.719999999972060,1412584.840000000083819,1415938.979999999981374,10115416.820000000298023
