代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045206.230000000447035
真實報酬,2045206.230000000447035

夏普值報酬,0.195820623000000
夏普值風險,0.056212485730035
夏普值,3.483578789602776

二次趨勢線,41.991786301225169 x^2 + 11267.045592150225275 x + 10000000.000000000000000
二次加權預期報酬,18349.660214956871641
風險,88607.909130027561332
二次加權趨勢值,0.207088288112404
一次趨勢線,15250.954076689025896 x + 10000000.000000000000000
一次預期報酬,15250.954076689025896
一次風險,116263.497366507188417
一次趨勢值,0.131175772466333
找到最佳解世代,2153
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](6),BA[2](1),CAT[3](3),CVX[5](5),MCD[15](12),PFE[20](8),UNH[23](4),V[25](2),
Stock#,AXP[1](6),BA[2](1),CAT[3](3),CVX[5](5),MCD[15](12),PFE[20](8),UNH[23](4),V[25](2),
張數,15905,7076,13547,11595,9644,36507,7548,13988,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,26.050000000046566,24.599999999860302,18.310000000055879,59.000000000000000,41.159999999916181,0.319999999832362,126.679999999934807,32.320000000065193,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1244751.350000000093132,1264505.799999999813735,1275197.419999999925494,1259971.699999999953434,1246913.919999999925494,1253650.699999999953434,1245320.239999999990687,1241886.960000000195578,10032198.089999999850988
FS( 3 ),1236798.850000000093132,1253042.679999999934807,1276687.590000000083819,1259739.800000000046566,1257715.199999999953434,1248174.649999999674037,1248339.439999999944121,1245383.960000000195578,10025882.169999999925494
FS( 4 ),1239343.650000000139698,1255094.719999999972060,1298091.849999999860302,1267276.550000000046566,1255207.760000000009313,1245254.089999999850988,1248113.000000000000000,1246223.240000000223517,10054604.859999999403954
FS( 5 ),1236957.899999999906868,1265567.199999999720603,1294027.750000000000000,1262290.699999999953434,1253375.399999999906868,1244889.019999999785796,1253245.639999999897555,1241327.439999999944121,10051681.049999998882413
FS( 6 ),1232504.500000000000000,1256439.159999999916181,1315973.890000000130385,1268899.850000000093132,1253568.279999999795109,1242698.599999999860302,1249169.719999999972060,1243006.000000000000000,10062260.000000000000000
FS( 7 ),1228846.350000000093132,1263585.919999999925494,1315432.010000000009313,1263566.149999999906868,1265333.959999999729916,1238682.829999999841675,1251811.520000000018626,1242866.119999999878928,10070124.859999999403954
FS( 8 ),1219621.450000000186265,1245754.399999999906868,1285086.729999999981374,1263566.149999999906868,1265912.599999999860302,1238317.760000000009313,1249773.560000000055879,1240488.160000000149012,10008520.810000000521541
FS( 9 ),1205625.050000000046566,1242711.719999999972060,1261244.010000000009313,1230288.500000000000000,1261090.599999999860302,1236857.479999999981374,1245244.760000000009313,1243145.880000000121072,9926208.000000000000000
FS( 10 ),1219462.400000000139698,1266770.119999999878928,1275332.890000000130385,1231100.149999999906868,1266780.559999999823049,1241238.319999999832362,1262001.320000000065193,1256294.600000000093132,10018980.359999999403954
FS( 11 ),1205466.000000000232831,1258491.199999999720603,1278719.640000000130385,1225418.600000000093132,1275942.360000000102445,1235397.199999999953434,1272644.000000000000000,1255175.560000000055879,10007254.560000000521541
FS( 12 ),1201648.800000000046566,1262383.000000000000000,1266256.400000000139698,1208605.850000000093132,1279221.319999999832362,1227000.589999999850988,1277625.679999999934807,1255455.320000000065193,9978196.960000000894070
FS( 13 ),1272744.149999999906868,1268751.399999999906868,1282377.330000000074506,1216142.599999999860302,1285297.040000000037253,1231746.500000000000000,1294910.599999999860302,1275038.520000000251457,10127008.139999998733401
FS( 14 ),1265905.000000000000000,1276393.479999999748543,1277771.349999999860302,1216258.550000000046566,1286647.199999999953434,1228095.799999999813735,1292042.359999999869615,1275038.520000000251457,10118152.259999997913837
FS( 15 ),1279583.300000000046566,1288281.159999999916181,1311503.380000000121072,1228317.350000000093132,1294555.279999999795109,1231746.500000000000000,1300873.520000000018626,1284830.119999999878928,10219690.609999997541308
FS( 16 ),1282446.199999999953434,1298541.359999999869615,1414596.050000000046566,1237593.350000000093132,1366595.959999999729916,1232476.639999999664724,1313780.599999999860302,1288467.000000000000000,10434497.159999998286366
FS( 17 ),1280696.649999999906868,1285804.559999999823049,1417847.330000000074506,1230056.600000000093132,1358302.119999999878928,1235762.269999999785796,1316346.919999999925494,1284410.479999999981374,10409226.929999999701977
FS( 18 ),1277674.699999999953434,1296489.319999999832362,1391024.270000000251457,1222983.649999999906868,1358591.439999999944121,1236127.339999999850988,1318233.919999999925494,1281333.119999999878928,10382457.759999997913837
FS( 19 ),1260497.300000000046566,1307881.679999999934807,1385334.530000000027940,1237245.500000000000000,1349526.080000000074506,1238317.760000000009313,1320120.919999999925494,1276017.679999999934807,10374941.449999999254942
FS( 20 ),1260179.200000000186265,1290616.239999999757856,1381812.310000000055879,1228201.399999999906868,1361291.760000000009313,1233206.779999999795109,1317932.000000000000000,1276577.200000000186265,10349816.890000000596046
FS( 21 ),1265109.750000000232831,1298046.039999999804422,1375174.280000000027940,1221708.199999999953434,1362063.279999999795109,1227000.589999999850988,1314535.399999999906868,1294481.840000000083819,10358119.380000000819564
FS( 22 ),1253817.199999999953434,1297692.239999999757856,1375580.690000000176951,1237477.399999999906868,1375468.439999999944121,1221889.609999999869615,1302458.599999999860302,1293083.040000000037253,10357467.219999998807907
FS( 23 ),1245864.699999999953434,1295427.919999999925494,1346454.640000000130385,1215330.949999999953434,1383472.959999999729916,1221159.469999999972060,1313629.639999999897555,1295600.880000000121072,10316941.160000000149012
FS( 24 ),1245705.649999999906868,1309155.359999999869615,1349841.390000000130385,1226694.050000000046566,1388391.399999999906868,1222254.679999999701977,1314384.439999999944121,1288187.240000000223517,10344614.209999999031425
FS( 25 ),1243160.850000000093132,1316302.119999999878928,1346183.700000000186265,1237013.600000000093132,1391091.719999999972060,1221159.469999999972060,1316799.799999999813735,1285809.280000000027940,10357520.539999997243285
FS( 26 ),1247614.250000000000000,1322599.759999999776483,1345099.940000000176951,1218461.600000000093132,1392249.000000000000000,1218603.979999999981374,1307742.199999999953434,1286928.320000000065193,10339299.050000000745058
FS( 27 ),1250954.300000000046566,1296206.279999999795109,1359595.229999999981374,1234926.500000000000000,1393792.040000000037253,1205826.529999999795109,1308874.399999999906868,1290425.320000000065193,10340600.600000001490116
FS( 28 ),1239343.650000000139698,1301584.039999999804422,1368129.840000000083819,1231563.949999999953434,1390802.399999999906868,1206191.599999999860302,1308346.039999999804422,1288327.119999999878928,10334288.639999998733401
FS( 29 ),1232504.500000000000000,1296701.599999999860302,1364336.679999999934807,1228665.199999999953434,1401893.000000000000000,1205096.389999999664724,1296948.560000000055879,1297139.560000000055879,10323285.490000000223517
FS( 30 ),1245864.699999999953434,1290616.239999999757856,1387502.050000000046566,1238984.750000000000000,1410765.479999999981374,1209112.159999999683350,1294835.119999999878928,1304133.560000000055879,10381814.059999998658895
FS( 31 ),1242683.699999999953434,1292809.799999999813735,1386418.290000000037253,1243622.750000000000000,1420505.919999999925494,1190128.519999999785796,1269096.439999999944121,1303014.520000000251457,10348279.939999999478459
FS( 32 ),1214690.900000000139698,1265071.879999999888241,1356614.890000000130385,1214055.500000000000000,1412019.199999999953434,1176620.929999999701977,1274681.959999999962747,1283571.200000000186265,10197326.460000000894070
FS( 33 ),1214849.949999999953434,1255307.000000000000000,1357698.650000000139698,1219505.149999999906868,1417805.599999999860302,1176255.859999999869615,1294231.279999999795109,1282871.800000000046566,10218525.289999999105930
FS( 34 ),1221530.050000000046566,1279082.359999999869615,1387637.520000000251457,1235158.399999999906868,1428799.760000000009313,1185017.539999999804422,1302836.000000000000000,1293642.560000000055879,10333704.189999999478459
FS( 35 ),1224392.950000000186265,1299673.519999999785796,1385740.940000000176951,1230520.400000000139698,1429185.519999999785796,1172605.159999999683350,1318762.279999999795109,1305252.600000000093132,10366133.369999999180436
FS( 36 ),1227892.050000000046566,1298399.839999999850988,1403893.919999999925494,1232259.649999999906868,1425617.239999999757856,1173335.299999999813735,1322687.239999999990687,1312946.000000000000000,10397031.239999998360872
FS( 37 ),1226619.650000000139698,1310853.599999999860302,1408228.960000000195578,1231679.899999999906868,1441819.159999999916181,1170049.669999999692664,1325480.000000000000000,1326234.600000000093132,10440965.539999999105930
