代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11560871.320000000298023
真實報酬,1560871.320000000298023

夏普值報酬,0.147387132000000
夏普值風險,0.049699496581661
夏普值,2.965565893767717

二次趨勢線,130.010593276581290 x^2 + -3668.415568414852714 x + 10000000.000000000000000
二次加權預期報酬,18780.080204008183500
風險,88458.070009716073400
二次加權趨勢值,0.212304883002143
一次趨勢線,8958.675064297109202 x + 10000000.000000000000000
一次預期報酬,8958.675064297109202
一次風險,259749.189636025956133
一次趨勢值,0.034489713237799
找到最佳解世代,1682
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,7
DIS[6](7),MRK[17](2),NKE[19](1),PG[21](11),V[25](6),VZ[26](3),WMT[28](10),
Stock#,DIS[6](7),MRK[17](2),NKE[19](1),PG[21](11),V[25](6),VZ[26](3),WMT[28](10),
張數,13927,26602,21540,18152,11865,29786,16036,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,78.610000000102445,43.599999999860302,38.200000000186265,8.599999999860302,25.000000000000000,34.439999999944121,84.120000000111759,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1434420.340000000083819,1446128.319999999832362,1419308.800000000279397,1443092.599999999860302,1432961.050000000046566,1437506.799999999813735,1423599.840000000083819,10037020.750000000000000
FS( 3 ),1440269.680000000167638,1447192.399999999906868,1401215.200000000186265,1457432.679999999934807,1446131.199999999953434,1450910.500000000000000,1443003.400000000139698,10086158.060000000521541
FS( 4 ),1461577.989999999990687,1444532.199999999720603,1405307.800000000046566,1452531.639999999897555,1436401.900000000139698,1456271.979999999981374,1428250.280000000260770,10084876.789999999105930
FS( 5 ),1442776.540000000037253,1449054.539999999804422,1382260.000000000232831,1436920.919999999692664,1445775.250000000000000,1454782.679999999934807,1407082.760000000009313,10018655.689999999478459
FS( 6 ),1448904.420000000158325,1456769.119999999878928,1402507.600000000093132,1451624.039999999804422,1450165.300000000046566,1459846.299999999813735,1409969.240000000223517,10079789.020000001415610
FS( 7 ),1458653.320000000065193,1466877.879999999888241,1428140.200000000186265,1457432.679999999934807,1477336.150000000139698,1459846.299999999813735,1422798.040000000037253,10171087.570000000298023
FS( 8 ),1464781.200000000186265,1472730.319999999832362,1439341.000000000000000,1449627.319999999832362,1474132.599999999860302,1453591.239999999757856,1412374.639999999897555,10166581.320000000298023
FS( 9 ),1444726.320000000065193,1472996.339999999850988,1425340.000000000232831,1447086.039999999804422,1461793.000000000000000,1449123.339999999850988,1416062.920000000158325,10117130.959999999031425
FS( 10 ),1447093.910000000149012,1457833.199999999720603,1425986.200000000186265,1434016.599999999860302,1454436.699999999953434,1443166.140000000130385,1405960.240000000223517,10068495.990000000223517
FS( 11 ),1437902.090000000083819,1469804.099999999860302,1430078.800000000279397,1428026.439999999944121,1464284.649999999906868,1438400.379999999888241,1403394.480000000214204,10071893.940000001341105
FS( 12 ),1432749.100000000093132,1480976.939999999944121,1419739.600000000093132,1433472.039999999804422,1477573.449999999953434,1446442.600000000093132,1430014.240000000223517,10120970.970000000670552
FS( 13 ),1413390.570000000065193,1453310.859999999869615,1415431.600000000093132,1427844.919999999692664,1461911.649999999906868,1438996.100000000093132,1402432.320000000065193,10013321.019999999552965
FS( 14 ),1411580.060000000055879,1453576.879999999888241,1438910.200000000186265,1421491.719999999972060,1482082.149999999906868,1420528.779999999795109,1410450.320000000065193,10038623.109999999403954
FS( 15 ),1418125.750000000000000,1454906.979999999748543,1429217.199999999953434,1398438.679999999934807,1462030.300000000046566,1408316.520000000018626,1414138.600000000325963,9985177.029999999329448
FS( 16 ),1401134.810000000055879,1439743.839999999850988,1387645.000000000232831,1387002.919999999692664,1423706.349999999860302,1396402.120000000111759,1397461.160000000149012,9833099.199999999254942
FS( 17 ),1372445.190000000176951,1420856.419999999692664,1392168.400000000139698,1377926.919999999692664,1388230.000000000000000,1378828.379999999888241,1369879.240000000223517,9700337.550000000745058
FS( 18 ),1401831.160000000149012,1437615.679999999934807,1419524.200000000419095,1387002.919999999692664,1431418.600000000093132,1402061.459999999962747,1403234.120000000111759,9882691.140000000596046
FS( 19 ),1383865.330000000074506,1429901.099999999860302,1425340.000000000232831,1412052.679999999934807,1392976.000000000000000,1409210.100000000093132,1379981.920000000158325,9833330.129999998956919
FS( 20 ),1372445.190000000176951,1465547.780000000027940,1409615.800000000046566,1431112.280000000027940,1388111.349999999860302,1429762.439999999944121,1407563.840000000083819,9904161.679999999701977
FS( 21 ),1398906.489999999990687,1449054.539999999804422,1431155.800000000046566,1439099.159999999916181,1419316.300000000046566,1424400.959999999962747,1426807.040000000037253,9988743.289999999105930
FS( 22 ),1374116.430000000167638,1417132.139999999897555,1381183.000000000232831,1404973.399999999906868,1404722.350000000093132,1404742.199999999953434,1371963.920000000158325,9758836.440000001341105
FS( 23 ),1384700.950000000186265,1438945.780000000027940,1436756.200000000186265,1424214.519999999785796,1414333.000000000000000,1414869.439999999944121,1392008.920000000158325,9905831.810000000521541
FS( 24 ),1406009.260000000242144,1450916.679999999934807,1473805.000000000232831,1434924.199999999720603,1421570.650000000139698,1427677.419999999925494,1398744.040000000037253,10013650.250000000000000
FS( 25 ),1422164.580000000074506,1450650.659999999916181,1499006.800000000279397,1430386.199999999720603,1437944.349999999860302,1436911.080000000074506,1408205.280000000260770,10085271.949999999254942
FS( 26 ),1397653.060000000055879,1419526.319999999832362,1455065.200000000186265,1423669.959999999962747,1396535.500000000000000,1414273.719999999739230,1390244.959999999962747,9896971.719999998807907
FS( 27 ),1388600.510000000242144,1494011.919999999692664,1447095.400000000372529,1418768.919999999692664,1409468.350000000093132,1397593.560000000055879,1383670.200000000186265,9939211.859999999403954
FS( 28 ),1411858.600000000093132,1502790.579999999841675,1443218.200000000186265,1422580.839999999850988,1432367.800000000046566,1437804.660000000149012,1386396.320000000065193,10037020.000000000000000
FS( 29 ),1403920.209999999962747,1495076.000000000000000,1439556.400000000139698,1420765.639999999897555,1421214.699999999953434,1417252.319999999832362,1377736.880000000121072,9975525.150000000372529
FS( 30 ),1398210.140000000130385,1509441.079999999841675,1459804.000000000000000,1412052.679999999934807,1436520.549999999813735,1422018.080000000074506,1370039.600000000325963,10008089.129999998956919
FS( 31 ),1397653.060000000055879,1520879.939999999944121,1448603.200000000186265,1422580.839999999850988,1432723.750000000000000,1419635.199999999953434,1379500.840000000083819,10021579.830000000074506
FS( 32 ),1396121.090000000083819,1560250.899999999906868,1444510.600000000325963,1426937.319999999832362,1446131.199999999953434,1441378.979999999981374,1392650.360000000102445,10107983.449999999254942
FS( 33 ),1423000.200000000186265,1576744.139999999897555,1454203.600000000325963,1423669.959999999962747,1468912.000000000000000,1455080.540000000037253,1409648.520000000251457,10211261.960000000894070
FS( 34 ),1409630.280000000027940,1567433.439999999944121,1425986.200000000186265,1419495.000000000000000,1468912.000000000000000,1448229.759999999776483,1404356.639999999897555,10144046.320000000298023
FS( 35 ),1405173.640000000130385,1559984.879999999888241,1415862.400000000372529,1360501.000000000000000,1470810.399999999906868,1442570.419999999925494,1409488.160000000149012,10064393.900000000372529
FS( 36 ),1396121.090000000083819,1565039.259999999776483,1423616.800000000279397,1339626.199999999720603,1473658.000000000000000,1426783.839999999850988,1394895.400000000139698,10019743.589999999850988
FS( 37 ),1394867.660000000149012,1602814.099999999860302,1440633.400000000139698,1325104.599999999860302,1476742.899999999906868,1449421.199999999953434,1380783.719999999972060,10070370.580000000074506
FS( 38 ),1385258.030000000027940,1598557.780000000027940,1442572.000000000232831,1316028.599999999860302,1438893.550000000046566,1479505.060000000055879,1387679.200000000186265,10048497.219999998807907
FS( 39 ),1408794.660000000149012,1586320.859999999869615,1436110.000000000232831,1312398.199999999720603,1438181.649999999906868,1492313.040000000037253,1397942.240000000223517,10072063.650000000372529
FS( 40 ),1390550.290000000037253,1580468.419999999692664,1465835.200000000186265,1320566.599999999860302,1507829.199999999953434,1482185.799999999813735,1410289.959999999962747,10157728.469999998807907
FS( 41 ),1382054.820000000065193,1582064.539999999804422,1498360.600000000325963,1321655.719999999972060,1495133.650000000139698,1536098.459999999962747,1399866.560000000288710,10215237.349999999627471
FS( 42 ),1397374.520000000018626,1566103.339999999850988,1473158.800000000279397,1313124.280000000027940,1505456.199999999953434,1469973.540000000037253,1418628.679999999934807,10143822.359999999403954
FS( 43 ),1393614.230000000214204,1542427.559999999823049,1466912.199999999953434,1306226.519999999785796,1512931.150000000139698,1454186.959999999962747,1401790.880000000121072,10078092.500000001862645
FS( 44 ),1387486.350000000093132,1524338.199999999720603,1470358.600000000325963,1287711.479999999748543,1499523.699999999953434,1422315.939999999944121,1384632.360000000102445,9976369.629999998956919
FS( 45 ),1375509.130000000121072,1530456.659999999916181,1441064.200000000419095,1295335.319999999832362,1509015.700000000186265,1424996.679999999934807,1382868.400000000139698,9959249.090000001713634
FS( 46 ),1408794.660000000149012,1536309.099999999860302,1466912.199999999953434,1314757.959999999962747,1520643.399999999906868,1435421.779999999795109,1403715.200000000186265,10086557.300000000745058
FS( 47 ),1427317.570000000065193,1526466.359999999869615,1493621.800000000279397,1306589.559999999823049,1533694.899999999906868,1421720.219999999739230,1370681.040000000037253,10080094.449999999254942
FS( 48 ),1417707.940000000176951,1509973.119999999878928,1474666.600000000093132,1296787.479999999748543,1541288.500000000000000,1400572.160000000149012,1375010.760000000009313,10016009.560000000521541
FS( 49 ),1392360.800000000046566,1541629.500000000000000,1463681.200000000186265,1313668.839999999850988,1552441.600000000093132,1381509.120000000111759,1332034.280000000260770,9977328.339999999850988
FS( 50 ),1416175.970000000204891,1544555.719999999972060,1463035.000000000232831,1327827.399999999906868,1552441.600000000093132,1405933.640000000130385,1326100.959999999962747,10036073.289999999105930
FS( 51 ),1421607.500000000000000,1587916.979999999748543,1474020.400000000372529,1331820.839999999850988,1564069.299999999813735,1448229.759999999776483,1337165.800000000046566,10164833.580000000074506
FS( 52 ),1426760.489999999990687,1587650.959999999962747,1482851.800000000279397,1330187.159999999916181,1556831.650000000139698,1444357.580000000074506,1353362.160000000149012,10182004.800000000745058
FS( 53 ),1433445.450000000186265,1574882.000000000000000,1497068.200000000186265,1324197.000000000000000,1555526.500000000000000,1423507.379999999888241,1355446.840000000083819,10164076.370000001043081
FS( 54 ),1462970.690000000176951,1589513.099999999860302,1536701.800000000279397,1334725.159999999916181,1553034.849999999860302,1425592.399999999906868,1381264.800000000046566,10283805.800000000745058
FS( 55 ),1453221.790000000037253,1571423.739999999757856,1528085.800000000046566,1342530.519999999785796,1541644.450000000186265,1425294.540000000037253,1354965.760000000009313,10217169.599999999627471
FS( 56 ),1447511.720000000204891,1573285.879999999888241,1536271.000000000000000,1333273.000000000000000,1541644.450000000186265,1422018.080000000074506,1341335.160000000149012,10195342.289999999105930
FS( 57 ),1449322.230000000214204,1558122.739999999757856,1537563.400000000139698,1344345.719999999972060,1550305.899999999906868,1442570.419999999925494,1355286.480000000214204,10237519.890000000596046
FS( 58 ),1449461.500000000000000,1554930.500000000000000,1536055.600000000325963,1343801.159999999916181,1550899.150000000139698,1453889.100000000093132,1337005.440000000176951,10226045.450000001117587
