代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12856964.690000001341105
真實報酬,2856964.690000001341105

夏普值報酬,0.276996469000000
夏普值風險,0.083098829945810
夏普值,3.333337776002781

二次趨勢線,69.668945516910171 x^2 + 15622.204233294967707 x + 10000000.000000000000000
二次加權預期報酬,27558.816898525579745
風險,150942.856067685148446
二次加權趨勢值,0.182577815316863
一次趨勢線,22336.447200465463538 x + 10000000.000000000000000
一次預期報酬,22336.447200465463538
一次風險,198466.027466510742670
一次趨勢值,0.112545444102440
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](4),MRK[17](8),MSFT[18](1),NKE[19](14),V[25](3),
Stock#,KO[14](4),MRK[17](8),MSFT[18](1),NKE[19](14),V[25](3),
張數,81333,71301,83194,152555,131578,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,21.530000000027940,6.949999999953434,16.239999999990687,3.950000000186265,14.400000000139698,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1987800.050000000046566,1925846.959999999962747,1944260.020000000018626,1948131.300000000046566,1976315.960000000195578,9782354.289999999105930
FS( 3 ),1992680.030000000027940,1988591.840000000083819,1930117.040000000037253,1980167.850000000325963,1996052.660000000149012,9887609.420000001788139
FS( 4 ),1978040.090000000083819,1969340.570000000065193,1874377.060000000055879,1952707.950000000186265,1964473.940000000176951,9738939.610000001266599
FS( 5 ),1973160.110000000102445,1999286.989999999990687,1876872.879999999888241,1964912.350000000325963,1956579.260000000009313,9770811.590000001713634
FS( 6 ),1981293.409999999916181,1925846.959999999962747,1866889.600000000093132,1948131.300000000046566,1988157.979999999981374,9710319.250000000000000
FS( 7 ),1965026.810000000055879,1885918.399999999906868,1862729.900000000139698,1957284.600000000093132,1969737.060000000288710,9640696.770000001415610
FS( 8 ),1995120.020000000018626,1912299.770000000018626,1932612.860000000102445,1966437.900000000372529,1985526.420000000158325,9791996.970000000670552
FS( 9 ),2004879.979999999981374,1936542.109999999869615,1922629.579999999841675,1980167.850000000325963,1982894.860000000102445,9827114.380000000819564
FS( 10 ),2055306.439999999944121,1975757.659999999916181,2006655.520000000018626,2018306.600000000325963,2060525.880000000121072,10116552.099999999627471
FS( 11 ),2065879.729999999981374,1987165.820000000065193,2033277.600000000093132,2028985.450000000186265,2118420.200000000186265,10233728.800000000745058
FS( 12 ),2046359.810000000055879,1973618.629999999888241,2020798.500000000000000,2000000.000000000000000,2107893.959999999962747,10148670.899999998509884
FS( 13 ),2075639.689999999944121,1992156.890000000130385,2040765.060000000055879,2015255.500000000232831,2207893.240000000223517,10331710.380000000819564
FS( 14 ),2047986.469999999972060,2114081.599999999627471,2065723.259999999776483,1986270.050000000046566,2209209.020000000484288,10423270.399999998509884
FS( 15 ),1998373.340000000083819,2099821.399999999441206,2063227.439999999944121,1964912.350000000325963,2198682.780000000260770,10325017.310000000521541
FS( 16 ),2000000.000000000000000,2156862.200000000186265,2126454.879999999888241,1951182.400000000139698,2210524.799999999813735,10445024.280000001192093
FS( 17 ),2007319.969999999972060,2209624.939999999478459,1950915.540000000037253,1989321.150000000139698,2213156.360000000335276,10370337.960000000894070
FS( 18 ),2013826.610000000102445,2193938.719999999739230,1922629.579999999841675,1996948.900000000139698,2243419.299999999813735,10370763.109999999403954
FS( 19 ),2008946.629999999888241,2140462.969999999739230,1952579.419999999925494,2018306.600000000325963,2181577.639999999664724,10301873.259999999776483
FS( 20 ),2004066.650000000139698,2129767.820000000298023,1980033.439999999944121,2073226.400000000139698,2197367.000000000000000,10384461.310000000521541
FS( 21 ),2020333.250000000000000,2134758.889999999664724,1980865.379999999888241,2138825.050000000279397,2210524.799999999813735,10485307.370000001043081
FS( 22 ),2026839.890000000130385,2139749.959999999962747,1956739.119999999878928,2160182.750000000000000,2152630.480000000447035,10436142.199999999254942
FS( 23 ),2017079.930000000167638,2140462.969999999739230,1982529.259999999776483,2160182.750000000000000,2273682.240000000223517,10573937.150000000372529
FS( 24 ),2013013.280000000027940,2127628.790000000037253,1977537.619999999878928,2195270.400000000372529,2272366.459999999962747,10585816.550000000745058
FS( 25 ),2000000.000000000000000,2111229.559999999590218,1980865.379999999888241,2175438.250000000000000,2249998.200000000186265,10517531.390000000596046
FS( 26 ),2008946.629999999888241,2093404.309999999823049,1951747.479999999981374,2198321.500000000000000,2257892.879999999888241,10510312.800000000745058
FS( 27 ),2006506.640000000130385,2146167.049999999813735,1960066.879999999888241,2215102.550000000279397,2274998.020000000484288,10602841.140000000596046
