代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11575692.789999999105930
真實報酬,1575692.789999999105930

夏普值報酬,0.148869279000000
夏普值風險,0.051937313910492
夏普值,2.866326111060684

二次趨勢線,30.656047579587934 x^2 + 10262.482894148484775 x + 10000000.000000000000000
二次加權預期報酬,15392.261522466200404
風險,235805.690603337308858
二次加權趨勢值,0.065275191124876
一次趨勢線,13147.937571709349868 x + 10000000.000000000000000
一次預期報酬,13147.937571709349868
一次風險,241929.285656936728628
一次趨勢值,0.054346200940524
找到最佳解世代,2362
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](8),NKE[19](1),V[25](2),
Stock#,INTC[11](8),NKE[19](1),V[25](2),
張數,71149,52501,29109,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.350000000093132,44.509999999776483,61.409999999683350,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3220206.089999999850988,3332807.989999999757856,3366517.259999999776483,9919532.339999999850988
FS( 3 ),3161152.419999999925494,3330707.949999999720603,3379034.129999999422580,9870895.499999998137355
FS( 4 ),3183208.610000000335276,3359058.489999999757856,3459957.149999999441206,10002225.250000000000000
FS( 5 ),3183208.610000000335276,3388984.059999999590218,3473929.469999999739230,10046123.140000000596046
FS( 6 ),3103521.729999999981374,3364833.600000000093132,3467234.399999999441206,9935590.730000000447035
FS( 7 ),3023834.850000000093132,3371658.729999999515712,3463450.229999999981374,9858944.810000000521541
FS( 8 ),3088580.439999999944121,3375333.800000000279397,3488483.969999999739230,9952399.210000000894070
FS( 9 ),3076485.110000000335276,3395284.179999999701977,3495761.219999999739230,9967531.509999999776483
FS( 10 ),3069370.209999999962747,3329657.929999999701977,3504493.919999999925494,9903523.059999998658895
FS( 11 ),3158306.459999999962747,3350133.319999999832362,3550777.229999999981374,10059218.009999999776483
FS( 12 ),3164709.869999999646097,3365883.619999999646097,3583670.399999999441206,10114264.889999998733401
FS( 13 ),3188900.530000000260770,3528636.719999999273568,3571735.709999999962747,10289273.960000000894070
FS( 14 ),3255069.100000000093132,3485585.899999999906868,3619183.379999999422580,10359839.379999998956919
FS( 15 ),3277125.290000000037253,3524961.649999999906868,3628498.259999999776483,10430586.199999999254942
FS( 16 ),3237993.339999999850988,3570112.509999999776483,3625587.359999999403954,10433694.209999999031425
FS( 17 ),3223052.049999999813735,3554887.219999999273568,3645090.389999999664724,10423030.660000000149012
FS( 18 ),3563144.270000000018626,3572212.550000000279397,3677110.289999999571592,10812468.109999999403954
FS( 19 ),3556029.369999999646097,3548062.089999999850988,3634028.969999999739230,10738121.429999999701977
FS( 20 ),3471362.060000000055879,3534936.839999999850988,3596478.359999999403954,10602778.259999999776483
FS( 21 ),3425115.209999999962747,3581662.729999999515712,3616272.479999999981374,10623051.419999999925494
FS( 22 ),3390252.200000000186265,3551737.160000000149012,3659644.889999999664724,10601635.250000000000000
FS( 23 ),3283528.700000000186265,3529161.729999999515712,3519630.599999999627471,10332322.029999999329448
FS( 24 ),3167555.830000000540167,3380583.899999999906868,3384564.839999999385327,9932705.570000000298023
FS( 25 ),3195303.939999999944121,3424159.729999999515712,3492268.139999999664724,10111732.809999998658895
FS( 26 ),3215937.150000000372529,3445685.139999999664724,3482953.259999999776483,10144576.550000000745058
