代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10512306.810000000521541
真實報酬,512306.810000000521541

夏普值報酬,0.042530681000000
夏普值風險,0.022166872264923
夏普值,1.918659542568846

二次趨勢線,3263.671124610874358 x^2 + -40637.072981081510079 x + 10000000.000000000000000
二次平均預期報酬,31163.691760357723979
風險,57815.467782923704362
二次平均趨勢值,0.539019970872954
一次趨勢線,11961.161655089108535 x + 10000000.000000000000000
一次預期報酬,11961.161655089108535
一次風險,179828.507438093540259
一次趨勢值,0.066514268652354
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),CSCO[4](1),JPM[13](5),MSFT[18](9),PFE[20](6),
Stock#,AAPL[0](2),CSCO[4](1),JPM[13](5),MSFT[18](9),PFE[20](6),
張數,21358,73072,31352,39517,60975,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,36.879999999888241,19.359999999869615,55.919999999925494,44.630000000121072,20.000000000232831,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2032891.320000000065193,1962733.279999999795109,1961437.040000000037253,1967200.890000000130385,2054877.500000000465661,9979140.029999999329448
FS( 3 ),2011746.899999999906868,1932043.040000000037253,1961437.040000000037253,1970757.419999999925494,2036585.000000000232831,9912569.400000000372529
FS( 4 ),1991456.799999999813735,1915236.479999999981374,1920052.399999999906868,1973523.610000000102445,2046950.750000000232831,9847220.040000000968575
FS( 5 ),1980350.639999999897555,1938619.520000000018626,1931339.119999999878928,1991306.260000000242144,2047560.500000000232831,9889176.040000000968575
FS( 6 ),1981845.699999999953434,1937158.080000000074506,1919111.839999999850988,1978660.820000000065193,2062194.500000000232831,9878970.940000001341105
FS( 7 ),1995301.239999999990687,1975155.520000000018626,1945134.000000000000000,2016201.970000000204891,2060975.000000000000000,9992767.730000000447035
FS( 8 ),1975865.459999999962747,1951041.759999999776483,1937923.040000000037253,2017387.479999999981374,2021951.000000000000000,9904168.740000000223517
FS( 9 ),1929518.599999999860302,1948849.600000000093132,1936668.959999999962747,2035565.300000000046566,2023780.250000000000000,9874382.710000000894070
FS( 10 ),1933363.039999999804422,1938619.520000000018626,1918798.320000000065193,2018572.989999999990687,2023780.250000000000000,9833134.120000001043081
FS( 11 ),2005125.919999999692664,1970771.199999999720603,1933220.239999999757856,2048210.739999999990687,2035365.500000000465661,9992693.599999999627471
FS( 12 ),1996796.299999999813735,1947388.159999999683350,1933220.239999999757856,1996048.300000000046566,2014024.250000000232831,9887477.250000000000000
FS( 13 ),2019649.359999999869615,1952503.199999999720603,2007838.000000000232831,2007903.400000000139698,2022560.750000000232831,10010454.710000000894070
FS( 14 ),2011960.479999999981374,2014614.399999999906868,1987459.199999999953434,1988540.070000000065193,2035365.500000000465661,10037939.650000000372529
FS( 15 ),2033745.639999999897555,2043843.199999999720603,1991221.439999999944121,2000395.169999999925494,2057316.500000000465661,10126521.949999999254942
FS( 16 ),2059588.820000000065193,2041651.040000000037253,1989653.839999999850988,1977080.140000000130385,2053048.250000000232831,10121022.089999999850988
FS( 17 ),2090985.080000000074506,2080379.199999999720603,2023514.000000000232831,2038726.660000000149012,2079267.500000000232831,10312872.440000001341105
FS( 18 ),2127720.839999999850988,2113261.600000000093132,2054238.959999999729916,2059670.669999999925494,2094511.250000000232831,10449403.320000000298023
FS( 19 ),2144593.659999999683350,2111800.159999999683350,2038876.479999999981374,2050581.760000000242144,2099389.250000000000000,10445241.309999998658895
FS( 20 ),2143312.179999999701977,2113261.600000000093132,2051417.280000000027940,2067574.070000000065193,2110364.750000000000000,10485929.879999998956919
FS( 21 ),2132846.759999999776483,2122760.959999999962747,2046400.959999999729916,2094445.630000000121072,2115852.500000000000000,10512306.810000000521541
