代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13856310.990000000223517
真實報酬,3856310.990000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14968.137823041932279
風險,213180.509568114444846
起點值,0.070213444246691
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
Stock#,INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
張數,56996,31333,27048,37481,19249,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.359999999869615,14.610000000102445,70.880000000121072,13.840000000083819,28.899999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1996010.280000000027940,1993420.070000000065193,1991074.160000000149012,1986881.649999999906868,1982868.389999999897555,9950254.550000000745058
FS( 3 ),2038187.319999999832362,2005326.610000000102445,1985394.080000000307336,1977511.399999999906868,1986140.719999999972060,9992560.130000000819564
FS( 4 ),2025648.199999999720603,2015353.169999999925494,2010819.200000000186265,1963643.430000000167638,2012704.339999999850988,10028168.339999999850988
FS( 5 ),2005699.599999999627471,2013786.520000000018626,2001081.920000000158325,1956522.040000000270084,2010201.969999999972060,9987292.050000000745058
FS( 6 ),2038757.280000000027940,2040732.899999999906868,2022179.360000000335276,1987631.270000000018626,2043310.250000000000000,10132611.060000000521541
FS( 7 ),2056996.000000000000000,2051072.789999999804422,2020015.520000000251457,2001499.239999999990687,2044465.189999999711290,10174048.740000000223517
FS( 8 ),2070675.039999999804422,2050759.460000000195578,2034350.959999999962747,2005996.960000000195578,2037150.569999999832362,10198932.990000000223517
FS( 9 ),2079224.439999999711290,2071752.570000000298023,2022449.840000000083819,2013867.969999999972060,2041962.819999999832362,10229257.639999998733401
FS( 10 ),2108862.359999999869615,2073005.889999999897555,2037055.760000000242144,2019115.310000000055879,2026948.599999999860302,10264987.919999999925494
FS( 11 ),2108862.359999999869615,2067679.280000000027940,2032998.560000000055879,2005247.340000000083819,2017901.569999999832362,10232689.109999999403954
FS( 12 ),2121971.439999999478459,2066425.960000000195578,2040572.000000000000000,1998875.570000000065193,2029065.989999999757856,10256910.959999999031425
FS( 13 ),2112852.080000000074506,2061412.680000000400469,2027048.000000000000000,2007496.200000000186265,2029065.989999999757856,10237874.950000001117587
FS( 14 ),2120261.560000000055879,2055459.409999999916181,2007302.959999999962747,1993628.229999999981374,2027141.089999999850988,10203793.250000000000000
FS( 15 ),2119121.639999999664724,2040732.899999999906868,2012712.560000000055879,1995502.280000000260770,2031953.339999999850988,10200022.719999998807907
FS( 16 ),2117981.719999999739230,2042299.550000000279397,1981607.360000000335276,1995127.469999999972060,1983060.879999999888241,10120076.980000000447035
FS( 17 ),2135650.479999999981374,2029139.690000000176951,1981607.360000000335276,2012743.540000000270084,1981520.959999999962747,10140662.030000001192093
FS( 18 ),2139640.199999999720603,2023186.419999999925494,1997565.679999999934807,1974138.110000000102445,1999807.510000000009313,10134337.919999999925494
FS( 19 ),2156169.039999999571592,2014413.180000000400469,1998106.640000000130385,1972638.870000000111759,2013089.319999999832362,10154417.049999998882413
FS( 20 ),2170418.039999999571592,2006266.600000000093132,2014876.399999999906868,1943403.690000000176951,2013089.319999999832362,10148054.049999998882413
FS( 21 ),2225134.199999999720603,2022559.760000000009313,2018122.160000000149012,1944153.310000000055879,2029643.459999999962747,10239612.890000000596046
FS( 22 ),2244512.839999999850988,2016919.820000000298023,2008655.360000000335276,1929160.910000000149012,2032530.810000000055879,10231779.740000000223517
FS( 23 ),2242233.000000000000000,2024126.409999999916181,2020286.000000000000000,1952024.320000000065193,2027141.089999999850988,10265810.820000000298023
FS( 24 ),2253062.239999999757856,2024126.409999999916181,2054907.440000000176951,1955772.420000000158325,2045042.659999999916181,10332911.169999999925494
FS( 25 ),2258761.839999999850988,2022559.760000000009313,2055718.880000000121072,1964767.860000000102445,2054474.669999999925494,10356283.009999999776483
FS( 26 ),2271870.919999999925494,2015666.500000000000000,2063562.800000000279397,1931034.960000000195578,2059864.389999999897555,10341999.570000000298023
FS( 27 ),2259901.759999999776483,2019739.789999999804422,2063562.800000000279397,1931409.770000000018626,2065639.089999999850988,10340253.209999999031425
FS( 28 ),2239953.159999999683350,1998433.350000000093132,2067079.040000000270084,1912669.270000000018626,2087390.459999999962747,10305525.280000001192093
FS( 29 ),2233683.599999999627471,2000000.000000000000000,2086012.640000000130385,1905173.070000000065193,2081038.289999999804422,10305907.599999999627471
