代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13404815.439999999478459
真實報酬,3404815.439999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18176.660366744745261
風險,328475.006295489904005
起點值,0.055336509683764
找到最佳解世代,1762
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](14),UNH[23](19),
Stock#,AAPL[0](1),MCD[15](14),UNH[23](19),
張數,163398,57254,132485,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.800000000279397,5.120000000111759,10.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3267973.800000000279397,3289247.420000000391155,3167726.750000000000000,9724948.970000000670552
FS( 3 ),3235294.200000000186265,3320164.580000000074506,3191574.049999999813735,9747033.830000000074506
FS( 4 ),3160131.120000000111759,3252032.319999999832362,3334657.850000000093132,9746822.289999999105930
FS( 5 ),3202614.600000000558794,3265773.280000000260770,3268415.350000000093132,9736804.230000000447035
FS( 6 ),3183006.840000000316650,3250314.700000000186265,3304186.300000000279397,9737508.840000001713634
FS( 7 ),3233660.220000000204891,3266345.819999999832362,3268415.350000000093132,9768422.390000000596046
FS( 8 ),3321895.140000000130385,3278941.700000000186265,3313460.250000000000000,9914298.089999999850988
FS( 9 ),3320261.160000000149012,3289819.959999999962747,3281663.849999999627471,9891745.969999998807907
FS( 10 ),3428103.840000000316650,3268063.439999999944121,3300211.750000000000000,9996380.030000001192093
FS( 11 ),3442809.660000000149012,3276079.000000000000000,3345256.649999999906868,10064146.310000000521541
FS( 12 ),3542482.440000000409782,3311576.480000000447035,3324059.049999999813735,10178118.970000000670552
FS( 13 ),3568626.120000000111759,3336768.240000000223517,3290937.799999999813735,10196333.160000000149012
FS( 14 ),3535946.520000000484288,3356807.140000000130385,3390301.549999999813735,10283056.210000000894070
FS( 15 ),3658495.020000000484288,3367685.399999999906868,3444620.399999999906868,10470801.820000000298023
FS( 16 ),3684638.700000000186265,3211381.980000000447035,3583729.649999999906868,10479751.330000000074506
FS( 17 ),3735292.080000000074506,3210809.439999999944121,3619500.600000000093132,10565603.119999999180436
FS( 18 ),3736926.060000000521541,3204511.500000000000000,3659246.100000000093132,10600684.660000000149012
FS( 19 ),3735292.080000000074506,3233138.500000000000000,3852674.199999999720603,10821105.779999999329448
FS( 20 ),3735292.080000000074506,3229703.259999999776483,3763909.250000000000000,10728905.589999999850988
FS( 21 ),3800651.280000000726432,3182754.980000000447035,3722838.899999999906868,10706246.160000002011657
FS( 22 ),3813723.120000000111759,3152410.360000000335276,3717539.499999999534339,10683673.980000000447035
FS( 23 ),3885618.240000000689179,3156418.140000000130385,3624800.000000000000000,10666837.380000000819564
FS( 24 ),3864376.500000000000000,3149547.660000000149012,3567831.449999999720603,10581756.609999999403954
FS( 25 ),3854572.620000000111759,3154127.980000000447035,3468467.699999999720603,10477169.300000000745058
FS( 26 ),3826794.960000000428408,3139814.480000000447035,3441970.700000000186265,10408581.140000000596046
FS( 27 ),3862742.520000000484288,3160425.920000000391155,3512187.750000000000000,10535357.190000001341105
FS( 28 ),3844768.740000000689179,3221687.700000000186265,3586379.350000000093132,10652836.790000000968575
FS( 29 ),3800651.280000000726432,3207374.200000000186265,3685743.100000000093132,10693769.580000000074506
FS( 30 ),3859474.560000000521541,3221115.160000000149012,3681768.549999999813735,10762359.269999999552965
FS( 31 ),3931369.680000000167638,3193633.240000000223517,3758609.850000000093132,10883613.769999999552965
FS( 32 ),3893788.140000000130385,3164433.700000000186265,3717539.499999999534339,10775762.339999999850988
FS( 33 ),3725488.200000000186265,3120348.120000000111759,3773183.200000000186265,10619020.519999999552965
FS( 34 ),3828428.940000000409782,3163861.160000000149012,3733437.699999999720603,10725728.800000000745058
FS( 35 ),3841500.780000000726432,3186190.220000000204891,3733437.699999999720603,10761129.700000001117587
FS( 36 ),3882350.280000000726432,3214244.680000000167638,3761259.549999999813735,10857855.510000001639128
FS( 37 ),3949343.460000000428408,3221687.700000000186265,3831476.600000000093132,11002508.759999999776483
FS( 38 ),3946075.500000000000000,3201076.259999999776483,3933490.050000000279397,11080642.810000000521541
FS( 39 ),3954245.400000000372529,3231993.420000000391155,3963961.600000000093132,11150201.419999999925494
FS( 40 ),3908493.960000000428408,3263483.120000000111759,3832801.449999999720603,11004779.529999999329448
FS( 41 ),3955879.380000000353903,3272643.759999999776483,3834126.300000000279397,11062650.440000001341105
FS( 42 ),3968951.220000000204891,3210236.899999999906868,3733437.699999999720603,10912626.820000000298023
FS( 43 ),3926467.740000000689179,3219970.080000000074506,3709590.399999999906868,10856029.220000000670552
FS( 44 ),3857840.580000000074506,3185617.680000000167638,3620825.449999999720603,10664284.709999999031425
FS( 45 ),3856206.600000000558794,3170159.100000000093132,3797030.500000000000000,10823397.200000001117587
FS( 46 ),3887252.220000000204891,3181609.899999999906868,3824852.350000000093132,10893715.470000000670552
FS( 47 ),3975487.140000000130385,3214244.680000000167638,3826177.199999999720603,11015910.019999999552965
FS( 48 ),4035944.400000000372529,3218825.000000000000000,3688392.799999999813735,10943163.199999999254942
FS( 49 ),3995094.900000000372529,3154127.980000000447035,3762584.399999999906868,10911808.280000001192093
FS( 50 ),4027774.500000000000000,3140387.020000000018626,3856648.750000000000000,11024811.269999999552965
FS( 51 ),4017970.620000000111759,3114050.180000000167638,3851349.350000000093132,10983371.150000000372529
FS( 52 ),4055552.160000000149012,3104889.540000000037253,3810279.000000000000000,10970721.699999999254942
FS( 53 ),4088231.760000000242144,3147830.040000000037253,3669844.899999999906868,10905907.700000001117587
FS( 54 ),4245093.839999999850988,3233138.500000000000000,3880496.049999999813735,11358729.390000000596046
FS( 55 ),4307185.080000000074506,3232565.959999999962747,3887120.299999999813735,11426872.339999999850988
FS( 56 ),4318622.939999999478459,3263483.120000000111759,3786431.699999999720603,11368538.759999999776483
FS( 57 ),4295747.220000000670552,3214244.680000000167638,3787756.549999999813735,11297749.449999999254942
FS( 58 ),4305551.099999999627471,3195350.860000000335276,3653946.699999999720603,11154849.660000000149012
FS( 59 ),4330060.800000000745058,3179892.280000000260770,3534710.199999999720603,11044664.280000001192093
FS( 60 ),4290845.280000001192093,3213099.600000000093132,3448594.950000000186265,10952540.830000001937151
FS( 61 ),4256531.700000001117587,3260620.420000000391155,3357180.299999999813735,10874333.420000001788139
FS( 62 ),4344766.620000001043081,3273216.300000000279397,3418123.399999999906868,11036107.320000002160668
FS( 63 ),4326792.839999999850988,3273216.300000000279397,3402225.199999999720603,11002235.339999999850988
FS( 64 ),4326792.839999999850988,3267490.899999999906868,3317434.799999999813735,10911719.539999999105930
FS( 65 ),4222218.120000001043081,3248597.080000000074506,3284313.549999999813735,10755129.750000000000000
FS( 66 ),4315354.980000000447035,3246879.459999999962747,3216746.200000000186265,10778981.640000000596046
FS( 67 ),4341498.660000000149012,3241154.060000000055879,3184949.799999999813735,10767603.519999999552965
FS( 68 ),4434635.519999999552965,3288674.879999999888241,3229994.699999999720603,10953306.099999999627471
FS( 69 ),4441171.439999999478459,3271498.680000000167638,3318759.649999999906868,11031430.769999999552965
FS( 70 ),4418295.720000000670552,3256040.100000000093132,3200848.000000000000000,10875184.820000000298023
FS( 71 ),4446073.380000000819564,3246306.920000000391155,3268415.350000000093132,10960796.650000000372529
FS( 72 ),4454243.280000001192093,3245161.840000000316650,3342606.950000000186265,11042013.070000000298023
FS( 73 ),4436269.500000000000000,3266345.819999999832362,3218071.049999999813735,10920687.370000001043081
FS( 74 ),4465681.140000000596046,3292110.120000000111759,3294912.350000000093132,11052704.610000001266599
FS( 75 ),4447707.359999999403954,3332187.920000000391155,3252517.149999999906868,11032413.429999999701977
