代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14586829.219999998807907
真實報酬,4586829.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17794.736533330353268
風險,209719.090241732395953
起點值,0.084850342011399
找到最佳解世代,1711
找到最佳解實驗#,7
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](8),MRK[17](13),UTX[24](2),
Stock#,BA[2](1),DD[7](8),MRK[17](13),UTX[24](2),
張數,32349,55187,58644,27737,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,69.279999999795109,28.900000000372529,6.279999999795109,64.189999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2493853.689999999944121,2508829.920000000391155,2541637.240000000223517,2472263.000000000000000,10016583.850000001490116
FS( 3 ),2544641.619999999646097,2530904.720000000204891,2536359.279999999795109,2524685.929999999701977,10136591.549999998882413
FS( 4 ),2558228.199999999720603,2570639.360000000335276,2561576.199999999720603,2526072.779999999795109,10216516.539999999105930
FS( 5 ),2621955.729999999515712,2554083.260000000242144,2537532.160000000149012,2543824.459999999962747,10257395.609999999403954
FS( 6 ),2627778.549999999813735,2575606.190000000409782,2519938.959999999497086,2553809.779999999795109,10277133.479999998584390
FS( 7 ),2683095.339999999850988,2592714.160000000149012,2560403.319999999366701,2577108.859999999869615,10413321.679999999701977
FS( 8 ),2722561.119999999646097,2612581.480000000447035,2641332.039999999571592,2583488.370000000111759,10559963.009999997913837
FS( 9 ),2741647.029999999795109,2609822.130000000353903,2614942.240000000223517,2581824.149999999906868,10548235.550000000745058
FS( 10 ),2737441.660000000149012,2646245.550000000745058,2596176.160000000149012,2592086.839999999850988,10571950.210000000894070
FS( 11 ),2795993.350000000093132,2657282.950000000186265,2585620.240000000223517,2587371.549999999813735,10626268.089999999850988
FS( 12 ),2755557.100000000093132,2614788.960000000428408,2558644.000000000000000,2573225.679999999701977,10502215.740000000223517
FS( 13 ),2766232.270000000018626,2608718.390000000596046,2562749.080000000074506,2582656.259999999776483,10520356.000000000000000
FS( 14 ),2761703.410000000149012,2628033.840000000316650,2587379.559999999590218,2592086.839999999850988,10569203.649999998509884
FS( 15 ),2728060.449999999720603,2552427.650000000372529,2568027.039999999571592,2563795.100000000093132,10412310.239999998360872
FS( 16 ),2743911.459999999497086,2576158.060000000521541,2574477.879999999888241,2595970.020000000018626,10490517.419999999925494
FS( 17 ),2744881.929999999701977,2537527.160000000149012,2562162.639999999664724,2574057.790000000037253,10418629.519999999552965
FS( 18 ),2802139.660000000149012,2514900.490000000223517,2603213.439999999944121,2569897.240000000223517,10490150.830000000074506
FS( 19 ),2788553.080000000074506,2497792.520000000484288,2586206.679999999701977,2568787.759999999776483,10441340.039999999105930
FS( 20 ),2777230.929999999701977,2502207.480000000447035,2592071.080000000074506,2591532.100000000093132,10463041.589999999850988
FS( 21 ),2757821.529999999795109,2465232.190000000409782,2600867.679999999701977,2577386.229999999981374,10401307.630000000819564
FS( 22 ),2720296.689999999944121,2432671.860000000335276,2633708.319999999366701,2579327.819999999832362,10366004.689999999478459
FS( 23 ),2729030.919999999925494,2436534.950000000186265,2660098.119999999646097,2585152.589999999850988,10410816.580000000074506
FS( 24 ),2748116.830000000074506,2470199.020000000484288,2657752.359999999869615,2584043.109999999869615,10460111.320000000298023
FS( 25 ),2787582.609999999869615,2428256.900000000372529,2646610.000000000000000,2569619.870000000111759,10432069.379999998956919
FS( 26 ),2806345.029999999795109,2411148.930000000167638,2667135.399999999441206,2599298.459999999962747,10483927.820000000298023
FS( 27 ),2821225.569999999366701,2470750.890000000596046,2668894.719999999739230,2619823.839999999850988,10580695.019999999552965
FS( 28 ),2840958.459999999497086,2501655.610000000335276,2746891.240000000223517,2640071.850000000093132,10729577.160000000149012
