代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12415643.969999998807907
真實報酬,2415643.969999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11859.604171209983178
風險,257463.389248007384595
起點值,0.046063264395956
找到最佳解世代,1639
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),KO[14](2),MCD[15](7),UNH[23](4),
Stock#,AAPL[0](3),KO[14](2),MCD[15](7),UNH[23](4),
張數,61942,84573,33368,70561,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.879999999888241,22.120000000111759,69.439999999944121,23.770000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465931.899999999906868,2489851.240000000223517,2501001.040000000037253,2437200.709999999962747,9893984.890000000596046
FS( 3 ),2556986.640000000130385,2522834.709999999962747,2530031.199999999720603,2474598.040000000037253,10084450.589999999850988
FS( 4 ),2550792.439999999944121,2527063.359999999869615,2516016.640000000130385,2402625.819999999832362,9996498.259999999776483
FS( 5 ),2559464.319999999832362,2513531.680000000167638,2531365.919999999925494,2423088.510000000242144,10027450.429999999701977
FS( 6 ),2602204.299999999813735,2512685.950000000186265,2539374.239999999757856,2423794.120000000111759,10078058.609999999403954
FS( 7 ),2613353.859999999869615,2518606.060000000055879,2522356.560000000055879,2444962.419999999925494,10099278.900000000372529
FS( 8 ),2641847.179999999701977,2520297.520000000018626,2522022.879999999888241,2471069.990000000223517,10155237.570000000298023
FS( 9 ),2656093.839999999850988,2534674.930000000167638,2527695.439999999944121,2492238.290000000037253,10210702.500000000000000
FS( 10 ),2675295.859999999869615,2533829.200000000186265,2570740.160000000149012,2524696.350000000093132,10304561.570000000298023
FS( 11 ),2784933.199999999720603,2534674.930000000167638,2585422.080000000074506,2538808.549999999813735,10443838.759999999776483
FS( 12 ),2814045.939999999944121,2537212.120000000111759,2580083.199999999720603,2557860.020000000018626,10489201.279999999329448
FS( 13 ),2738476.699999999720603,2551589.530000000260770,2569071.759999999776483,2490827.069999999832362,10349965.060000000521541
FS( 14 ),2747768.000000000000000,2586264.459999999962747,2583086.319999999832362,2591729.299999999813735,10508848.079999998211861
FS( 15 ),2739096.119999999646097,2599796.140000000130385,2617455.359999999869615,2574794.660000000149012,10531142.279999999329448
FS( 16 ),2720513.520000000018626,2605716.250000000000000,2621125.839999999850988,2629126.629999999888241,10576482.239999998360872
FS( 17 ),2732901.919999999925494,2580344.350000000093132,2626131.040000000037253,2650294.930000000167638,10589672.240000000223517
FS( 18 ),2726088.299999999813735,2589647.380000000353903,2628133.120000000111759,2651000.540000000037253,10594869.339999999850988
FS( 19 ),2724230.039999999571592,2587955.920000000391155,2585422.080000000074506,2535280.500000000000000,10432888.539999999105930
FS( 20 ),2701311.500000000000000,2588801.649999999906868,2585422.080000000074506,2557860.020000000018626,10433395.250000000000000
FS( 21 ),2663526.879999999888241,2593030.300000000279397,2595098.799999999813735,2543747.819999999832362,10395403.799999998882413
FS( 22 ),2691400.780000000260770,2609944.899999999906868,2598769.279999999795109,2547981.479999999981374,10448096.439999999478459
FS( 23 ),2737237.859999999869615,2615865.010000000242144,2616120.640000000130385,2610780.770000000018626,10580004.279999999329448
