代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12647867.360000001266599
真實報酬,2647867.360000001266599

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12624.885101879754075
風險,263418.609582169970963
起點值,0.047927081241166
找到最佳解世代,3238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MRK[17](8),MSFT[18](1),
Stock#,AAPL[0](4),MRK[17](8),MSFT[18](1),
張數,42183,67353,89702,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,32.340000000316650,33.029999999795109,6.680000000167638,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3259934.580000000540167,3349497.719999999739230,3310907.500000000000000,9920340.800000000745058
FS( 3 ),3277651.440000000409782,3350171.250000000000000,3240939.940000000409782,9868763.630000000819564
FS( 4 ),3254450.790000000502914,3375091.859999999869615,3266056.500000000000000,9895600.150000000372529
FS( 5 ),3275120.460000000428408,3353538.899999999906868,3207750.200000000186265,9836410.560000000521541
FS( 6 ),3233359.290000000502914,3335353.589999999850988,3187118.740000000223517,9755832.620000001043081
FS( 7 ),3211424.130000000353903,3359600.669999999925494,3232866.760000000242144,9803892.560000000521541
FS( 8 ),3228297.330000000540167,3577824.389999999664724,3137782.639999999664724,9943905.359999999403954
FS( 9 ),3292837.320000000298023,3569742.029999999795109,3209544.240000000223517,10072124.589999999850988
FS( 10 ),3358642.800000000279397,3537412.589999999850988,3297452.200000000186265,10193508.589999999850988
FS( 11 ),3340082.280000000726432,3536065.529999999795109,3309113.460000000428408,10185262.270000001415610
FS( 12 ),3258247.260000000242144,3499021.379999999888241,3263365.440000000409782,10020635.080000001937151
FS( 13 ),3308866.860000000335276,3490939.019999999552965,3244528.020000000484288,10044334.900000000372529
FS( 14 ),3323630.910000000614673,3458609.580000000074506,3222999.540000000037253,10005241.030000001192093
FS( 15 ),3351471.690000000409782,3475447.830000000074506,3234660.800000000279397,10061581.320000000298023
FS( 16 ),3290728.170000000391155,3501041.969999999739230,3301937.300000000279397,10093708.440000001341105
