代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13739342.220000000670552
真實報酬,3739342.220000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14902.149256318918560
風險,235625.376871090353234
起點值,0.063245094625236
找到最佳解世代,2411
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](4),DD[7](13),JNJ[12](5),TRV[22](11),UTX[24](2),V[25](1),
FS( 91 ),1809025.879999999888241,1862274.000000000000000,1827473.030000000027940,1927993.900000000372529,1914059.360000000102445,1911446.220000000204891,11252276.390000000596046
FS( 92 ),1780220.619999999878928,1876246.000000000000000,1824097.770000000018626,1930165.600000000093132,1903848.800000000046566,1886578.109999999869615,11201160.900000000372529
FS( 93 ),1783791.520000000018626,1847104.400000000139698,1827714.120000000111759,1938611.100000000325963,1907890.479999999981374,1901206.410000000149012,11206322.030000001192093
FS( 94 ),1786172.119999999878928,1828342.000000000000000,1836152.270000000018626,1939817.600000000093132,1931076.959999999962747,1926074.520000000018626,11247639.469999998807907
FS( 95 ),1777125.840000000083819,1830737.199999999953434,1855439.469999999972060,1944884.899999999906868,1936182.239999999990687,1921198.419999999925494,11265572.070000000298023
FS( 96 ),1780220.619999999878928,1798801.200000000186265,1847965.680000000167638,1933061.200000000186265,1917888.320000000065193,1894379.870000000111759,11172320.890000000596046
FS( 97 ),1809502.000000000000000,1753292.400000000139698,1853269.660000000149012,1939576.300000000046566,1901934.320000000065193,1919247.979999999981374,11176826.660000000149012
FS( 98 ),1824975.899999999906868,1784030.799999999813735,1838322.080000000074506,1954778.200000000186265,1924908.079999999841675,1943628.479999999981374,11270647.539999999105930
FS( 99 ),1786172.119999999878928,1741715.600000000093132,1821927.959999999962747,1912309.400000000139698,1879811.440000000176951,1900231.189999999944121,11042171.709999999031425
FS( 100 ),1800931.840000000083819,1756086.800000000046566,1826267.580000000074506,1931372.100000000325963,1897467.200000000186265,1924124.080000000074506,11136253.600000001490116
FS( 101 ),1841640.099999999860302,1808382.000000000000000,1840009.709999999962747,1949228.300000000279397,1926609.839999999850988,1948992.189999999944121,11314866.139999998733401
FS( 102 ),1830689.340000000083819,1803192.400000000139698,1834946.820000000065193,1940541.500000000232831,1926184.399999999906868,1933876.279999999795109,11269434.740000000223517
FS( 103 ),1839735.619999999878928,1808382.000000000000000,1849171.130000000121072,1947056.600000000093132,1917250.159999999916181,1927049.740000000223517,11288649.250000000000000
FS( 104 ),1835212.479999999981374,1814769.199999999953434,1861225.630000000121072,1942954.500000000000000,1895978.159999999916181,1944603.700000000186265,11294747.669999998062849
FS( 105 ),1872587.899999999906868,1830737.199999999953434,1872315.770000000018626,1965636.699999999953434,1936182.239999999990687,1953868.290000000037253,11431332.099999997764826
FS( 106 ),1882586.419999999925494,1859479.599999999860302,1865806.340000000083819,1956226.000000000000000,1937245.839999999850988,1963620.490000000223517,11464968.689999999478459
FS( 107 ),1929484.239999999990687,1847503.600000000093132,1874485.580000000074506,1959362.900000000139698,1950859.919999999925494,1956793.950000000186265,11518494.190000001341105
FS( 108 ),1933769.320000000065193,1863072.400000000139698,1885093.540000000037253,1970221.400000000372529,1958517.839999999850988,1958744.390000000130385,11569422.890000000596046
FS( 109 ),1974477.579999999841675,1875447.599999999860302,1891120.790000000037253,1972634.400000000139698,1976386.320000000065193,1965083.319999999832362,11655154.009999999776483
FS( 110 ),2003520.899999999906868,1889818.800000000046566,1894013.870000000111759,1972393.100000000093132,1981278.880000000121072,1948016.970000000204891,11689046.520000001415610
FS( 111 ),2017566.439999999944121,1887822.800000000046566,1893772.780000000027940,1981562.500000000232831,1980002.560000000055879,1942653.260000000242144,11703384.339999999850988
FS( 112 ),2014471.660000000149012,1914170.000000000000000,1907032.729999999981374,1987353.700000000186265,1987873.200000000186265,1958744.390000000130385,11769649.680000001564622
FS( 113 ),2057560.520000000018626,1922154.000000000000000,1909202.540000000037253,1985423.300000000279397,1984256.959999999962747,1932901.060000000055879,11791502.380000000819564
FS( 114 ),2027803.020000000018626,1891415.600000000093132,1900041.120000000111759,1991455.800000000279397,1973408.239999999990687,1927049.740000000223517,11711177.520000001415610
FS( 115 ),2035659.000000000000000,1887024.400000000139698,1901246.570000000065193,2007381.600000000093132,1980640.719999999972060,1901694.020000000018626,11713650.310000000521541
FS( 116 ),2032326.160000000149012,1900996.399999999906868,1915470.880000000121072,2023066.100000000325963,1987873.200000000186265,1942165.649999999906868,11801902.390000002458692
FS( 117 ),2007567.919999999925494,1846306.000000000000000,1904862.920000000158325,2020894.400000000139698,1966175.760000000242144,1923636.470000000204891,11669447.470000000670552
FS( 118 ),2019232.859999999869615,1863471.600000000093132,1922462.489999999990687,2019446.600000000093132,1990851.280000000027940,1951430.240000000223517,11766899.070000000298023
FS( 119 ),2019947.039999999804422,1835527.599999999860302,1921015.950000000186265,2011725.000000000232831,1974046.399999999906868,1999216.020000000018626,11761482.009999999776483
FS( 120 ),2062083.660000000149012,1819160.399999999906868,1949223.479999999981374,2011483.700000000186265,1970855.600000000093132,2041638.089999999850988,11854448.929999999701977
FS( 121 ),2052085.139999999897555,1806785.199999999953434,1959349.260000000009313,2011725.000000000232831,1970004.719999999972060,2056266.390000000130385,11856219.710000000894070
FS( 122 ),2043753.039999999804422,1809978.800000000046566,1965617.600000000093132,2031511.600000000093132,1987447.760000000242144,2070407.080000000074506,11908719.879999998956919
FS( 123 ),2029469.439999999944121,1783232.400000000139698,1975261.200000000186265,2025720.400000000139698,1976599.040000000037253,2040175.260000000242144,11830461.740000000223517
FS( 124 ),2001854.479999999981374,1759679.599999999860302,1993584.040000000037253,2036820.199999999953434,1978088.079999999841675,2047489.410000000149012,11817519.810000000521541
FS( 125 ),2008282.099999999860302,1762474.000000000000000,1978636.459999999962747,2020170.500000000000000,1982555.200000000186265,2008480.609999999869615,11760602.869999999180436
FS( 126 ),2022327.639999999897555,1786825.199999999953434,1986833.520000000018626,2035131.100000000325963,1981704.320000000065193,2029447.839999999850988,11842273.619999999180436
FS( 127 ),2051370.959999999962747,1756486.000000000000000,1977913.190000000176951,2036820.199999999953434,1970642.880000000121072,2013356.709999999962747,11806593.940000001341105
FS( 128 ),2065178.439999999944121,1744110.799999999813735,1955491.820000000065193,2044541.800000000279397,1993403.919999999925494,2027009.790000000037253,11829740.570000000298023
FS( 129 ),2076129.199999999720603,1787224.400000000139698,1965376.510000000009313,2057572.000000000000000,2009145.200000000186265,2008480.609999999869615,11903931.919999998062849
FS( 130 ),2090650.859999999869615,1809579.599999999860302,1977431.010000000009313,2046472.200000000186265,2024673.760000000242144,2035786.770000000018626,11984598.199999999254942
FS( 131 ),2107553.120000000111759,1811176.399999999906868,1984663.709999999962747,2076634.700000000186265,2038287.839999999850988,2043588.529999999795109,12061908.299999998882413
FS( 132 ),2116123.279999999795109,1804789.199999999953434,1994789.489999999990687,2081460.700000000186265,2035522.479999999981374,2020670.859999999869615,12053360.009999999776483
FS( 133 ),2065654.559999999823049,1715767.599999999860302,1969957.219999999972060,2044059.199999999953434,1989362.239999999990687,1966058.540000000037253,11750863.359999999403954
FS( 134 ),2068511.280000000027940,1720957.199999999953434,2011665.790000000037253,2088458.400000000139698,2010421.520000000251457,2007993.000000000000000,11908011.189999999478459
FS( 135 ),2063750.079999999841675,1722554.000000000000000,2022755.930000000167638,2052746.000000000000000,1975110.000000000000000,1977761.180000000167638,11814681.189999999478459
FS( 136 ),2050180.660000000149012,1715767.599999999860302,2005397.450000000186265,2029339.899999999906868,1947456.399999999906868,1967521.370000000111759,11715667.379999998956919
FS( 137 ),2093983.699999999720603,1736925.199999999953434,2036980.239999999990687,2046472.200000000186265,1982980.640000000130385,1998728.410000000149012,11896074.390000000596046
FS( 138 ),2069701.579999999841675,1761675.600000000093132,2045177.300000000046566,2040922.300000000046566,1991702.159999999916181,1993364.700000000186265,11902547.640000000596046
FS( 139 ),2099221.020000000018626,1799998.800000000046566,2060124.880000000121072,2083632.399999999906868,1975960.880000000121072,2019695.640000000130385,12038637.620000001043081
FS( 140 ),2162306.919999999925494,1828741.200000000186265,2034569.340000000083819,2071808.700000000186265,1957028.800000000046566,2036761.990000000223517,12091220.950000001117587
FS( 141 ),2182303.959999999962747,1931335.600000000093132,2054579.810000000055879,2057572.000000000000000,1959368.719999999972060,2057241.609999999869615,12242405.699999999254942
FS( 142 ),2210395.040000000037253,1899798.800000000046566,2052168.910000000149012,2054676.400000000372529,1938947.600000000093132,2038712.430000000167638,12194703.179999999701977
FS( 143 ),2187779.339999999850988,1925347.599999999860302,2063259.050000000046566,2062639.300000000279397,1948945.440000000176951,2047001.799999999813735,12234976.529999997466803
FS( 144 ),2176114.399999999906868,1927742.800000000046566,2054820.900000000139698,2060950.199999999953434,1941925.680000000167638,2053828.339999999850988,12215386.320000000298023
FS( 145 ),2170639.020000000018626,1884629.199999999953434,2030711.900000000139698,2029339.899999999906868,1936820.399999999906868,2024084.129999999888241,12076228.550000000745058
FS( 146 ),2195159.199999999720603,1883032.400000000139698,2053133.270000000018626,2037061.500000000232831,1951710.800000000046566,2138184.870000000111759,12258286.039999999105930
FS( 147 ),2231582.379999999888241,1930537.199999999953434,2067357.580000000074506,2060950.199999999953434,1980640.719999999972060,2188896.310000000055879,12459968.390000000596046
FS( 148 ),2242295.080000000074506,1933331.600000000093132,2041560.950000000186265,2058537.200000000186265,1988724.079999999841675,2180606.939999999944121,12445059.849999999627471
FS( 149 ),2256578.680000000167638,1963670.799999999813735,2062053.600000000093132,2075669.500000000000000,1996807.440000000176951,2191821.970000000204891,12546605.990000000223517
FS( 150 ),2238724.180000000167638,1962074.000000000000000,2060365.969999999972060,2106073.299999999813735,2007656.159999999916181,2185483.040000000037253,12560380.649999998509884
FS( 151 ),2252293.600000000093132,1985227.599999999860302,2052892.180000000167638,2086286.699999999953434,2015739.520000000251457,2177193.669999999925494,12569637.270000001415610
FS( 152 ),2243485.379999999888241,1958880.399999999906868,2067598.670000000158325,2087010.600000000093132,2026162.800000000046566,2179144.109999999869615,12562285.959999999031425
FS( 153 ),2255864.500000000000000,1952892.400000000139698,2069768.479999999981374,2087251.900000000139698,2019781.200000000186265,2181094.549999999813735,12566657.030000001192093
FS( 154 ),2288002.600000000093132,1985626.800000000046566,2096770.560000000055879,2121033.900000000372529,2040627.760000000242144,2198160.899999999906868,12730226.520000001415610
FS( 155 ),2309666.060000000055879,2009179.599999999860302,2112923.590000000316650,2118138.299999999813735,2038075.120000000111759,2215714.859999999869615,12803701.530000001192093
FS( 156 ),2299191.419999999925494,1995606.800000000046566,2108342.880000000353903,2096180.000000000232831,2024461.040000000037253,2191821.970000000204891,12715608.110000001266599
FS( 157 ),2354897.459999999962747,2036325.199999999953434,2123772.640000000130385,2087251.900000000139698,2070834.000000000000000,2249847.560000000055879,12922932.760000001639128
FS( 158 ),2350136.259999999776483,2024349.199999999953434,2121843.920000000391155,2064328.400000000139698,2068281.360000000102445,2213764.419999999925494,12842707.560000000521541
FS( 159 ),2350850.439999999944121,2033930.000000000000000,2135827.140000000130385,2017998.800000000046566,2075088.399999999906868,2213276.810000000055879,12826975.590000001713634
FS( 160 ),2331329.520000000018626,1996405.199999999953434,2132692.969999999739230,2021377.000000000000000,2047434.800000000046566,2196210.459999999962747,12725453.949999999254942
FS( 161 ),2374656.439999999944121,1995606.800000000046566,2102556.719999999739230,2014861.900000000139698,2031268.079999999841675,2171342.350000000093132,12690296.289999999105930
FS( 162 ),2380607.939999999944121,1994409.199999999953434,2093154.209999999962747,2017274.899999999906868,2021695.680000000167638,2199623.729999999981374,12706769.660000000149012
FS( 163 ),2383226.600000000093132,1992014.000000000000000,2112200.319999999832362,2008105.500000000000000,2041478.640000000130385,2194747.629999999888241,12731776.690000001341105
FS( 164 ),2358944.479999999981374,1986425.199999999953434,2064946.680000000167638,2018964.000000000232831,2023397.440000000176951,2171829.959999999962747,12624511.759999997913837
FS( 165 ),2393463.180000000167638,1978441.200000000186265,2073143.739999999990687,2040439.700000000186265,2041265.919999999925494,2206937.879999999888241,12733695.620000001043081
FS( 166 ),2357278.060000000055879,1958880.399999999906868,2029506.450000000186265,2020170.500000000000000,2018717.600000000093132,2171829.959999999962747,12556386.969999998807907
FS( 167 ),2398224.379999999888241,1952094.000000000000000,2042284.219999999972060,2021135.700000000186265,2025737.360000000102445,2196698.069999999832362,12636177.730000000447035
FS( 168 ),2371323.600000000093132,1968062.000000000000000,2027577.729999999981374,2022583.500000000000000,2005528.959999999962747,2196698.069999999832362,12591777.859999999403954
FS( 169 ),2344660.879999999888241,1913371.600000000093132,2017451.950000000186265,1984458.100000000093132,1978513.520000000251457,2160614.930000000167638,12399074.980000000447035
FS( 170 ),2374894.500000000000000,1926545.199999999953434,2036256.969999999972060,1972393.100000000093132,1972982.800000000046566,2186458.260000000242144,12469534.830000000074506
