代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12177052.830000001937151
真實報酬,2177052.830000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9434.339327987680008
風險,345599.759290018002503
起點值,0.027298454568860
找到最佳解世代,2338
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](4),MCD[15](1),
Stock#,JNJ[12](4),MCD[15](1),
張數,49990,50291,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.200000000186265,68.780000000260770,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4989002.200000000186265,4985918.520000000484288,9974920.720000000670552
FS( 3 ),5024995.000000000000000,5019110.580000000074506,10044105.580000000074506
FS( 4 ),4952509.500000000000000,4996479.629999999888241,9948989.129999998956919
FS( 5 ),4941511.700000000186265,4974854.500000000000000,9916366.199999999254942
FS( 6 ),4988502.300000000745058,4998491.270000000484288,9986993.570000000298023
FS( 7 ),4949510.100000000558794,4969322.490000000223517,9918832.589999999850988
FS( 8 ),4934513.099999999627471,4942668.260000000707805,9877181.359999999403954
FS( 9 ),4923015.400000000372529,4997485.450000000186265,9920500.850000001490116
FS( 10 ),4939512.100000000558794,4992456.349999999627471,9931968.449999999254942
FS( 11 ),4992501.500000000000000,5062360.839999999850988,10054862.339999999850988
FS( 12 ),4967506.500000000000000,5067389.940000000409782,10034896.440000001341105
FS( 13 ),4964507.100000000558794,5084488.879999999888241,10048995.980000000447035
FS( 14 ),4938512.300000000745058,5017098.940000000409782,9955611.240000002086163
FS( 15 ),4777044.600000000558794,4884833.610000000335276,9661878.210000000894070
FS( 16 ),4640072.000000000000000,4670593.950000000186265,9310665.949999999254942
FS( 17 ),4535592.900000000372529,4587110.889999999664724,9122703.789999999105930
FS( 18 ),4754549.100000000558794,4785257.430000000633299,9539806.530000001192093
FS( 19 ),4810038.000000000000000,4894891.810000000521541,9704929.810000000521541
FS( 20 ),4757548.500000000000000,4840577.530000000260770,9598126.030000001192093
FS( 21 ),4698060.400000000372529,4778719.599999999627471,9476780.000000000000000
FS( 22 ),4603579.300000000745058,4700768.549999999813735,9304347.850000001490116
FS( 23 ),4666566.700000000186265,4830016.420000000856817,9496583.120000001043081
FS( 24 ),4631073.799999999813735,4828507.690000000409782,9459581.490000000223517
FS( 25 ),4564587.100000000558794,4770170.129999999888241,9334757.230000000447035
FS( 26 ),4696060.799999999813735,4867231.760000000707805,9563292.560000000521541
FS( 27 ),4610078.000000000000000,4799338.910000000149012,9409416.910000000149012
FS( 28 ),4635073.000000000000000,4790286.530000000260770,9425359.530000001192093
FS( 29 ),4645570.900000000372529,4898915.089999999850988,9544485.990000000223517
FS( 30 ),4665067.000000000000000,4876787.049999999813735,9541854.050000000745058
FS( 31 ),4719056.200000000186265,4938142.070000000298023,9657198.269999999552965
FS( 32 ),4729554.100000000558794,4963287.570000000298023,9692841.670000001788139
FS( 33 ),4741051.800000000745058,4920540.220000000670552,9661592.020000001415610
FS( 34 ),4668566.299999999813735,4880810.330000000074506,9549376.629999998956919
FS( 35 ),4655568.900000000372529,4923557.680000000633299,9579126.580000001937151
FS( 36 ),4661067.799999999813735,4888353.980000000447035,9549421.780000001192093
FS( 37 ),4648570.299999999813735,4897406.360000000335276,9545976.660000000149012
FS( 38 ),4623075.400000000372529,4892880.170000000856817,9515955.570000000298023
FS( 39 ),4549090.200000000186265,4907967.470000000670552,9457057.670000001788139
FS( 40 ),4567586.500000000000000,4825993.139999999664724,9393579.640000000596046
FS( 41 ),4651069.800000000745058,4902435.460000000894070,9553505.260000001639128
FS( 42 ),4666566.700000000186265,4955241.010000000707805,9621807.710000000894070
FS( 43 ),4657568.500000000000000,4967813.760000000707805,9625382.260000001639128
FS( 44 ),4695560.900000000372529,5018607.670000000856817,9714168.570000000298023
FS( 45 ),4737052.600000000558794,5088009.250000000000000,9825061.850000001490116
FS( 46 ),4670066.000000000000000,5124721.680000000633299,9794787.679999999701977
FS( 47 ),4748050.400000000372529,5118183.849999999627471,9866234.250000000000000
FS( 48 ),4753049.400000000372529,5177527.230000000447035,9930576.630000000819564
FS( 49 ),4767546.500000000000000,5167971.940000000409782,9935518.440000001341105
FS( 50 ),4798540.299999999813735,5192111.620000000111759,9990651.919999999925494
FS( 51 ),4771545.700000000186265,5199152.360000000335276,9970698.060000000521541
FS( 52 ),4725554.900000000372529,5170989.400000000372529,9896544.300000000745058
FS( 53 ),4856528.700000000186265,5213233.839999999850988,10069762.539999999105930
FS( 54 ),4911017.799999999813735,5271571.400000000372529,10182589.199999999254942
FS( 55 ),4896020.799999999813735,5254975.370000000111759,10150996.169999999925494
FS( 56 ),4878524.300000000745058,5222286.220000000670552,10100810.520000001415610
FS( 57 ),4880523.900000000372529,5156907.920000000856817,10037431.820000000298023
FS( 58 ),4975504.900000000372529,5575831.950000000186265,10551336.850000001490116
FS( 59 ),5014497.100000000558794,5662332.470000000670552,10676829.570000000298023
FS( 60 ),4996000.799999999813735,5641713.160000000149012,10637713.960000000894070
FS( 61 ),5008498.299999999813735,5614556.020000000484288,10623054.320000000298023
FS( 62 ),5022995.400000000372529,5679934.320000000298023,10702929.720000000670552
FS( 63 ),5067486.500000000000000,5663841.200000000186265,10731327.699999999254942
FS( 64 ),5050489.900000000372529,5645233.530000000260770,10695723.429999999701977
FS( 65 ),5107478.500000000000000,5638192.790000000037253,10745671.289999999105930
FS( 66 ),5096980.599999999627471,5636684.060000000521541,10733664.660000000149012
FS( 67 ),5095980.799999999813735,5652777.180000000633299,10748757.980000000447035
FS( 68 ),5115476.900000000372529,5675408.129999999888241,10790885.030000001192093
FS( 69 ),5094981.000000000000000,5698541.990000000223517,10793522.990000000223517
FS( 70 ),5040991.800000000745058,5679431.410000000149012,10720423.210000000894070
FS( 71 ),5071485.700000000186265,5694015.799999999813735,10765501.500000000000000
FS( 72 ),5091981.600000000558794,5725699.129999999888241,10817680.730000000447035
FS( 73 ),5012497.500000000000000,5638192.790000000037253,10650690.289999999105930
FS( 74 ),4993001.400000000372529,5530570.049999999813735,10523571.449999999254942
FS( 75 ),5059988.000000000000000,5585387.240000000223517,10645375.240000000223517
FS( 76 ),5073985.200000000186265,5579352.320000000298023,10653337.519999999552965
FS( 77 ),5132473.500000000000000,5659315.010000000707805,10791788.510000001639128
FS( 78 ),5123475.299999999813735,5698039.080000000074506,10821514.379999998956919
FS( 79 ),5122975.400000000372529,5728716.589999999850988,10851691.990000000223517
FS( 80 ),5137472.500000000000000,5756879.549999999813735,10894352.050000000745058
FS( 81 ),5100979.800000000745058,5747324.260000000707805,10848304.060000002384186
FS( 82 ),5096980.599999999627471,5753359.180000000633299,10850339.780000001192093
FS( 83 ),5117476.500000000000000,5744809.710000000894070,10862286.210000000894070
FS( 84 ),5060987.799999999813735,5741289.339999999850988,10802277.140000000596046
FS( 85 ),5116976.600000000558794,5755873.730000000447035,10872850.330000001937151
FS( 86 ),5101479.700000000186265,5719161.299999999813735,10820641.000000000000000
FS( 87 ),5038492.300000000745058,5702565.270000000484288,10741057.570000000298023
FS( 88 ),5146470.700000000186265,5843882.980000000447035,10990353.679999999701977
FS( 89 ),5164967.000000000000000,5854947.000000000000000,11019914.000000000000000
FS( 90 ),5119976.000000000000000,5860479.010000000707805,10980455.010000001639128
FS( 91 ),5106478.700000000186265,5862993.560000000521541,10969472.260000001639128
FS( 92 ),5130973.799999999813735,5894173.980000000447035,11025147.780000001192093
FS( 93 ),5082983.400000000372529,5837848.060000000521541,10920831.460000000894070
FS( 94 ),5106478.700000000186265,5846900.440000000409782,10953379.140000000596046
FS( 95 ),5205458.900000000372529,5880595.410000000149012,11086054.310000000521541
FS( 96 ),5261447.700000000186265,5926360.220000000670552,11187807.920000001788139
FS( 97 ),5180963.799999999813735,5909261.280000000260770,11090225.080000000074506
FS( 98 ),5096480.700000000186265,5867016.839999999850988,10963497.539999999105930
FS( 99 ),5077984.400000000372529,5918816.570000000298023,10996800.970000000670552
FS( 100 ),5134473.099999999627471,5920325.299999999813735,11054798.399999998509884
FS( 101 ),5173465.299999999813735,5974639.580000000074506,11148104.879999998956919
FS( 102 ),5184963.000000000000000,5963072.650000000372529,11148035.650000000372529
FS( 103 ),5159968.000000000000000,5972125.030000000260770,11132093.030000001192093
FS( 104 ),5200459.900000000372529,6038509.150000000372529,11238969.050000000745058
FS( 105 ),5187962.400000000372529,6006322.910000000149012,11194285.310000000521541
FS( 106 ),5134973.000000000000000,5941447.520000000484288,11076420.519999999552965
FS( 107 ),5022995.400000000372529,5913284.560000000521541,10936279.960000000894070
FS( 108 ),5043991.200000000186265,5994755.980000000447035,11038747.179999999701977
FS( 109 ),5018496.299999999813735,5954523.180000000633299,10973019.480000000447035
FS( 110 ),4960008.000000000000000,5816725.839999999850988,10776733.839999999850988
FS( 111 ),4907018.599999999627471,5807673.460000000894070,10714692.060000000521541
FS( 112 ),4877524.500000000000000,5868525.570000000298023,10746050.070000000298023
FS( 113 ),4911017.799999999813735,5906243.820000000298023,10817261.620000001043081
FS( 114 ),4850030.000000000000000,5789568.700000000186265,10639598.699999999254942
FS( 115 ),4943511.299999999813735,5865005.200000000186265,10808516.500000000000000
FS( 116 ),4849030.200000000186265,5792586.160000000149012,10641616.359999999403954
FS( 117 ),4874025.200000000186265,5909261.280000000260770,10783286.480000000447035
FS( 118 ),4786542.700000000186265,5822760.760000000707805,10609303.460000000894070
FS( 119 ),4796040.799999999813735,5926360.220000000670552,10722401.019999999552965
FS( 120 ),4836532.700000000186265,5954523.180000000633299,10791055.880000000819564
FS( 121 ),4819036.200000000186265,5994755.980000000447035,10813792.179999999701977
FS( 122 ),5057988.400000000372529,6056613.910000000149012,11114602.310000000521541
FS( 123 ),5106978.599999999627471,6078741.950000000186265,11185720.550000000745058
FS( 124 ),5112477.500000000000000,6154681.360000000335276,11267158.859999999403954
FS( 125 ),5220955.799999999813735,6225088.760000000707805,11446044.560000000521541
FS( 126 ),5217456.500000000000000,6266830.290000000037253,11484286.789999999105930
FS( 127 ),5169466.099999999627471,6233638.230000000447035,11403104.330000000074506
FS( 128 ),5205958.799999999813735,6108916.549999999813735,11314875.349999999627471
FS( 129 ),5193961.200000000186265,6068180.839999999850988,11262142.039999999105930
FS( 130 ),5025994.800000000745058,5803650.180000000633299,10829644.980000000447035
FS( 131 ),5098980.200000000186265,5836339.330000000074506,10935319.530000001192093
FS( 132 ),5097480.500000000000000,5884618.690000000409782,10982099.190000001341105
FS( 133 ),5085482.900000000372529,5911272.920000000856817,10996755.820000000298023
FS( 134 ),5083983.200000000186265,5870537.210000000894070,10954520.410000000149012
FS( 135 ),5089982.000000000000000,5930886.410000000149012,11020868.410000000149012
FS( 136 ),5114977.000000000000000,5993750.160000000149012,11108727.160000000149012
FS( 137 ),5123975.200000000186265,5966593.020000000484288,11090568.220000000670552
FS( 138 ),5210957.799999999813735,5892665.250000000000000,11103623.050000000745058
FS( 139 ),5206958.599999999627471,5860479.010000000707805,11067437.609999999403954
FS( 140 ),5236452.700000000186265,5917810.750000000000000,11154263.449999999254942
FS( 141 ),5202959.400000000372529,5879086.680000000633299,11082046.080000001937151
FS( 142 ),5246950.599999999627471,5887133.240000000223517,11134083.839999999850988
FS( 143 ),5317936.400000000372529,5953014.450000000186265,11270950.850000001490116
FS( 144 ),5287942.400000000372529,5887133.240000000223517,11175075.640000000596046
FS( 145 ),5259448.099999999627471,5893671.070000000298023,11153119.169999999925494
FS( 146 ),5359928.000000000000000,5977154.129999999888241,11337082.129999998956919
FS( 147 ),5350929.800000000745058,5958546.460000000894070,11309476.260000001639128
FS( 148 ),5331433.700000000186265,5868525.570000000298023,11199959.269999999552965
FS( 149 ),5323935.200000000186265,5893168.160000000149012,11217103.359999999403954
FS( 150 ),5335932.799999999813735,5891659.430000000633299,11227592.230000000447035
FS( 151 ),5309938.000000000000000,5955529.000000000000000,11265467.000000000000000
FS( 152 ),5340931.800000000745058,6016884.020000000484288,11357815.820000000298023
FS( 153 ),5355928.799999999813735,6033982.960000000894070,11389911.760000001639128
FS( 154 ),5384423.099999999627471,6112939.830000000074506,11497362.929999999701977
FS( 155 ),5381923.599999999627471,6180832.680000000633299,11562756.280000001192093
FS( 156 ),5386922.600000000558794,6207486.910000000149012,11594409.510000001639128
FS( 157 ),5369426.099999999627471,6212013.099999999627471,11581439.199999999254942
FS( 158 ),5335932.799999999813735,6193908.339999999850988,11529841.140000000596046
FS( 159 ),5373925.200000000186265,6240176.060000000521541,11614101.260000001639128
FS( 160 ),5362927.400000000372529,6226597.490000000223517,11589524.890000000596046
FS( 161 ),5367926.400000000372529,6227100.400000000372529,11595026.800000000745058
FS( 162 ),5423915.200000000186265,6245708.070000000298023,11669623.269999999552965
FS( 163 ),5414417.100000000558794,6200446.170000000856817,11614863.270000001415610
FS( 164 ),5410417.900000000372529,6194411.250000000000000,11604829.150000000372529
FS( 165 ),5455908.799999999813735,6234644.049999999813735,11690552.849999999627471
FS( 166 ),5447910.400000000372529,6328185.310000000521541,11776095.710000000894070
FS( 167 ),5408918.200000000186265,6320641.660000000149012,11729559.859999999403954
FS( 168 ),5458408.299999999813735,6388031.599999999627471,11846439.899999998509884
FS( 169 ),5428414.300000000745058,6415691.650000000372529,11844105.950000001117587
FS( 170 ),5446410.700000000186265,6406136.360000000335276,11852547.060000000521541
FS( 171 ),5469906.000000000000000,6413177.099999999627471,11883083.099999999627471
FS( 172 ),5462407.500000000000000,6444357.519999999552965,11906765.019999999552965
FS( 173 ),5453909.200000000186265,6435305.139999999664724,11889214.339999999850988
FS( 174 ),5447410.500000000000000,6415188.740000000223517,11862599.240000000223517
FS( 175 ),5478904.200000000186265,6417703.290000000037253,11896607.490000000223517
FS( 176 ),5492401.500000000000000,6381493.770000000484288,11873895.269999999552965
FS( 177 ),5490901.800000000745058,6412674.190000000409782,11903575.990000002086163
FS( 178 ),5507898.400000000372529,6426252.760000000707805,11934151.160000000149012
FS( 179 ),5545390.900000000372529,6480064.129999999888241,12025455.030000001192093
FS( 180 ),5632873.400000000372529,6480567.040000000968575,12113440.440000001341105
FS( 181 ),5677864.400000000372529,6464976.830000001005828,12142841.230000000447035
FS( 182 ),5677364.500000000000000,6326173.670000000856817,12003538.170000001788139
FS( 183 ),5664867.000000000000000,6311589.280000000260770,11976456.280000001192093
FS( 184 ),5674365.100000000558794,6410159.639999999664724,12084524.740000000223517
FS( 185 ),5644371.099999999627471,6422732.389999999664724,12067103.489999998360872
FS( 186 ),5637372.500000000000000,6452404.080000001005828,12089776.580000001937151
FS( 187 ),5622875.400000000372529,6433293.500000000000000,12056168.900000000372529
FS( 188 ),5602879.400000000372529,6361377.370000000111759,11964256.769999999552965
FS( 189 ),5636372.700000000186265,6447374.979999999515712,12083747.679999999701977
FS( 190 ),5633373.299999999813735,6457433.180000000633299,12090806.480000000447035
FS( 191 ),5609878.000000000000000,6504203.810000000521541,12114081.810000000521541
FS( 192 ),5642871.400000000372529,6501689.260000000707805,12144560.660000000149012
FS( 193 ),5635872.799999999813735,6567067.560000000521541,12202940.359999999403954
FS( 194 ),5684863.000000000000000,6579640.310000000521541,12264503.310000000521541
FS( 195 ),5732353.500000000000000,6618364.379999999888241,12350717.879999998956919
FS( 196 ),5717356.500000000000000,6494648.519999999552965,12212005.019999999552965
FS( 197 ),5710357.900000000372529,6543933.700000000186265,12254291.600000001490116
FS( 198 ),5676864.600000000558794,6479058.310000000521541,12155922.910000000149012
