代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12721292.820000000298023
真實報酬,2721292.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10217.109476302290204
風險,165228.850893850787543
起點值,0.061836110467573
找到最佳解世代,2050
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CVX[5](6),INTC[11](7),JPM[13](10),MRK[17](4),MSFT[18](13),PG[21](16),UNH[23](2),V[25](15),
Stock#,CVX[5](6),INTC[11](7),JPM[13](10),MRK[17](4),MSFT[18](13),PG[21](16),UNH[23](2),V[25](15),
張數,14512,41159,21114,24154,23773,15388,10273,16747,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,81.440000000176951,1.169999999925494,51.199999999953434,30.500000000000000,15.660000000149012,32.760000000009313,84.090000000083819,3.919999999925494,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1264657.120000000111759,1256997.029999999795109,1261823.839999999850988,1262560.080000000074506,1258796.010000000242144,1270312.159999999916181,1245890.800000000046566,1244306.019999999785796,10065343.060000000521541
FS( 3 ),1270316.800000000279397,1258643.389999999897555,1266046.639999999897555,1258453.900000000139698,1244532.210000000195578,1274774.680000000167638,1251540.949999999953434,1237774.689999999944121,10062083.259999999776483
FS( 4 ),1276121.600000000325963,1260701.339999999850988,1267946.899999999906868,1257970.820000000065193,1236924.850000000093132,1284776.879999999888241,1251335.489999999990687,1237607.219999999972060,10073385.099999999627471
FS( 5 ),1315884.480000000214204,1273460.629999999888241,1265624.359999999869615,1271497.060000000055879,1213151.850000000093132,1278775.559999999823049,1250924.570000000065193,1204783.099999999860302,10074101.609999999403954
FS( 6 ),1287876.320000000065193,1257820.209999999962747,1241132.119999999878928,1266907.800000000046566,1227891.110000000102445,1278160.040000000037253,1249897.270000000018626,1182677.060000000055879,9992361.930000001564622
FS( 7 ),1347085.280000000027940,1270579.500000000000000,1248310.879999999888241,1264733.939999999944121,1256180.980000000214204,1276621.239999999990687,1244144.390000000130385,1183681.880000000121072,10091338.090000001713634
FS( 8 ),1363338.720000000204891,1286219.919999999925494,1237542.739999999990687,1281158.659999999916181,1237400.310000000055879,1266157.400000000139698,1254314.660000000149012,1175978.260000000009313,10102110.669999999925494
FS( 9 ),1372626.400000000139698,1307211.010000000009313,1252955.959999999962747,1285023.300000000046566,1261648.770000000251457,1258001.760000000009313,1285236.390000000130385,1199591.529999999795109,10222295.119999999180436
