代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12818959.289999999105930
真實報酬,2818959.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10602.109226162991035
風險,259251.752723498910200
起點值,0.040895033938191
找到最佳解世代,1736
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),NKE[19](6),UNH[23](4),
Stock#,HD[9](1),NKE[19](6),UNH[23](4),
張數,33710,68236,33649,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,88.200000000186265,4.399999999906868,63.060000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3309061.800000000279397,3344933.120000000111759,3359242.729999999981374,10013238.650000000372529
FS( 3 ),3323557.100000000093132,3360627.399999999906868,3391882.259999999776483,10076067.759999999776483
FS( 4 ),3335692.700000000186265,3379733.479999999981374,3353858.890000000130385,10069286.070000000298023
FS( 5 ),3358952.600000000093132,3389286.520000000018626,3376067.229999999981374,10124307.349999999627471
FS( 6 ),3385583.500000000465661,3334015.359999999869615,3362271.140000000130385,10081871.000000000000000
FS( 7 ),3358952.600000000093132,3310815.120000000111759,3399285.040000000037253,10069053.760000001639128
FS( 8 ),3335355.600000000093132,3331968.279999999795109,3334342.470000000204891,10001667.349999999627471
FS( 9 ),3380189.899999999906868,3307403.319999999832362,3355877.830000000074506,10043472.050000000745058
FS( 10 ),3363672.000000000000000,3281473.640000000130385,3323238.300000000279397,9968384.940000001341105
FS( 11 ),3372773.700000000186265,3256226.319999999832362,3306750.290000000037253,9935751.309999998658895
FS( 12 ),3271980.800000000279397,3180484.359999999869615,3225319.709999999962747,9677785.870000001043081
FS( 13 ),3335355.600000000093132,3224155.399999999906868,3336024.919999999925494,9895536.919999999925494
FS( 14 ),3393673.900000000372529,3312179.839999999850988,3440336.819999999832362,10146191.560000000521541
FS( 15 ),3436148.500000000465661,3235755.520000000018626,3448749.069999999832362,10120654.089999999850988
FS( 16 ),3489073.200000000186265,3273285.319999999832362,3467256.020000000484288,10229615.539999999105930
FS( 17 ),3497837.800000000279397,3274650.040000000037253,3460862.709999999962747,10233351.550000000745058
FS( 18 ),3491095.800000000279397,3285567.799999999813735,3455142.380000000353903,10231806.980000000447035
FS( 19 ),3497500.700000000186265,3303991.520000000018626,3450768.009999999776483,10252261.230000000447035
FS( 20 ),3523794.500000000000000,3319685.799999999813735,3443365.229999999981374,10286846.529999999329448
FS( 21 ),3515029.899999999906868,3305356.239999999757856,3460862.709999999962747,10281249.849999999627471
