代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734449.889999998733401
真實報酬,3734449.889999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16050.168619393485642
風險,234608.926747005432844
起點值,0.068412437846841
找到最佳解世代,1926
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](2),INTC[11](13),NKE[19](4),UNH[23](3),
Stock#,AAPL[0](1),DIS[6](6),HD[9](2),INTC[11](13),NKE[19](4),UNH[23](3),
張數,18557,19777,20616,61139,43448,20972,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,61.829999999841675,58.209999999962747,68.559999999823049,16.859999999869615,0.719999999972060,21.159999999916181,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690233.389999999897555,1658952.969999999972060,1663161.279999999795109,1691121.599999999860302,1641466.159999999916181,1675264.519999999785796,10020203.919999999925494
FS( 3 ),1709532.669999999925494,1666072.689999999944121,1660481.199999999953434,1687453.260000000009313,1654066.080000000074506,1688476.880000000121072,10066086.779999999329448
FS( 4 ),1716213.189999999944121,1676752.270000000018626,1657182.639999999664724,1691121.599999999860302,1648417.839999999850988,1673586.759999999776483,10063278.299999998882413
FS( 5 ),1711388.369999999878928,1673390.179999999934807,1662542.799999999813735,1722302.489999999990687,1656238.479999999748543,1676313.120000000111759,10102179.440000001341105
FS( 6 ),1738852.729999999981374,1690596.169999999925494,1661924.319999999832362,1706406.349999999860302,1665797.040000000037253,1672747.880000000121072,10136328.490000000223517
FS( 7 ),1749059.079999999841675,1676158.959999999962747,1664604.399999999674037,1726582.219999999739230,1657976.399999999906868,1673796.479999999981374,10148181.539999999105930
FS( 8 ),1741821.849999999860302,1667457.080000000074506,1645431.519999999785796,1707629.129999999888241,1632342.080000000074506,1681346.399999999906868,10076032.060000000521541
FS( 9 ),1712687.359999999869615,1637593.809999999823049,1616981.439999999944121,1709463.299999999813735,1624521.439999999944121,1666036.839999999850988,9967288.189999999478459
FS( 10 ),1693944.789999999804422,1637593.809999999823049,1609559.679999999701977,1826238.790000000037253,1621045.600000000093132,1660584.120000000111759,10048970.789999999105930
FS( 11 ),1711017.229999999981374,1647482.309999999823049,1626670.959999999962747,1834798.250000000000000,1619742.159999999916181,1635837.159999999916181,10075552.070000000298023
FS( 12 ),1708790.389999999897555,1644713.529999999795109,1649760.879999999655411,1831129.909999999916181,1631473.119999999878928,1639402.399999999906868,10105274.230000000447035
FS( 13 ),1710646.090000000083819,1653019.869999999878928,1663985.919999999692664,1829907.129999999888241,1655369.520000000018626,1661213.279999999795109,10174145.809999998658895
FS( 14 ),1704707.849999999860302,1656777.500000000000000,1658419.599999999860302,1839689.369999999878928,1643204.080000000074506,1688476.880000000121072,10191279.279999999329448
FS( 15 ),1687078.699999999720603,1637989.349999999860302,1652853.279999999795109,1846414.659999999916181,1631473.119999999878928,1707351.679999999934807,10163164.789999999105930
FS( 16 ),1685594.139999999897555,1636802.729999999981374,1662542.799999999813735,1848248.829999999841675,1639293.759999999776483,1709029.439999999711290,10181515.699999999254942
FS( 17 ),1675387.789999999804422,1635220.570000000065193,1658213.439999999944121,1864756.359999999869615,1628866.239999999990687,1714272.439999999711290,10176720.839999999850988
FS( 18 ),1676872.349999999860302,1659348.510000000009313,1660275.039999999804422,1887989.179999999701977,1661452.239999999990687,1726855.639999999897555,10272796.959999999031425
FS( 19 ),1686893.129999999888241,1670225.860000000102445,1664810.559999999823049,1881875.280000000027940,1669707.359999999869615,1725807.040000000037253,10299323.230000000447035
FS( 20 ),1706934.689999999944121,1687036.309999999823049,1672644.639999999664724,1891046.129999999888241,1687521.040000000037253,1719725.159999999916181,10364911.969999998807907
FS( 21 ),1724563.840000000083819,1695738.189999999944121,1669139.919999999692664,1889211.959999999729916,1684914.159999999916181,1714482.159999999916181,10378054.230000000447035
FS( 22 ),1735512.469999999739230,1710175.399999999906868,1686869.679999999701977,1894103.079999999841675,1694472.719999999972060,1717418.239999999990687,10438555.589999999850988
FS( 23 ),1734770.189999999944121,1709582.089999999850988,1690168.239999999990687,1894103.079999999841675,1690127.919999999925494,1730001.439999999711290,10448756.959999999031425
FS( 24 ),1744976.539999999804422,1717492.890000000130385,1691611.359999999869615,1903885.319999999832362,1704465.759999999776483,1748037.359999999869615,10510473.229999998584390
FS( 25 ),1780977.119999999878928,1712548.640000000130385,1678623.279999999795109,1897160.030000000027940,1708810.559999999823049,1724339.000000000000000,10502462.629999998956919
FS( 26 ),1769471.779999999795109,1698111.429999999934807,1665016.719999999972060,1882486.669999999925494,1687521.040000000037253,1718257.120000000111759,10420868.760000001639128
FS( 27 ),1770214.059999999823049,1725008.149999999906868,1664398.239999999990687,1888600.569999999832362,1709679.520000000018626,1735244.439999999711290,10493148.979999998584390
FS( 28 ),1763719.109999999869615,1717888.429999999934807,1636978.959999999962747,1911222.000000000000000,1683610.719999999972060,1721402.919999999925494,10434826.140000000596046
FS( 29 ),1767059.369999999878928,1718481.739999999990687,1641308.319999999832362,1910610.609999999869615,1679265.919999999925494,1737970.800000000046566,10454700.759999999776483
FS( 30 ),1789884.479999999981374,1715910.729999999981374,1638215.919999999692664,1925283.969999999739230,1693603.759999999776483,1767331.599999999860302,10530234.459999999031425
