代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534149.800000000745058
真實報酬,1534149.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6347.260287915125446
風險,310433.895220967184287
起點值,0.020446415116484
找到最佳解世代,2445
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),NKE[19](1),UNH[23](6),
Stock#,MCD[15](3),NKE[19](1),UNH[23](6),
張數,33333,67503,29137,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.000000000000000,34.859999999869615,60.199999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3324666.419999999925494,3307006.830000000074506,3288462.019999999552965,9920136.269999999552965
FS( 3 ),3341666.250000000000000,3291481.139999999664724,3316433.539999999571592,9949581.929999999701977
FS( 4 ),3303666.629999999888241,3323207.549999999813735,3344696.429999999701977,9971571.609999999403954
FS( 5 ),3237667.290000000037253,3271230.239999999757856,3289044.759999999776483,9797943.289999999105930
FS( 6 ),3257000.429999999701977,3288781.020000000018626,3347901.500000000000000,9893683.949999999254942
FS( 7 ),3209667.570000000298023,3257729.639999999664724,3276807.219999999739230,9744205.429999999701977
FS( 8 ),3165334.679999999701977,3217902.870000000111759,3284382.839999999850988,9667621.390000000596046
FS( 9 ),3208334.250000000000000,3275280.419999999925494,3347318.759999999776483,9830934.429999999701977
FS( 10 ),3211667.549999999813735,3234103.589999999850988,3358099.449999999720603,9803871.589999999850988
FS( 11 ),3238333.950000000186265,3255029.520000000018626,3453377.439999999478459,9946741.910000000149012
FS( 12 ),3205667.609999999869615,3258404.669999999925494,3426571.399999999441206,9890644.679999999701977
FS( 13 ),3233334.000000000000000,3291481.139999999664724,3495334.719999999739230,10020150.859999999403954
FS( 14 ),3199334.340000000316650,3318482.339999999850988,3518644.319999999832362,10036462.000000000000000
FS( 15 ),3235000.649999999906868,3442012.830000000074506,3471442.379999999888241,10148456.859999999403954
FS( 16 ),3287333.459999999962747,3424462.049999999813735,3468528.679999999701977,10180325.189999999478459
FS( 17 ),3311999.879999999888241,3397460.849999999627471,3441722.639999999664724,10151184.369999999180436
FS( 18 ),3271333.620000000111759,3341433.359999999869615,3395686.179999999701977,10008454.160000000149012
FS( 19 ),3254667.120000000111759,3352908.870000000111759,3387236.449999999720603,9994813.439999999478459
FS( 20 ),3232000.679999999701977,3371134.679999999701977,3438517.569999999832362,10041653.929999999701977
FS( 21 ),3262667.040000000037253,3405561.209999999962747,3525637.199999999720603,10193866.449999999254942
FS( 22 ),3248000.520000000018626,3386660.370000000111759,3446675.929999999701977,10081337.820000000298023
FS( 23 ),3209667.570000000298023,3360334.199999999720603,3422200.849999999627471,9992203.619999999180436
FS( 24 ),3194334.390000000130385,3363709.349999999627471,3419578.519999999552965,9977623.259999999776483
FS( 25 ),3209334.240000000223517,3366409.469999999739230,3429485.099999999627471,10005229.809999998658895
FS( 26 ),3211667.549999999813735,3362359.290000000037253,3419287.149999999441206,9993314.989999998360872
FS( 27 ),3228334.049999999813735,3403536.120000000111759,3443762.229999999515712,10075633.399999998509884
FS( 28 ),3218334.149999999906868,3399485.939999999944121,3454251.549999999813735,10072072.640000000596046
FS( 29 ),3260000.399999999906868,3374509.830000000074506,3467363.199999999720603,10101874.429999999701977
FS( 30 ),3248000.520000000018626,3350883.779999999795109,3478143.889999999664724,10077029.189999999478459
FS( 31 ),3252667.140000000130385,3359659.169999999925494,3494169.239999999757856,10106496.550000000745058
FS( 32 ),3214667.520000000018626,3369784.620000000111759,3418413.039999999571592,10002866.179999999701977
FS( 33 ),3187667.790000000037253,3371809.709999999962747,3543119.399999999441206,10102597.899999998509884
FS( 34 ),3162668.040000000037253,3326582.699999999720603,3458913.469999999739230,9948165.210000000894070
FS( 35 ),3206000.940000000409782,3375184.859999999869615,3455125.659999999683350,10036312.460000000894070
FS( 36 ),3162334.709999999962747,3385310.309999999590218,3475521.559999999590218,10023167.579999998211861
FS( 37 ),3261333.720000000204891,3380585.099999999627471,3432690.169999999925494,10074609.990000000223517
FS( 38 ),3233334.000000000000000,3412986.540000000037253,3445801.819999999832362,10092123.359999999403954
FS( 39 ),3291333.419999999925494,3407586.299999999813735,3458330.729999999515712,10157251.449999999254942
FS( 40 ),3214667.520000000018626,3406911.270000000018626,3386945.079999999608845,10008524.869999999180436
FS( 41 ),3227667.390000000130385,3370459.649999999906868,3426280.029999999795109,10024408.070000000298023
FS( 42 ),3234000.659999999683350,3381260.129999999888241,3310314.769999999552965,9925576.559999998658895
FS( 43 ),3218334.149999999906868,3336033.120000000111759,3245922.000000000000000,9800290.269999999552965
FS( 44 ),3260000.399999999906868,3401511.029999999795109,3298368.599999999627471,9959881.029999999329448
FS( 45 ),3204334.290000000037253,3403536.120000000111759,3337994.919999999925494,9945866.330000000074506
FS( 46 ),3204334.290000000037253,3389360.489999999757856,3303321.889999999664724,9897017.669999998062849
FS( 47 ),3213000.870000000111759,3382610.189999999944121,3306818.329999999608845,9902430.390000000596046
FS( 48 ),3226000.740000000223517,3424462.049999999813735,3343822.319999999832362,9994286.109999999403954
FS( 49 ),3274333.590000000316650,3457538.520000000018626,3370628.359999999869615,10102501.470000000670552
FS( 50 ),3250333.830000000074506,3469689.059999999590218,3344113.689999999478459,10064137.579999998211861
FS( 51 ),3265000.350000000093132,3455513.429999999701977,3340325.879999999888241,10060840.660000000149012
FS( 52 ),3245000.549999999813735,3448088.099999999627471,3375873.019999999552965,10068962.669999998062849
FS( 53 ),3257000.429999999701977,3491290.020000000018626,3453668.809999999590218,10201960.259999997913837
FS( 54 ),3268000.320000000298023,3543267.330000000074506,3476978.409999999683350,10288247.060000000521541
FS( 55 ),3267333.659999999683350,3535842.000000000000000,3490672.799999999813735,10293849.460000000894070
FS( 56 ),3355999.440000000409782,3531791.819999999832362,3512525.549999999813735,10400317.809999998658895
FS( 57 ),3336999.629999999888241,3531116.790000000037253,3532630.079999999608845,10400747.500000000000000
FS( 58 ),3309333.240000000223517,3523691.459999999962747,3509903.219999999739230,10342928.919999999925494
FS( 59 ),3299666.669999999925494,3525041.520000000018626,3484554.029999999795109,10309263.219999998807907
FS( 60 ),3282000.179999999701977,3490614.989999999757856,3445219.079999999608845,10217835.250000000000000
FS( 61 ),3288666.779999999795109,3471039.120000000111759,3480474.849999999627471,10240181.750000000000000
FS( 62 ),3216000.840000000316650,3452813.309999999590218,3485428.139999999664724,10154243.289999999105930
FS( 63 ),3197667.690000000409782,3431887.379999999888241,3502618.969999999739230,10132175.039999999105930
FS( 64 ),3207334.259999999776483,3434587.500000000000000,3492421.019999999552965,10134343.779999999329448
FS( 65 ),3209667.570000000298023,3446738.040000000037253,3430941.949999999720603,10087348.560000000521541
FS( 66 ),3217334.159999999683350,3460238.639999999664724,3448424.149999999441206,10125997.949999999254942
FS( 67 ),3210334.229999999981374,3441337.799999999813735,3398891.250000000000000,10050564.279999999329448
FS( 68 ),3184667.820000000298023,3444037.919999999925494,3395394.809999999590218,10024101.550000000745058
FS( 69 ),3177334.559999999590218,3423787.020000000018626,3406466.869999999646097,10007589.449999999254942
FS( 70 ),3157668.090000000316650,3421086.899999999906868,3408797.829999999608845,9987553.820000000298023
FS( 71 ),3176667.899999999906868,3487914.870000000111759,3454251.549999999813735,10118835.320000000298023
FS( 72 ),3186334.470000000204891,3506140.679999999701977,3476687.039999999571592,10169163.189999999478459
FS( 73 ),3168667.979999999981374,3502765.529999999795109,3428028.250000000000000,10099462.759999999776483
FS( 74 ),3143334.899999999906868,3488589.899999999906868,3466780.459999999962747,10098706.259999999776483
FS( 75 ),3154334.790000000037253,3529091.699999999720603,3541662.549999999813735,10225090.039999999105930
FS( 76 ),3174001.259999999776483,3535842.000000000000000,3488924.579999999608845,10198768.839999999850988
FS( 77 ),3205667.609999999869615,3577693.859999999869615,3522432.129999999888241,10305794.599999999627471
FS( 78 ),3202667.640000000130385,3595919.669999999925494,3506115.409999999683350,10304703.720000000670552
FS( 79 ),3229000.709999999962747,3604695.059999999590218,3503784.449999999720603,10337481.219999998807907
