代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12935292.329999998211861
真實報酬,2935292.329999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13810.838640390747969
風險,148506.403995623986702
起點值,0.092998269898164
找到最佳解世代,1902
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](12),CAT[3](8),DD[7](1),MRK[17](10),MSFT[18](2),
Stock#,AAPL[0](7),BA[2](12),CAT[3](8),DD[7](1),MRK[17](10),MSFT[18](2),
張數,25546,15620,19737,33062,34307,52626,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,44.960000000195578,12.000000000000000,73.719999999972060,10.580000000074506,31.939999999944121,0.579999999841675,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1688124.640000000130385,1685410.000000000000000,1663902.819999999832362,1705348.540000000037253,1665293.719999999972060,1678243.719999999972060,10086327.440000001341105
FS( 3 ),1713159.720000000204891,1679162.000000000000000,1649297.439999999944121,1717581.480000000214204,1664950.649999999906868,1668244.779999999795109,10092400.070000000298023
FS( 4 ),1697832.120000000111759,1671976.800000000046566,1628968.330000000074506,1697744.280000000027940,1661863.019999999785796,1661929.659999999683350,10020318.209999999031425
FS( 5 ),1697065.740000000456348,1662292.400000000139698,1626994.630000000121072,1708654.739999999990687,1665636.789999999804422,1687190.139999999897555,10047838.440000001341105
FS( 6 ),1682504.520000000251457,1653232.800000000046566,1657192.239999999757856,1737749.300000000046566,1662892.229999999981374,1730869.719999999972060,10124444.810000000521541
FS( 7 ),1658491.280000000260770,1645266.599999999860302,1668047.590000000083819,1790979.120000000111759,1660147.669999999925494,1720870.780000000027940,10143807.039999999105930
FS( 8 ),1705751.380000000121072,1628240.799999999813735,1703771.559999999823049,1764529.520000000018626,1662892.229999999981374,1729817.199999999720603,10195006.689999999478459
