代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11978481.910000000149012
真實報酬,1978481.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8580.802402139244805
風險,160603.073880085255951
起點值,0.053428631188878
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](4),INTC[11](14),JNJ[12](16),JPM[13](2),MRK[17](3),V[25](15),
Stock#,CVX[5](4),INTC[11](14),JNJ[12](16),JPM[13](2),MRK[17](3),V[25](15),
張數,17681,51361,15263,27838,31036,21480,
FS( 170 ),1972547.300000000046566,1782228.250000000000000,1698870.929999999934807,2231777.400000000372529,1899125.639999999664724,1660866.399999999674037,11245419.919999999925494
FS( 171 ),2003135.430000000167638,1733948.909999999683350,1700091.969999999972060,2276874.959999999962747,1885780.159999999683350,1620269.199999999953434,11220104.629999998956919
FS( 172 ),1998007.939999999944121,1754493.309999999590218,1708944.510000000009313,2271585.740000000223517,1897263.479999999981374,1626498.399999999674037,11256797.380000000819564
FS( 173 ),2002428.189999999944121,1766306.339999999850988,1708639.250000000000000,2317796.820000000298023,1869951.799999999813735,1660651.599999999860302,11325777.999999998137355
FS( 174 ),1993764.500000000000000,1783255.469999999739230,1710470.810000000055879,2329767.160000000149012,1870882.879999999888241,1656355.599999999860302,11344500.419999999925494
FS( 175 ),2023468.579999999841675,1823317.049999999813735,1695818.329999999841675,2340345.599999999627471,1864054.959999999962747,1703611.599999999860302,11450620.119999999180436
FS( 176 ),2036375.709999999962747,1833589.250000000000000,1694139.399999999906868,2369575.500000000000000,1865917.119999999646097,1702967.199999999953434,11502568.179999997839332
FS( 177 ),2047691.550000000046566,1836670.909999999683350,1713523.410000000149012,2379875.559999999590218,1900367.079999999608845,1699959.999999999767169,11578092.509999999776483
FS( 178 ),2071384.090000000083819,1847456.719999999739230,1760838.709999999962747,2358718.680000000633299,1915574.719999999739230,1686212.799999999813735,11640189.719999998807907
FS( 179 ),2076157.959999999962747,1890086.349999999627471,1768928.100000000093132,2359553.820000000298023,1917747.239999999757856,1701248.799999999813735,11713726.269999999552965
FS( 180 ),2050343.699999999720603,1877246.099999999627471,1755191.399999999906868,2358718.680000000633299,1918057.599999999627471,1699745.199999999720603,11659306.679999999701977
FS( 181 ),2069615.989999999990687,1889572.739999999757856,1768928.100000000093132,2394072.940000000409782,1935748.119999999646097,1707692.799999999813735,11765634.690000001341105
FS( 182 ),2087827.419999999925494,1864919.459999999962747,1768775.469999999972060,2364564.660000000149012,1937920.639999999664724,1682990.799999999580905,11707002.449999997392297
FS( 183 ),2080224.590000000083819,1894708.839999999850988,1770912.290000000037253,2378205.280000000260770,1897573.839999999850988,1677620.799999999580905,11699249.639999998733401
FS( 184 ),2085528.889999999897555,1911144.359999999869615,1765417.609999999869615,2408827.080000000074506,1877710.799999999813735,1683205.599999999860302,11731838.339999997988343
FS( 185 ),2084821.649999999906868,1899331.329999999608845,1760075.560000000055879,2414951.440000000409782,1844502.279999999795109,1678479.999999999767169,11682166.259999999776483
FS( 186 ),2100027.310000000055879,1896763.279999999795109,1762059.750000000000000,2418848.759999999776483,1849157.679999999701977,1673324.800000000046566,11700185.580000000074506
FS( 187 ),2093838.959999999962747,1898817.719999999739230,1769996.510000000009313,2423302.839999999850988,1848536.959999999962747,1678694.800000000046566,11713191.789999999105930
FS( 188 ),2090302.760000000009313,1903953.819999999832362,1769233.359999999869615,2425529.879999999888241,1855675.239999999757856,1682990.799999999580905,11727689.859999997541308
FS( 189 ),2084821.649999999906868,1881354.979999999981374,1756870.329999999841675,2407991.940000000409782,1839536.520000000018626,1681916.799999999813735,11652496.219999998807907
FS( 190 ),2083230.359999999869615,1882895.809999999590218,1762822.899999999906868,2391010.759999999776483,1832398.239999999757856,1682561.199999999720603,11634923.269999997690320
FS( 191 ),2081108.639999999897555,1862865.020000000018626,1758549.260000000009313,2402145.959999999962747,1827122.119999999646097,1675902.399999999674037,11607697.400000000372529
FS( 192 ),2083760.789999999804422,1879814.149999999906868,1768164.950000000186265,2428313.680000000633299,1866848.199999999720603,1707692.799999999813735,11734598.570000000298023
FS( 193 ),2083230.359999999869615,1870055.559999999590218,1765264.980000000214204,2419405.520000000484288,1866227.479999999981374,1721654.800000000046566,11725842.700000001117587
FS( 194 ),2074213.050000000046566,1866973.899999999906868,1783733.209999999962747,2397135.120000000111759,1865606.759999999776483,1741846.000000000000000,11729512.039999999105930
FS( 195 ),2065902.979999999981374,1873650.829999999608845,1775185.929999999934807,2397413.500000000000000,1870572.520000000018626,1765903.599999999627471,11748633.359999999403954
FS( 196 ),2048221.979999999981374,1880327.759999999776483,1774880.670000000158325,2399083.780000000260770,1896332.399999999906868,1756022.799999999813735,11754873.390000000596046
FS( 197 ),2032662.699999999720603,1876732.489999999757856,1773049.109999999869615,2406043.280000000260770,1859709.919999999925494,1746571.599999999860302,11694773.099999999627471
FS( 198 ),2049813.270000000018626,1897790.500000000000000,1751223.020000000018626,2424137.980000000447035,1912781.479999999981374,1757096.799999999813735,11792847.050000000745058
FS( 199 ),2053879.899999999906868,1885463.859999999869615,1749544.090000000083819,2400754.059999999590218,1930782.359999999869615,1747860.399999999906868,11768288.669999999925494
FS( 200 ),2057769.719999999972060,1889572.739999999757856,1749238.829999999841675,2413559.540000000037253,1934817.039999999804422,1743564.399999999906868,11788526.269999999552965
FS( 201 ),2056001.619999999878928,1890086.349999999627471,1753359.840000000083819,2325869.839999999850988,1908126.079999999608845,1745497.599999999860302,11678945.329999998211861
FS( 202 ),2049990.079999999841675,1888031.909999999683350,1750765.130000000121072,2336726.660000000149012,1898504.919999999925494,1752586.000000000000000,11676608.699999999254942
FS( 203 ),2043624.919999999925494,1878273.319999999832362,1743133.630000000121072,2318910.339999999850988,1872434.679999999701977,1755593.199999999953434,11611974.089999999850988
FS( 204 ),2043978.539999999804422,1897276.889999999664724,1742370.480000000214204,2329210.400000000372529,1940713.879999999888241,1757956.000000000000000,11711510.190000001341105
FS( 205 ),2040265.530000000027940,1888545.520000000018626,1738707.359999999869615,2330323.919999999925494,1918367.959999999962747,1764614.800000000046566,11680829.089999999850988
FS( 206 ),2057592.909999999916181,1932202.369999999646097,1705891.910000000149012,2358440.299999999813735,1899746.359999999869615,1787813.199999999953434,11741691.049999998882413
FS( 207 ),2072975.379999999888241,1941447.349999999627471,1721765.429999999934807,2394908.080000000074506,1895711.679999999701977,1802204.800000000046566,11829016.719999998807907
FS( 208 ),2060775.489999999990687,1929120.709999999962747,1707112.950000000186265,2414951.440000000409782,1899436.000000000000000,1788027.999999999767169,11799428.589999999850988
FS( 209 ),2011975.930000000167638,1950692.329999999608845,1730617.969999999972060,2419962.280000000260770,1916505.799999999813735,1799412.399999999674037,11829170.709999999031425
FS( 210 ),1977144.359999999869615,1921930.169999999925494,1726802.219999999972060,2394908.080000000074506,1906574.279999999795109,1797908.799999999813735,11725271.910000000149012
FS( 211 ),1968834.289999999804422,1891113.569999999832362,1728633.780000000027940,2355934.879999999888241,1923954.439999999944121,1776643.599999999627471,11645118.559999998658895
FS( 212 ),1962645.939999999944121,1875705.270000000018626,1728328.520000000018626,2364843.040000000037253,1927368.399999999906868,1770843.999999999767169,11629739.169999999925494
FS( 213 ),1984039.949999999720603,1883923.029999999795109,1733517.939999999944121,2354821.360000000335276,1991923.280000000027940,1767836.799999999813735,11716066.359999999403954
FS( 214 ),2008086.109999999869615,1875705.270000000018626,1734586.350000000093132,2426921.780000000260770,1995337.239999999990687,1849031.199999999720603,11889671.949999999254942
FS( 215 ),1997654.320000000065193,1862865.020000000018626,1730923.230000000214204,2415508.200000000186265,2015510.639999999664724,1843661.199999999720603,11866126.609999999403954
FS( 216 ),1969541.530000000027940,1866973.899999999906868,1732144.270000000018626,2414116.299999999813735,1992544.000000000000000,1842587.199999999953434,11817911.199999999254942
FS( 217 ),1972900.919999999925494,1868514.729999999981374,1730923.230000000214204,2392959.419999999925494,1996268.319999999599531,1827766.000000000000000,11789336.619999999180436
FS( 218 ),1984924.000000000000000,1821262.609999999869615,1741302.070000000065193,2427478.540000000037253,1998440.839999999850988,1838291.199999999720603,11811703.259999997913837
FS( 219 ),1998891.989999999990687,1815099.290000000037253,1759007.149999999906868,2421910.940000000409782,1990992.199999999953434,1845164.800000000046566,11831070.370000001043081
FS( 220 ),2014097.649999999906868,1838725.349999999627471,1768775.469999999972060,2453924.640000000596046,2010234.519999999785796,1856763.999999999767169,11942525.630000000819564
FS( 221 ),1989521.059999999823049,1845402.279999999795109,1776101.709999999962747,2493176.220000000670552,2037856.559999999823049,1865570.799999999580905,12007632.629999998956919
FS( 222 ),1990405.109999999869615,1851565.599999999627471,1788922.630000000121072,2521849.360000000335276,2022338.559999999823049,1880392.000000000000000,12055477.259999999776483
FS( 223 ),1956988.020000000018626,1870055.559999999590218,1802354.070000000065193,2520179.080000000074506,2025442.159999999916181,1877599.599999999627471,12052622.489999998360872
FS( 224 ),1950799.669999999925494,1873650.829999999608845,1814259.209999999962747,2511827.680000000633299,2029476.839999999850988,1878673.599999999627471,12058691.830000000074506
FS( 225 ),1975376.260000000009313,1875705.270000000018626,1826469.609999999869615,2533541.320000000298023,2032270.079999999841675,1888554.399999999906868,12131920.940000001341105
FS( 226 ),1951683.719999999972060,1852592.819999999832362,1824332.790000000037253,2534933.220000000670552,2026373.239999999990687,1885976.799999999813735,12075896.589999999850988
FS( 227 ),1962999.559999999823049,1858242.529999999795109,1857606.130000000121072,2536881.879999999888241,2043753.399999999674037,1894139.199999999953434,12153626.699999999254942
FS( 228 ),1947086.659999999916181,1876218.879999999888241,1873327.020000000018626,2514611.480000000447035,2053374.559999999823049,1899509.199999999953434,12164131.800000000745058
FS( 229 ),1975906.689999999944121,1875191.659999999683350,1868290.230000000214204,2517395.280000000260770,2043753.399999999674037,1890272.799999999813735,12170814.059999998658895
FS( 230 ),1989167.439999999944121,1859269.750000000000000,1865390.260000000009313,2522684.500000000000000,2044374.119999999878928,1888983.999999999767169,12169874.070000000298023
FS( 231 ),2013567.219999999972060,1845402.279999999795109,1890574.209999999962747,2605641.740000000223517,2054926.359999999636784,1911537.999999999767169,12321653.810000000521541
FS( 232 ),2004373.099999999860302,1844375.059999999590218,1887063.719999999972060,2564998.259999999776483,2050891.679999999701977,1901657.199999999953434,12253363.019999997690320
FS( 233 ),2007732.489999999990687,1843861.449999999720603,1889505.800000000046566,2583371.339999999850988,2066409.679999999701977,1907242.000000000000000,12298126.759999997913837
FS( 234 ),2001013.709999999962747,1826912.319999999832362,1888284.760000000009313,2558873.900000000372529,2062995.719999999739230,1910463.999999999767169,12248548.410000000149012
FS( 235 ),1976967.550000000046566,1838725.349999999627471,1890116.320000000065193,2544676.520000000484288,2047167.359999999636784,1913041.599999999860302,12210698.699999999254942
FS( 236 ),1938069.349999999860302,1829480.369999999646097,1894237.329999999841675,2539108.919999999925494,2042201.599999999627471,1910893.599999999627471,12153995.169999999925494
FS( 237 ),1945672.180000000167638,1839752.569999999832362,1922473.880000000121072,2549130.599999999627471,2044994.839999999850988,1914115.599999999860302,12216143.669999999925494
FS( 238 ),1955750.349999999860302,1844375.059999999590218,1926442.260000000009313,2541057.580000000074506,2035994.399999999674037,1927433.199999999953434,12231056.849999997764826
FS( 239 ),1933472.289999999804422,1805854.309999999590218,1933615.870000000111759,2543284.620000000111759,1990992.199999999953434,1935595.599999999860302,12142818.889999998733401
FS( 240 ),1898287.099999999860302,1806881.529999999795109,1939263.179999999934807,2547460.320000000298023,1992544.000000000000000,1923566.799999999813735,12108006.929999999701977
FS( 241 ),1925162.219999999972060,1802772.649999999906868,1968415.510000000242144,2553584.680000000633299,2008062.000000000000000,1931514.399999999906868,12189515.460000002756715
FS( 242 ),1907127.599999999860302,1804827.089999999850988,1960784.010000000242144,2551079.259999999776483,1991923.280000000027940,1934092.000000000000000,12149837.239999998360872
FS( 243 ),1903945.020000000018626,1811504.020000000018626,1954678.810000000055879,2524354.780000000260770,1983233.199999999720603,1938387.999999999767169,12116107.830000000074506
FS( 244 ),1903591.399999999906868,1819721.779999999795109,1954831.439999999944121,2506260.080000000074506,1989750.759999999776483,1915619.199999999953434,12089778.659999998286366
FS( 245 ),1910310.180000000167638,1799690.989999999757856,1942315.780000000027940,2432767.759999999776483,1983543.559999999823049,1891561.599999999860302,11960193.869999999180436
FS( 246 ),1916498.530000000027940,1816640.119999999646097,1927205.410000000149012,2436665.080000000074506,1970818.799999999813735,1901442.399999999674037,11969274.339999999850988
FS( 247 ),1907304.409999999916181,1811504.020000000018626,1921710.730000000214204,2432767.759999999776483,1963990.879999999888241,1908745.599999999860302,11946027.400000000372529
FS( 248 ),1909426.129999999888241,1805854.309999999590218,1915300.270000000018626,2429983.959999999962747,1960887.279999999795109,1915833.999999999767169,11937289.949999999254942
FS( 249 ),1879191.619999999878928,1817667.339999999850988,1920184.429999999934807,2428592.059999999590218,1961197.639999999664724,1910678.799999999813735,11917515.890000000596046
FS( 250 ),1894927.709999999962747,1828453.149999999906868,1918047.609999999869615,2466451.740000000223517,1965853.039999999804422,1914330.399999999906868,11988067.650000000372529
FS( 251 ),1910840.609999999869615,1826912.319999999832362,1906752.989999999990687,2457265.200000000186265,1975163.839999999850988,1915619.199999999953434,11992558.160000000149012
FS( 252 ),1905713.119999999878928,1836157.299999999813735,1902784.609999999869615,2478422.080000000074506,1969267.000000000000000,1911967.599999999860302,12004315.709999999031425
FS( 253 ),1898463.909999999916181,1852592.819999999832362,1901105.679999999934807,2445294.860000000335276,1972060.239999999757856,1908960.399999999906868,11978481.910000000149012
