代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13780815.750000000000000
真實報酬,3780815.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17826.269846421910188
風險,229418.157018476049416
起點值,0.077702088091425
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](3),INTC[11](12),NKE[19](4),UNH[23](2),
Stock#,AAPL[0](1),DIS[6](5),HD[9](3),INTC[11](12),NKE[19](4),UNH[23](2),
張數,19723,20948,21009,63011,45712,22237,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.500000000000000,43.119999999878928,22.030000000027940,25.050000000046566,6.479999999981374,2.849999999860302,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669624.450000000186265,1682377.000000000000000,1668136.630000000121072,1664145.560000000055879,1668037.360000000102445,1668444.959999999962747,10020769.960000000894070
FS( 3 ),1693292.049999999813735,1701439.679999999934807,1653220.239999999990687,1649022.920000000158325,1675351.280000000027940,1672892.359999999869615,10045222.529999999329448
FS( 4 ),1674949.660000000149012,1697459.559999999823049,1626538.810000000055879,1650913.250000000000000,1651581.040000000037253,1673559.469999999972060,9975005.789999999105930
FS( 5 ),1669032.760000000009313,1681958.040000000037253,1619395.750000000000000,1661625.120000000111759,1649752.560000000055879,1732487.519999999785796,10014255.750000000000000
FS( 6 ),1656804.500000000000000,1709399.919999999692664,1618765.479999999981374,1659734.790000000037253,1669865.840000000083819,1709805.779999999795109,10024380.310000000521541
FS( 7 ),1649901.450000000186265,1716731.719999999972060,1632631.419999999925494,1657214.350000000093132,1679008.239999999757856,1711140.000000000000000,10046631.179999999701977
FS( 8 ),1670413.369999999878928,1726577.280000000027940,1644396.459999999962747,1661625.120000000111759,1705978.320000000065193,1728707.229999999748543,10137701.779999999329448
FS( 9 ),1672977.359999999869615,1719454.959999999729916,1623387.459999999962747,1666666.000000000000000,1705064.079999999841675,1735378.330000000074506,10122932.189999999478459
FS( 10 ),1673371.820000000065193,1695155.280000000027940,1603218.820000000065193,1659104.679999999934807,1681750.959999999962747,1716032.139999999897555,10028637.699999999254942
FS( 11 ),1659171.260000000009313,1679025.320000000065193,1601748.189999999944121,1638941.160000000149012,1667123.119999999878928,1700688.609999999869615,9946701.660000000149012
FS( 12 ),1683627.780000000027940,1684052.839999999850988,1625278.270000000018626,1626969.070000000065193,1689979.119999999878928,1704468.899999999906868,10014379.980000000447035
