代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13544796.410000000149012
真實報酬,3544796.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13885.527131362838190
風險,199949.984678353124764
起點值,0.069445002227430
找到最佳解世代,1971
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](14),INTC[11](3),JNJ[12](11),KO[14](10),TRV[22](2),UNH[23](8),
Stock#,AAPL[0](1),HD[9](14),INTC[11](3),JNJ[12](11),KO[14](10),TRV[22](2),UNH[23](8),
張數,18949,17421,58309,15602,37475,17174,18528,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,5.889999999897555,49.000000000000000,0.500000000000000,51.879999999888241,24.000000000000000,37.679999999934807,62.200000000186265,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1438045.500000000000000,1443727.270000000018626,1434984.989999999990687,1456342.560000000055879,1435691.250000000000000,1444542.819999999832362,1447654.840000000083819,10100992.230000000447035
FS( 3 ),1441077.339999999850988,1444424.109999999869615,1428571.000000000000000,1444641.060000000055879,1437190.250000000000000,1449008.060000000055879,1445060.920000000158325,10089975.740000000223517
FS( 4 ),1436719.069999999832362,1435713.609999999869615,1436151.169999999925494,1449321.659999999916181,1441687.250000000000000,1449523.280000000027940,1438576.120000000111759,10087695.160000000149012
FS( 5 ),1435961.109999999869615,1438152.550000000046566,1436734.260000000009313,1456030.519999999785796,1444685.250000000000000,1441451.500000000000000,1434129.400000000372529,10087147.589999999850988
FS( 6 ),1437287.539999999804422,1431706.780000000027940,1448396.060000000055879,1458058.780000000027940,1448432.750000000000000,1438875.399999999906868,1443022.840000000083819,10105783.150000000372529
FS( 7 ),1451120.309999999823049,1416202.090000000083819,1441982.070000000065193,1458682.859999999869615,1454054.000000000000000,1435440.599999999860302,1441170.040000000270084,10098654.970000000670552
