代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15272573.400000000372529
真實報酬,5272573.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20710.953480907104677
風險,248398.003872037283145
起點值,0.083378099493812
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](11),HD[9](21),JNJ[12](9),MCD[15](25),MRK[17](20),MSFT[18](7),PG[21](4),
Stock#,AAPL[0](1),BA[2](11),HD[9](21),JNJ[12](9),MCD[15](25),MRK[17](20),MSFT[18](7),PG[21](4),
張數,80489,35270,52454,23567,22628,46313,64733,25928,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,5.830000000074506,31.200000000186265,21.180000000167638,6.320000000065193,29.280000000027940,12.130000000121072,5.770000000018626,11.119999999878928,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1295878.730000000214204,1312075.200000000186265,1299306.760000000242144,1248350.310000000055879,1275117.080000000074506,1250463.130000000121072,1248705.339999999850988,1281372.879999999888241,10211269.429999999701977
FS( 3 ),1333708.560000000055879,1329357.500000000000000,1311371.180000000167638,1229025.370000000111759,1281679.199999999953434,1225454.110000000102445,1213749.520000000018626,1286817.760000000009313,10211163.200000001117587
FS( 4 ),1361879.710000000195578,1345934.400000000139698,1303503.080000000307336,1230203.720000000204891,1265839.599999999860302,1235179.840000000083819,1214396.850000000093132,1287336.319999999832362,10244273.519999999552965
FS( 5 ),1322440.100000000093132,1292324.000000000232831,1278325.160000000149012,1210407.439999999944121,1253620.479999999981374,1216654.640000000130385,1214396.850000000093132,1262186.159999999916181,10050354.830000001937151
FS( 6 ),1337733.010000000242144,1300436.100000000093132,1317665.660000000149012,1212528.470000000204891,1257240.960000000195578,1239348.010000000242144,1242232.040000000037253,1256741.279999999795109,10163925.529999999329448
FS( 7 ),1374757.949999999953434,1380851.700000000186265,1358579.780000000027940,1211585.790000000037253,1282358.040000000037253,1218044.030000000260770,1273303.880000000121072,1275409.439999999711290,10374890.610000001266599
FS( 8 ),1382001.960000000195578,1310311.700000000186265,1361727.020000000251457,1205458.370000000111759,1269686.360000000102445,1206465.780000000260770,1268125.239999999990687,1245592.239999999757856,10249368.670000001788139
FS( 9 ),1360269.929999999934807,1306432.000000000232831,1329205.540000000270084,1210643.110000000102445,1240496.239999999990687,1189329.970000000204891,1252589.320000000065193,1225109.119999999878928,10114075.230000000447035
