代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13940631.609999999403954
真實報酬,3940631.609999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15770.873476702898188
風險,351661.374096422339790
起點值,0.044846760657822
找到最佳解世代,2290
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](3),VZ[26](8),
Stock#,AAPL[0](1),MCD[15](3),VZ[26](8),
張數,119817,52173,120423,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.060000000055879,0.029999999795109,24.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3352503.720000000204891,3340637.219999999739230,3347783.759999999776483,10040925.699999999254942
FS( 3 ),3410015.880000000353903,3402201.359999999403954,3286368.029999999795109,10098586.269999999552965
FS( 4 ),3287802.540000000037253,3342202.409999999683350,3223748.069999999832362,9853754.019999999552965
FS( 5 ),3345314.700000000186265,3306203.039999999571592,3235790.370000000111759,9887309.109999999403954
FS( 6 ),3322549.470000000204891,3282725.189999999944121,3193642.319999999832362,9798917.980000000447035
FS( 7 ),3358494.570000000298023,3316637.639999999664724,3236994.599999999627471,9912127.809999998658895
FS( 8 ),3339323.850000000093132,3299942.279999999795109,3250241.129999999888241,9889508.259999999776483
FS( 9 ),3400430.520000000018626,3328115.699999999720603,3269508.809999999590218,9998056.029999999329448
FS( 10 ),3430384.770000000018626,3317681.100000000093132,3257466.509999999776483,10005533.379999998956919
FS( 11 ),3481906.080000000074506,3339593.760000000242144,3285163.799999999813735,10106664.640000000596046
FS( 12 ),3467528.040000000037253,3352637.010000000242144,3280346.879999999888241,10100512.929999999701977
FS( 13 ),3473518.889999999664724,3364115.069999999832362,3281551.109999999869615,10119186.069999998435378
FS( 14 ),3451951.830000000074506,3377680.049999999348074,3267100.349999999627471,10096733.229999998584390
FS( 15 ),3430384.770000000018626,3379245.239999999757856,3264691.889999999664724,10074322.899999998509884
FS( 16 ),3372872.609999999869615,3384462.540000000037253,3235790.370000000111759,9993126.519999999552965
FS( 17 ),3435177.450000000186265,3404810.010000000242144,3261079.199999999720603,10101067.660000000149012
FS( 18 ),3457942.680000000167638,3358897.769999999552965,3251445.359999999869615,10068286.809999998658895
FS( 19 ),3502274.970000000204891,3331246.080000000074506,3257466.509999999776483,10090988.560000000521541
FS( 20 ),3577759.680000000167638,3338028.569999999832362,3263487.660000000149012,10179276.910000000149012
FS( 21 ),3575363.339999999850988,3342724.139999999664724,3294797.639999999664724,10212886.119999999180436
FS( 22 ),3582552.359999999869615,3319768.020000000018626,3279142.649999999906868,10181464.029999999329448
FS( 23 ),3606515.760000000242144,3309333.419999999925494,3296001.870000000111759,10211852.050000000745058
FS( 24 ),3747899.820000000298023,3321854.939999999944121,3291184.949999999720603,10360940.709999999031425
FS( 25 ),3750296.160000000149012,3397505.790000000037253,3335741.459999999962747,10483544.410000000149012
FS( 26 ),3817393.680000000167638,3396462.329999999608845,3367051.439999999944121,10580908.449999999254942
FS( 27 ),3848546.099999999627471,3388114.649999999906868,3348987.989999999757856,10585649.740000000223517
FS( 28 ),3859329.630000000353903,3402201.359999999403954,3359826.059999999590218,10621358.050000000745058
FS( 29 ),3878500.349999999627471,3418896.719999999739230,3347783.759999999776483,10645181.829999998211861
FS( 30 ),3831771.720000000204891,3439765.919999999925494,3362234.520000000018626,10633773.160000000149012
FS( 31 ),3841357.080000000540167,3447070.139999999664724,3369459.899999999906868,10657888.120000001043081
FS( 32 ),3836564.400000000372529,3463243.769999999552965,3394748.729999999981374,10694557.900000000372529
FS( 33 ),3844951.590000000316650,3478895.669999999925494,3411607.949999999720603,10735456.209999999031425
FS( 34 ),3804213.810000000055879,3471069.719999999739230,3423650.250000000000000,10698934.779999999329448
FS( 35 ),3847347.930000000167638,3496112.760000000242144,3451347.540000000037253,10794809.230000000447035
FS( 36 ),3908454.599999999627471,3513851.579999999608845,3487474.439999999944121,10909781.619999999180436
FS( 37 ),3926427.150000000372529,3485156.429999999701977,3429671.399999999906868,10841255.980000000447035
FS( 38 ),3879698.520000000484288,3490373.729999999981374,3412812.179999999701977,10782885.429999999701977
FS( 39 ),3952786.890000000130385,3509156.010000000242144,3418833.330000000074506,10880777.230000000447035
FS( 40 ),3977948.460000000428408,3499243.139999999664724,3428467.169999999925494,10905659.769999999552965
FS( 41 ),4036658.789999999571592,3508112.549999999348074,3516375.959999999962747,11061148.299999998882413
FS( 42 ),4022280.750000000000000,3480982.589999999850988,3492291.359999999869615,10995555.699999999254942
FS( 43 ),4039055.130000000353903,3525851.369999999646097,3521192.879999999888241,11086100.379999998956919
FS( 44 ),4082189.250000000000000,3549329.219999999739230,3541664.790000000037253,11173184.259999999776483
FS( 45 ),4100161.799999999813735,3537851.159999999683350,3512763.270000000018626,11150777.229999998584390
FS( 46 ),4118134.349999999627471,3532112.129999999888241,3404382.569999999832362,11054630.049999998882413
FS( 47 ),4107350.820000000298023,3587415.510000000242144,3395952.959999999962747,11090720.289999999105930
FS( 48 ),4138503.239999999757856,3583241.669999999925494,3386319.120000000111759,11108065.030000001192093
FS( 49 ),4146890.430000000167638,3575415.719999999739230,3370664.129999999888241,11092971.280000001192093
FS( 50 ),4149286.770000000484288,3595763.189999999944121,3385114.889999999664724,11130165.850000001490116
FS( 51 ),4205600.759999999776483,3621849.689999999944121,3361030.290000000037253,11188481.739999998360872
FS( 52 ),4260716.580000000074506,3608284.709999999497086,3326107.620000000111759,11195109.910000000149012
FS( 53 ),4234356.839999999850988,3601502.219999999739230,3330924.540000000037253,11166784.599999999627471
FS( 54 ),4229564.160000000149012,3647936.189999999944121,3347783.759999999776483,11225285.109999999403954
FS( 55 ),4186430.039999999571592,3669848.850000000093132,3350192.219999999739230,11206472.109999999403954
FS( 56 ),4436847.570000000298023,3670892.309999999590218,3328516.080000000074506,11436256.960000000894070
FS( 57 ),4561457.250000000000000,3705848.219999999739230,3296001.870000000111759,11563308.339999999850988
FS( 58 ),4635743.789999999105930,3712108.979999999981374,3270713.040000000037253,11618566.809999998658895
FS( 59 ),4612978.560000000521541,3705326.489999999757856,3258670.739999999757856,11576976.790000000968575
FS( 60 ),4484774.369999999180436,3679761.719999999739230,3236994.599999999627471,11401531.689999997615814
FS( 61 ),4477585.349999999627471,3669848.850000000093132,3279142.649999999906868,11426577.849999999627471
FS( 62 ),4598600.519999999552965,3731412.989999999757856,3289980.719999999739230,11619995.230000000447035
FS( 63 ),4469198.160000000149012,3682892.100000000093132,3253853.819999999832362,11405945.080000000074506
FS( 64 ),4559060.910000000149012,3726195.689999999944121,3297206.099999999627471,11582463.699999999254942
FS( 65 ),4427262.210000000894070,3685500.750000000000000,3236994.599999999627471,11349758.560000000521541
FS( 66 ),4381731.750000000000000,3686544.209999999497086,3228564.989999999757856,11296841.949999999254942
FS( 67 ),4215186.119999999180436,3621849.689999999944121,3153902.729999999981374,10990939.539999999105930
FS( 68 ),4036658.789999999571592,3548285.760000000242144,3174374.639999999664724,10759320.189999999478459
FS( 69 ),4346984.820000000298023,3682370.369999999646097,3221339.609999999869615,11250695.799999998882413
FS( 70 ),4391317.109999999403954,3677153.069999999832362,3197255.009999999776483,11265726.189999999478459
FS( 71 ),4485972.539999999105930,3687065.939999999944121,3230973.449999999720603,11404012.929999997839332
FS( 72 ),4422469.529999999329448,3678196.529999999795109,3229769.219999999739230,11330436.279999997466803
