代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13255693.169999999925494
真實報酬,3255693.169999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12664.895263752461688
風險,160685.507442499481840
起點值,0.078817906265035
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](7),CAT[3](17),DD[7](3),MRK[17](13),MSFT[18](15),UNH[23](6),UTX[24](2),
Stock#,AAPL[0](9),BA[2](7),CAT[3](17),DD[7](3),MRK[17](13),MSFT[18](15),UNH[23](6),UTX[24](2),
張數,19917,13709,15045,26477,27358,38202,20931,13728,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,9.080000000074506,13.379999999888241,61.400000000139698,20.830000000074506,12.979999999981374,30.560000000055879,0.679999999934807,65.600000000093132,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1267726.130000000121072,1264120.269999999785796,1267753.100000000325963,1248940.920000000158325,1251094.319999999832362,1266808.879999999888241,1244976.559999999823049,1259609.600000000093132,10071029.779999999329448
FS( 3 ),1280273.840000000083819,1285095.039999999804422,1308675.500000000232831,1280448.550000000046566,1249452.840000000083819,1279415.540000000037253,1233255.199999999953434,1278279.680000000167638,10194896.189999999478459
FS( 4 ),1310946.020000000018626,1291264.089999999850988,1317852.950000000186265,1282301.940000000176951,1230575.819999999832362,1289348.060000000055879,1260046.879999999888241,1283496.320000000065193,10265832.080000001937151
FS( 5 ),1304970.919999999925494,1299489.489999999990687,1350951.950000000186265,1302424.459999999962747,1238509.640000000130385,1272539.180000000167638,1266326.179999999934807,1288712.960000000195578,10323924.780000001192093
FS( 6 ),1319709.500000000232831,1289207.739999999990687,1358775.350000000093132,1301365.380000000121072,1230849.400000000139698,1260314.540000000037253,1308397.489999999990687,1295714.239999999990687,10364333.640000000596046
FS( 7 ),1299593.330000000074506,1297021.869999999878928,1353359.150000000139698,1316722.040000000037253,1244528.400000000139698,1247707.879999999888241,1297931.989999999990687,1300930.880000000121072,10357795.540000000968575
FS( 8 ),1288838.149999999906868,1291949.539999999804422,1333349.300000000279397,1299247.219999999972060,1257113.080000000074506,1248853.939999999944121,1316769.889999999897555,1307657.600000000093132,10343778.720000000670552
FS( 9 ),1293817.399999999906868,1299078.219999999972060,1325074.550000000046566,1295275.670000000158325,1263131.840000000083819,1261842.620000000111759,1305885.770000000018626,1303539.200000000186265,10347645.269999999552965
FS( 10 ),1262946.050000000046566,1317585.369999999878928,1317251.150000000139698,1316986.810000000055879,1276263.679999999934807,1280943.620000000111759,1292071.309999999823049,1316992.640000000130385,10381040.630000000819564
FS( 11 ),1220124.500000000000000,1330060.559999999823049,1308976.400000000139698,1332608.239999999990687,1278452.319999999832362,1293168.260000000009313,1289559.589999999850988,1315345.280000000027940,10368295.149999998509884
