代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14205234.469999998807907
真實報酬,4205234.469999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14282.714634028621731
風險,414447.719931036408525
起點值,0.034462041765860
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),UNH[23](2),VZ[26](1),
Stock#,KO[14](3),UNH[23](2),VZ[26](1),
張數,124007,110156,121743,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.840000000316650,12.439999999944121,9.660000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3297370.970000000204891,3248512.879999999888241,3272461.500000000000000,9818346.349999999627471
FS( 3 ),3327132.649999999906868,3304692.439999999944121,3263939.490000000223517,9895765.580000000074506
FS( 4 ),3242807.890000000130385,3220973.879999999888241,3188458.830000000074506,9652241.599999999627471
FS( 5 ),3266369.220000000204891,3196739.560000000055879,3209155.140000000130385,9672264.919999999925494
FS( 6 ),3350693.980000000447035,3291473.719999999739230,3256634.910000000149012,9898803.609999999403954
FS( 7 ),3324652.510000000242144,3288169.040000000037253,3232286.310000000055879,9845108.860000001266599
FS( 8 ),3349453.910000000614673,3339942.359999999869615,3266374.350000000093132,9955771.620000001043081
FS( 9 ),3317212.090000000316650,3324520.520000000018626,3265156.920000000391155,9906890.530000001192093
FS( 10 ),3307291.530000000726432,3347653.279999999795109,3245678.040000000037253,9900623.850000001490116
FS( 11 ),3312251.810000000521541,3353161.080000000074506,3262722.060000000055879,9928135.950000001117587
FS( 12 ),3292410.690000000409782,3324520.520000000018626,3234721.170000000391155,9851653.380000000819564
FS( 13 ),3293650.760000000242144,3303590.879999999888241,3245678.040000000037253,9842920.679999999701977
FS( 14 ),3195685.230000000447035,3190130.200000000186265,3159240.510000000242144,9545056.940000001341105
