代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13459441.389999998733401
真實報酬,3459441.389999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16524.777072560555098
風險,236090.916287825210020
起點值,0.069993277727021
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,7
BA[2](12),DD[7](13),GS[8](5),HD[9](2),TRV[22](9),UNH[23](20),V[25](1),
Stock#,BA[2](12),DD[7](13),GS[8](5),HD[9](2),TRV[22](9),UNH[23](20),V[25](1),
張數,20157,35022,13425,25155,22100,26183,44462,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,44.409999999916181,23.620000000111759,16.750000000000000,18.550000000046566,27.000000000000000,26.520000000018626,6.939999999944121,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1449735.849999999860302,1419115.060000000288710,1475961.250000000000000,1422282.250000000000000,1426140.000000000000000,1421239.760000000009313,1418344.739999999990687,10032821.910000000149012
FS( 3 ),1467877.149999999674037,1472698.719999999972060,1524291.250000000000000,1450204.300000000046566,1444041.000000000000000,1437211.390000000130385,1439686.500000000000000,10236013.309999998658895
FS( 4 ),1469288.139999999897555,1512623.800000000046566,1561747.000000000000000,1440393.850000000093132,1441167.999999999767169,1436949.560000000055879,1441909.599999999860302,10304082.949999999254942
FS( 5 ),1432803.969999999972060,1511222.920000000158325,1539595.750000000000000,1441400.050000000046566,1443378.000000000000000,1407100.940000000176951,1430349.479999999981374,10205854.110000001266599
FS( 6 ),1436633.799999999813735,1508070.940000000176951,1566580.000000000000000,1426810.149999999906868,1479622.000000000000000,1382488.919999999925494,1461472.879999999888241,10261681.690000001341105
FS( 7 ),1430385.129999999888241,1505269.179999999934807,1587388.750000000000000,1435111.300000000046566,1492661.000000000232831,1383012.580000000074506,1483703.879999999888241,10317534.820000000298023
FS( 8 ),1442882.469999999972060,1567608.340000000083819,1620011.500000000000000,1466555.050000000046566,1512772.000000000000000,1411028.390000000130385,1500154.820000000065193,10521015.570000000298023
FS( 9 ),1436835.369999999878928,1608584.080000000074506,1629274.750000000000000,1495734.850000000093132,1515645.000000000000000,1420454.270000000018626,1492151.660000000149012,10598682.980000000447035
FS( 10 ),1409421.849999999860302,1552548.880000000121072,1609674.250000000000000,1481899.599999999860302,1513435.000000000000000,1426476.359999999869615,1488150.079999999841675,10481609.019999999552965
FS( 11 ),1420105.060000000055879,1547295.580000000074506,1609405.750000000000000,1480641.850000000093132,1512992.999999999767169,1443495.310000000055879,1485926.979999999981374,10499866.530000001192093
FS( 12 ),1409018.709999999962747,1544143.600000000325963,1597860.250000000000000,1495986.399999999906868,1507910.000000000000000,1438782.370000000111759,1498376.340000000083819,10492080.670000001788139
FS( 13 ),1408010.859999999869615,1540291.179999999934807,1579199.500000000000000,1491206.950000000186265,1512772.000000000000000,1438520.540000000037253,1496153.239999999990687,10466157.270000001415610
FS( 14 ),1410429.699999999953434,1509121.600000000325963,1566982.750000000000000,1494728.650000000139698,1516308.000000000000000,1470987.459999999962747,1500599.439999999944121,10469160.599999999627471
FS( 15 ),1411639.119999999878928,1507370.500000000000000,1565371.750000000000000,1493974.000000000000000,1512109.000000000000000,1465750.859999999869615,1486816.219999999739230,10443034.449999999254942
FS( 16 ),1398537.069999999832362,1485656.860000000102445,1523754.250000000000000,1502275.149999999906868,1513435.000000000000000,1471511.120000000111759,1495708.619999999878928,10390881.069999998435378
FS( 17 ),1416073.659999999916181,1451335.300000000046566,1518115.750000000000000,1488439.900000000139698,1497965.000000000000000,1460514.260000000009313,1473033.000000000000000,10305479.870000001043081
FS( 18 ),1413050.109999999869615,1453786.840000000083819,1546979.500000000000000,1506299.950000000186265,1511888.000000000000000,1472558.440000000176951,1488594.699999999720603,10393160.539999999105930
FS( 19 ),1402971.609999999869615,1443980.679999999934807,1526170.750000000000000,1518625.899999999906868,1508573.000000000000000,1450826.549999999813735,1492596.280000000027940,10343747.769999997690320
FS( 20 ),1411235.979999999981374,1462192.120000000111759,1568862.250000000000000,1523656.900000000139698,1526473.999999999767169,1478318.699999999953434,1519718.099999999860302,10490461.049999998882413
FS( 21 ),1401560.619999999878928,1454487.280000000260770,1574098.000000000000000,1517619.699999999953434,1518297.000000000000000,1487220.919999999925494,1511714.939999999944121,10465001.459999999031425
FS( 22 ),1408212.429999999934807,1432073.200000000186265,1582958.500000000000000,1553842.900000000139698,1525148.000000000000000,1488791.899999999906868,1539726.000000000000000,10530755.929999999701977
FS( 23 ),1409824.989999999757856,1455537.940000000176951,1609674.250000000000000,1553088.250000000000000,1531115.000000000000000,1517855.030000000027940,1552619.979999999981374,10629718.439999999478459
FS( 24 ),1428974.139999999897555,1456238.380000000121072,1601753.500000000000000,1589814.550000000046566,1537303.000000000000000,1495861.310000000055879,1559289.280000000027940,10669237.159999998286366
FS( 25 ),1422523.899999999674037,1446432.219999999972060,1603767.250000000000000,1556609.950000000186265,1536861.000000000232831,1508167.320000000065193,1541949.099999999860302,10616313.739999998360872
FS( 26 ),1423934.889999999897555,1416313.300000000046566,1606049.500000000000000,1533215.800000000046566,1531998.999999999767169,1504763.530000000027940,1520162.719999999739230,10536441.739999998360872
FS( 27 ),1417887.790000000037253,1400553.400000000139698,1612090.750000000000000,1502778.250000000000000,1533767.000000000232831,1495337.649999999906868,1527276.639999999897555,10489694.480000000447035
FS( 28 ),1427764.719999999972060,1407557.800000000046566,1637732.500000000000000,1484415.100000000093132,1528463.000000000000000,1509738.299999999813735,1545506.059999999823049,10541180.479999998584390
FS( 29 ),1448324.859999999869615,1400553.400000000139698,1613701.750000000000000,1498250.350000000093132,1518739.000000000000000,1494290.330000000074506,1546395.300000000046566,10520257.990000000223517
FS( 30 ),1456387.659999999916181,1412460.880000000121072,1671429.250000000000000,1525669.300000000046566,1542386.000000000232831,1505287.190000000176951,1554843.079999999841675,10668466.359999999403954
FS( 31 ),1481180.770000000018626,1491610.600000000325963,1654245.250000000000000,1530951.850000000093132,1557856.000000000000000,1489315.560000000055879,1569070.919999999925494,10774233.950000001117587
FS( 32 ),1484204.319999999832362,1508070.940000000176951,1677067.750000000000000,1544284.000000000000000,1577525.000000000000000,1466012.690000000176951,1584632.619999999878928,10841800.319999998435378
FS( 33 ),1496903.229999999981374,1507370.500000000000000,1680155.500000000000000,1554597.550000000046566,1634101.000000000000000,1466536.349999999860302,1577074.079999999841675,10916741.210000000894070
FS( 34 ),1491863.979999999981374,1489159.060000000288710,1659615.250000000000000,1556861.500000000000000,1624598.000000000000000,1457372.299999999813735,1555732.320000000065193,10835205.410000000149012
FS( 35 ),1485615.310000000055879,1483205.320000000065193,1648204.000000000000000,1560634.750000000000000,1635206.000000000000000,1480413.340000000083819,1545061.439999999944121,10838343.160000000149012
FS( 36 ),1467877.149999999674037,1424018.139999999897555,1597591.750000000000000,1553339.800000000046566,1621725.000000000000000,1470987.459999999962747,1518828.859999999869615,10654371.159999998286366
FS( 37 ),1465659.879999999888241,1490209.719999999972060,1607929.000000000000000,1541516.950000000186265,1617305.000000000232831,1464179.880000000121072,1517050.379999999888241,10703853.809999998658895
FS( 38 ),1442076.189999999944121,1479352.900000000139698,1607257.750000000000000,1521392.949999999953434,1593879.000000000000000,1471772.949999999953434,1529055.119999999878928,10644789.859999999403954
FS( 39 ),1433408.679999999934807,1474800.040000000037253,1603498.750000000000000,1510324.750000000000000,1581503.000000000000000,1460514.260000000009313,1537502.899999999906868,10601555.380000000819564
FS( 40 ),1419903.489999999757856,1461491.679999999934807,1643102.500000000000000,1544032.450000000186265,1567801.000000000000000,1466274.520000000018626,1542393.719999999739230,10645002.359999999403954
FS( 41 ),1426958.439999999944121,1501766.980000000214204,1676128.000000000000000,1566168.850000000093132,1552110.000000000000000,1491148.370000000111759,1599305.079999999841675,10813588.720000000670552
FS( 42 ),1412042.259999999776483,1483905.760000000009313,1654648.000000000000000,1560131.650000000139698,1538629.000000000000000,1467583.669999999925494,1593969.639999999897555,10710912.980000000447035
FS( 43 ),1419298.779999999795109,1499315.440000000176951,1665790.750000000000000,1569187.450000000186265,1527358.000000000000000,1447422.760000000009313,1573072.500000000000000,10701448.679999999701977
FS( 44 ),1451751.549999999813735,1522079.740000000223517,1694923.000000000000000,1575224.649999999906868,1550784.000000000000000,1476485.890000000130385,1599305.079999999841675,10870556.910000000149012
FS( 45 ),1413251.679999999934807,1510872.700000000186265,1583898.250000000000000,1559377.000000000000000,1518517.999999999767169,1420716.099999999860302,1584632.619999999878928,10591269.349999999627471
FS( 46 ),1430788.270000000018626,1473749.380000000121072,1547516.500000000000000,1530951.850000000093132,1524927.000000000000000,1399246.040000000037253,1579297.180000000167638,10486479.219999998807907
FS( 47 ),1476544.659999999916181,1464293.440000000176951,1559330.500000000000000,1533467.350000000093132,1524485.000000000000000,1385107.219999999972060,1588634.199999999720603,10531865.369999999180436
FS( 48 ),1485413.739999999757856,1435925.620000000111759,1573963.750000000000000,1538498.349999999860302,1512330.000000000232831,1366779.120000000111759,1592191.160000000149012,10505104.739999998360872
FS( 49 ),1478761.929999999934807,1438026.940000000176951,1563626.500000000000000,1594342.450000000186265,1507910.000000000000000,1366517.290000000037253,1583298.760000000009313,10532486.869999999180436
FS( 50 ),1437036.939999999944121,1410359.560000000288710,1533688.750000000000000,1546296.399999999906868,1504373.999999999767169,1341905.270000000018626,1555732.320000000065193,10329396.240000000223517
FS( 51 ),1431997.689999999944121,1391097.459999999962747,1549798.750000000000000,1540762.300000000046566,1509898.999999999767169,1341905.270000000018626,1556176.939999999944121,10321640.410000000149012
FS( 52 ),1426555.299999999813735,1383392.620000000111759,1555168.750000000000000,1562647.149999999906868,1517192.000000000232831,1358924.219999999972060,1586411.099999999860302,10390294.140000000596046
FS( 53 ),1450542.129999999888241,1435575.400000000139698,1588194.250000000000000,1593084.699999999953434,1536861.000000000232831,1385369.049999999813735,1618868.359999999869615,10608497.890000000596046
FS( 54 ),1462233.189999999944121,1435925.620000000111759,1585375.000000000000000,1605410.650000000139698,1539071.000000000000000,1391391.140000000130385,1626871.520000000018626,10646281.120000001043081
FS( 55 ),1474528.959999999962747,1437326.500000000000000,1580139.250000000000000,1612202.500000000232831,1551889.000000000000000,1401602.510000000009313,1630428.479999999981374,10688120.200000001117587
FS( 56 ),1486421.589999999850988,1465344.100000000325963,1615178.500000000000000,1630565.649999999906868,1575094.000000000000000,1411813.880000000121072,1646434.800000000046566,10830855.520000001415610
FS( 57 ),1497104.799999999813735,1475500.480000000214204,1623636.250000000000000,1626792.400000000139698,1566033.000000000000000,1401602.510000000009313,1636653.160000000149012,10827325.600000001490116
FS( 58 ),1501539.339999999850988,1481804.440000000176951,1589671.000000000000000,1613963.349999999860302,1565370.000000000000000,1376990.490000000223517,1631762.340000000083819,10761103.960000000894070
FS( 59 ),1493476.540000000037253,1489859.500000000000000,1602022.000000000000000,1630817.199999999953434,1568242.999999999767169,1381179.770000000018626,1637097.780000000027940,10802698.789999999105930
