代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13920340.339999999850988
真實報酬,3920340.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19587.838462745035940
風險,490260.318903901032172
起點值,0.039953954475733
找到最佳解世代,1853
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,211774,89863,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.860000000335276,22.679999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4997882.260000000707805,4975736.989999999292195,9973619.250000000000000
FS( 3 ),5038119.320000000298023,4993709.589999999850988,10031828.910000000149012
FS( 4 ),5152477.280000000260770,5044931.500000000000000,10197408.780000001192093
FS( 5 ),5230833.660000000149012,5052120.540000000037253,10282954.199999999254942
FS( 6 ),5177890.160000000149012,4950575.349999999627471,10128465.509999999776483
FS( 7 ),5220244.959999999962747,4929008.229999999515712,10149253.189999999478459
FS( 8 ),5207538.520000000484288,4887671.250000000000000,10095209.769999999552965
FS( 9 ),5256246.540000000037253,4873293.169999998994172,10129539.709999999031425
FS( 10 ),5298601.339999999850988,4940690.419999998994172,10239291.759999997913837
FS( 11 ),5501904.380000000819564,5074586.290000000037253,10576490.670000001788139
FS( 12 ),5582378.500000000000000,5073687.660000000149012,10656066.160000000149012
FS( 13 ),5597202.680000000633299,5122213.679999999701977,10719416.359999999403954
FS( 14 ),5567554.320000000298023,5044931.500000000000000,10612485.820000000298023
FS( 15 ),5580260.760000000707805,5015276.709999999962747,10595537.470000000670552
FS( 16 ),5612026.860000000335276,4991013.699999999254942,10603040.559999998658895
FS( 17 ),5561201.100000000558794,5043134.239999999292195,10604335.339999999850988
FS( 18 ),5516728.560000000521541,5117720.530000000260770,10634449.089999999850988
FS( 19 ),5631086.520000000484288,5137490.389999999664724,10768576.910000000149012
FS( 20 ),5607791.380000000819564,5137490.389999999664724,10745281.769999999552965
FS( 21 ),5607791.380000000819564,5128504.089999999850988,10736295.470000000670552
FS( 22 ),5472256.020000000484288,5098849.299999999813735,10571105.320000000298023
FS( 23 ),5592967.200000000186265,5096153.410000000149012,10689120.609999999403954
FS( 24 ),5626851.040000000037253,5087167.109999999403954,10714018.149999998509884
FS( 25 ),5747562.220000000670552,5161753.399999999441206,10909315.620000001043081
FS( 26 ),5756033.180000000633299,5134794.500000000000000,10890827.679999999701977
FS( 27 ),5726384.820000000298023,5110531.489999999292195,10836916.309999998658895
FS( 28 ),5762386.400000000372529,5095254.780000000260770,10857641.179999999701977
FS( 29 ),5772975.100000000558794,5093457.519999999552965,10866432.620000001043081
FS( 30 ),5749679.959999999962747,5126706.829999999143183,10876386.789999999105930
FS( 31 ),5787799.280000000260770,5167145.179999999701977,10954944.460000000894070
FS( 32 ),5764504.139999999664724,5230049.280000000260770,10994553.419999999925494
FS( 33 ),5688265.500000000000000,5282169.819999999366701,10970435.320000000298023
FS( 34 ),5743326.740000000223517,5327101.319999999366701,11070428.059999998658895
FS( 35 ),6012279.720000000670552,5294750.639999999664724,11307030.359999999403954
FS( 36 ),6198640.839999999850988,5241731.469999999739230,11440372.309999998658895
FS( 37 ),6207111.799999999813735,5346871.179999999701977,11553982.980000000447035
FS( 38 ),6168992.480000000447035,5340580.769999999552965,11509573.250000000000000
FS( 39 ),6126637.680000000633299,5319912.280000000260770,11446549.960000000894070
FS( 40 ),5972042.660000000149012,5303736.940000000409782,11275779.600000001490116
FS( 41 ),5821683.120000000111759,5269589.000000000000000,11091272.120000001043081
FS( 42 ),5940276.560000000521541,5314520.500000000000000,11254797.060000000521541
FS( 43 ),5703089.680000000633299,5266893.109999999403954,10969982.789999999105930
FS( 44 ),5726384.820000000298023,5316317.759999999776483,11042702.580000000074506
FS( 45 ),5709442.900000000372529,5323506.799999999813735,11032949.699999999254942
FS( 46 ),5772975.100000000558794,5417862.949999999254942,11190838.050000000745058
FS( 47 ),5870391.139999999664724,5524799.919999998994172,11395191.059999998658895
FS( 48 ),5878862.100000000558794,5546367.040000000037253,11425229.140000000596046
FS( 49 ),6094871.580000001005828,5629041.000000000000000,11723912.580000001937151
FS( 50 ),6141461.860000000335276,5596690.319999999366701,11738152.179999999701977
FS( 51 ),6149932.820000000298023,5646114.969999999739230,11796047.789999999105930
FS( 52 ),6111813.500000000000000,5586805.389999999664724,11698618.890000000596046
FS( 53 ),6185934.400000000372529,5713512.219999999739230,11899446.620000001043081
FS( 54 ),6251584.339999999850988,5798882.069999999366701,12050466.410000000149012
FS( 55 ),6262173.040000000037253,5712613.589999999850988,11974786.629999998956919
FS( 56 ),6230406.940000000409782,5749457.419999998994172,11979864.359999999403954
FS( 57 ),6065223.220000000670552,5698235.509999999776483,11763458.730000000447035
FS( 58 ),6048281.299999999813735,5748558.790000000037253,11796840.089999999850988
FS( 59 ),6228289.200000000186265,5750356.049999999813735,11978645.250000000000000
FS( 60 ),6185934.400000000372529,5771024.540000000037253,11956958.940000001341105
FS( 61 ),6177463.440000000409782,5791693.030000000260770,11969156.470000000670552
FS( 62 ),6069458.700000000186265,5715309.479999999515712,11784768.179999999701977
FS( 63 ),6048281.299999999813735,5683857.429999999701977,11732138.730000000447035
FS( 64 ),5959336.220000000670552,5709917.699999999254942,11669253.919999999925494
FS( 65 ),5936041.080000001005828,5616460.179999999701977,11552501.260000001639128
FS( 66 ),5944512.040000000037253,5568832.790000000037253,11513344.830000000074506
FS( 67 ),5849213.740000000223517,5534684.849999999627471,11383898.589999999850988
FS( 68 ),5715796.120000000111759,5565238.269999999552965,11281034.390000000596046
FS( 69 ),5743326.740000000223517,5446619.109999999403954,11189945.849999999627471
FS( 70 ),5984749.100000000558794,5445720.479999999515712,11430469.580000000074506
FS( 71 ),5942394.299999999813735,5486158.829999999143183,11428553.129999998956919
FS( 72 ),5889450.799999999813735,5540975.259999999776483,11430426.059999998658895
FS( 73 ),5959336.220000000670552,5584109.500000000000000,11543445.720000000670552
FS( 74 ),5874626.620000000111759,5571528.679999999701977,11446155.300000000745058
FS( 75 ),5900039.500000000000000,5609271.139999999664724,11509310.640000000596046
FS( 76 ),5804741.200000000186265,5564339.639999999664724,11369080.839999999850988
FS( 77 ),5912745.940000000409782,5586805.389999999664724,11499551.330000000074506
FS( 78 ),5997455.540000000037253,5630838.259999999776483,11628293.800000000745058
FS( 79 ),6060987.740000000223517,5658695.790000000037253,11719683.530000001192093
FS( 80 ),6113931.240000000223517,5693742.359999999403954,11807673.599999999627471
FS( 81 ),6323587.500000000000000,5699134.139999999664724,12022721.640000000596046
FS( 82 ),6401943.880000000819564,5716208.109999999403954,12118151.990000000223517
FS( 83 ),6325705.240000000223517,5714410.849999999627471,12040116.089999999850988
FS( 84 ),6401943.880000000819564,5651506.750000000000000,12053450.630000000819564
FS( 85 ),6374413.260000000707805,5611068.399999999441206,11985481.660000000149012
FS( 86 ),6473947.040000000037253,5641621.819999999366701,12115568.859999999403954
FS( 87 ),6486653.480000000447035,5598487.579999999143183,12085141.059999998658895
FS( 88 ),6382884.220000000670552,5522104.030000000260770,11904988.250000000000000
FS( 89 ),6370177.780000000260770,5562542.379999999888241,11932720.160000000149012
FS( 90 ),6412532.580000001005828,5557150.599999999627471,11969683.179999999701977
FS( 91 ),6357471.339999999850988,5600284.839999999850988,11957756.179999999701977
FS( 92 ),6283350.440000000409782,5630838.259999999776483,11914188.699999999254942
FS( 93 ),6372295.520000000484288,5624547.849999999627471,11996843.370000001043081
FS( 94 ),6336293.940000000409782,5629939.629999999888241,11966233.570000000298023
FS( 95 ),6230406.940000000409782,5596690.319999999366701,11827097.259999999776483
FS( 96 ),6505713.139999999664724,5704525.919999998994172,12210239.059999998658895
FS( 97 ),6406179.360000000335276,5662290.309999999590218,12068469.669999999925494
FS( 98 ),6293939.139999999664724,5679364.280000000260770,11973303.419999999925494
FS( 99 ),5982631.360000000335276,5696438.250000000000000,11679069.609999999403954
