訓練日期,20091020 - 20100122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11355882.919999999925494
真實報酬,1355882.919999999925494

夏普值報酬,0.126888292000000
夏普值風險,0.054168361166505
夏普值,2.342479803108036

預期報酬,30496.202807558867789
風險,160651.030958862014813
趨勢值,0.189828864623770
找到最佳解世代,1784
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
BA[2](16),MSFT[18](3),UNH[23](1),VZ[26](9),
Stock#,BA[2](16),MSFT[18](3),UNH[23](1),VZ[26](9),
張數,48178,94804,96302,92833,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.580000000074506,18.520000000018626,0.080000000074506,7.310000000055879,
20091020,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20091021,2439295.720000000204891,2519908.839999999850988,2419106.320000000298023,2519494.930000000167638,9897805.810000000521541
20091022,2460494.040000000037253,2520856.879999999888241,2475924.500000000000000,2518566.600000000093132,9975842.019999999552965
20091023,2403644.000000000000000,2656426.600000000093132,2489406.780000000260770,2503713.319999999832362,10053190.699999999254942
20091026,2326559.200000000186265,2718997.240000000223517,2437403.699999999720603,2486075.050000000279397,9969035.190000001341105
20091027,2300543.080000000074506,2710464.879999999888241,2552003.080000000074506,2534348.209999999962747,10097359.250000000000000
20091028,2275008.740000000223517,2656426.600000000093132,2492295.839999999850988,2599331.310000000055879,10023062.490000000223517
20091029,2351611.760000000242144,2675387.399999999906868,2549114.020000000018626,2607686.280000000260770,10183799.460000000894070
20091030,2302951.979999999981374,2628933.439999999944121,2499036.979999999981374,2567768.089999999850988,9998690.490000000223517
20091102,2325595.640000000130385,2643154.040000000037253,2544298.920000000391155,2552914.810000000055879,10065963.410000000149012
20091103,2317405.380000000353903,2609972.640000000130385,2591486.899999999906868,2523208.250000000000000,10042073.169999999925494
20091104,2315960.040000000037253,2660218.759999999776483,2683936.820000000298023,2525993.240000000223517,10186108.859999999403954
20091105,2397862.640000000130385,2699088.399999999906868,2716679.500000000000000,2543631.509999999776483,10357262.050000000745058
20091106,2393526.620000000111759,2703828.600000000093132,2760978.420000000391155,2565911.430000000167638,10424245.070000000298023
20091109,2473983.880000000353903,2748386.479999999981374,2805277.339999999850988,2618826.240000000223517,10646473.940000001341105
20091110,2424360.540000000037253,2750282.560000000055879,2789869.020000000018626,2630894.530000000260770,10595406.649999998509884
20091111,2441704.620000000111759,2760711.000000000000000,2828389.820000000298023,2634607.850000000093132,10665413.290000000968575
20091112,2422433.419999999925494,2783463.959999999962747,2769645.600000000093132,2617897.910000000149012,10593440.890000000596046
20091113,2441704.620000000111759,2809061.040000000037253,2800462.239999999757856,2615112.920000000391155,10666340.820000000298023
20091116,2528425.020000000018626,2800528.680000000167638,2807203.379999999888241,2632751.189999999944121,10768908.269999999552965
20091117,2530833.919999999925494,2844138.520000000018626,2789869.020000000018626,2660601.089999999850988,10825442.549999998882413
20091118,2506263.140000000130385,2854566.959999999962747,2780238.820000000298023,2661529.420000000391155,10802598.339999999850988
20091119,2477838.120000000111759,2823281.640000000130385,2757126.339999999850988,2648532.800000000279397,10706778.900000000372529
20091120,2490846.180000000167638,2808113.000000000000000,2750385.199999999720603,2641106.160000000149012,10690450.539999999105930
20091123,2535651.720000000204891,2838450.280000000260770,2800462.239999999757856,2719085.879999999888241,10893650.120000001043081
20091124,2503854.240000000223517,2835606.160000000149012,2846687.199999999720603,2766430.709999999962747,10952578.309999998658895
20091125,2550105.120000000111759,2824229.680000000167638,2844761.160000000149012,2780355.660000000149012,10999451.620000001043081
20091127,2526979.680000000167638,2770191.399999999906868,2835130.960000000428408,2745079.120000000111759,10877381.160000000149012
20091130,2525052.560000000055879,2788204.160000000149012,2760978.420000000391155,2730225.839999999850988,10804460.980000000447035
20091201,2588165.740000000223517,2845086.560000000055879,2763867.479999999981374,2807277.229999999981374,11004397.010000001639128
20091202,2591056.419999999925494,2823281.640000000130385,2724383.660000000149012,2834198.800000000279397,10972920.520000001415610
20091203,2590574.640000000130385,2828021.839999999850988,2631933.739999999757856,2836983.790000000037253,10887514.010000001639128
20091204,2634416.620000000111759,2842242.439999999944121,2644453.000000000000000,2837912.120000000111759,10959024.179999999701977
20091207,2689339.540000000037253,2824229.680000000167638,2725346.680000000167638,2886185.280000000260770,11125101.179999999701977
20091208,2681631.060000000055879,2803372.799999999813735,2740755.000000000000000,2898253.569999999832362,11124012.429999999701977
20091209,2672477.240000000223517,2816645.359999999869615,2744607.080000000074506,2889898.600000000093132,11123628.279999999329448
20091210,2650315.359999999869615,2831814.000000000000000,2918913.699999999720603,2921461.819999999832362,11322504.879999998956919
20091211,2678740.380000000353903,2829917.919999999925494,2935285.040000000037253,2927960.129999999888241,11371903.469999998807907
20091214,2700420.479999999981374,2854566.959999999962747,2980546.979999999981374,2912178.520000000018626,11447712.939999999478459
20091215,2682112.840000000316650,2846034.600000000093132,3016178.720000000204891,2864833.689999999944121,11409159.849999999627471
20091216,2656096.720000000204891,2853618.919999999925494,3100924.480000000447035,2838840.449999999720603,11449480.570000000298023
20091217,2624299.240000000223517,2806216.919999999925494,3064329.720000000204891,2848123.750000000000000,11342969.630000000819564
