訓練日期,20130620 - 20130920
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11470927.169999999925494
真實報酬,1470927.169999999925494

夏普值報酬,0.138392717000000
夏普值風險,0.045310060188500
夏普值,3.054348558008004

預期報酬,25061.507445150262356
風險,125639.989139807817992
趨勢值,0.199470786464831
找到最佳解世代,1787
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](7),DD[7](1),NKE[19](4),UNH[23](2),
Stock#,AAPL[0](6),BA[2](7),DD[7](1),NKE[19](4),UNH[23](2),
張數,33585,20072,42310,65811,31347,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.250000000000000,25.919999999925494,6.299999999813735,3.709999999962747,61.400000000139698,
20130620,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
20130621,1983879.199999999953434,2006824.479999999981374,1966151.999999999767169,1993418.899999999906868,2003134.700000000186265,9953409.280000001192093
20130624,1931486.599999999860302,1964071.119999999878928,1949227.999999999767169,1973017.489999999990687,2026644.950000000419095,9844448.160000000149012
20130625,1931822.450000000186265,1980530.159999999916181,1958113.099999999860302,1987495.909999999916181,1997805.709999999962747,9855767.330000000074506
20130626,1909992.199999999953434,2022279.919999999925494,1940342.899999999674037,2035537.939999999944121,2030720.060000000288710,9938873.019999999552965
20130627,1889169.500000000000000,2070452.719999999972060,1949227.999999999767169,2050674.469999999972060,2071784.630000000353903,10031309.320000000298023
20130628,1902603.500000000000000,2056201.599999999860302,1938227.399999999906868,2095425.949999999953434,2052662.960000000195578,10045121.410000000149012
20130701,1963392.350000000093132,2072259.199999999720603,1958113.099999999860302,2051332.580000000074506,2057365.010000000009313,10102462.240000000223517
20130702,2007724.550000000046566,2036731.760000000009313,1954728.300000000046566,2060546.119999999878928,2046080.090000000083819,10105810.820000000298023
20130703,2018807.600000000093132,2065234.000000000000000,1953882.099999999860302,2068443.439999999944121,2054543.780000000260770,10160910.920000001788139
20130705,2002686.800000000046566,2091528.320000000065193,1969536.799999999580905,2094109.729999999981374,2074292.390000000130385,10232154.040000000968575
20130708,1991267.899999999906868,2094940.560000000055879,1993653.499999999767169,2096742.169999999925494,2117864.720000000670552,10294468.850000001490116
20130709,2026532.150000000139698,2101162.879999999888241,2049925.800000000046566,2103981.379999999888241,2130716.990000000223517,10412319.199999999254942
20130710,2018471.750000000000000,2117621.919999999925494,2035963.499999999767169,2092793.510000000009313,2121939.830000000074506,10386790.509999999776483
20130711,2050041.649999999906868,2145321.279999999795109,2060503.300000000046566,2096742.169999999925494,2142942.320000000298023,10495550.719999998807907
20130712,2046347.300000000046566,2044760.560000000055879,2055849.199999999953434,2095425.949999999953434,2131657.400000000372529,10374040.410000000149012
20130715,2050713.350000000093132,2120833.439999999944121,2072773.199999999953434,2084896.189999999944121,2119745.540000000037253,10448961.719999998807907
20130716,2064147.350000000093132,2092130.479999999981374,2046964.099999999860302,2063178.560000000055879,2097489.169999999925494,10363909.660000000149012
20130717,2064483.199999999953434,2103370.800000000279397,2092658.899999999906868,2084238.080000000074506,2076173.210000000195578,10420924.190000001341105
20130718,2071536.050000000046566,2160375.279999999795109,2083773.799999999813735,2083579.969999999972060,2211592.250000000000000,10610857.349999999627471
20130719,2038958.600000000093132,2146927.039999999571592,2088850.999999999767169,2084896.189999999944121,2239804.549999999813735,10599437.379999998956919
20130722,2045339.750000000000000,2144919.839999999850988,2084196.899999999674037,2082921.859999999869615,2262687.860000000335276,10620066.210000000894070
20130723,2010411.350000000093132,2163586.800000000279397,2081658.300000000046566,2079631.310000000055879,2278674.830000000074506,10613962.589999999850988
20130724,2113517.299999999813735,2146726.319999999832362,2071080.800000000046566,2061204.229999999981374,2273659.310000000521541,10666187.959999999031425
20130725,2103777.649999999906868,2141708.319999999832362,2108313.599999999627471,2056597.459999999962747,2276480.540000000037253,10686877.570000000298023
20130726,2115868.250000000000000,2119629.119999999646097,2090966.500000000000000,2057913.679999999934807,2263628.269999999552965,10648005.819999998435378
20130729,2148445.700000000186265,2103772.239999999757856,2108736.700000000186265,2063836.669999999925494,2281809.530000000260770,10706600.839999999850988
20130730,2174977.850000000093132,2122238.479999999981374,2112544.599999999627471,2068443.439999999944121,2265509.089999999850988,10743713.459999999031425
20130731,2171283.500000000000000,2109593.119999999646097,2111275.299999999813735,2070417.770000000018626,2283690.349999999627471,10746260.039999999105930
20130801,2191098.649999999906868,2141708.319999999832362,2132853.399999999441206,2171108.600000000093132,2293407.919999999925494,10930176.889999998733401
20130802,2219310.049999999813735,2165794.720000000204891,2182356.099999999627471,2181638.359999999869615,2265195.620000000111759,11014294.849999997764826
20130805,2252223.350000000093132,2157765.919999999925494,2198010.799999999813735,2184928.910000000149012,2299050.379999999888241,11091979.359999999403954
20130806,2232072.349999999627471,2148532.800000000279397,2172624.799999999813735,2189535.680000000167638,2295915.679999999701977,11038681.310000000521541
20130807,2231064.800000000279397,2136088.160000000149012,2186587.099999999627471,2159920.729999999981374,2285884.640000000596046,10999545.430000001564622
20130808,2211921.350000000093132,2124446.399999999906868,2223819.899999999906868,2173741.040000000037253,2294034.860000000335276,11027963.550000000745058
20130809,2180351.450000000186265,2114209.679999999701977,2291939.000000000000000,2182296.469999999739230,2286198.110000000335276,11054994.710000000894070
20130812,2242483.699999999720603,2092331.199999999720603,2258090.999999999534339,2188877.569999999832362,2269270.730000000447035,11051054.199999999254942
20130813,2348948.149999999906868,2132274.479999999981374,2282207.699999999720603,2165843.719999999739230,2299363.849999999627471,11228637.900000000372529
20130814,2391601.099999999627471,2090725.439999999944121,2274591.899999999906868,2117143.580000000074506,2272405.429999999701977,11146467.449999999254942
20130815,2388914.299999999813735,2062022.479999999981374,2238628.399999999441206,2089502.959999999962747,2238237.200000000186265,11017305.339999999850988
20130816,2410072.850000000093132,2076875.760000000009313,2222550.600000000093132,2094767.839999999850988,2239177.610000000335276,11043444.660000000149012
20130819,2435933.299999999813735,2101965.759999999776483,2206895.899999999441206,2128989.560000000055879,2247954.769999999552965,11121739.289999999105930
20130820,2404027.549999999813735,2100159.279999999795109,2226358.499999999534339,2127015.229999999981374,2271465.019999999552965,11129025.580000000074506
20130821,2410408.699999999720603,2085707.439999999944121,2237782.199999999720603,2110562.479999999981374,2252343.349999999627471,11096804.169999999925494
20130822,2413095.500000000000000,2110396.000000000000000,2240743.899999999906868,2134254.439999999944121,2256104.990000000223517,11154594.830000000074506
20130823,2403691.699999999720603,2117220.479999999981374,2334249.000000000000000,2112536.810000000055879,2273972.780000000260770,11241670.769999999552965
20130826,2413095.500000000000000,2118224.080000000074506,2328748.699999999720603,2103323.270000000018626,2268957.259999999776483,11232348.809999998658895
20130827,2344246.250000000000000,2071657.039999999804422,2263168.199999999720603,2067127.219999999972060,2241998.839999999850988,10988197.550000000745058
20130828,2355329.299999999813735,2072861.359999999869615,2256398.599999999627471,2085554.300000000046566,2242625.780000000260770,11012769.339999999850988
20130829,2359023.649999999906868,2106180.879999999888241,2260629.599999999627471,2088844.849999999860302,2270838.080000000074506,11085517.059999998658895
20130830,2337529.250000000000000,2085908.159999999916181,2253436.899999999906868,2067127.219999999972060,2248895.179999999701977,10992896.710000000894070
20130903,2344246.250000000000000,2107786.640000000130385,2255975.500000000000000,2115827.359999999869615,2274599.720000000670552,11098435.470000000670552
20130904,2392608.649999999906868,2135084.560000000055879,2276284.299999999813735,2143467.979999999981374,2299363.849999999627471,11246809.339999999850988
20130905,2376152.000000000000000,2140704.720000000204891,2314363.299999999813735,2151365.299999999813735,2320993.280000000260770,11303578.600000001490116
20130906,2390257.700000000186265,2129062.959999999962747,2323248.399999999441206,2138203.100000000093132,2321620.220000000670552,11302392.380000000819564
20130909,2428544.600000000093132,2151543.600000000093132,2338480.000000000000000,2152023.410000000149012,2327576.150000000372529,11398167.759999999776483
20130910,2373129.350000000093132,2171214.160000000149012,2409137.699999999720603,2198749.219999999739230,2339488.009999999776483,11491718.439999999478459
20130911,2244162.949999999720603,2192490.479999999981374,2401098.799999999813735,2224415.509999999776483,2356728.860000000335276,11418896.599999997764826
20130912,2268008.299999999813735,2203931.520000000018626,2341441.700000000186265,2240210.149999999906868,2342936.179999999701977,11396527.849999999627471
20130913,2230393.100000000093132,2234641.679999999701977,2402368.100000000093132,2234945.270000000018626,2334785.959999999962747,11437134.109999999403954
20130916,2159528.750000000000000,2321754.160000000149012,2398137.099999999627471,2244158.810000000055879,2354848.040000000037253,11478426.859999999403954
20130917,2184717.500000000000000,2350657.839999999850988,2392636.799999999813735,2248107.469999999739230,2329456.970000000670552,11505576.580000000074506
20130918,2229385.549999999813735,2376550.720000000204891,2462025.199999999720603,2286277.850000000093132,2289646.280000000260770,11643885.599999997764826
20130919,2265993.200000000186265,2389396.800000000279397,2446793.599999999627471,2286935.959999999962747,2220682.879999999888241,11609802.439999997615814
20130920,2242483.699999999720603,2341023.279999999795109,2392213.699999999720603,2282987.299999999813735,2212219.189999999478459,11470927.169999999925494
