訓練日期,20160328 - 20160627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10717248.679999999701977
真實報酬,717248.679999999701977

夏普值報酬,0.063024868000000
夏普值風險,0.022912134508970
夏普值,2.750720059509378

預期報酬,13307.694193348625049
風險,74020.427454788572504
趨勢值,0.179784076516944
找到最佳解世代,2120
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),VZ[26](27),XOM[29](2),
Stock#,PFE[20](3),VZ[26](27),XOM[29](2),
張數,111931,62421,39578,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,27.819999999832362,51.600000000093132,73.839999999850988,
20160328,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20160329,3363554.370000000111759,3373906.649999999906868,3345602.179999999701977,10083064.199999999254942
20160330,3365792.989999999757856,3373282.439999999944121,3345206.399999999906868,10084282.830000000074506
20160331,3317662.659999999683350,3375779.279999999795109,3308398.859999999869615,10001841.799999998882413
20160401,3362435.059999999590218,3371409.810000000055879,3283464.719999999739230,10017310.589999999850988
20160404,3438548.139999999664724,3397002.420000000391155,3291380.319999999832362,10126931.880000000819564
20160405,3510183.979999999981374,3376403.490000000223517,3253781.219999999739230,10140369.690000001341105
20160406,3685915.649999999906868,3340823.520000000484288,3297317.020000000018626,10324057.189999999478459
20160407,3666887.379999999422580,3245943.600000000093132,3260113.700000000186265,10172945.679999999701977
20160408,3637785.319999999832362,3257179.379999999888241,3293359.219999999739230,10188324.919999998062849
20160411,3569507.409999999683350,3221599.410000000149012,3297712.799999999813735,10088820.620000001043081
20160412,3577342.580000000074506,3242822.550000000279397,3338478.139999999664724,10158644.269999999552965
20160413,3642262.559999999590218,3201624.689999999944121,3357475.579999999608845,10201363.830000000074506
20160414,3654574.969999999739230,3205994.160000000149012,3381222.379999999888241,10241792.509999999776483
20160415,3637785.319999999832362,3205369.950000000186265,3363016.500000000000000,10206172.769999999552965
20160418,3650097.729999999981374,3229089.929999999701977,3395074.679999999701977,10274263.339999999850988
20160419,3681438.409999999683350,3250937.279999999795109,3412093.219999999739230,10344469.910000000149012
20160420,3719494.949999999254942,3230338.350000000093132,3435444.239999999757856,10385278.539999999105930
20160421,3720614.260000000242144,3122974.229999999981374,3435048.459999999962747,10278637.949999999254942
20160422,3723972.190000000409782,3155433.149999999906868,3464336.179999999701977,10343742.519999999552965
20160425,3717256.330000000074506,3168541.560000000055879,3456420.579999999608845,10342219.470000000670552
20160426,3699347.369999999646097,3148566.839999999850988,3468293.979999999515712,10316209.189999997615814
20160427,3693750.819999999832362,3226593.089999999850988,3501143.719999999739230,10421488.629999998956919
20160428,3683677.029999999329448,3184771.020000000484288,3484125.179999999701977,10352574.230000000447035
20160429,3661290.830000000074506,3179777.339999999850988,3498769.040000000037253,10339838.210000000894070
20160502,3671364.619999999646097,3203497.320000000298023,3527660.979999999515712,10402523.919999998062849
20160503,3772102.520000000018626,3163547.879999999888241,3487291.419999999925494,10422942.820000000298023
20160504,3738523.219999999739230,3173535.240000000223517,3480563.159999999683350,10392622.619999999180436
20160505,3757551.489999999757856,3173535.240000000223517,3484520.959999999962747,10415608.690000001341105
20160506,3758670.799999999813735,3191013.120000000111759,3503122.620000000111759,10452807.539999999105930
20160509,3785534.239999999757856,3188516.279999999795109,3505497.299999999813735,10479548.820000000298023
20160510,3783295.619999999646097,3217229.939999999944121,3561698.059999999590218,10562224.619999999180436
20160511,3711659.779999999329448,3192885.750000000000000,3514996.020000000018626,10419542.549999998882413
20160512,3715017.709999999497086,3212860.470000000204891,3549033.100000000093132,10476912.279999999329448
20160513,3715017.709999999497086,3179777.339999999850988,3509059.319999999832362,10403855.369999999180436
20160516,3736284.600000000093132,3197879.429999999701977,3545075.299999999813735,10479240.329999998211861
20160517,3697108.750000000000000,3177280.500000000000000,3543492.179999999701977,10417882.429999999701977
20160518,3712779.089999999850988,3145445.790000000037253,3536368.139999999664724,10394594.019999999552965
20160519,3736284.600000000093132,3098005.830000000074506,3566447.419999999925494,10400738.849999999627471
20160520,3776579.760000000242144,3099878.459999999962747,3551803.559999999590218,10428262.780000001192093
20160523,3768744.589999999850988,3067419.540000000037253,3546262.639999999664724,10382427.769999999552965
20160524,3816874.919999999925494,3094884.779999999795109,3549033.100000000093132,10460793.799999998882413
20160525,3844857.669999999925494,3111738.450000000186265,3572384.120000000111759,10528981.240000000223517
20160526,3853812.149999999906868,3131088.959999999962747,3554178.239999999757856,10539080.349999999627471
20160527,3873959.729999999981374,3159802.620000000111759,3562489.620000000111759,10596252.969999998807907
20160531,3884033.520000000018626,3177280.500000000000000,3523307.399999999906868,10584622.419999999925494
20160601,3889630.069999999832362,3147942.629999999888241,3532014.559999999590218,10569588.259999997913837
20160602,3903061.789999999571592,3169165.770000000484288,3503914.179999999701977,10576142.740000000223517
20160603,3882914.209999999497086,3178528.920000000391155,3497581.700000000186265,10559025.830000000074506
20160606,3909777.649999999906868,3165420.510000000242144,3535972.359999999869615,10611171.519999999552965
20160607,3899703.860000000335276,3230338.350000000093132,3590194.219999999739230,10720237.429999999701977
20160608,3945595.569999999832362,3215981.520000000484288,3593360.459999999962747,10754938.550000000745058
20160609,3952311.430000000167638,3242822.550000000279397,3588611.100000000093132,10783746.080000000074506
20160610,3950072.809999999590218,3287765.670000000391155,3561302.279999999795109,10799141.759999999776483
20160613,3888510.760000000242144,3281523.570000000298023,3585444.859999999869615,10755480.189999999478459
20160614,3916493.510000000242144,3307740.390000000130385,3579112.379999999888241,10803347.280000001192093
20160615,3894107.309999999590218,3298377.240000000223517,3568426.319999999832362,10760911.869999999180436
20160616,3889630.069999999832362,3337078.260000000242144,3610379.000000000000000,10837088.330000000074506
20160617,3830306.639999999664724,3357052.979999999981374,3590590.000000000000000,10777950.619999999180436
20160620,3861647.319999999832362,3355804.560000000055879,3606421.200000000186265,10823874.080000000074506
20160621,3889630.069999999832362,3377027.700000000186265,3622648.179999999701977,10889306.949999999254942
20160622,3858289.389999999664724,3372658.229999999981374,3608400.100000000093132,10839348.719999998807907
20160623,3871721.110000000335276,3412607.670000000391155,3633334.239999999757856,10917664.020000001415610
20160624,3802323.889999999664724,3397626.629999999888241,3537951.259999999776483,10737902.779999999329448
20160627,3783295.619999999646097,3416977.140000000130385,3516974.919999999925494,10717248.679999999701977
