訓練日期,20181018 - 20190123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11133421.460000000894070
真實報酬,1133421.460000000894070

夏普值報酬,0.104642146000000
夏普值風險,0.025593709869564
夏普值,4.088588427910506

預期報酬,21789.282758020621259
風險,415666.690354624879546
趨勢值,0.052420083840327
找到最佳解世代,1442
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](4),PG[21](1),
Stock#,MRK[17](4),PG[21](1),
張數,69242,62313,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.180000000633299,4.879999999888241,
20181018,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20181019,5009693.879999999888241,5439929.779999999329448,10449623.660000000149012
20181022,5024927.120000000111759,5396310.679999999701977,10421237.800000000745058
20181023,4992383.379999999888241,5431205.959999999962747,10423589.339999999850988
20181024,4884365.860000001266599,5574525.859999999403954,10458891.720000000670552
20181025,4844205.500000000000000,5545861.879999999888241,10390067.379999998956919
20181026,4874671.980000001378357,5474825.059999999590218,10349497.040000000968575
20181029,4947376.080000001005828,5498504.000000000000000,10445880.080000001937151
20181030,5045699.720000000670552,5557701.349999999627471,10603401.070000000298023
20181031,5096938.800000000745058,5525921.720000000670552,10622860.520000001415610
20181101,5063010.220000000670552,5582626.549999999813735,10645636.769999999552965
20181102,5004154.520000000484288,5596335.410000000149012,10600489.929999999701977
20181105,5063010.220000000670552,5682950.480000000447035,10745960.700000001117587
20181106,5076166.200000001117587,5702267.509999999776483,10778433.710000000894070
20181107,5198724.540000000968575,5688558.650000000372529,10887283.190000001341105
20181108,5226421.340000000782311,5692920.559999999590218,10919341.900000000372529
20181109,5183491.300000000745058,5758349.209999999962747,10941840.510000001639128
20181112,5171720.160000000149012,5776419.980000000447035,10948140.140000000596046
20181113,5166180.800000000745058,5824400.990000000223517,10990581.790000000968575
20181114,5130174.960000000894070,5825647.250000000000000,10955822.210000000894070
20181115,5182106.460000000894070,5846833.669999999925494,11028940.130000000819564
20181116,5266581.700000001117587,5846210.539999999105930,11112792.240000000223517
20181119,5286661.879999999888241,5813184.650000000372529,11099846.530000001192093
20181120,5177951.940000000409782,5739032.179999999701977,10916984.120000001043081
20181121,5178644.360000001266599,5696036.209999999962747,10874680.570000000298023
20181123,5170335.320000000298023,5704136.900000000372529,10874472.220000000670552
20181126,5223651.660000000149012,5729062.099999999627471,10952713.759999999776483
20181127,5285969.460000000894070,5777666.240000000223517,11063635.700000001117587
20181128,5347594.840000000782311,5795737.009999999776483,11143331.850000001490116
20181129,5394679.400000000372529,5783897.539999999105930,11178576.939999999478459
20181130,5493695.460000000894070,5889206.509999999776483,11382901.970000000670552
20181203,5485386.420000000856817,5815054.039999999105930,11300440.460000000894070
20181204,5415452.000000000000000,5814430.910000000149012,11229882.910000000149012
20181206,5426530.720000000670552,5829386.029999999329448,11255916.750000000000000
20181207,5312281.420000000856817,5760841.730000000447035,11073123.150000002235174
20181210,5360750.820000000298023,5796983.269999999552965,11157734.089999999850988
20181211,5339285.800000000745058,5851818.709999999962747,11191104.510000001639128
20181212,5401603.600000000558794,5859296.269999999552965,11260899.870000001043081
20181213,5470845.600000000558794,6012586.250000000000000,11483431.850000001490116
20181214,5295663.340000000782311,6021933.200000000186265,11317596.540000000968575
20181217,5209110.840000000782311,5780781.889999999664724,10989892.730000000447035
20181218,5146793.040000000968575,5763334.250000000000000,10910127.290000000968575
20181219,5108017.520000000484288,5717845.759999999776483,10825863.280000001192093
20181220,5088629.760000000707805,5669241.620000000111759,10757871.380000000819564
20181221,5047776.980000001378357,5668618.490000000223517,10716395.470000002533197
20181224,4926603.480000001378357,5443668.559999999590218,10370272.040000000968575
20181226,5123943.180000000633299,5613783.049999999813735,10737726.230000000447035
20181227,5219497.140000000596046,5734047.139999999664724,10953544.280000001192093
20181228,5218804.720000000670552,5681704.220000000670552,10900508.940000001341105
20181231,5290816.400000000372529,5727815.839999999850988,11018632.240000000223517
20190102,5234037.960000000894070,5687935.519999999552965,10921973.480000000447035
20190103,5126712.860000001266599,5648055.200000000186265,10774768.060000002384186
20190104,5281122.520000000484288,5763334.250000000000000,11044456.769999999552965
20190107,5222959.240000001154840,5740278.440000000409782,10963237.680000001564622
20190108,5261734.760000000707805,5761464.859999999403954,11023199.620000001043081
20190109,5221574.400000000372529,5667372.230000000447035,10888946.630000000819564
20190110,5157179.340000000782311,5681081.089999999850988,10838260.429999999701977
20190111,5186260.980000001378357,5718468.889999999664724,10904729.870000001043081
20190114,5080320.720000000670552,5679834.830000000074506,10760155.550000000745058
20190115,5158564.180000000633299,5733424.009999999776483,10891988.190000001341105
20190116,5166180.800000000745058,5693543.690000000409782,10859724.490000002086163
20190117,5234730.379999999888241,5648055.200000000186265,10882785.580000000074506
20190118,5253425.720000000670552,5696659.339999999850988,10950085.060000000521541
20190122,5250656.040000000968575,5635592.599999999627471,10886248.640000000596046
20190123,5223651.660000000149012,5909769.799999999813735,11133421.460000000894070
