訓練日期,20150914 - 20151214
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11666134.780000001192093
真實報酬,1666134.780000001192093

夏普值報酬,0.157913478000000
夏普值風險,0.047269475606962
夏普值,3.340707210569176

預期報酬,28543.940832327982207
風險,159474.640144402161241
趨勢值,0.178987334954836
找到最佳解世代,2941
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
HD[9](3),MCD[15](1),PG[21](7),
Stock#,HD[9](3),MCD[15](1),PG[21](7),
張數,29053,34374,48976,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,82.310000000055879,86.220000000204891,26.439999999944121,
20150914,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20150915,3375459.850000000093132,3375269.280000000260770,3401409.640000000130385,10152139.770000001415610
20150916,3423106.770000000018626,3392456.280000000260770,3433244.039999999571592,10248808.089999999850988
20150917,3425721.540000000037253,3363238.380000000353903,3440100.679999999701977,10229061.599999999627471
20150918,3344663.670000000391155,3336082.919999999925494,3425407.879999999888241,10106155.469999998807907
20150921,3387081.049999999813735,3365300.820000000298023,3460180.840000000316650,10212563.710000000894070
20150922,3364419.709999999962747,3341239.020000000484288,3437651.879999999888241,10143311.609999999403954
20150923,3375169.320000000298023,3347426.339999999850988,3441080.200000000186265,10163676.859999999403954
20150924,3380108.330000000074506,3344332.680000000633299,3494953.799999999813735,10219395.810000000521541
20150925,3391729.529999999795109,3354644.880000000353903,3559112.359999999869615,10305487.769999999552965
20150928,3315029.609999999869615,3298615.259999999776483,3515033.959999999962747,10128679.829999998211861
20150929,3280456.540000000037253,3350863.740000000223517,3540011.720000000204891,10171333.000000000000000
20150930,3355413.279999999795109,3386956.440000000409782,3523359.879999999888241,10265730.600000001490116
20151001,3400154.899999999906868,3395549.940000000409782,3523849.640000000130385,10319555.480000000447035
20151002,3422816.240000000223517,3430267.680000000633299,3546868.359999999869615,10399953.280000001192093
20151005,3463199.910000000149012,3477703.800000000279397,3586049.159999999683350,10526953.870000001043081
20151006,3448092.350000000093132,3502796.820000000298023,3594864.840000000316650,10545755.009999999776483
20151007,3476273.760000000242144,3498328.200000000186265,3610537.159999999683350,10585140.120000001043081
20151008,3517238.490000000223517,3538889.520000000484288,3643840.840000000316650,10699969.850000001490116
20151009,3525082.799999999813735,3532358.460000000428408,3647758.919999999925494,10705201.179999999701977
20151012,3541643.010000000242144,3548857.979999999981374,3640412.520000000018626,10730914.509999999776483
20151013,3533217.640000000130385,3553670.339999999850988,3629637.799999999813735,10716526.780000001192093
20151014,3494286.620000000111759,3534420.899999999906868,3634535.399999999441206,10663243.919999998062849
20151015,3539028.240000000223517,3563295.060000000055879,3637473.959999999962747,10739798.260000001639128
20151016,3566047.529999999795109,3603168.899999999906868,3668328.840000000316650,10837546.269999999552965
20151019,3576506.609999999869615,3591825.479999999981374,3681062.599999999627471,10849395.689999999478459
20151020,3569243.359999999869615,3569482.380000000353903,3645310.120000000111759,10784036.859999999403954
20151021,3582317.209999999962747,3524796.180000000633299,3604170.280000000260770,10711284.670000001788139
20151022,3613113.390000000130385,3811131.600000000558794,3665880.039999999571592,11090126.029999999329448
20151023,3620376.640000000130385,3870254.880000000353903,3772647.720000000204891,11263280.240000000223517
20151026,3631997.840000000316650,3856161.540000000502914,3795176.679999999701977,11283337.060000000521541
20151027,3616309.220000000204891,3837599.580000000074506,3785381.480000000447035,11239291.280000001192093
20151028,3597424.770000000018626,3882285.780000000260770,3747180.200000000186265,11226891.750000000000000
20151029,3591904.699999999720603,3871286.100000000558794,3772157.959999999962747,11235349.760000001639128
20151030,3592195.229999999981374,3858567.720000000204891,3740813.319999999832362,11191577.269999999552965
20151102,3614566.040000000037253,3853755.360000000335276,3751588.039999999571592,11219910.439999999478459
20151103,3650882.290000000037253,3852724.140000000130385,3773627.239999999757856,11277234.669999999925494
20151104,3642747.449999999720603,3863723.820000000298023,3774117.000000000000000,11280589.269999999552965
20151105,3652625.470000000204891,3879192.120000000111759,3741303.080000000074506,11273121.669999999925494
20151106,3660179.250000000000000,3895004.160000000149012,3701142.759999999776483,11256327.169999999925494
20151109,3617180.810000000055879,3881942.040000000502914,3692816.840000000316650,11191940.690000001341105
20151110,3639261.090000000316650,3891910.500000000000000,3710937.959999999962747,11242110.550000000745058
20151111,3623281.939999999944121,3913566.120000000111759,3720243.399999999441206,11257092.460000000894070
20151112,3597134.240000000223517,3853755.360000000335276,3656574.599999999627471,11107465.199999999254942
20151113,3486442.310000000055879,3780195.000000000000000,3622291.399999999441206,10888929.710000000894070
20151116,3510846.830000000074506,3817662.660000000149012,3687919.239999999757856,11016429.730000000447035
20151117,3665989.850000000093132,3813537.780000000260770,3676654.759999999776483,11156183.390000000596046
20151118,3676448.930000000167638,3868192.440000000409782,3717304.840000000316650,11261947.210000000894070
20151119,3685745.890000000130385,3894660.419999999925494,3732977.159999999683350,11313384.470000000670552
20151120,3783073.440000000409782,3915628.560000000055879,3713386.759999999776483,11412089.759999999776483
20151123,3849604.810000000055879,3934878.000000000000000,3720733.159999999683350,11505216.970000000670552
20151124,3881563.109999999869615,3928346.940000000409782,3744241.640000000130385,11554152.690000001341105
20151125,3912068.760000000242144,3932471.820000000298023,3717304.840000000316650,11561846.419999999925494
20151127,3914683.530000000260770,3926628.240000000223517,3707509.640000000130385,11548822.410000000149012
20151130,3889697.949999999720603,3924222.060000000055879,3665390.280000000260770,11479311.289999999105930
20151201,3905677.100000000093132,3934190.520000000484288,3719263.879999999888241,11559132.500000000000000
20151202,3887664.240000000223517,3909097.500000000000000,3711917.480000000447035,11508680.220000000670552
20151203,3803991.600000000093132,3897754.080000000074506,3709468.679999999701977,11411215.359999999403954
20151204,3908582.399999999906868,3994345.020000000484288,3811828.520000000018626,11714756.939999999478459
20151207,3891150.600000000093132,4001907.300000000279397,3838275.560000000055879,11731334.460000000894070
20151208,3888535.830000000074506,4005688.440000000409782,3807910.439999999944121,11702135.710000000894070
20151209,3832173.010000000242144,4007407.140000000130385,3805461.640000000130385,11645042.790000000968575
20151210,3850766.929999999701977,4028719.020000000484288,3809869.480000000447035,11689356.429999999701977
20151211,3789755.629999999888241,3990220.140000000130385,3809379.720000000204891,11589356.490000000223517
20151214,3835368.839999999850988,3996407.460000000428408,3834357.480000000447035,11666134.780000001192093
