訓練日期,20120531 - 20120830
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11253862.750000000000000
真實報酬,1253862.750000000000000

夏普值報酬,0.116686275000000
夏普值風險,0.039499382160084
夏普值,2.954129118452823

預期報酬,21588.730635883202922
風險,88661.938298066088464
趨勢值,0.243494909431211
找到最佳解世代,2357
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](12),CSCO[4](22),HD[9](10),JNJ[12](11),MRK[17](6),PFE[20](4),WBA[27](13),WMT[28](8),XOM[29](3),
Stock#,AAPL[0](12),CSCO[4](22),HD[9](10),JNJ[12](11),MRK[17](6),PFE[20](4),WBA[27](13),WMT[28](8),XOM[29](3),
張數,13463,68041,22519,17797,29566,50805,36405,16881,14130,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,9.609999999869615,1.470000000204891,23.540000000037253,44.290000000037253,20.719999999972060,5.649999999906868,30.399999999906868,3.580000000074506,69.100000000093132,
20120531,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
20120601,1078934.429999999934807,1085935.830000000307336,1080034.780000000027940,1099542.949999999953434,1099284.599999999860302,1099425.849999999860302,1089632.049999999813735,1106553.130000000121072,1101078.700000000186265,9840423.320000000298023
20120604,1085262.039999999804422,1096141.980000000214204,1098049.979999999981374,1109509.270000000018626,1107563.080000000074506,1097901.699999999953434,1110746.949999999953434,1113980.770000000018626,1099807.000000000000000,9918963.769999999552965
20120605,1082434.810000000055879,1096822.390000000363216,1101653.020000000018626,1107195.660000000149012,1108745.719999999972060,1097393.649999999906868,1113295.299999999813735,1105709.080000000074506,1096557.100000000093132,9909807.729999998584390
20120606,1099128.929999999934807,1134925.350000000093132,1139484.940000000176951,1117695.889999999897555,1120572.119999999878928,1113143.199999999953434,1127129.199999999953434,1112967.910000000149012,1133012.500000000232831,10098061.040000000968575
20120607,1099532.819999999832362,1128121.250000000000000,1153897.100000000093132,1117695.889999999897555,1133285.500000000000000,1114667.349999999860302,1127857.299999999813735,1111955.050000000046566,1140218.800000000046566,10127232.060000000521541
20120608,1116092.310000000055879,1138327.400000000139698,1178893.190000000176951,1120899.350000000093132,1137129.080000000074506,1124828.349999999860302,1134410.199999999953434,1151625.400000000139698,1142338.300000000046566,10244544.580000000074506
20120611,1098590.409999999683350,1121317.150000000139698,1156374.190000000176951,1105593.929999999934807,1137424.739999999990687,1122796.149999999906868,1136594.499999999767169,1139977.510000000009313,1134284.199999999953434,10152953.779999999329448
20120612,1108149.139999999897555,1142409.860000000102445,1176416.100000000093132,1122679.050000000046566,1148659.820000000065193,1127368.599999999860302,1137686.649999999906868,1143184.900000000139698,1148272.900000000139698,10254828.020000001415610
20120613,1100475.229999999748543,1133564.530000000260770,1147816.969999999972060,1147060.940000000176951,1135355.119999999878928,1127368.599999999860302,1124216.799999999813735,1132212.250000000000000,1139371.000000000000000,10187442.439999999478459
20120614,1099263.560000000055879,1151255.190000000409782,1174614.580000000074506,1164857.940000000176951,1146885.859999999869615,1146166.449999999953434,1152976.750000000000000,1141665.610000000102445,1160566.000000000000000,10338252.940000001341105
20120615,1104244.869999999878928,1163502.570000000298023,1168084.070000000065193,1174824.260000000242144,1151320.760000000009313,1148706.699999999953434,1157709.399999999906868,1143691.330000000074506,1175967.700000000186265,10388052.660000000149012
20120618,1126593.449999999953434,1166224.210000000195578,1178217.620000000111759,1179985.389999999897555,1148659.820000000065193,1149214.750000000000000,1163534.199999999953434,1149937.300000000046566,1174413.400000000139698,10436781.140000000596046
20120619,1129824.569999999832362,1168945.850000000093132,1192854.969999999972060,1187460.130000000121072,1159894.899999999906868,1153787.199999999953434,1095456.849999999860302,1144704.190000000176951,1193771.500000000232831,10426701.160000000149012
20120620,1126593.449999999953434,1191399.380000000353903,1189702.310000000055879,1192443.290000000037253,1159303.580000000074506,1151755.000000000000000,1063420.449999999953434,1156689.699999999953434,1200695.200000000186265,10432003.359999999403954
20120621,1110976.369999999878928,1151935.600000000093132,1154347.479999999981374,1181587.120000000111759,1166399.420000000158325,1148198.649999999906868,1061236.149999999906868,1142847.280000000027940,1160283.400000000139698,10277812.470000000670552
20120622,1119592.689999999711290,1165543.800000000046566,1171461.920000000158325,1185858.399999999906868,1187982.599999999860302,1154803.299999999813735,1076526.250000000000000,1136094.880000000121072,1160283.400000000139698,10358148.240000000223517
20120625,1097782.629999999888241,1151935.600000000093132,1160202.420000000158325,1183544.790000000037253,1176156.199999999953434,1141593.999999999767169,1055411.349999999860302,1150950.160000000149012,1147990.300000000046566,10265568.450000001117587
20120626,1100205.969999999739230,1144451.090000000316650,1168309.260000000009313,1182121.030000000027940,1184730.340000000083819,1140069.849999999860302,1059051.849999999860302,1157702.560000000055879,1164381.100000000093132,10301024.049999998882413
20120627,1104918.019999999785796,1138327.400000000139698,1160877.989999999990687,1189595.770000000018626,1198330.699999999953434,1148706.699999999953434,1071065.500000000000000,1157871.370000000111759,1175685.100000000093132,10345379.549999998882413
20120628,1094416.879999999888241,1121317.150000000139698,1164030.649999999906868,1191375.469999999972060,1202765.599999999860302,1144642.300000000046566,1057231.599999999860302,1152975.880000000121072,1174272.100000000093132,10303028.629999998956919
20120629,1123227.699999999953434,1168265.440000000409782,1193305.350000000093132,1202409.610000000102445,1234401.219999999972060,1168520.649999999906868,1076890.299999999813735,1176946.900000000139698,1209173.199999999953434,10553141.369999999180436
20120702,1139652.560000000055879,1162141.750000000000000,1193755.729999999981374,1210240.290000000037253,1237357.820000000065193,1168520.649999999906868,1087083.699999999953434,1170700.929999999934807,1205923.300000000046566,10575377.730000002309680
20120703,1152846.299999999813735,1166904.620000000111759,1163129.889999999897555,1210952.170000000158325,1236175.179999999934807,1161916.000000000000000,1077982.449999999953434,1194334.330000000074506,1219205.500000000000000,10583447.439999999478459
20120705,1173040.799999999813735,1152616.010000000242144,1173488.630000000121072,1206324.949999999953434,1230853.300000000046566,1151755.000000000000000,1087447.750000000000000,1199905.060000000055879,1209173.199999999953434,10584605.699999999254942
20120706,1165232.259999999776483,1141049.040000000270084,1174389.389999999897555,1203833.370000000111759,1227305.379999999888241,1145150.349999999860302,1078346.500000000000000,1204631.739999999990687,1198293.100000000093132,10538232.129999998956919
20120709,1180714.709999999962747,1132884.120000000111759,1173713.820000000065193,1206324.949999999953434,1245636.300000000046566,1150738.899999999906868,1081258.899999999906868,1211384.140000000130385,1182043.600000000093132,10564700.440000001341105
20120710,1169809.679999999934807,1116554.280000000260770,1175965.719999999972060,1208104.649999999906868,1223166.139999999897555,1140069.849999999860302,1089268.000000000000000,1217292.489999999990687,1174413.400000000139698,10514645.209999999031425
20120711,1162539.659999999683350,1114513.050000000046566,1163580.270000000018626,1208460.590000000083819,1218435.580000000074506,1134989.349999999860302,1089996.099999999860302,1219824.640000000130385,1192358.500000000000000,10504698.740000000223517
20120712,1151903.889999999897555,1087296.650000000139698,1160877.989999999990687,1205079.159999999916181,1268697.779999999795109,1151755.000000000000000,1095820.899999999906868,1220668.690000000176951,1188684.700000000186265,10530785.760000001639128
20120713,1163482.069999999832362,1109750.180000000167638,1173038.250000000000000,1221096.459999999962747,1285254.739999999990687,1158867.699999999953434,1113295.299999999813735,1235355.160000000149012,1207760.200000000186265,10667901.059999998658895
20120716,1167251.709999999962747,1101585.260000000242144,1158626.090000000083819,1218248.940000000176951,1281706.820000000065193,1175125.299999999813735,1110382.899999999906868,1231978.960000000195578,1201825.600000000093132,10646732.580000001937151
20120717,1167386.339999999850988,1104306.900000000139698,1142187.219999999972060,1228037.290000000037253,1306542.260000000009313,1200019.750000000000000,1117663.899999999906868,1234004.679999999934807,1211434.000000000232831,10711583.339999999850988
20120718,1166040.039999999804422,1136286.170000000158325,1146465.830000000074506,1234622.180000000167638,1299150.760000000009313,1202560.000000000000000,1127493.249999999767169,1229784.429999999934807,1218216.399999999906868,10760620.060000000521541
20120719,1181522.489999999990687,1134925.350000000093132,1147591.780000000027940,1237469.699999999953434,1299150.760000000009313,1209164.649999999906868,1260371.499999999767169,1207501.510000000009313,1218216.399999999906868,10895915.140000000596046
20120720,1162270.399999999906868,1113152.230000000214204,1141736.840000000083819,1221452.399999999906868,1283480.779999999795109,1204084.149999999906868,1259643.399999999906868,1219655.830000000074506,1214542.600000000093132,10820019.629999998956919
20120723,1161327.989999999990687,1093420.340000000316650,1147591.780000000027940,1212197.959999999962747,1279341.540000000037253,1199003.649999999906868,1234888.000000000000000,1212903.429999999934807,1204086.399999999906868,10744762.089999999850988
20120724,1155808.159999999683350,1028781.390000000130385,1152320.770000000018626,1198672.239999999990687,1262193.260000000009313,1187826.549999999813735,1241804.949999999953434,1217798.920000000158325,1195184.500000000000000,10640391.740000000223517
20120725,1105860.429999999934807,1049193.690000000176951,1150068.870000000111759,1201875.699999999953434,1260123.639999999897555,1185286.299999999813735,1261463.649999999906868,1216786.060000000055879,1204510.300000000046566,10635169.640000000596046
20120726,1105725.799999999813735,1046472.050000000279397,1191503.830000000074506,1223410.069999999832362,1281115.500000000000000,1193415.099999999860302,1273113.249999999767169,1243626.850000000093132,1222596.699999999953434,10780980.149999998509884
20120727,1125381.780000000027940,1067564.760000000242144,1209519.030000000027940,1237291.729999999981374,1333447.320000000065193,1210688.799999999813735,1300416.999999999767169,1257975.699999999953434,1235737.600000000093132,10978024.719999998807907
20120730,1144364.609999999869615,1079812.140000000130385,1199160.290000000037253,1236045.940000000176951,1315116.399999999906868,1204592.199999999953434,1320439.750000000000000,1265740.960000000195578,1237291.900000000139698,11002565.190000003203750
20120731,1174656.359999999869615,1085255.420000000158325,1175064.959999999962747,1231952.630000000121072,1305950.939999999944121,1221357.849999999860302,1323716.199999999953434,1256456.410000000149012,1227259.600000000093132,11001671.369999999180436
20120801,1167117.079999999841675,1087296.650000000139698,1163805.459999999962747,1234800.149999999906868,1309203.199999999953434,1216277.349999999860302,1320439.750000000000000,1242782.800000000046566,1228107.400000000139698,10969830.840000001713634
20120802,1169001.899999999906868,1070966.810000000288710,1157274.949999999953434,1218248.940000000176951,1298263.779999999795109,1215261.250000000000000,1301509.149999999906868,1250041.630000000121072,1213553.500000000000000,10894122.910000002011657
20120803,1184215.089999999850988,1112471.820000000298023,1177542.050000000046566,1230172.930000000167638,1305359.619999999878928,1233551.050000000046566,1303329.399999999906868,1258482.130000000121072,1237150.600000000093132,11042275.690000001341105
20120806,1197408.829999999841675,1135605.760000000242144,1171011.540000000037253,1225189.770000000018626,1315412.060000000055879,1232534.949999999953434,1302965.349999999860302,1253924.260000000009313,1235737.600000000093132,11069791.120000001043081
20120807,1194177.709999999962747,1166224.210000000195578,1180019.139999999897555,1215401.420000000158325,1300924.719999999972060,1206116.349999999860302,1311702.550000000046566,1249028.770000000018626,1242378.700000000186265,11065974.570000000298023
20120808,1192158.259999999776483,1167585.030000000260770,1188801.550000000046566,1216469.239999999990687,1302698.679999999934807,1210688.799999999813735,1319347.600000000093132,1254430.690000000176951,1247465.500000000000000,11099646.349999999627471
20120809,1193908.449999999953434,1204327.170000000158325,1196908.389999999897555,1215935.329999999841675,1309203.199999999953434,1212721.000000000000000,1313886.850000000093132,1246665.429999999934807,1246335.100000000093132,11139891.919999999925494
20120810,1195658.639999999897555,1193440.610000000102445,1194881.680000000167638,1221630.370000000111759,1317777.340000000083819,1216277.349999999860302,1316799.250000000000000,1243795.660000000149012,1249726.300000000046566,11149988.200000001117587
