訓練日期,20090930 - 20091231
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11625223.599999999627471
真實報酬,1625223.599999999627471

夏普值報酬,0.153822360000000
夏普值風險,0.050548795506568
夏普值,3.043046989715392

預期報酬,27802.707731383103237
風險,105681.089794823987177
趨勢值,0.263081198210210
找到最佳解世代,1969
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,5
CVX[5](14),DIS[6](4),MSFT[18](2),V[25](1),VZ[26](20),
Stock#,CVX[5](14),DIS[6](4),MSFT[18](2),V[25](1),VZ[26](20),
張數,28396,72833,77760,115740,70671,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,69.719999999739230,5.819999999832362,12.800000000046566,12.799999999813735,10.699999999953434,
20090930,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
20091001,1953998.479999999748543,1992716.699999999720603,1934681.599999999860302,2000000.000000000000000,1983038.959999999962747,9864435.739999998360872
20091002,1934973.159999999683350,1981791.750000000000000,1940902.400000000139698,1961805.799999999813735,1975265.149999999906868,9794738.259999999776483
20091005,1970468.159999999683350,2015294.929999999934807,1916019.200000000186265,1972222.399999999674037,1979505.410000000149012,9853510.099999999627471
20091006,2003691.479999999748543,2052439.759999999776483,1952566.399999999906868,1975694.599999999860302,1993639.610000000102445,9978031.849999997764826
20091007,2002271.679999999934807,2051711.429999999934807,1951788.800000000046566,2050925.599999999627471,1941343.069999999832362,9998040.580000000074506
20091008,2028963.919999999925494,2088127.929999999934807,1996112.000000000232831,2075230.999999999767169,1926502.160000000149012,10114937.009999999776483
20091009,2066162.679999999934807,2085942.939999999944121,1986780.800000000046566,2111110.399999999441206,1926502.160000000149012,10176498.980000000447035
20091012,2092003.039999999804422,2085942.939999999944121,2000000.000000000000000,2133101.000000000000000,1915901.510000000009313,10226948.490000000223517
20091013,2103361.439999999478459,2069191.349999999860302,2006998.399999999906868,2160878.600000000093132,1917314.929999999934807,10257744.719999998807907
20091014,2142831.879999999422580,2105607.849999999627471,2018662.400000000139698,2164350.799999999813735,1912367.959999999962747,10343820.890000000596046
20091015,2177758.959999999497086,2128914.409999999683350,2076982.400000000139698,2172452.599999999627471,1923675.319999999832362,10479783.689999999478459
20091016,2181166.479999999981374,2141296.019999999552965,2060652.800000000046566,2149304.599999999627471,1909541.119999999878928,10441961.019999997690320
20091019,2205303.079999999608845,2175527.529999999795109,2049766.399999999906868,2168980.399999999441206,1913781.379999999888241,10513358.789999999105930
20091020,2187413.599999999627471,2137654.370000000111759,2050544.000000000232831,2171295.200000000186265,1903180.729999999981374,10450087.900000000372529
20091021,2185709.839999999850988,2128914.409999999683350,2066873.599999999860302,2175924.799999999813735,1918021.639999999897555,10475444.289999999105930
20091022,2194796.560000000055879,2144209.339999999850988,2067651.199999999953434,2189813.600000000093132,1917314.929999999934807,10513785.630000000819564
20091023,2177475.000000000000000,2104151.189999999944121,2178848.000000000000000,2144675.000000000000000,1906007.569999999832362,10511156.759999999776483
20091026,2142547.919999999925494,2086671.269999999785796,2230169.599999999627471,2106480.799999999813735,1892580.080000000074506,10458449.669999999925494
20091027,2174919.359999999869615,2051711.429999999934807,2223171.200000000186265,2138888.000000000000000,1929329.000000000000000,10518018.990000000223517
20091028,2155042.159999999683350,1983976.739999999757856,2178848.000000000000000,2215276.399999999906868,1978798.699999999953434,10511941.999999998137355
20091029,2213537.919999999925494,2049526.439999999944121,2194400.000000000000000,2236109.599999999627471,1985159.089999999850988,10678733.049999998882413
20091030,2173499.560000000055879,1993445.029999999795109,2156297.599999999627471,2192128.399999999906868,1954770.560000000055879,10470141.150000000372529
20091102,2176339.159999999683350,1996358.349999999860302,2167961.599999999627471,2236109.599999999627471,1943463.199999999953434,10520231.909999998286366
